"aar","fylke_nr","innvkat_3","arbeidsalder_18_69","enhet","tabellvariabel","tabell_navn","bydel_nr","naringsregion_nr","kommune_nr"
"2013","00","alle","18_29","personer","570761","sysselsatte_innvkat_alder","NULL","NULL","NULL"
"2013","00","alle","18_29","prosent","69.9","sysselsatte_innvkat_alder","NULL","NULL","NULL"
"2013","00","alle","30_54","personer","1460277","sysselsatte_innvkat_alder","NULL","NULL","NULL"
"2013","00","alle","30_54","prosent","83.1","sysselsatte_innvkat_alder","NULL","NULL","NULL"
"2013","00","alle","55_69","personer","525266","sysselsatte_innvkat_alder","NULL","NULL","NULL"
"2013","00","alle","55_69","prosent","60.4","sysselsatte_innvkat_alder","NULL","NULL","NULL"
"2013","00","innvandrere","18_29","personer","82905","sysselsatte_innvkat_alder","NULL","NULL","NULL"
"2013","00","innvandrere","18_29","prosent","59.1","sysselsatte_innvkat_alder","NULL","NULL","NULL"
"2013","00","innvandrere","30_54","personer","240033","sysselsatte_innvkat_alder","NULL","NULL","NULL"
"2013","00","innvandrere","30_54","prosent","70.8","sysselsatte_innvkat_alder","NULL","NULL","NULL"
"2013","00","innvandrere","55_69","personer","32979","sysselsatte_innvkat_alder","NULL","NULL","NULL"
"2013","00","innvandrere","55_69","prosent","51.8","sysselsatte_innvkat_alder","NULL","NULL","NULL"
"2013","00","befolkningen_ellers","18_29","personer","487856","sysselsatte_innvkat_alder","NULL","NULL","NULL"
"2013","00","befolkningen_ellers","18_29","prosent","72.2","sysselsatte_innvkat_alder","NULL","NULL","NULL"
"2013","00","befolkningen_ellers","30_54","personer","1220244","sysselsatte_innvkat_alder","NULL","NULL","NULL"
"2013","00","befolkningen_ellers","30_54","prosent","86.1","sysselsatte_innvkat_alder","NULL","NULL","NULL"
"2013","00","befolkningen_ellers","55_69","personer","492287","sysselsatte_innvkat_alder","NULL","NULL","NULL"
"2013","00","befolkningen_ellers","55_69","prosent","61.1","sysselsatte_innvkat_alder","NULL","NULL","NULL"
"2013","01","alle","18_29","personer","26994","sysselsatte_innvkat_alder","NULL","NULL","NULL"
"2013","01","alle","18_29","prosent","66.5","sysselsatte_innvkat_alder","NULL","NULL","NULL"
"2013","01","alle","30_54","personer","76489","sysselsatte_innvkat_alder","NULL","NULL","NULL"
