"aar","bydel_nr","kjonn","vreg_3","enhet","tabellvariabel","tabell_navn","fylke_nr","naringsregion_nr","kommune_nr"
"2013","000301","0","1","personer","22645","sysselsatte_kjonn_land","NULL","NULL","NULL"
"2013","000301","0","1","prosent","78.1","sysselsatte_kjonn_land","NULL","NULL","NULL"
"2013","000301","0","2","personer","26198","sysselsatte_kjonn_land","NULL","NULL","NULL"
"2013","000301","0","2","prosent","63.8","sysselsatte_kjonn_land","NULL","NULL","NULL"
"2013","000301","0","alle","personer","48843","sysselsatte_kjonn_land","NULL","NULL","NULL"
"2013","000301","0","alle","prosent","69.7","sysselsatte_kjonn_land","NULL","NULL","NULL"
"2013","000301","1","1","personer","15590","sysselsatte_kjonn_land","NULL","NULL","NULL"
"2013","000301","1","1","prosent","74.8","sysselsatte_kjonn_land","NULL","NULL","NULL"
"2013","000301","1","2","personer","21146","sysselsatte_kjonn_land","NULL","NULL","NULL"
"2013","000301","1","2","prosent","50.7","sysselsatte_kjonn_land","NULL","NULL","NULL"
"2013","000301","1","alle","personer","36736","sysselsatte_kjonn_land","NULL","NULL","NULL"
"2013","000301","1","alle","prosent","58.7","sysselsatte_kjonn_land","NULL","NULL","NULL"
"2013","000301","alle","1","personer","38235","sysselsatte_kjonn_land","NULL","NULL","NULL"
"2013","000301","alle","1","prosent","76.7","sysselsatte_kjonn_land","NULL","NULL","NULL"
"2013","000301","alle","2","personer","47344","sysselsatte_kjonn_land","NULL","NULL","NULL"
"2013","000301","alle","2","prosent","57.2","sysselsatte_kjonn_land","NULL","NULL","NULL"
"2013","000301","alle","alle","personer","85579","sysselsatte_kjonn_land","NULL","NULL","NULL"
"2013","000301","alle","alle","prosent","64.5","sysselsatte_kjonn_land","NULL","NULL","NULL"
"2013","030101","0","1","personer","2049","sysselsatte_kjonn_land","NULL","NULL","NULL"
"2013","030101","0","1","prosent","79.4","sysselsatte_kjonn_land","NULL","NULL","NULL"
"2013","030101","0","2","personer","2518","sysselsatte_kjonn_land","NULL","NULL","NULL"
"2013","030101","0","2","prosent","57.8","sysselsatte_kjonn_land","NULL","NULL","NULL"
"2013","030101","0","alle","personer","4567","sysselsatte_kjonn_land","NULL","NULL","NULL"
"2013","030101","0","alle","prosent","65.8","sysselsatte_kjonn_land","NULL","NULL","NULL"
"2013","030101","1","1","personer","1340","sysselsatte_kjonn_land","NULL","NULL","NULL"
"2013","030101","1","1","prosent","75.9","sysselsatte_kjonn_land","NULL","NULL","NULL"
"2013","030101","1","2","personer","1735","sysselsatte_kjonn_land","NULL","NULL","NULL"
"2013","030101","1","2","prosent","45.1","sysselsatte_kjonn_land","NULL","NULL","NULL"
"2013","030101","1","alle","personer","3075","sysselsatte_kjonn_land","NULL","NULL","NULL"
"2013","030101","1","alle","prosent","54.8","sysselsatte_kjonn_land","NULL","NULL","NULL"
"2013","030101","alle","1","personer","3389","sysselsatte_kjonn_land","NULL","NULL","NULL"
"2013","030101","alle","1","prosent","78","sysselsatte_kjonn_land","NULL","NULL","NULL"
"2013","030101","alle","2","personer","4253","sysselsatte_kjonn_land","NULL","NULL","NULL"
"2013","030101","alle","2","prosent","51.8","sysselsatte_kjonn_land","NULL","NULL","NULL"
"2013","030101","alle","alle","personer","7642","sysselsatte_kjonn_land","NULL","NULL","NULL"
"2013","030101","alle","alle","prosent","60.9","sysselsatte_kjonn_land","NULL","NULL","NULL"
"2013","030102","0","1","personer","2887","sysselsatte_kjonn_land","NULL","NULL","NULL"
"2013","030102","0","1","prosent","80.5","sysselsatte_kjonn_land","NULL","NULL","NULL"
"2013","030102","0","2","personer","2320","sysselsatte_kjonn_land","NULL","NULL","NULL"
"2013","030102","0","2","prosent","60.7","sysselsatte_kjonn_land","NULL","NULL","NULL"
"2013","030102","0","alle","personer","5207","sysselsatte_kjonn_land","NULL","NULL","NULL"
"2013","030102","0","alle","prosent","70.3","sysselsatte_kjonn_land","NULL","NULL","NULL"
"2013","030102","1","1","personer","1848","sysselsatte_kjonn_land","NULL","NULL","NULL"
"2013","030102","1","1","prosent","76.8","sysselsatte_kjonn_land","NULL","NULL","NULL"
"2013","030102","1","2","personer","1667","sysselsatte_kjonn_land","NULL","NULL","NULL"
"2013","030102","1","2","prosent","50.9","sysselsatte_kjonn_land","NULL","NULL","NULL"
"2013","030102","1","alle","personer","3515","sysselsatte_kjonn_land","NULL","NULL","NULL"
"2013","030102","1","alle","prosent","61.9","sysselsatte_kjonn_land","NULL","NULL","NULL"
