"aar","bydel_nr","vreg_9","enhet","tabellvariabel","tabell_navn","fylke_nr","naringsregion_nr","kommune_nr"
"2013","000301","alle","personer","85579","sysselsatte_land","NULL","NULL","NULL"
"2013","000301","alle","prosent","64.5","sysselsatte_land","NULL","NULL","NULL"
"2013","000301","norden","personer","13851","sysselsatte_land","NULL","NULL","NULL"
"2013","000301","norden","prosent","84.3","sysselsatte_land","NULL","NULL","NULL"
"2013","000301","vest_europa","personer","8095","sysselsatte_land","NULL","NULL","NULL"
"2013","000301","vest_europa","prosent","75.6","sysselsatte_land","NULL","NULL","NULL"
"2013","000301","eu_ost_europa","personer","14688","sysselsatte_land","NULL","NULL","NULL"
"2013","000301","eu_ost_europa","prosent","71.8","sysselsatte_land","NULL","NULL","NULL"
"2013","000301","ost_europa_ellers","personer","6427","sysselsatte_land","NULL","NULL","NULL"
"2013","000301","ost_europa_ellers","prosent","66.6","sysselsatte_land","NULL","NULL","NULL"
"2013","000301","nord_amerika_oseania","personer","1608","sysselsatte_land","NULL","NULL","NULL"
"2013","000301","nord_amerika_oseania","prosent","72","sysselsatte_land","NULL","NULL","NULL"
"2013","000301","asia","personer","28136","sysselsatte_land","NULL","NULL","NULL"
"2013","000301","asia","prosent","57.7","sysselsatte_land","NULL","NULL","NULL"
"2013","000301","afrika","personer","9503","sysselsatte_land","NULL","NULL","NULL"
"2013","000301","afrika","prosent","48.8","sysselsatte_land","NULL","NULL","NULL"
"2013","000301","sor_og_mellom_amerika","personer","3271","sysselsatte_land","NULL","NULL","NULL"
"2013","000301","sor_og_mellom_amerika","prosent","66.8","sysselsatte_land","NULL","NULL","NULL"
"2013","030101","alle","personer","7642","sysselsatte_land","NULL","NULL","NULL"
"2013","030101","alle","prosent","60.9","sysselsatte_land","NULL","NULL","NULL"
"2013","030101","norden","personer","1403","sysselsatte_land","NULL","NULL","NULL"
"2013","030101","norden","prosent","83.4","sysselsatte_land","NULL","NULL","NULL"
"2013","030101","vest_europa","personer","660","sysselsatte_land","NULL","NULL","NULL"
"2013","030101","vest_europa","prosent","78.9","sysselsatte_land","NULL","NULL","NULL"
"2013","030101","eu_ost_europa","personer","1170","sysselsatte_land","NULL","NULL","NULL"
"2013","030101","eu_ost_europa","prosent","72.2","sysselsatte_land","NULL","NULL","NULL"
"2013","030101","ost_europa_ellers","personer","568","sysselsatte_land","NULL","NULL","NULL"
"2013","030101","ost_europa_ellers","prosent","67.2","sysselsatte_land","NULL","NULL","NULL"
"2013","030101","nord_amerika_oseania","personer","156","sysselsatte_land","NULL","NULL","NULL"
"2013","030101","nord_amerika_oseania","prosent","76.1","sysselsatte_land","NULL","NULL","NULL"
"2013","030101","asia","personer","2238","sysselsatte_land","NULL","NULL","NULL"
"2013","030101","asia","prosent","53.1","sysselsatte_land","NULL","NULL","NULL"
"2013","030101","afrika","personer","1092","sysselsatte_land","NULL","NULL","NULL"
