kommune_nr,aar,enhet,tabell_navn,tilskudd_til_kommuner,tabellvariabel
0101,2015,kroner,tilskudd,barnehage_tilsk,24400
0104,2015,kroner,tilskudd,barnehage_tilsk,24400
0105,2015,kroner,tilskudd,barnehage_tilsk,144400
0106,2015,kroner,tilskudd,barnehage_tilsk,47800
0111,2015,kroner,tilskudd,barnehage_tilsk,0
0118,2015,kroner,tilskudd,barnehage_tilsk,0
0119,2015,kroner,tilskudd,barnehage_tilsk,24400
0121,2015,kroner,tilskudd,barnehage_tilsk,0
0122,2015,kroner,tilskudd,barnehage_tilsk,0
0123,2015,kroner,tilskudd,barnehage_tilsk,0
0124,2015,kroner,tilskudd,barnehage_tilsk,70200
0125,2015,kroner,tilskudd,barnehage_tilsk,234400
0127,2015,kroner,tilskudd,barnehage_tilsk,48800
0128,2015,kroner,tilskudd,barnehage_tilsk,0
0135,2015,kroner,tilskudd,barnehage_tilsk,47800
0136,2015,kroner,tilskudd,barnehage_tilsk,0
0137,2015,kroner,tilskudd,barnehage_tilsk,96600
0138,2015,kroner,tilskudd,barnehage_tilsk,0
0211,2015,kroner,tilskudd,barnehage_tilsk,46800
0213,2015,kroner,tilskudd,barnehage_tilsk,121000
0214,2015,kroner,tilskudd,barnehage_tilsk,47800
0215,2015,kroner,tilskudd,barnehage_tilsk,48800
0216,2015,kroner,tilskudd,barnehage_tilsk,23400
0217,2015,kroner,tilskudd,barnehage_tilsk,167800
0219,2015,kroner,tilskudd,barnehage_tilsk,194200
0220,2015,kroner,tilskudd,barnehage_tilsk,144400
0221,2015,kroner,tilskudd,barnehage_tilsk,24400
0226,2015,kroner,tilskudd,barnehage_tilsk,48800
0227,2015,kroner,tilskudd,barnehage_tilsk,0
0228,2015,kroner,tilskudd,barnehage_tilsk,24400
0229,2015,kroner,tilskudd,barnehage_tilsk,23400
0230,2015,kroner,tilskudd,barnehage_tilsk,143400
0231,2015,kroner,tilskudd,barnehage_tilsk,267400
0233,2015,kroner,tilskudd,barnehage_tilsk,72200
0234,2015,kroner,tilskudd,barnehage_tilsk,24400
0235,2015,kroner,tilskudd,barnehage_tilsk,97600
0236,2015,kroner,tilskudd,barnehage_tilsk,73200
0237,2015,kroner,tilskudd,barnehage_tilsk,0
0238,2015,kroner,tilskudd,barnehage_tilsk,46800
0239,2015,kroner,tilskudd,barnehage_tilsk,24400
0301,2015,kroner,tilskudd,barnehage_tilsk,1365800
0402,2015,kroner,tilskudd,barnehage_tilsk,168800
0403,2015,kroner,tilskudd,barnehage_tilsk,195200
0412,2015,kroner,tilskudd,barnehage_tilsk,97600
0415,2015,kroner,tilskudd,barnehage_tilsk,122000
0417,2015,kroner,tilskudd,barnehage_tilsk,48800
0418,2015,kroner,tilskudd,barnehage_tilsk,24400
0419,2015,kroner,tilskudd,barnehage_tilsk,0
0420,2015,kroner,tilskudd,barnehage_tilsk,0
0423,2015,kroner,tilskudd,barnehage_tilsk,97600
0425,2015,kroner,tilskudd,barnehage_tilsk,0
0426,2015,kroner,tilskudd,barnehage_tilsk,0
0427,2015,kroner,tilskudd,barnehage_tilsk,97600
0428,2015,kroner,tilskudd,barnehage_tilsk,146400
0429,2015,kroner,tilskudd,barnehage_tilsk,46800
0430,2015,kroner,tilskudd,barnehage_tilsk,48800
0432,2015,kroner,tilskudd,barnehage_tilsk,97600
0434,2015,kroner,tilskudd,barnehage_tilsk,0
0436,2015,kroner,tilskudd,barnehage_tilsk,0
0437,2015,kroner,tilskudd,barnehage_tilsk,0
0438,2015,kroner,tilskudd,barnehage_tilsk,0
0439,2015,kroner,tilskudd,barnehage_tilsk,24400
0441,2015,kroner,tilskudd,barnehage_tilsk,0
0501,2015,kroner,tilskudd,barnehage_tilsk,195200
0502,2015,kroner,tilskudd,barnehage_tilsk,96600
0511,2015,kroner,tilskudd,barnehage_tilsk,0
0512,2015,kroner,tilskudd,barnehage_tilsk,0
0513,2015,kroner,tilskudd,barnehage_tilsk,0
0514,2015,kroner,tilskudd,barnehage_tilsk,24400
0515,2015,kroner,tilskudd,barnehage_tilsk,72200
0516,2015,kroner,tilskudd,barnehage_tilsk,0
0517,2015,kroner,tilskudd,barnehage_tilsk,167800
0519,2015,kroner,tilskudd,barnehage_tilsk,0
0520,2015,kroner,tilskudd,barnehage_tilsk,72200
0521,2015,kroner,tilskudd,barnehage_tilsk,73200
0522,2015,kroner,tilskudd,barnehage_tilsk,0
0528,2015,kroner,tilskudd,barnehage_tilsk,122000
0529,2015,kroner,tilskudd,barnehage_tilsk,146400
0532,2015,kroner,tilskudd,barnehage_tilsk,71200
0533,2015,kroner,tilskudd,barnehage_tilsk,47800
0534,2015,kroner,tilskudd,barnehage_tilsk,24400
0536,2015,kroner,tilskudd,barnehage_tilsk,24400
0538,2015,kroner,tilskudd,barnehage_tilsk,48800
0540,2015,kroner,tilskudd,barnehage_tilsk,48800
0541,2015,kroner,tilskudd,barnehage_tilsk,97600
0542,2015,kroner,tilskudd,barnehage_tilsk,24400
0543,2015,kroner,tilskudd,barnehage_tilsk,0
0544,2015,kroner,tilskudd,barnehage_tilsk,0
0545,2015,kroner,tilskudd,barnehage_tilsk,48800
0602,2015,kroner,tilskudd,barnehage_tilsk,243000
0604,2015,kroner,tilskudd,barnehage_tilsk,24400
0605,2015,kroner,tilskudd,barnehage_tilsk,244000
0612,2015,kroner,tilskudd,barnehage_tilsk,0
0615,2015,kroner,tilskudd,barnehage_tilsk,146400
0616,2015,kroner,tilskudd,barnehage_tilsk,23400
0617,2015,kroner,tilskudd,barnehage_tilsk,93600
0618,2015,kroner,tilskudd,barnehage_tilsk,0
0619,2015,kroner,tilskudd,barnehage_tilsk,0
0620,2015,kroner,tilskudd,barnehage_tilsk,0
0621,2015,kroner,tilskudd,barnehage_tilsk,0
0622,2015,kroner,tilskudd,barnehage_tilsk,73200
0623,2015,kroner,tilskudd,barnehage_tilsk,146400
0624,2015,kroner,tilskudd,barnehage_tilsk,97600
0625,2015,kroner,tilskudd,barnehage_tilsk,339600
0626,2015,kroner,tilskudd,barnehage_tilsk,73200
0627,2015,kroner,tilskudd,barnehage_tilsk,118000
0628,2015,kroner,tilskudd,barnehage_tilsk,97600
0631,2015,kroner,tilskudd,barnehage_tilsk,48800
0632,2015,kroner,tilskudd,barnehage_tilsk,0
0633,2015,kroner,tilskudd,barnehage_tilsk,24400
0701,2015,kroner,tilskudd,barnehage_tilsk,97600
0702,2015,kroner,tilskudd,barnehage_tilsk,72200
0704,2015,kroner,tilskudd,barnehage_tilsk,218600
0706,2015,kroner,tilskudd,barnehage_tilsk,0
0709,2015,kroner,tilskudd,barnehage_tilsk,287800
0711,2015,kroner,tilskudd,barnehage_tilsk,0
0713,2015,kroner,tilskudd,barnehage_tilsk,122000
0714,2015,kroner,tilskudd,barnehage_tilsk,0
0716,2015,kroner,tilskudd,barnehage_tilsk,219600
0719,2015,kroner,tilskudd,barnehage_tilsk,0
0720,2015,kroner,tilskudd,barnehage_tilsk,73200
0722,2015,kroner,tilskudd,barnehage_tilsk,168800
0723,2015,kroner,tilskudd,barnehage_tilsk,24400
0728,2015,kroner,tilskudd,barnehage_tilsk,0
0805,2015,kroner,tilskudd,barnehage_tilsk,240000
0806,2015,kroner,tilskudd,barnehage_tilsk,366000
0807,2015,kroner,tilskudd,barnehage_tilsk,217600
0811,2015,kroner,tilskudd,barnehage_tilsk,24400
0814,2015,kroner,tilskudd,barnehage_tilsk,166800
0815,2015,kroner,tilskudd,barnehage_tilsk,122000
