tabell_navn,aar,fylke_nr,naringsregion_nr,kommune_nr,bydel_nr,innvkat_4,kjonn,enhet,tabellvariabel
videregaende_deltakelse,2011-2013,00,NULL,NULL,NULL,alle,alle,personer,224217
videregaende_deltakelse,2011-2013,00,NULL,NULL,NULL,alle,alle,prosent,37.45
videregaende_deltakelse,2011-2013,00,NULL,NULL,NULL,alle,1,personer,120224
videregaende_deltakelse,2011-2013,00,NULL,NULL,NULL,alle,1,prosent,39.11
videregaende_deltakelse,2011-2013,00,NULL,NULL,NULL,alle,0,personer,103993
videregaende_deltakelse,2011-2013,00,NULL,NULL,NULL,alle,0,prosent,35.69
videregaende_deltakelse,2011-2013,00,NULL,NULL,NULL,bef_u_innv_og_norskf,alle,personer,199357
videregaende_deltakelse,2011-2013,00,NULL,NULL,NULL,bef_u_innv_og_norskf,alle,prosent,38.82
videregaende_deltakelse,2011-2013,00,NULL,NULL,NULL,bef_u_innv_og_norskf,1,personer,106929
videregaende_deltakelse,2011-2013,00,NULL,NULL,NULL,bef_u_innv_og_norskf,1,prosent,40.47
videregaende_deltakelse,2011-2013,00,NULL,NULL,NULL,bef_u_innv_og_norskf,0,personer,92428
videregaende_deltakelse,2011-2013,00,NULL,NULL,NULL,bef_u_innv_og_norskf,0,prosent,37.07
videregaende_deltakelse,2011-2013,00,NULL,NULL,NULL,innvandrere,alle,personer,16280
videregaende_deltakelse,2011-2013,00,NULL,NULL,NULL,innvandrere,alle,prosent,25.02
videregaende_deltakelse,2011-2013,00,NULL,NULL,NULL,innvandrere,1,personer,8790
videregaende_deltakelse,2011-2013,00,NULL,NULL,NULL,innvandrere,1,prosent,26.78
videregaende_deltakelse,2011-2013,00,NULL,NULL,NULL,innvandrere,0,personer,7490
videregaende_deltakelse,2011-2013,00,NULL,NULL,NULL,innvandrere,0,prosent,23.22
videregaende_deltakelse,2011-2013,00,NULL,NULL,NULL,norskfodte_m_innvf,alle,personer,8581
videregaende_deltakelse,2011-2013,00,NULL,NULL,NULL,norskfodte_m_innvf,alle,prosent,42.68
videregaende_deltakelse,2011-2013,00,NULL,NULL,NULL,norskfodte_m_innvf,1,personer,4505
videregaende_deltakelse,2011-2013,00,NULL,NULL,NULL,norskfodte_m_innvf,1,prosent,43.55
videregaende_deltakelse,2011-2013,00,NULL,NULL,NULL,norskfodte_m_innvf,0,personer,4076
videregaende_deltakelse,2011-2013,00,NULL,NULL,NULL,norskfodte_m_innvf,0,prosent,41.76
videregaende_deltakelse,2011-2013,01,NULL,NULL,NULL,alle,alle,personer,12599
videregaende_deltakelse,2011-2013,01,NULL,NULL,NULL,alle,alle,prosent,39.44
videregaende_deltakelse,2011-2013,01,NULL,NULL,NULL,alle,1,personer,6668
videregaende_deltakelse,2011-2013,01,NULL,NULL,NULL,alle,1,prosent,40.31
videregaende_deltakelse,2011-2013,01,NULL,NULL,NULL,alle,0,personer,5931
videregaende_deltakelse,2011-2013,01,NULL,NULL,NULL,alle,0,prosent,38.5
videregaende_deltakelse,2011-2013,01,NULL,NULL,NULL,bef_u_innv_og_norskf,alle,personer,10824
videregaende_deltakelse,2011-2013,01,NULL,NULL,NULL,bef_u_innv_og_norskf,alle,prosent,40.07
videregaende_deltakelse,2011-2013,01,NULL,NULL,NULL,bef_u_innv_og_norskf,1,personer,5707
videregaende_deltakelse,2011-2013,01,NULL,NULL,NULL,bef_u_innv_og_norskf,1,prosent,40.97
videregaende_deltakelse,2011-2013,01,NULL,NULL,NULL,bef_u_innv_og_norskf,0,personer,5118
videregaende_deltakelse,2011-2013,01,NULL,NULL,NULL,bef_u_innv_og_norskf,0,prosent,39.1
videregaende_deltakelse,2011-2013,01,NULL,NULL,NULL,innvandrere,alle,personer,1272
videregaende_deltakelse,2011-2013,01,NULL,NULL,NULL,innvandrere,alle,prosent,32.65
videregaende_deltakelse,2011-2013,01,NULL,NULL,NULL,innvandrere,1,personer,681
videregaende_deltakelse,2011-2013,01,NULL,NULL,NULL,innvandrere,1,prosent,33.54
videregaende_deltakelse,2011-2013,01,NULL,NULL,NULL,innvandrere,0,personer,591
videregaende_deltakelse,2011-2013,01,NULL,NULL,NULL,innvandrere,0,prosent,31.67
videregaende_deltakelse,2011-2013,01,NULL,NULL,NULL,norskfodte_m_innvf,alle,personer,503
videregaende_deltakelse,2011-2013,01,NULL,NULL,NULL,norskfodte_m_innvf,alle,prosent,48.66
videregaende_deltakelse,2011-2013,01,NULL,NULL,NULL,norskfodte_m_innvf,1,personer,281
videregaende_deltakelse,2011-2013,01,NULL,NULL,NULL,norskfodte_m_innvf,1,prosent,48.17
videregaende_deltakelse,2011-2013,01,NULL,NULL,NULL,norskfodte_m_innvf,0,personer,222
videregaende_deltakelse,2011-2013,01,NULL,NULL,NULL,norskfodte_m_innvf,0,prosent,49.3
videregaende_deltakelse,2011-2013,02,NULL,NULL,NULL,alle,alle,personer,25435
videregaende_deltakelse,2011-2013,02,NULL,NULL,NULL,alle,alle,prosent,39.89
videregaende_deltakelse,2011-2013,02,NULL,NULL,NULL,alle,1,personer,13582
videregaende_deltakelse,2011-2013,02,NULL,NULL,NULL,alle,1,prosent,41.1
videregaende_deltakelse,2011-2013,02,NULL,NULL,NULL,alle,0,personer,11854
videregaende_deltakelse,2011-2013,02,NULL,NULL,NULL,alle,0,prosent,38.6
videregaende_deltakelse,2011-2013,02,NULL,NULL,NULL,bef_u_innv_og_norskf,alle,personer,22303
videregaende_deltakelse,2011-2013,02,NULL,NULL,NULL,bef_u_innv_og_norskf,alle,prosent,41.33
videregaende_deltakelse,2011-2013,02,NULL,NULL,NULL,bef_u_innv_og_norskf,1,personer,11913
videregaende_deltakelse,2011-2013,02,NULL,NULL,NULL,bef_u_innv_og_norskf,1,prosent,42.48
videregaende_deltakelse,2011-2013,02,NULL,NULL,NULL,bef_u_innv_og_norskf,0,personer,10390
videregaende_deltakelse,2011-2013,02,NULL,NULL,NULL,bef_u_innv_og_norskf,0,prosent,40.08
videregaende_deltakelse,2011-2013,02,NULL,NULL,NULL,innvandrere,alle,personer,1843
videregaende_deltakelse,2011-2013,02,NULL,NULL,NULL,innvandrere,alle,prosent,26.75
videregaende_deltakelse,2011-2013,02,NULL,NULL,NULL,innvandrere,1,personer,983
videregaende_deltakelse,2011-2013,02,NULL,NULL,NULL,innvandrere,1,prosent,28.14
videregaende_deltakelse,2011-2013,02,NULL,NULL,NULL,innvandrere,0,personer,860
videregaende_deltakelse,2011-2013,02,NULL,NULL,NULL,innvandrere,0,prosent,25.32
videregaende_deltakelse,2011-2013,02,NULL,NULL,NULL,norskfodte_m_innvf,alle,personer,1289
videregaende_deltakelse,2011-2013,02,NULL,NULL,NULL,norskfodte_m_innvf,alle,prosent,44.41
videregaende_deltakelse,2011-2013,02,NULL,NULL,NULL,norskfodte_m_innvf,1,personer,686
videregaende_deltakelse,2011-2013,02,NULL,NULL,NULL,norskfodte_m_innvf,1,prosent,45.43
videregaende_deltakelse,2011-2013,02,NULL,NULL,NULL,norskfodte_m_innvf,0,personer,604
videregaende_deltakelse,2011-2013,02,NULL,NULL,NULL,norskfodte_m_innvf,0,prosent,43.31
videregaende_deltakelse,2011-2013,03,NULL,NULL,NULL,alle,alle,personer,18471
videregaende_deltakelse,2011-2013,03,NULL,NULL,NULL,alle,alle,prosent,26.68
videregaende_deltakelse,2011-2013,03,NULL,NULL,NULL,alle,1,personer,9652
videregaende_deltakelse,2011-2013,03,NULL,NULL,NULL,alle,1,prosent,28.89
videregaende_deltakelse,2011-2013,03,NULL,NULL,NULL,alle,0,personer,8819
videregaende_deltakelse,2011-2013,03,NULL,NULL,NULL,alle,0,prosent,24.62
videregaende_deltakelse,2011-2013,03,NULL,NULL,NULL,bef_u_innv_og_norskf,alle,personer,12169
videregaende_deltakelse,2011-2013,03,NULL,NULL,NULL,bef_u_innv_og_norskf,alle,prosent,27.01
videregaende_deltakelse,2011-2013,03,NULL,NULL,NULL,bef_u_innv_og_norskf,1,personer,6355
videregaende_deltakelse,2011-2013,03,NULL,NULL,NULL,bef_u_innv_og_norskf,1,prosent,29.18
videregaende_deltakelse,2011-2013,03,NULL,NULL,NULL,bef_u_innv_og_norskf,0,personer,5814
videregaende_deltakelse,2011-2013,03,NULL,NULL,NULL,bef_u_innv_og_norskf,0,prosent,24.99
videregaende_deltakelse,2011-2013,03,NULL,NULL,NULL,innvandrere,alle,personer,2599
videregaende_deltakelse,2011-2013,03,NULL,NULL,NULL,innvandrere,alle,prosent,17.43
videregaende_deltakelse,2011-2013,03,NULL,NULL,NULL,innvandrere,1,personer,1361
videregaende_deltakelse,2011-2013,03,NULL,NULL,NULL,innvandrere,1,prosent,19.7
videregaende_deltakelse,2011-2013,03,NULL,NULL,NULL,innvandrere,0,personer,1238
videregaende_deltakelse,2011-2013,03,NULL,NULL,NULL,innvandrere,0,prosent,15.47
videregaende_deltakelse,2011-2013,03,NULL,NULL,NULL,norskfodte_m_innvf,alle,personer,3703
videregaende_deltakelse,2011-2013,03,NULL,NULL,NULL,norskfodte_m_innvf,alle,prosent,39.95
videregaende_deltakelse,2011-2013,03,NULL,NULL,NULL,norskfodte_m_innvf,1,personer,1936
videregaende_deltakelse,2011-2013,03,NULL,NULL,NULL,norskfodte_m_innvf,1,prosent,41.02
videregaende_deltakelse,2011-2013,03,NULL,NULL,NULL,norskfodte_m_innvf,0,personer,1767
videregaende_deltakelse,2011-2013,03,NULL,NULL,NULL,norskfodte_m_innvf,0,prosent,38.84
videregaende_deltakelse,2011-2013,04,NULL,NULL,NULL,alle,alle,personer,8649
videregaende_deltakelse,2011-2013,04,NULL,NULL,NULL,alle,alle,prosent,39.57
videregaende_deltakelse,2011-2013,04,NULL,NULL,NULL,alle,1,personer,4689
videregaende_deltakelse,2011-2013,04,NULL,NULL,NULL,alle,1,prosent,41.38
videregaende_deltakelse,2011-2013,04,NULL,NULL,NULL,alle,0,personer,3959
videregaende_deltakelse,2011-2013,04,NULL,NULL,NULL,alle,0,prosent,37.62
videregaende_deltakelse,2011-2013,04,NULL,NULL,NULL,bef_u_innv_og_norskf,alle,personer,8034
videregaende_deltakelse,2011-2013,04,NULL,NULL,NULL,bef_u_innv_og_norskf,alle,prosent,40.26
videregaende_deltakelse,2011-2013,04,NULL,NULL,NULL,bef_u_innv_og_norskf,1,personer,4355
videregaende_deltakelse,2011-2013,04,NULL,NULL,NULL,bef_u_innv_og_norskf,1,prosent,42.02
videregaende_deltakelse,2011-2013,04,NULL,NULL,NULL,bef_u_innv_og_norskf,0,personer,3679
videregaende_deltakelse,2011-2013,04,NULL,NULL,NULL,bef_u_innv_og_norskf,0,prosent,38.35
videregaende_deltakelse,2011-2013,04,NULL,NULL,NULL,innvandrere,alle,personer,493
videregaende_deltakelse,2011-2013,04,NULL,NULL,NULL,innvandrere,alle,prosent,29.67
videregaende_deltakelse,2011-2013,04,NULL,NULL,NULL,innvandrere,1,personer,272
videregaende_deltakelse,2011-2013,04,NULL,NULL,NULL,innvandrere,1,prosent,31.95
videregaende_deltakelse,2011-2013,04,NULL,NULL,NULL,innvandrere,0,personer,220
videregaende_deltakelse,2011-2013,04,NULL,NULL,NULL,innvandrere,0,prosent,27.26
videregaende_deltakelse,2011-2013,04,NULL,NULL,NULL,norskfodte_m_innvf,alle,personer,122
videregaende_deltakelse,2011-2013,04,NULL,NULL,NULL,norskfodte_m_innvf,alle,prosent,50.83
videregaende_deltakelse,2011-2013,04,NULL,NULL,NULL,norskfodte_m_innvf,1,personer,62
videregaende_deltakelse,2011-2013,04,NULL,NULL,NULL,norskfodte_m_innvf,1,prosent,54.05
videregaende_deltakelse,2011-2013,04,NULL,NULL,NULL,norskfodte_m_innvf,0,personer,60
videregaende_deltakelse,2011-2013,04,NULL,NULL,NULL,norskfodte_m_innvf,0,prosent,47.87
videregaende_deltakelse,2011-2013,05,NULL,NULL,NULL,alle,alle,personer,8386
videregaende_deltakelse,2011-2013,05,NULL,NULL,NULL,alle,alle,prosent,38.86
videregaende_deltakelse,2011-2013,05,NULL,NULL,NULL,alle,1,personer,4497
videregaende_deltakelse,2011-2013,05,NULL,NULL,NULL,alle,1,prosent,40.13
videregaende_deltakelse,2011-2013,05,NULL,NULL,NULL,alle,0,personer,3890
videregaende_deltakelse,2011-2013,05,NULL,NULL,NULL,alle,0,prosent,37.48
videregaende_deltakelse,2011-2013,05,NULL,NULL,NULL,bef_u_innv_og_norskf,alle,personer,7786
videregaende_deltakelse,2011-2013,05,NULL,NULL,NULL,bef_u_innv_og_norskf,alle,prosent,39.69
videregaende_deltakelse,2011-2013,05,NULL,NULL,NULL,bef_u_innv_og_norskf,1,personer,4181
videregaende_deltakelse,2011-2013,05,NULL,NULL,NULL,bef_u_innv_og_norskf,1,prosent,41.02
videregaende_deltakelse,2011-2013,05,NULL,NULL,NULL,bef_u_innv_og_norskf,0,personer,3606
videregaende_deltakelse,2011-2013,05,NULL,NULL,NULL,bef_u_innv_og_norskf,0,prosent,38.24
videregaende_deltakelse,2011-2013,05,NULL,NULL,NULL,innvandrere,alle,personer,501
videregaende_deltakelse,2011-2013,05,NULL,NULL,NULL,innvandrere,alle,prosent,29.28
videregaende_deltakelse,2011-2013,05,NULL,NULL,NULL,innvandrere,1,personer,272
videregaende_deltakelse,2011-2013,05,NULL,NULL,NULL,innvandrere,1,prosent,30.47
videregaende_deltakelse,2011-2013,05,NULL,NULL,NULL,innvandrere,0,personer,229
videregaende_deltakelse,2011-2013,05,NULL,NULL,NULL,innvandrere,0,prosent,27.99
videregaende_deltakelse,2011-2013,05,NULL,NULL,NULL,norskfodte_m_innvf,alle,personer,99
videregaende_deltakelse,2011-2013,05,NULL,NULL,NULL,norskfodte_m_innvf,alle,prosent,39.16
videregaende_deltakelse,2011-2013,05,NULL,NULL,NULL,norskfodte_m_innvf,1,personer,44
videregaende_deltakelse,2011-2013,05,NULL,NULL,NULL,norskfodte_m_innvf,1,prosent,36.36
videregaende_deltakelse,2011-2013,05,NULL,NULL,NULL,norskfodte_m_innvf,0,personer,55
videregaende_deltakelse,2011-2013,05,NULL,NULL,NULL,norskfodte_m_innvf,0,prosent,41.71
videregaende_deltakelse,2011-2013,06,NULL,NULL,NULL,alle,alle,personer,11224
videregaende_deltakelse,2011-2013,06,NULL,NULL,NULL,alle,alle,prosent,37.87
videregaende_deltakelse,2011-2013,06,NULL,NULL,NULL,alle,1,personer,5956
videregaende_deltakelse,2011-2013,06,NULL,NULL,NULL,alle,1,prosent,39.03
videregaende_deltakelse,2011-2013,06,NULL,NULL,NULL,alle,0,personer,5268
videregaende_deltakelse,2011-2013,06,NULL,NULL,NULL,alle,0,prosent,36.63
videregaende_deltakelse,2011-2013,06,NULL,NULL,NULL,bef_u_innv_og_norskf,alle,personer,9688
videregaende_deltakelse,2011-2013,06,NULL,NULL,NULL,bef_u_innv_og_norskf,alle,prosent,39.19
videregaende_deltakelse,2011-2013,06,NULL,NULL,NULL,bef_u_innv_og_norskf,1,personer,5137
videregaende_deltakelse,2011-2013,06,NULL,NULL,NULL,bef_u_innv_og_norskf,1,prosent,40.27
videregaende_deltakelse,2011-2013,06,NULL,NULL,NULL,bef_u_innv_og_norskf,0,personer,4551
videregaende_deltakelse,2011-2013,06,NULL,NULL,NULL,bef_u_innv_og_norskf,0,prosent,38.05
videregaende_deltakelse,2011-2013,06,NULL,NULL,NULL,innvandrere,alle,personer,1015
videregaende_deltakelse,2011-2013,06,NULL,NULL,NULL,innvandrere,alle,prosent,28.13
videregaende_deltakelse,2011-2013,06,NULL,NULL,NULL,innvandrere,1,personer,551
videregaende_deltakelse,2011-2013,06,NULL,NULL,NULL,innvandrere,1,prosent,29.79
videregaende_deltakelse,2011-2013,06,NULL,NULL,NULL,innvandrere,0,personer,464
videregaende_deltakelse,2011-2013,06,NULL,NULL,NULL,innvandrere,0,prosent,26.37
videregaende_deltakelse,2011-2013,06,NULL,NULL,NULL,norskfodte_m_innvf,alle,personer,521
videregaende_deltakelse,2011-2013,06,NULL,NULL,NULL,norskfodte_m_innvf,alle,prosent,39.69
videregaende_deltakelse,2011-2013,06,NULL,NULL,NULL,norskfodte_m_innvf,1,personer,268
videregaende_deltakelse,2011-2013,06,NULL,NULL,NULL,norskfodte_m_innvf,1,prosent,40.97
videregaende_deltakelse,2011-2013,06,NULL,NULL,NULL,norskfodte_m_innvf,0,personer,253
videregaende_deltakelse,2011-2013,06,NULL,NULL,NULL,norskfodte_m_innvf,0,prosent,38.41
videregaende_deltakelse,2011-2013,07,NULL,NULL,NULL,alle,alle,personer,10827
videregaende_deltakelse,2011-2013,07,NULL,NULL,NULL,alle,alle,prosent,39.23
videregaende_deltakelse,2011-2013,07,NULL,NULL,NULL,alle,1,personer,5808
videregaende_deltakelse,2011-2013,07,NULL,NULL,NULL,alle,1,prosent,40.58
videregaende_deltakelse,2011-2013,07,NULL,NULL,NULL,alle,0,personer,5019
videregaende_deltakelse,2011-2013,07,NULL,NULL,NULL,alle,0,prosent,37.78
videregaende_deltakelse,2011-2013,07,NULL,NULL,NULL,bef_u_innv_og_norskf,alle,personer,9717
videregaende_deltakelse,2011-2013,07,NULL,NULL,NULL,bef_u_innv_og_norskf,alle,prosent,39.97
videregaende_deltakelse,2011-2013,07,NULL,NULL,NULL,bef_u_innv_og_norskf,1,personer,5211
videregaende_deltakelse,2011-2013,07,NULL,NULL,NULL,bef_u_innv_og_norskf,1,prosent,41.36
videregaende_deltakelse,2011-2013,07,NULL,NULL,NULL,bef_u_innv_og_norskf,0,personer,4506
videregaende_deltakelse,2011-2013,07,NULL,NULL,NULL,bef_u_innv_og_norskf,0,prosent,38.47
videregaende_deltakelse,2011-2013,07,NULL,NULL,NULL,innvandrere,alle,personer,810
videregaende_deltakelse,2011-2013,07,NULL,NULL,NULL,innvandrere,alle,prosent,30
videregaende_deltakelse,2011-2013,07,NULL,NULL,NULL,innvandrere,1,personer,436
videregaende_deltakelse,2011-2013,07,NULL,NULL,NULL,innvandrere,1,prosent,31.05
videregaende_deltakelse,2011-2013,07,NULL,NULL,NULL,innvandrere,0,personer,374
videregaende_deltakelse,2011-2013,07,NULL,NULL,NULL,innvandrere,0,prosent,28.88
videregaende_deltakelse,2011-2013,07,NULL,NULL,NULL,norskfodte_m_innvf,alle,personer,300
videregaende_deltakelse,2011-2013,07,NULL,NULL,NULL,norskfodte_m_innvf,alle,prosent,51.28
videregaende_deltakelse,2011-2013,07,NULL,NULL,NULL,norskfodte_m_innvf,1,personer,162
videregaende_deltakelse,2011-2013,07,NULL,NULL,NULL,norskfodte_m_innvf,1,prosent,51.98
videregaende_deltakelse,2011-2013,07,NULL,NULL,NULL,norskfodte_m_innvf,0,personer,138
videregaende_deltakelse,2011-2013,07,NULL,NULL,NULL,norskfodte_m_innvf,0,prosent,50.49
videregaende_deltakelse,2011-2013,08,NULL,NULL,NULL,alle,alle,personer,8048
videregaende_deltakelse,2011-2013,08,NULL,NULL,NULL,alle,alle,prosent,39.77
videregaende_deltakelse,2011-2013,08,NULL,NULL,NULL,alle,1,personer,4284
videregaende_deltakelse,2011-2013,08,NULL,NULL,NULL,alle,1,prosent,40.78
videregaende_deltakelse,2011-2013,08,NULL,NULL,NULL,alle,0,personer,3764
videregaende_deltakelse,2011-2013,08,NULL,NULL,NULL,alle,0,prosent,38.67
videregaende_deltakelse,2011-2013,08,NULL,NULL,NULL,bef_u_innv_og_norskf,alle,personer,7185
videregaende_deltakelse,2011-2013,08,NULL,NULL,NULL,bef_u_innv_og_norskf,alle,prosent,40.49
videregaende_deltakelse,2011-2013,08,NULL,NULL,NULL,bef_u_innv_og_norskf,1,personer,3802
videregaende_deltakelse,2011-2013,08,NULL,NULL,NULL,bef_u_innv_og_norskf,1,prosent,41.45
videregaende_deltakelse,2011-2013,08,NULL,NULL,NULL,bef_u_innv_og_norskf,0,personer,3384
videregaende_deltakelse,2011-2013,08,NULL,NULL,NULL,bef_u_innv_og_norskf,0,prosent,39.46
videregaende_deltakelse,2011-2013,08,NULL,NULL,NULL,innvandrere,alle,personer,663
videregaende_deltakelse,2011-2013,08,NULL,NULL,NULL,innvandrere,alle,prosent,31.65
videregaende_deltakelse,2011-2013,08,NULL,NULL,NULL,innvandrere,1,personer,372
videregaende_deltakelse,2011-2013,08,NULL,NULL,NULL,innvandrere,1,prosent,33.25
videregaende_deltakelse,2011-2013,08,NULL,NULL,NULL,innvandrere,0,personer,291
videregaende_deltakelse,2011-2013,08,NULL,NULL,NULL,innvandrere,0,prosent,29.82
videregaende_deltakelse,2011-2013,08,NULL,NULL,NULL,norskfodte_m_innvf,alle,personer,200
videregaende_deltakelse,2011-2013,08,NULL,NULL,NULL,norskfodte_m_innvf,alle,prosent,50.42
videregaende_deltakelse,2011-2013,08,NULL,NULL,NULL,norskfodte_m_innvf,1,personer,110
videregaende_deltakelse,2011-2013,08,NULL,NULL,NULL,norskfodte_m_innvf,1,prosent,51.56
videregaende_deltakelse,2011-2013,08,NULL,NULL,NULL,norskfodte_m_innvf,0,personer,89
videregaende_deltakelse,2011-2013,08,NULL,NULL,NULL,norskfodte_m_innvf,0,prosent,49.08
videregaende_deltakelse,2011-2013,09,NULL,NULL,NULL,alle,alle,personer,5369
videregaende_deltakelse,2011-2013,09,NULL,NULL,NULL,alle,alle,prosent,39.94
videregaende_deltakelse,2011-2013,09,NULL,NULL,NULL,alle,1,personer,2868
videregaende_deltakelse,2011-2013,09,NULL,NULL,NULL,alle,1,prosent,41.27
