"bydel_nr","spraak","bhgalder","enhet","tabellvariabel","aar","tabell_navn"
"030101","alle","1_5","personer","2935",2014,"barnehagedeltakelse"
"030102","alle","1_5","personer","2786",2014,"barnehagedeltakelse"
"030103","alle","1_5","personer","2219",2014,"barnehagedeltakelse"
"030104","alle","1_5","personer","2005",2014,"barnehagedeltakelse"
"030105","alle","1_5","personer","2374",2014,"barnehagedeltakelse"
"030106","alle","1_5","personer","2146",2014,"barnehagedeltakelse"
"030107","alle","1_5","personer","2878",2014,"barnehagedeltakelse"
"030108","alle","1_5","personer","3704",2014,"barnehagedeltakelse"
"030109","alle","1_5","personer","1939",2014,"barnehagedeltakelse"
"030110","alle","1_5","personer","1347",2014,"barnehagedeltakelse"
"030111","alle","1_5","personer","1328",2014,"barnehagedeltakelse"
"030112","alle","1_5","personer","2645",2014,"barnehagedeltakelse"
"030113","alle","1_5","personer","2905",2014,"barnehagedeltakelse"
"030114","alle","1_5","personer","3031",2014,"barnehagedeltakelse"
"030115","alle","1_5","personer","2103",2014,"barnehagedeltakelse"
"030116","alle","1_5","personer",".",2014,"barnehagedeltakelse"
"030117","alle","1_5","personer",".",2014,"barnehagedeltakelse"
"030199","alle","1_5","personer",".",2014,"barnehagedeltakelse"
"030101","alle","1","personer","503",2014,"barnehagedeltakelse"
"030102","alle","1","personer","542",2014,"barnehagedeltakelse"
"030103","alle","1","personer","509",2014,"barnehagedeltakelse"
"030104","alle","1","personer","440",2014,"barnehagedeltakelse"
"030105","alle","1","personer","415",2014,"barnehagedeltakelse"
"030106","alle","1","personer","368",2014,"barnehagedeltakelse"
"030107","alle","1","personer","456",2014,"barnehagedeltakelse"
"030108","alle","1","personer","672",2014,"barnehagedeltakelse"
"030109","alle","1","personer","261",2014,"barnehagedeltakelse"
"030110","alle","1","personer","142",2014,"barnehagedeltakelse"
"030111","alle","1","personer","74",2014,"barnehagedeltakelse"
"030112","alle","1","personer","296",2014,"barnehagedeltakelse"
"030113","alle","1","personer","374",2014,"barnehagedeltakelse"
"030114","alle","1","personer","452",2014,"barnehagedeltakelse"
"030115","alle","1","personer","204",2014,"barnehagedeltakelse"
"030116","alle","1","personer",".",2014,"barnehagedeltakelse"
"030117","alle","1","personer",".",2014,"barnehagedeltakelse"
"030199","alle","1","personer",".",2014,"barnehagedeltakelse"
"030101","alle","2","personer","656",2014,"barnehagedeltakelse"
"030102","alle","2","personer","628",2014,"barnehagedeltakelse"
"030103","alle","2","personer","528",2014,"barnehagedeltakelse"
"030104","alle","2","personer","467",2014,"barnehagedeltakelse"
"030105","alle","2","personer","525",2014,"barnehagedeltakelse"
"030106","alle","2","personer","428",2014,"barnehagedeltakelse"
"030107","alle","2","personer","600",2014,"barnehagedeltakelse"
"030108","alle","2","personer","750",2014,"barnehagedeltakelse"
"030109","alle","2","personer","414",2014,"barnehagedeltakelse"
"030110","alle","2","personer","275",2014,"barnehagedeltakelse"
"030111","alle","2","personer","236",2014,"barnehagedeltakelse"
"030112","alle","2","personer","497",2014,"barnehagedeltakelse"
"030113","alle","2","personer","631",2014,"barnehagedeltakelse"
"030114","alle","2","personer","636",2014,"barnehagedeltakelse"
