"bydel_nr,""barnikommune"",""bhgalder"",""enhet"",""tabellvariabel"",""aar"",""tabell_navn"""
"030101,""alle"",""1_5"",""personer"",""3579"",2014,""barnehagedeltakelse"""
"030102,""alle"",""1_5"",""personer"",""3176"",2014,""barnehagedeltakelse"""
"030103,""alle"",""1_5"",""personer"",""2477"",2014,""barnehagedeltakelse"""
"030104,""alle"",""1_5"",""personer"",""1689"",2014,""barnehagedeltakelse"""
"030105,""alle"",""1_5"",""personer"",""2319"",2014,""barnehagedeltakelse"""
"030106,""alle"",""1_5"",""personer"",""2158"",2014,""barnehagedeltakelse"""
"030107,""alle"",""1_5"",""personer"",""3389"",2014,""barnehagedeltakelse"""
"030108,""alle"",""1_5"",""personer"",""3466"",2014,""barnehagedeltakelse"""
"030109,""alle"",""1_5"",""personer"",""2451"",2014,""barnehagedeltakelse"""
"030110,""alle"",""1_5"",""personer"",""1857"",2014,""barnehagedeltakelse"""
"030111,""alle"",""1_5"",""personer"",""2076"",2014,""barnehagedeltakelse"""
"030112,""alle"",""1_5"",""personer"",""3491"",2014,""barnehagedeltakelse"""
"030113,""alle"",""1_5"",""personer"",""3628"",2014,""barnehagedeltakelse"""
"030114,""alle"",""1_5"",""personer"",""3383"",2014,""barnehagedeltakelse"""
"030115,""alle"",""1_5"",""personer"",""2954"",2014,""barnehagedeltakelse"""
"030116,""alle"",""1_5"",""personer"",""."",2014,""barnehagedeltakelse"""
"030117,""alle"",""1_5"",""personer"",""."",2014,""barnehagedeltakelse"""
"030199,""alle"",""1_5"",""personer"",""."",2014,""barnehagedeltakelse"""
"030101,""alle"",""1_5"",""personer"",""3579"",2014,""barnehagedeltakelse"""
"030102,""alle"",""1_5"",""personer"",""3176"",2014,""barnehagedeltakelse"""
"030103,""alle"",""1_5"",""personer"",""2477"",2014,""barnehagedeltakelse"""
"030104,""alle"",""1_5"",""personer"",""1689"",2014,""barnehagedeltakelse"""
"030105,""alle"",""1_5"",""personer"",""2319"",2014,""barnehagedeltakelse"""
"030106,""alle"",""1_5"",""personer"",""2158"",2014,""barnehagedeltakelse"""
"030107,""alle"",""1_5"",""personer"",""3389"",2014,""barnehagedeltakelse"""
"030108,""alle"",""1_5"",""personer"",""3466"",2014,""barnehagedeltakelse"""
"030109,""alle"",""1_5"",""personer"",""2451"",2014,""barnehagedeltakelse"""
"030110,""alle"",""1_5"",""personer"",""1857"",2014,""barnehagedeltakelse"""
"030111,""alle"",""1_5"",""personer"",""2076"",2014,""barnehagedeltakelse"""
"030112,""alle"",""1_5"",""personer"",""3491"",2014,""barnehagedeltakelse"""
"030113,""alle"",""1_5"",""personer"",""3628"",2014,""barnehagedeltakelse"""
"030114,""alle"",""1_5"",""personer"",""3383"",2014,""barnehagedeltakelse"""
"030115,""alle"",""1_5"",""personer"",""2954"",2014,""barnehagedeltakelse"""
"030116,""alle"",""1_5"",""personer"",""."",2014,""barnehagedeltakelse"""
"030117,""alle"",""1_5"",""personer"",""."",2014,""barnehagedeltakelse"""
"030199,""alle"",""1_5"",""personer"",""."",2014,""barnehagedeltakelse"""
"030101,""alle"",""1_5"",""personer"",""3579"",2014,""barnehagedeltakelse"""
"030102,""alle"",""1_5"",""personer"",""3176"",2014,""barnehagedeltakelse"""
"030103,""alle"",""1_5"",""personer"",""2477"",2014,""barnehagedeltakelse"""
"030104,""alle"",""1_5"",""personer"",""1689"",2014,""barnehagedeltakelse"""
"030105,""alle"",""1_5"",""personer"",""2319"",2014,""barnehagedeltakelse"""
"030106,""alle"",""1_5"",""personer"",""2158"",2014,""barnehagedeltakelse"""
"030107,""alle"",""1_5"",""personer"",""3389"",2014,""barnehagedeltakelse"""
"030108,""alle"",""1_5"",""personer"",""3466"",2014,""barnehagedeltakelse"""
"030109,""alle"",""1_5"",""personer"",""2451"",2014,""barnehagedeltakelse"""
"030110,""alle"",""1_5"",""personer"",""1857"",2014,""barnehagedeltakelse"""
"030111,""alle"",""1_5"",""personer"",""2076"",2014,""barnehagedeltakelse"""
"030112,""alle"",""1_5"",""personer"",""3491"",2014,""barnehagedeltakelse"""
"030113,""alle"",""1_5"",""personer"",""3628"",2014,""barnehagedeltakelse"""
"030114,""alle"",""1_5"",""personer"",""3383"",2014,""barnehagedeltakelse"""
"030115,""alle"",""1_5"",""personer"",""2954"",2014,""barnehagedeltakelse"""
"030116,""alle"",""1_5"",""personer"",""."",2014,""barnehagedeltakelse"""
"030117,""alle"",""1_5"",""personer"",""."",2014,""barnehagedeltakelse"""
"030199,""alle"",""1_5"",""personer"",""."",2014,""barnehagedeltakelse"""
"030101,""alle"",""1_5"",""personer"",""3579"",2014,""barnehagedeltakelse"""
"030102,""alle"",""1_5"",""personer"",""3176"",2014,""barnehagedeltakelse"""
