"fylke_nr,""barnikommune"",""bhgalder"",""enhet"",""tabellvariabel"",""aar"",""tabell_navn"""
"00,""alle"",""1_5"",""personer"",""316409"",2013,""barnehagedeltakelse"""
"01,""alle"",""1_5"",""personer"",""16314"",2013,""barnehagedeltakelse"""
"02,""alle"",""1_5"",""personer"",""38211"",2013,""barnehagedeltakelse"""
"03,""alle"",""1_5"",""personer"",""42353"",2013,""barnehagedeltakelse"""
"04,""alle"",""1_5"",""personer"",""10018"",2013,""barnehagedeltakelse"""
"05,""alle"",""1_5"",""personer"",""9703"",2013,""barnehagedeltakelse"""
"06,""alle"",""1_5"",""personer"",""16256"",2013,""barnehagedeltakelse"""
"07,""alle"",""1_5"",""personer"",""13759"",2013,""barnehagedeltakelse"""
"08,""alle"",""1_5"",""personer"",""9289"",2013,""barnehagedeltakelse"""
"09,""alle"",""1_5"",""personer"",""7115"",2013,""barnehagedeltakelse"""
"10,""alle"",""1_5"",""personer"",""11837"",2013,""barnehagedeltakelse"""
"11,""alle"",""1_5"",""personer"",""32974"",2013,""barnehagedeltakelse"""
"12,""alle"",""1_5"",""personer"",""32648"",2013,""barnehagedeltakelse"""
"14,""alle"",""1_5"",""personer"",""6453"",2013,""barnehagedeltakelse"""
"15,""alle"",""1_5"",""personer"",""15544"",2013,""barnehagedeltakelse"""
"16,""alle"",""1_5"",""personer"",""18803"",2013,""barnehagedeltakelse"""
"17,""alle"",""1_5"",""personer"",""8012"",2013,""barnehagedeltakelse"""
"18,""alle"",""1_5"",""personer"",""13432"",2013,""barnehagedeltakelse"""
"19,""alle"",""1_5"",""personer"",""9445"",2013,""barnehagedeltakelse"""
"20,""alle"",""1_5"",""personer"",""4243"",2013,""barnehagedeltakelse"""
"00,""alle"",""1_5"",""personer"",""316409"",2013,""barnehagedeltakelse"""
"01,""alle"",""1_5"",""personer"",""16314"",2013,""barnehagedeltakelse"""
"02,""alle"",""1_5"",""personer"",""38211"",2013,""barnehagedeltakelse"""
"03,""alle"",""1_5"",""personer"",""42353"",2013,""barnehagedeltakelse"""
"04,""alle"",""1_5"",""personer"",""10018"",2013,""barnehagedeltakelse"""
"05,""alle"",""1_5"",""personer"",""9703"",2013,""barnehagedeltakelse"""
"06,""alle"",""1_5"",""personer"",""16256"",2013,""barnehagedeltakelse"""
"07,""alle"",""1_5"",""personer"",""13759"",2013,""barnehagedeltakelse"""
"08,""alle"",""1_5"",""personer"",""9289"",2013,""barnehagedeltakelse"""
"09,""alle"",""1_5"",""personer"",""7115"",2013,""barnehagedeltakelse"""
"10,""alle"",""1_5"",""personer"",""11837"",2013,""barnehagedeltakelse"""
"11,""alle"",""1_5"",""personer"",""32974"",2013,""barnehagedeltakelse"""
"12,""alle"",""1_5"",""personer"",""32648"",2013,""barnehagedeltakelse"""
"14,""alle"",""1_5"",""personer"",""6453"",2013,""barnehagedeltakelse"""
"15,""alle"",""1_5"",""personer"",""15544"",2013,""barnehagedeltakelse"""
"16,""alle"",""1_5"",""personer"",""18803"",2013,""barnehagedeltakelse"""
"17,""alle"",""1_5"",""personer"",""8012"",2013,""barnehagedeltakelse"""
"18,""alle"",""1_5"",""personer"",""13432"",2013,""barnehagedeltakelse"""
"19,""alle"",""1_5"",""personer"",""9445"",2013,""barnehagedeltakelse"""
"20,""alle"",""1_5"",""personer"",""4243"",2013,""barnehagedeltakelse"""
"00,""alle"",""1_5"",""personer"",""316409"",2013,""barnehagedeltakelse"""
"01,""alle"",""1_5"",""personer"",""16314"",2013,""barnehagedeltakelse"""
"02,""alle"",""1_5"",""personer"",""38211"",2013,""barnehagedeltakelse"""
"03,""alle"",""1_5"",""personer"",""42353"",2013,""barnehagedeltakelse"""
"04,""alle"",""1_5"",""personer"",""10018"",2013,""barnehagedeltakelse"""
"05,""alle"",""1_5"",""personer"",""9703"",2013,""barnehagedeltakelse"""
"06,""alle"",""1_5"",""personer"",""16256"",2013,""barnehagedeltakelse"""
"07,""alle"",""1_5"",""personer"",""13759"",2013,""barnehagedeltakelse"""
"08,""alle"",""1_5"",""personer"",""9289"",2013,""barnehagedeltakelse"""
"09,""alle"",""1_5"",""personer"",""7115"",2013,""barnehagedeltakelse"""
"10,""alle"",""1_5"",""personer"",""11837"",2013,""barnehagedeltakelse"""
"11,""alle"",""1_5"",""personer"",""32974"",2013,""barnehagedeltakelse"""
"12,""alle"",""1_5"",""personer"",""32648"",2013,""barnehagedeltakelse"""
"14,""alle"",""1_5"",""personer"",""6453"",2013,""barnehagedeltakelse"""
"15,""alle"",""1_5"",""personer"",""15544"",2013,""barnehagedeltakelse"""
"16,""alle"",""1_5"",""personer"",""18803"",2013,""barnehagedeltakelse"""
"17,""alle"",""1_5"",""personer"",""8012"",2013,""barnehagedeltakelse"""
"18,""alle"",""1_5"",""personer"",""13432"",2013,""barnehagedeltakelse"""
"19,""alle"",""1_5"",""personer"",""9445"",2013,""barnehagedeltakelse"""
"20,""alle"",""1_5"",""personer"",""4243"",2013,""barnehagedeltakelse"""
"00,""alle"",""1_5"",""personer"",""316409"",2013,""barnehagedeltakelse"""
"01,""alle"",""1_5"",""personer"",""16314"",2013,""barnehagedeltakelse"""
"02,""alle"",""1_5"",""personer"",""38211"",2013,""barnehagedeltakelse"""
"03,""alle"",""1_5"",""personer"",""42353"",2013,""barnehagedeltakelse"""
"04,""alle"",""1_5"",""personer"",""10018"",2013,""barnehagedeltakelse"""
"05,""alle"",""1_5"",""personer"",""9703"",2013,""barnehagedeltakelse"""
"06,""alle"",""1_5"",""personer"",""16256"",2013,""barnehagedeltakelse"""
"07,""alle"",""1_5"",""personer"",""13759"",2013,""barnehagedeltakelse"""
"08,""alle"",""1_5"",""personer"",""9289"",2013,""barnehagedeltakelse"""
"09,""alle"",""1_5"",""personer"",""7115"",2013,""barnehagedeltakelse"""
"10,""alle"",""1_5"",""personer"",""11837"",2013,""barnehagedeltakelse"""
"11,""alle"",""1_5"",""personer"",""32974"",2013,""barnehagedeltakelse"""
"12,""alle"",""1_5"",""personer"",""32648"",2013,""barnehagedeltakelse"""
"14,""alle"",""1_5"",""personer"",""6453"",2013,""barnehagedeltakelse"""
"15,""alle"",""1_5"",""personer"",""15544"",2013,""barnehagedeltakelse"""
"16,""alle"",""1_5"",""personer"",""18803"",2013,""barnehagedeltakelse"""
"17,""alle"",""1_5"",""personer"",""8012"",2013,""barnehagedeltakelse"""
"18,""alle"",""1_5"",""personer"",""13432"",2013,""barnehagedeltakelse"""
"19,""alle"",""1_5"",""personer"",""9445"",2013,""barnehagedeltakelse"""
"20,""alle"",""1_5"",""personer"",""4243"",2013,""barnehagedeltakelse"""
"00,""alle"",""1_5"",""personer"",""316409"",2013,""barnehagedeltakelse"""
"01,""alle"",""1_5"",""personer"",""16314"",2013,""barnehagedeltakelse"""
"02,""alle"",""1_5"",""personer"",""38211"",2013,""barnehagedeltakelse"""
"03,""alle"",""1_5"",""personer"",""42353"",2013,""barnehagedeltakelse"""
"04,""alle"",""1_5"",""personer"",""10018"",2013,""barnehagedeltakelse"""
"05,""alle"",""1_5"",""personer"",""9703"",2013,""barnehagedeltakelse"""
"06,""alle"",""1_5"",""personer"",""16256"",2013,""barnehagedeltakelse"""
"07,""alle"",""1_5"",""personer"",""13759"",2013,""barnehagedeltakelse"""
