"aar","bydel_nr","innvkat_4","vreg_3","kjonn","invalder_3","enhet","tabellvariabel","tabell_navn","fylke_nr","naringsregion_nr"
2013,"000301","alle","alle","0","alle","gjennomsnitt","43","grunnskolepoeng","NULL","NULL"
2013,"000301","alle","alle","0","alle","personer","2512","grunnskolepoeng","NULL","NULL"
2013,"000301","alle","alle","1","alle","gjennomsnitt","39.6","grunnskolepoeng","NULL","NULL"
2013,"000301","alle","alle","1","alle","personer","2687","grunnskolepoeng","NULL","NULL"
2013,"000301","alle","alle","alle","alle","gjennomsnitt","41.2","grunnskolepoeng","NULL","NULL"
2013,"000301","alle","alle","alle","alle","personer","5199","grunnskolepoeng","NULL","NULL"
2013,"000301","innvandrere","1","0","alle","gjennomsnitt","33.6","grunnskolepoeng","NULL","NULL"
2013,"000301","innvandrere","1","0","alle","personer","51","grunnskolepoeng","NULL","NULL"
2013,"000301","innvandrere","1","1","alle","gjennomsnitt","32.5","grunnskolepoeng","NULL","NULL"
2013,"000301","innvandrere","1","1","alle","personer","51","grunnskolepoeng","NULL","NULL"
2013,"000301","innvandrere","1","alle","alle","gjennomsnitt","33.1","grunnskolepoeng","NULL","NULL"
2013,"000301","innvandrere","1","alle","alle","personer","102","grunnskolepoeng","NULL","NULL"
2013,"000301","innvandrere","2","0","alle","gjennomsnitt","35.3","grunnskolepoeng","NULL","NULL"
2013,"000301","innvandrere","2","0","alle","personer","237","grunnskolepoeng","NULL","NULL"
2013,"000301","innvandrere","2","1","alle","gjennomsnitt","33.6","grunnskolepoeng","NULL","NULL"
2013,"000301","innvandrere","2","1","alle","personer","253","grunnskolepoeng","NULL","NULL"
2013,"000301","innvandrere","2","alle","alle","gjennomsnitt","34.4","grunnskolepoeng","NULL","NULL"
2013,"000301","innvandrere","2","alle","alle","personer","490","grunnskolepoeng","NULL","NULL"
2013,"000301","innvandrere","alle","0","alle","gjennomsnitt","35","grunnskolepoeng","NULL","NULL"
2013,"000301","innvandrere","alle","0","alle","personer","288","grunnskolepoeng","NULL","NULL"
2013,"000301","innvandrere","alle","0","0_6","gjennomsnitt","36.9","grunnskolepoeng","NULL","NULL"
2013,"000301","innvandrere","alle","0","0_6","personer","133","grunnskolepoeng","NULL","NULL"
