"aar","bydel_nr","innvkat_4","enhet","tabell_navn","fylke_nr","naringsregion_nr","kjonn","tabellvariabel"
2013,"000301","alle","gjennomsnitt","grunnskolepoeng","NULL","NULL","0","43"
2013,"000301","alle","personer","grunnskolepoeng","NULL","NULL","0","2512"
2013,"000301","bef_u_innv_og_norskf","gjennomsnitt","grunnskolepoeng","NULL","NULL","0","45.6"
2013,"000301","bef_u_innv_og_norskf","personer","grunnskolepoeng","NULL","NULL","0","1628"
2013,"000301","innvandrere","gjennomsnitt","grunnskolepoeng","NULL","NULL","0","35"
2013,"000301","innvandrere","personer","grunnskolepoeng","NULL","NULL","0","288"
2013,"000301","norskfodte_m_innvf","gjennomsnitt","grunnskolepoeng","NULL","NULL","0","39.9"
2013,"000301","norskfodte_m_innvf","personer","grunnskolepoeng","NULL","NULL","0","596"
2013,"030101","alle","gjennomsnitt","grunnskolepoeng","NULL","NULL","0","41.1"
2013,"030101","alle","personer","grunnskolepoeng","NULL","NULL","0","129"
2013,"030101","bef_u_innv_og_norskf","gjennomsnitt","grunnskolepoeng","NULL","NULL","0","46.4"
2013,"030101","bef_u_innv_og_norskf","personer","grunnskolepoeng","NULL","NULL","0","54"
2013,"030101","innvandrere","gjennomsnitt","grunnskolepoeng","NULL","NULL","0","36"
2013,"030101","innvandrere","personer","grunnskolepoeng","NULL","NULL","0","24"
2013,"030101","norskfodte_m_innvf","gjennomsnitt","grunnskolepoeng","NULL","NULL","0","37.9"
2013,"030101","norskfodte_m_innvf","personer","grunnskolepoeng","NULL","NULL","0","51"
2013,"030102","alle","gjennomsnitt","grunnskolepoeng","NULL","NULL","0","41.6"
2013,"030102","alle","personer","grunnskolepoeng","NULL","NULL","0","99"
2013,"030102","bef_u_innv_og_norskf","gjennomsnitt","grunnskolepoeng","NULL","NULL","0","46"
2013,"030102","bef_u_innv_og_norskf","personer","grunnskolepoeng","NULL","NULL","0","69"
2013,"030102","innvandrere","gjennomsnitt","grunnskolepoeng","NULL","NULL","0","26.6"
