"aar","bydel_nr","innvkat_3","vreg_3","tabellvariabel","tabell_navn","enhet"
"2006","00","alle","alle","62252","arbledige_innvkat_land","personer"
"2006","00","befolkningen_ellers","alle","46540","arbledige_innvkat_land","personer"
"2006","00","innvandrere","1","2225","arbledige_innvkat_land","personer"
"2006","00","innvandrere","2","13487","arbledige_innvkat_land","personer"
"2006","00","innvandrere","alle","15712","arbledige_innvkat_land","personer"
"2006","030101","alle","alle","971","arbledige_innvkat_land","personer"
"2006","030101","befolkningen_ellers","alle","524","arbledige_innvkat_land","personer"
"2006","030101","innvandrere","1","53","arbledige_innvkat_land","personer"
"2006","030101","innvandrere","2","394","arbledige_innvkat_land","personer"
"2006","030101","innvandrere","alle","447","arbledige_innvkat_land","personer"
"2006","030102","alle","alle","800","arbledige_innvkat_land","personer"
"2006","030102","befolkningen_ellers","alle","447","arbledige_innvkat_land","personer"
"2006","030102","innvandrere","1","55","arbledige_innvkat_land","personer"
"2006","030102","innvandrere","2","298","arbledige_innvkat_land","personer"
"2006","030102","innvandrere","alle","353","arbledige_innvkat_land","personer"
"2006","030103","alle","alle","906","arbledige_innvkat_land","personer"
"2006","030103","befolkningen_ellers","alle","520","arbledige_innvkat_land","personer"
"2006","030103","innvandrere","1","51","arbledige_innvkat_land","personer"
"2006","030103","innvandrere","2","335","arbledige_innvkat_land","personer"
"2006","030103","innvandrere","alle","386","arbledige_innvkat_land","personer"
"2006","030104","alle","alle","893","arbledige_innvkat_land","personer"
"2006","030104","befolkningen_ellers","alle","460","arbledige_innvkat_land","personer"
"2006","030104","innvandrere","1","55","arbledige_innvkat_land","personer"
"2006","030104","innvandrere","2","378","arbledige_innvkat_land","personer"
"2006","030104","innvandrere","alle","433","arbledige_innvkat_land","personer"
"2006","030105","alle","alle","713","arbledige_innvkat_land","personer"
"2006","030105","befolkningen_ellers","alle","398","arbledige_innvkat_land","personer"
"2006","030105","innvandrere","1","44","arbledige_innvkat_land","personer"
"2006","030105","innvandrere","2","271","arbledige_innvkat_land","personer"
"2006","030105","innvandrere","alle","315","arbledige_innvkat_land","personer"
"2006","030106","alle","alle","706","arbledige_innvkat_land","personer"
"2006","030106","befolkningen_ellers","alle","389","arbledige_innvkat_land","personer"
"2006","030106","innvandrere","1","41","arbledige_innvkat_land","personer"
"2006","030106","innvandrere","2","276","arbledige_innvkat_land","personer"
"2006","030106","innvandrere","alle","317","arbledige_innvkat_land","personer"
"2006","030107","alle","alle","665","arbledige_innvkat_land","personer"
"2006","030107","befolkningen_ellers","alle","319","arbledige_innvkat_land","personer"
"2006","030107","innvandrere","1","37","arbledige_innvkat_land","personer"
"2006","030107","innvandrere","2","309","arbledige_innvkat_land","personer"
"2006","030107","innvandrere","alle","346","arbledige_innvkat_land","personer"
"2006","030108","alle","alle","683","arbledige_innvkat_land","personer"
