"aar","kommune_nr","innvkat_3","vreg_3","tabellvariabel","tabell_navn","enhet"
"2006","0111","innvandrere","1","0","arbledige_innvkat_land","personer"
"2006","0121","innvandrere","1","0","arbledige_innvkat_land","personer"
"2006","0121","innvandrere","2","0","arbledige_innvkat_land","personer"
"2006","0121","innvandrere","alle","0","arbledige_innvkat_land","personer"
"2006","0127","innvandrere","1","0","arbledige_innvkat_land","personer"
"2006","0128","innvandrere","1","0","arbledige_innvkat_land","personer"
"2006","0137","innvandrere","1","0","arbledige_innvkat_land","personer"
"2006","0418","innvandrere","2","0","arbledige_innvkat_land","personer"
"2006","0426","innvandrere","1","0","arbledige_innvkat_land","personer"
"2006","0432","innvandrere","1","0","arbledige_innvkat_land","personer"
"2006","0432","innvandrere","2","0","arbledige_innvkat_land","personer"
"2006","0432","innvandrere","alle","0","arbledige_innvkat_land","personer"
"2006","0434","innvandrere","2","0","arbledige_innvkat_land","personer"
"2006","0436","innvandrere","1","0","arbledige_innvkat_land","personer"
"2006","0437","innvandrere","1","0","arbledige_innvkat_land","personer"
"2006","0439","innvandrere","1","0","arbledige_innvkat_land","personer"
"2006","0439","innvandrere","2","0","arbledige_innvkat_land","personer"
"2006","0439","innvandrere","alle","0","arbledige_innvkat_land","personer"
"2006","0511","innvandrere","1","0","arbledige_innvkat_land","personer"
"2006","0511","innvandrere","2","0","arbledige_innvkat_land","personer"
"2006","0511","innvandrere","alle","0","arbledige_innvkat_land","personer"
"2006","0512","innvandrere","1","0","arbledige_innvkat_land","personer"
"2006","0514","innvandrere","1","0","arbledige_innvkat_land","personer"
"2006","0514","innvandrere","2","0","arbledige_innvkat_land","personer"
"2006","0514","innvandrere","alle","0","arbledige_innvkat_land","personer"
"2006","0536","innvandrere","1","0","arbledige_innvkat_land","personer"
"2006","0538","innvandrere","1","0","arbledige_innvkat_land","personer"
"2006","0540","innvandrere","1","0","arbledige_innvkat_land","personer"
"2006","0545","innvandrere","1","0","arbledige_innvkat_land","personer"
"2006","0615","innvandrere","1","0","arbledige_innvkat_land","personer"
"2006","0617","innvandrere","1","0","arbledige_innvkat_land","personer"
"2006","0619","innvandrere","2","0","arbledige_innvkat_land","personer"
"2006","0621","innvandrere","1","0","arbledige_innvkat_land","personer"
"2006","0621","innvandrere","2","0","arbledige_innvkat_land","personer"
"2006","0621","innvandrere","alle","0","arbledige_innvkat_land","personer"
"2006","0622","innvandrere","2","0","arbledige_innvkat_land","personer"
"2006","0632","innvandrere","1","0","arbledige_innvkat_land","personer"
"2006","0632","innvandrere","2","0","arbledige_innvkat_land","personer"
"2006","0632","innvandrere","alle","0","arbledige_innvkat_land","personer"
"2006","0633","innvandrere","1","0","arbledige_innvkat_land","personer"
