"bydel_nr","barnikommune","bhgalder","enhet","tabellvariabel","aar","tabell_navn"
"030101","alle","1_5","personer","3540","2013","barnehagedeltakelse"
"030102","alle","1_5","personer","3112","2013","barnehagedeltakelse"
"030103","alle","1_5","personer","2365","2013","barnehagedeltakelse"
"030104","alle","1_5","personer","1640","2013","barnehagedeltakelse"
"030105","alle","1_5","personer","2244","2013","barnehagedeltakelse"
"030106","alle","1_5","personer","2157","2013","barnehagedeltakelse"
"030107","alle","1_5","personer","3399","2013","barnehagedeltakelse"
"030108","alle","1_5","personer","3448","2013","barnehagedeltakelse"
"030109","alle","1_5","personer","2605","2013","barnehagedeltakelse"
"030110","alle","1_5","personer","1933","2013","barnehagedeltakelse"
"030111","alle","1_5","personer","2118","2013","barnehagedeltakelse"
"030112","alle","1_5","personer","3467","2013","barnehagedeltakelse"
"030113","alle","1_5","personer","3738","2013","barnehagedeltakelse"
"030114","alle","1_5","personer","3430","2013","barnehagedeltakelse"
"030115","alle","1_5","personer","2911","2013","barnehagedeltakelse"
"030116","alle","1_5","personer",".","2013","barnehagedeltakelse"
"030117","alle","1_5","personer",".","2013","barnehagedeltakelse"
"030199","alle","1_5","personer",".","2013","barnehagedeltakelse"
"030101","alle","1","personer","877","2013","barnehagedeltakelse"
"030102","alle","1","personer","831","2013","barnehagedeltakelse"
"030103","alle","1","personer","663","2013","barnehagedeltakelse"
"030104","alle","1","personer","410","2013","barnehagedeltakelse"
"030105","alle","1","personer","568","2013","barnehagedeltakelse"
"030106","alle","1","personer","431","2013","barnehagedeltakelse"
"030107","alle","1","personer","689","2013","barnehagedeltakelse"
"030108","alle","1","personer","626","2013","barnehagedeltakelse"
"030109","alle","1","personer","557","2013","barnehagedeltakelse"
"030110","alle","1","personer","401","2013","barnehagedeltakelse"
"030111","alle","1","personer","426","2013","barnehagedeltakelse"
"030112","alle","1","personer","698","2013","barnehagedeltakelse"
"030113","alle","1","personer","784","2013","barnehagedeltakelse"
"030114","alle","1","personer","696","2013","barnehagedeltakelse"
"030115","alle","1","personer","562","2013","barnehagedeltakelse"
"030116","alle","1","personer",".","2013","barnehagedeltakelse"
"030117","alle","1","personer",".","2013","barnehagedeltakelse"
"030199","alle","1","personer",".","2013","barnehagedeltakelse"
"030101","alle","2","personer","778","2013","barnehagedeltakelse"
"030102","alle","2","personer","755","2013","barnehagedeltakelse"
"030103","alle","2","personer","564","2013","barnehagedeltakelse"
"030104","alle","2","personer","379","2013","barnehagedeltakelse"
"030105","alle","2","personer","468","2013","barnehagedeltakelse"
"030106","alle","2","personer","437","2013","barnehagedeltakelse"
"030107","alle","2","personer","653","2013","barnehagedeltakelse"
"030108","alle","2","personer","693","2013","barnehagedeltakelse"
"030109","alle","2","personer","519","2013","barnehagedeltakelse"
"030110","alle","2","personer","377","2013","barnehagedeltakelse"
"030111","alle","2","personer","409","2013","barnehagedeltakelse"
"030112","alle","2","personer","711","2013","barnehagedeltakelse"
"030113","alle","2","personer","711","2013","barnehagedeltakelse"
"030114","alle","2","personer","646","2013","barnehagedeltakelse"
"030115","alle","2","personer","595","2013","barnehagedeltakelse"
"030116","alle","2","personer",".","2013","barnehagedeltakelse"
"030117","alle","2","personer",".","2013","barnehagedeltakelse"
"030199","alle","2","personer",".","2013","barnehagedeltakelse"
"030101","alle","3","personer","671","2013","barnehagedeltakelse"
"030102","alle","3","personer","555","2013","barnehagedeltakelse"
"030103","alle","3","personer","442","2013","barnehagedeltakelse"
"030104","alle","3","personer","325","2013","barnehagedeltakelse"
"030105","alle","3","personer","446","2013","barnehagedeltakelse"
"030106","alle","3","personer","428","2013","barnehagedeltakelse"
"030107","alle","3","personer","678","2013","barnehagedeltakelse"
"030108","alle","3","personer","719","2013","barnehagedeltakelse"
"030109","alle","3","personer","546","2013","barnehagedeltakelse"
"030110","alle","3","personer","407","2013","barnehagedeltakelse"
"030111","alle","3","personer","422","2013","barnehagedeltakelse"
"030112","alle","3","personer","700","2013","barnehagedeltakelse"
"030113","alle","3","personer","759","2013","barnehagedeltakelse"
"030114","alle","3","personer","708","2013","barnehagedeltakelse"
"030115","alle","3","personer","584","2013","barnehagedeltakelse"
"030116","alle","3","personer",".","2013","barnehagedeltakelse"
"030117","alle","3","personer",".","2013","barnehagedeltakelse"
"030199","alle","3","personer",".","2013","barnehagedeltakelse"
"030101","alle","4","personer","665","2013","barnehagedeltakelse"
"030102","alle","4","personer","515","2013","barnehagedeltakelse"
"030103","alle","4","personer","371","2013","barnehagedeltakelse"
"030104","alle","4","personer","275","2013","barnehagedeltakelse"
"030105","alle","4","personer","399","2013","barnehagedeltakelse"
"030106","alle","4","personer","455","2013","barnehagedeltakelse"
"030107","alle","4","personer","667","2013","barnehagedeltakelse"
"030108","alle","4","personer","715","2013","barnehagedeltakelse"
"030109","alle","4","personer","513","2013","barnehagedeltakelse"
