"kommune_nr","barnikommune","bhgalder","enhet","tabellvariabel","aar","tabell_navn"
"0101","alle","1_5","personer","1719","2013","barnehagedeltakelse"
"0104","alle","1_5","personer","1773","2013","barnehagedeltakelse"
"0105","alle","1_5","personer","3194","2013","barnehagedeltakelse"
"0106","alle","1_5","personer","4365","2013","barnehagedeltakelse"
"0111","alle","1_5","personer","204","2013","barnehagedeltakelse"
"0118","alle","1_5","personer","66","2013","barnehagedeltakelse"
"0119","alle","1_5","personer","194","2013","barnehagedeltakelse"
"0121","alle","1_5","personer","35","2013","barnehagedeltakelse"
"0122","alle","1_5","personer","305","2013","barnehagedeltakelse"
"0123","alle","1_5","personer","335","2013","barnehagedeltakelse"
"0124","alle","1_5","personer","959","2013","barnehagedeltakelse"
"0125","alle","1_5","personer","627","2013","barnehagedeltakelse"
"0127","alle","1_5","personer","215","2013","barnehagedeltakelse"
"0128","alle","1_5","personer","466","2013","barnehagedeltakelse"
"0135","alle","1_5","personer","391","2013","barnehagedeltakelse"
"0136","alle","1_5","personer","797","2013","barnehagedeltakelse"
"0137","alle","1_5","personer","351","2013","barnehagedeltakelse"
"0138","alle","1_5","personer","318","2013","barnehagedeltakelse"
"0211","alle","1_5","personer","1107","2013","barnehagedeltakelse"
"0213","alle","1_5","personer","2039","2013","barnehagedeltakelse"
"0214","alle","1_5","personer","1274","2013","barnehagedeltakelse"
"0215","alle","1_5","personer","886","2013","barnehagedeltakelse"
"0216","alle","1_5","personer","1175","2013","barnehagedeltakelse"
"0217","alle","1_5","personer","1721","2013","barnehagedeltakelse"
"0219","alle","1_5","personer","8146","2013","barnehagedeltakelse"
"0220","alle","1_5","personer","3797","2013","barnehagedeltakelse"
"0221","alle","1_5","personer","901","2013","barnehagedeltakelse"
"0226","alle","1_5","personer","1279","2013","barnehagedeltakelse"
"0227","alle","1_5","personer","716","2013","barnehagedeltakelse"
"0228","alle","1_5","personer","1183","2013","barnehagedeltakelse"
"0229","alle","1_5","personer","774","2013","barnehagedeltakelse"
"0230","alle","1_5","personer","2084","2013","barnehagedeltakelse"
"0231","alle","1_5","personer","3191","2013","barnehagedeltakelse"
"0233","alle","1_5","personer","1577","2013","barnehagedeltakelse"
"0234","alle","1_5","personer","411","2013","barnehagedeltakelse"
"0235","alle","1_5","personer","2394","2013","barnehagedeltakelse"
"0236","alle","1_5","personer","1168","2013","barnehagedeltakelse"
"0237","alle","1_5","personer","1489","2013","barnehagedeltakelse"
"0238","alle","1_5","personer","752","2013","barnehagedeltakelse"
"0239","alle","1_5","personer","147","2013","barnehagedeltakelse"
"0301","alle","1_5","personer","42353","2013","barnehagedeltakelse"
"0402","alle","1_5","personer","906","2013","barnehagedeltakelse"
"0403","alle","1_5","personer","1516","2013","barnehagedeltakelse"
"0412","alle","1_5","personer","1930","2013","barnehagedeltakelse"
"0415","alle","1_5","personer","406","2013","barnehagedeltakelse"
"0417","alle","1_5","personer","1060","2013","barnehagedeltakelse"
"0418","alle","1_5","personer","249","2013","barnehagedeltakelse"
"0419","alle","1_5","personer","395","2013","barnehagedeltakelse"
"0420","alle","1_5","personer","257","2013","barnehagedeltakelse"
"0423","alle","1_5","personer","182","2013","barnehagedeltakelse"
"0425","alle","1_5","personer","288","2013","barnehagedeltakelse"
"0426","alle","1_5","personer","163","2013","barnehagedeltakelse"
"0427","alle","1_5","personer","1149","2013","barnehagedeltakelse"
"0428","alle","1_5","personer","295","2013","barnehagedeltakelse"
"0429","alle","1_5","personer","240","2013","barnehagedeltakelse"
"0430","alle","1_5","personer","107","2013","barnehagedeltakelse"
"0432","alle","1_5","personer","82","2013","barnehagedeltakelse"
"0434","alle","1_5","personer","52","2013","barnehagedeltakelse"
"0436","alle","1_5","personer","84","2013","barnehagedeltakelse"
"0437","alle","1_5","personer","332","2013","barnehagedeltakelse"
"0438","alle","1_5","personer","154","2013","barnehagedeltakelse"
"0439","alle","1_5","personer","90","2013","barnehagedeltakelse"
"0441","alle","1_5","personer","81","2013","barnehagedeltakelse"
"0501","alle","1_5","personer","1435","2013","barnehagedeltakelse"
"0502","alle","1_5","personer","1611","2013","barnehagedeltakelse"
"0511","alle","1_5","personer","117","2013","barnehagedeltakelse"
"0512","alle","1_5","personer","102","2013","barnehagedeltakelse"
"0513","alle","1_5","personer","89","2013","barnehagedeltakelse"
"0514","alle","1_5","personer","101","2013","barnehagedeltakelse"
"0515","alle","1_5","personer","200","2013","barnehagedeltakelse"
"0516","alle","1_5","personer","277","2013","barnehagedeltakelse"
"0517","alle","1_5","personer","287","2013","barnehagedeltakelse"
"0519","alle","1_5","personer","180","2013","barnehagedeltakelse"
"0520","alle","1_5","personer","214","2013","barnehagedeltakelse"
"0521","alle","1_5","personer","242","2013","barnehagedeltakelse"
"0522","alle","1_5","personer","333","2013","barnehagedeltakelse"
"0528","alle","1_5","personer","739","2013","barnehagedeltakelse"
"0529","alle","1_5","personer","697","2013","barnehagedeltakelse"
"0532","alle","1_5","personer","363","2013","barnehagedeltakelse"
"0533","alle","1_5","personer","526","2013","barnehagedeltakelse"
"0534","alle","1_5","personer","704","2013","barnehagedeltakelse"
"0536","alle","1_5","personer","258","2013","barnehagedeltakelse"
"0538","alle","1_5","personer","338","2013","barnehagedeltakelse"
"0540","alle","1_5","personer","157","2013","barnehagedeltakelse"
"0541","alle","1_5","personer","69","2013","barnehagedeltakelse"
