"naringsregion_nr","barnikommune","bhgalder","enhet","tabellvariabel","aar","tabell_navn"
"01","alle","1_5","personer","1719","2013","barnehagedeltakelse"
"02","alle","1_5","personer","3520","2013","barnehagedeltakelse"
"03","alle","1_5","personer","3312","2013","barnehagedeltakelse"
"04","alle","1_5","personer","7763","2013","barnehagedeltakelse"
"05","alle","1_5","personer","11943","2013","barnehagedeltakelse"
"06","alle","1_5","personer","8976","2013","barnehagedeltakelse"
"07","alle","1_5","personer","10931","2013","barnehagedeltakelse"
"08","alle","1_5","personer","6361","2013","barnehagedeltakelse"
"09","alle","1_5","personer","42353","2013","barnehagedeltakelse"
"10","alle","1_5","personer","823","2013","barnehagedeltakelse"
"11","alle","1_5","personer","2440","2013","barnehagedeltakelse"
"12","alle","1_5","personer","4912","2013","barnehagedeltakelse"
"13","alle","1_5","personer","1843","2013","barnehagedeltakelse"
"14","alle","1_5","personer","3643","2013","barnehagedeltakelse"
"15","alle","1_5","personer","1593","2013","barnehagedeltakelse"
"16","alle","1_5","personer","2010","2013","barnehagedeltakelse"
"17","alle","1_5","personer","671","2013","barnehagedeltakelse"
"18","alle","1_5","personer","896","2013","barnehagedeltakelse"
"19","alle","1_5","personer","890","2013","barnehagedeltakelse"
"20","alle","1_5","personer","11076","2013","barnehagedeltakelse"
"21","alle","1_5","personer","1015","2013","barnehagedeltakelse"
"22","alle","1_5","personer","1980","2013","barnehagedeltakelse"
"23","alle","1_5","personer","1064","2013","barnehagedeltakelse"
"24","alle","1_5","personer","2012","2013","barnehagedeltakelse"
"25","alle","1_5","personer","7737","2013","barnehagedeltakelse"
"26","alle","1_5","personer","5131","2013","barnehagedeltakelse"
"27","alle","1_5","personer","6576","2013","barnehagedeltakelse"
"28","alle","1_5","personer","897","2013","barnehagedeltakelse"
"29","alle","1_5","personer","1063","2013","barnehagedeltakelse"
"30","alle","1_5","personer","753","2013","barnehagedeltakelse"
"31","alle","1_5","personer","396","2013","barnehagedeltakelse"
"32","alle","1_5","personer","5509","2013","barnehagedeltakelse"
"33","alle","1_5","personer","2319","2013","barnehagedeltakelse"
"34","alle","1_5","personer","1626","2013","barnehagedeltakelse"
"35","alle","1_5","personer","9102","2013","barnehagedeltakelse"
"36","alle","1_5","personer","1650","2013","barnehagedeltakelse"
"37","alle","1_5","personer","6853","2013","barnehagedeltakelse"
"38","alle","1_5","personer","1660","2013","barnehagedeltakelse"
"39","alle","1_5","personer","22811","2013","barnehagedeltakelse"
"40","alle","1_5","personer","16633","2013","barnehagedeltakelse"
"41","alle","1_5","personer","1837","2013","barnehagedeltakelse"
"42","alle","1_5","personer","1205","2013","barnehagedeltakelse"
"43","alle","1_5","personer","829","2013","barnehagedeltakelse"
"44","alle","1_5","personer","2269","2013","barnehagedeltakelse"
"45","alle","1_5","personer","728","2013","barnehagedeltakelse"
"46","alle","1_5","personer","4299","2013","barnehagedeltakelse"
"47","alle","1_5","personer","4848","2013","barnehagedeltakelse"
"48","alle","1_5","personer","518","2013","barnehagedeltakelse"
"49","alle","1_5","personer","1901","2013","barnehagedeltakelse"
"50","alle","1_5","personer","1753","2013","barnehagedeltakelse"
"51","alle","1_5","personer","2281","2013","barnehagedeltakelse"
"52","alle","1_5","personer","3349","2013","barnehagedeltakelse"
"53","alle","1_5","personer","3355","2013","barnehagedeltakelse"
"54","alle","1_5","personer","983","2013","barnehagedeltakelse"
"55","alle","1_5","personer","2858","2013","barnehagedeltakelse"
"56","alle","1_5","personer","4999","2013","barnehagedeltakelse"
"57","alle","1_5","personer","1333","2013","barnehagedeltakelse"
"58","alle","1_5","personer","495","2013","barnehagedeltakelse"
"59","alle","1_5","personer","494","2013","barnehagedeltakelse"
"60","alle","1_5","personer","1314","2013","barnehagedeltakelse"
"61","alle","1_5","personer","14982","2013","barnehagedeltakelse"
"62","alle","1_5","personer","390","2013","barnehagedeltakelse"
"63","alle","1_5","personer","1770","2013","barnehagedeltakelse"
"64","alle","1_5","personer","3797","2013","barnehagedeltakelse"
"65","alle","1_5","personer","437","2013","barnehagedeltakelse"
"66","alle","1_5","personer","588","2013","barnehagedeltakelse"
"67","alle","1_5","personer","1215","2013","barnehagedeltakelse"
"68","alle","1_5","personer","718","2013","barnehagedeltakelse"
"69","alle","1_5","personer","707","2013","barnehagedeltakelse"
"70","alle","1_5","personer","201","2013","barnehagedeltakelse"
"71","alle","1_5","personer","852","2013","barnehagedeltakelse"
"72","alle","1_5","personer","1838","2013","barnehagedeltakelse"
"73","alle","1_5","personer","4684","2013","barnehagedeltakelse"
"74","alle","1_5","personer","1433","2013","barnehagedeltakelse"
"75","alle","1_5","personer","1303","2013","barnehagedeltakelse"
"76","alle","1_5","personer","1696","2013","barnehagedeltakelse"
"77","alle","1_5","personer","2001","2013","barnehagedeltakelse"
"78","alle","1_5","personer","1715","2013","barnehagedeltakelse"
"79","alle","1_5","personer","4957","2013","barnehagedeltakelse"
"80","alle","1_5","personer","772","2013","barnehagedeltakelse"
"81","alle","1_5","personer","2370","2013","barnehagedeltakelse"
"82","alle","1_5","personer","665","2013","barnehagedeltakelse"
"83","alle","1_5","personer","1208","2013","barnehagedeltakelse"
"01","alle","1","personer","319","2013","barnehagedeltakelse"
"02","alle","1","personer","657","2013","barnehagedeltakelse"
"03","alle","1","personer","613","2013","barnehagedeltakelse"
"04","alle","1","personer","1434","2013","barnehagedeltakelse"
"05","alle","1","personer","2277","2013","barnehagedeltakelse"
"06","alle","1","personer","1609","2013","barnehagedeltakelse"
"07","alle","1","personer","1978","2013","barnehagedeltakelse"
"08","alle","1","personer","1190","2013","barnehagedeltakelse"
"09","alle","1","personer","9255","2013","barnehagedeltakelse"
"10","alle","1","personer","148","2013","barnehagedeltakelse"
"11","alle","1","personer","460","2013","barnehagedeltakelse"
"12","alle","1","personer","952","2013","barnehagedeltakelse"
"13","alle","1","personer","359","2013","barnehagedeltakelse"
"14","alle","1","personer","728","2013","barnehagedeltakelse"
"15","alle","1","personer","299","2013","barnehagedeltakelse"
"16","alle","1","personer","367","2013","barnehagedeltakelse"
"17","alle","1","personer","124","2013","barnehagedeltakelse"
"18","alle","1","personer","148","2013","barnehagedeltakelse"
"19","alle","1","personer","154","2013","barnehagedeltakelse"
"20","alle","1","personer","2131","2013","barnehagedeltakelse"
"21","alle","1","personer","181","2013","barnehagedeltakelse"
"22","alle","1","personer","362","2013","barnehagedeltakelse"
"23","alle","1","personer","208","2013","barnehagedeltakelse"
"24","alle","1","personer","364","2013","barnehagedeltakelse"
"25","alle","1","personer","1431","2013","barnehagedeltakelse"
"26","alle","1","personer","936","2013","barnehagedeltakelse"
"27","alle","1","personer","1247","2013","barnehagedeltakelse"
"28","alle","1","personer","191","2013","barnehagedeltakelse"
"29","alle","1","personer","210","2013","barnehagedeltakelse"
"30","alle","1","personer","129","2013","barnehagedeltakelse"
"31","alle","1","personer","79","2013","barnehagedeltakelse"
"32","alle","1","personer","1040","2013","barnehagedeltakelse"
"33","alle","1","personer","481","2013","barnehagedeltakelse"
"34","alle","1","personer","295","2013","barnehagedeltakelse"
"35","alle","1","personer","1749","2013","barnehagedeltakelse"
"36","alle","1","personer","319","2013","barnehagedeltakelse"
"37","alle","1","personer","1324","2013","barnehagedeltakelse"
"38","alle","1","personer","333","2013","barnehagedeltakelse"
"39","alle","1","personer","4510","2013","barnehagedeltakelse"
"40","alle","1","personer","3367","2013","barnehagedeltakelse"
"41","alle","1","personer","324","2013","barnehagedeltakelse"
"42","alle","1","personer","230","2013","barnehagedeltakelse"
"43","alle","1","personer","158","2013","barnehagedeltakelse"
"44","alle","1","personer","459","2013","barnehagedeltakelse"
"45","alle","1","personer","154","2013","barnehagedeltakelse"
"46","alle","1","personer","799","2013","barnehagedeltakelse"
"47","alle","1","personer","937","2013","barnehagedeltakelse"
"48","alle","1","personer","106","2013","barnehagedeltakelse"
"49","alle","1","personer","349","2013","barnehagedeltakelse"
"50","alle","1","personer","351","2013","barnehagedeltakelse"
"51","alle","1","personer","406","2013","barnehagedeltakelse"
"52","alle","1","personer","627","2013","barnehagedeltakelse"
"53","alle","1","personer","652","2013","barnehagedeltakelse"
"54","alle","1","personer","196","2013","barnehagedeltakelse"
"55","alle","1","personer","504","2013","barnehagedeltakelse"
"56","alle","1","personer","981","2013","barnehagedeltakelse"
"57","alle","1","personer","243","2013","barnehagedeltakelse"
"58","alle","1","personer","97","2013","barnehagedeltakelse"
"59","alle","1","personer","85","2013","barnehagedeltakelse"
"60","alle","1","personer","224","2013","barnehagedeltakelse"
"61","alle","1","personer","2956","2013","barnehagedeltakelse"
"62","alle","1","personer","65","2013","barnehagedeltakelse"
"63","alle","1","personer","332","2013","barnehagedeltakelse"
"64","alle","1","personer","713","2013","barnehagedeltakelse"
"65","alle","1","personer","70","2013","barnehagedeltakelse"
"66","alle","1","personer","122","2013","barnehagedeltakelse"
"67","alle","1","personer","218","2013","barnehagedeltakelse"
"68","alle","1","personer","130","2013","barnehagedeltakelse"
"69","alle","1","personer","156","2013","barnehagedeltakelse"
"70","alle","1","personer","46","2013","barnehagedeltakelse"
"71","alle","1","personer","175","2013","barnehagedeltakelse"
"72","alle","1","personer","350","2013","barnehagedeltakelse"
"73","alle","1","personer","871","2013","barnehagedeltakelse"
"74","alle","1","personer","279","2013","barnehagedeltakelse"
"75","alle","1","personer","220","2013","barnehagedeltakelse"
"76","alle","1","personer","339","2013","barnehagedeltakelse"
"77","alle","1","personer","378","2013","barnehagedeltakelse"
"78","alle","1","personer","315","2013","barnehagedeltakelse"
"79","alle","1","personer","918","2013","barnehagedeltakelse"
"80","alle","1","personer","145","2013","barnehagedeltakelse"
"81","alle","1","personer","451","2013","barnehagedeltakelse"
"82","alle","1","personer","107","2013","barnehagedeltakelse"
"83","alle","1","personer","244","2013","barnehagedeltakelse"
"01","alle","2","personer","322","2013","barnehagedeltakelse"
"02","alle","2","personer","699","2013","barnehagedeltakelse"
"03","alle","2","personer","681","2013","barnehagedeltakelse"
"04","alle","2","personer","1460","2013","barnehagedeltakelse"
"05","alle","2","personer","2265","2013","barnehagedeltakelse"
"06","alle","2","personer","1713","2013","barnehagedeltakelse"
"07","alle","2","personer","2137","2013","barnehagedeltakelse"
"08","alle","2","personer","1192","2013","barnehagedeltakelse"
"09","alle","2","personer","8760","2013","barnehagedeltakelse"
"10","alle","2","personer","143","2013","barnehagedeltakelse"
"11","alle","2","personer","470","2013","barnehagedeltakelse"
"12","alle","2","personer","928","2013","barnehagedeltakelse"
"13","alle","2","personer","335","2013","barnehagedeltakelse"
"14","alle","2","personer","677","2013","barnehagedeltakelse"
"15","alle","2","personer","302","2013","barnehagedeltakelse"
"16","alle","2","personer","405","2013","barnehagedeltakelse"
"17","alle","2","personer","122","2013","barnehagedeltakelse"
"18","alle","2","personer","167","2013","barnehagedeltakelse"
"19","alle","2","personer","176","2013","barnehagedeltakelse"
"20","alle","2","personer","2131","2013","barnehagedeltakelse"
"21","alle","2","personer","208","2013","barnehagedeltakelse"
"22","alle","2","personer","379","2013","barnehagedeltakelse"
"23","alle","2","personer","226","2013","barnehagedeltakelse"
"24","alle","2","personer","397","2013","barnehagedeltakelse"
"25","alle","2","personer","1541","2013","barnehagedeltakelse"
"26","alle","2","personer","977","2013","barnehagedeltakelse"
"27","alle","2","personer","1327","2013","barnehagedeltakelse"
"28","alle","2","personer","157","2013","barnehagedeltakelse"
"29","alle","2","personer","200","2013","barnehagedeltakelse"
"30","alle","2","personer","162","2013","barnehagedeltakelse"
"31","alle","2","personer","68","2013","barnehagedeltakelse"
"32","alle","2","personer","1070","2013","barnehagedeltakelse"
"33","alle","2","personer","402","2013","barnehagedeltakelse"
"34","alle","2","personer","332","2013","barnehagedeltakelse"
"35","alle","2","personer","1818","2013","barnehagedeltakelse"
"36","alle","2","personer","299","2013","barnehagedeltakelse"
"37","alle","2","personer","1338","2013","barnehagedeltakelse"
"38","alle","2","personer","301","2013","barnehagedeltakelse"
"39","alle","2","personer","4586","2013","barnehagedeltakelse"
"40","alle","2","personer","3311","2013","barnehagedeltakelse"
"41","alle","2","personer","368","2013","barnehagedeltakelse"
"42","alle","2","personer","227","2013","barnehagedeltakelse"
"43","alle","2","personer","175","2013","barnehagedeltakelse"
"44","alle","2","personer","394","2013","barnehagedeltakelse"
"45","alle","2","personer","132","2013","barnehagedeltakelse"
"46","alle","2","personer","848","2013","barnehagedeltakelse"
"47","alle","2","personer","949","2013","barnehagedeltakelse"
"48","alle","2","personer","112","2013","barnehagedeltakelse"
"49","alle","2","personer","385","2013","barnehagedeltakelse"
"50","alle","2","personer","327","2013","barnehagedeltakelse"
"51","alle","2","personer","468","2013","barnehagedeltakelse"
"52","alle","2","personer","649","2013","barnehagedeltakelse"
"53","alle","2","personer","669","2013","barnehagedeltakelse"
"54","alle","2","personer","175","2013","barnehagedeltakelse"
"55","alle","2","personer","566","2013","barnehagedeltakelse"
"56","alle","2","personer","1007","2013","barnehagedeltakelse"
"57","alle","2","personer","274","2013","barnehagedeltakelse"
"58","alle","2","personer","92","2013","barnehagedeltakelse"
"59","alle","2","personer","103","2013","barnehagedeltakelse"
