"bydel_nr","spraak","bhgalder","enhet","tabellvariabel","aar","tabell_navn"
"030101","alle","1_5","personer","2805","2013","barnehagedeltakelse"
"030102","alle","1_5","personer","2665","2013","barnehagedeltakelse"
"030103","alle","1_5","personer","2141","2013","barnehagedeltakelse"
"030104","alle","1_5","personer","1995","2013","barnehagedeltakelse"
"030105","alle","1_5","personer","2386","2013","barnehagedeltakelse"
"030106","alle","1_5","personer","2153","2013","barnehagedeltakelse"
"030107","alle","1_5","personer","2894","2013","barnehagedeltakelse"
"030108","alle","1_5","personer","3748","2013","barnehagedeltakelse"
"030109","alle","1_5","personer","1961","2013","barnehagedeltakelse"
"030110","alle","1_5","personer","1346","2013","barnehagedeltakelse"
"030111","alle","1_5","personer","1336","2013","barnehagedeltakelse"
"030112","alle","1_5","personer","2543","2013","barnehagedeltakelse"
"030113","alle","1_5","personer","2912","2013","barnehagedeltakelse"
"030114","alle","1_5","personer","3003","2013","barnehagedeltakelse"
"030115","alle","1_5","personer","2117","2013","barnehagedeltakelse"
"030116","alle","1_5","personer",".","2013","barnehagedeltakelse"
"030117","alle","1_5","personer",".","2013","barnehagedeltakelse"
"030199","alle","1_5","personer",".","2013","barnehagedeltakelse"
"030101","alle","1","personer","503","2013","barnehagedeltakelse"
"030102","alle","1","personer","468","2013","barnehagedeltakelse"
"030103","alle","1","personer","488","2013","barnehagedeltakelse"
"030104","alle","1","personer","435","2013","barnehagedeltakelse"
"030105","alle","1","personer","457","2013","barnehagedeltakelse"
"030106","alle","1","personer","383","2013","barnehagedeltakelse"
"030107","alle","1","personer","470","2013","barnehagedeltakelse"
"030108","alle","1","personer","698","2013","barnehagedeltakelse"
"030109","alle","1","personer","325","2013","barnehagedeltakelse"
"030110","alle","1","personer","172","2013","barnehagedeltakelse"
"030111","alle","1","personer","100","2013","barnehagedeltakelse"
"030112","alle","1","personer","249","2013","barnehagedeltakelse"
"030113","alle","1","personer","444","2013","barnehagedeltakelse"
"030114","alle","1","personer","470","2013","barnehagedeltakelse"
"030115","alle","1","personer","209","2013","barnehagedeltakelse"
"030116","alle","1","personer",".","2013","barnehagedeltakelse"
"030117","alle","1","personer",".","2013","barnehagedeltakelse"
"030199","alle","1","personer",".","2013","barnehagedeltakelse"
"030101","alle","2","personer","651","2013","barnehagedeltakelse"
"030102","alle","2","personer","672","2013","barnehagedeltakelse"
"030103","alle","2","personer","533","2013","barnehagedeltakelse"
"030104","alle","2","personer","469","2013","barnehagedeltakelse"
"030105","alle","2","personer","483","2013","barnehagedeltakelse"
"030106","alle","2","personer","466","2013","barnehagedeltakelse"
"030107","alle","2","personer","552","2013","barnehagedeltakelse"
"030108","alle","2","personer","801","2013","barnehagedeltakelse"
"030109","alle","2","personer","356","2013","barnehagedeltakelse"
"030110","alle","2","personer","257","2013","barnehagedeltakelse"
"030111","alle","2","personer","206","2013","barnehagedeltakelse"
"030112","alle","2","personer","507","2013","barnehagedeltakelse"
"030113","alle","2","personer","564","2013","barnehagedeltakelse"
"030114","alle","2","personer","578","2013","barnehagedeltakelse"
"030115","alle","2","personer","392","2013","barnehagedeltakelse"
"030116","alle","2","personer",".","2013","barnehagedeltakelse"
"030117","alle","2","personer",".","2013","barnehagedeltakelse"
"030199","alle","2","personer",".","2013","barnehagedeltakelse"
"030101","alle","3","personer","565","2013","barnehagedeltakelse"
"030102","alle","3","personer","523","2013","barnehagedeltakelse"
"030103","alle","3","personer","459","2013","barnehagedeltakelse"
"030104","alle","3","personer","416","2013","barnehagedeltakelse"
"030105","alle","3","personer","518","2013","barnehagedeltakelse"
"030106","alle","3","personer","435","2013","barnehagedeltakelse"
"030107","alle","3","personer","594","2013","barnehagedeltakelse"
"030108","alle","3","personer","786","2013","barnehagedeltakelse"
"030109","alle","3","personer","434","2013","barnehagedeltakelse"
"030110","alle","3","personer","299","2013","barnehagedeltakelse"
"030111","alle","3","personer","303","2013","barnehagedeltakelse"
"030112","alle","3","personer","530","2013","barnehagedeltakelse"
"030113","alle","3","personer","617","2013","barnehagedeltakelse"
"030114","alle","3","personer","643","2013","barnehagedeltakelse"
"030115","alle","3","personer","465","2013","barnehagedeltakelse"
"030116","alle","3","personer",".","2013","barnehagedeltakelse"
"030117","alle","3","personer",".","2013","barnehagedeltakelse"
"030199","alle","3","personer",".","2013","barnehagedeltakelse"
"030101","alle","4","personer","604","2013","barnehagedeltakelse"
"030102","alle","4","personer","528","2013","barnehagedeltakelse"
"030103","alle","4","personer","364","2013","barnehagedeltakelse"
"030104","alle","4","personer","347","2013","barnehagedeltakelse"
"030105","alle","4","personer","472","2013","barnehagedeltakelse"
"030106","alle","4","personer","479","2013","barnehagedeltakelse"
"030107","alle","4","personer","626","2013","barnehagedeltakelse"
"030108","alle","4","personer","732","2013","barnehagedeltakelse"
"030109","alle","4","personer","424","2013","barnehagedeltakelse"
"030110","alle","4","personer","296","2013","barnehagedeltakelse"
"030111","alle","4","personer","353","2013","barnehagedeltakelse"
"030112","alle","4","personer","637","2013","barnehagedeltakelse"
"030113","alle","4","personer","654","2013","barnehagedeltakelse"
"030114","alle","4","personer","649","2013","barnehagedeltakelse"
"030115","alle","4","personer","528","2013","barnehagedeltakelse"
"030116","alle","4","personer",".","2013","barnehagedeltakelse"
"030117","alle","4","personer",".","2013","barnehagedeltakelse"
"030199","alle","4","personer",".","2013","barnehagedeltakelse"
"030101","alle","5","personer","482","2013","barnehagedeltakelse"
"030102","alle","5","personer","474","2013","barnehagedeltakelse"
"030103","alle","5","personer","297","2013","barnehagedeltakelse"
"030104","alle","5","personer","328","2013","barnehagedeltakelse"
"030105","alle","5","personer","456","2013","barnehagedeltakelse"
"030106","alle","5","personer","390","2013","barnehagedeltakelse"
"030107","alle","5","personer","652","2013","barnehagedeltakelse"
"030108","alle","5","personer","731","2013","barnehagedeltakelse"
"030109","alle","5","personer","422","2013","barnehagedeltakelse"
"030110","alle","5","personer","322","2013","barnehagedeltakelse"
"030111","alle","5","personer","374","2013","barnehagedeltakelse"
"030112","alle","5","personer","620","2013","barnehagedeltakelse"
"030113","alle","5","personer","633","2013","barnehagedeltakelse"
"030114","alle","5","personer","663","2013","barnehagedeltakelse"
"030115","alle","5","personer","523","2013","barnehagedeltakelse"
"030116","alle","5","personer",".","2013","barnehagedeltakelse"
"030117","alle","5","personer",".","2013","barnehagedeltakelse"
"030199","alle","5","personer",".","2013","barnehagedeltakelse"
"030101","alle","1_5","prosent","79,23728814","2013","barnehagedeltakelse"
"030102","alle","1_5","prosent","85,63624679","2013","barnehagedeltakelse"
"030103","alle","1_5","prosent","90,52854123","2013","barnehagedeltakelse"
"030104","alle","1_5","prosent","121,6463415","2013","barnehagedeltakelse"
"030105","alle","1_5","prosent","106,3279857","2013","barnehagedeltakelse"
"030106","alle","1_5","prosent","99,81455726","2013","barnehagedeltakelse"
"030107","alle","1_5","prosent","85,14268903","2013","barnehagedeltakelse"
"030108","alle","1_5","prosent","108,7006961","2013","barnehagedeltakelse"
"030109","alle","1_5","prosent","75,27831094","2013","barnehagedeltakelse"
