"fylke_nr","spraak","bhgalder","enhet","tabellvariabel","aar","tabell_navn"
"00","alle","1_5","personer",283744,"2014","barnehagedeltakelse"
"01","alle","1_5","personer",14300,"2014","barnehagedeltakelse"
"02","alle","1_5","personer",34883,"2014","barnehagedeltakelse"
"03","alle","1_5","personer",36345,"2014","barnehagedeltakelse"
"04","alle","1_5","personer",9085,"2014","barnehagedeltakelse"
"05","alle","1_5","personer",8652,"2014","barnehagedeltakelse"
"06","alle","1_5","personer",14386,"2014","barnehagedeltakelse"
"07","alle","1_5","personer",12165,"2014","barnehagedeltakelse"
"08","alle","1_5","personer",8364,"2014","barnehagedeltakelse"
"09","alle","1_5","personer",6394,"2014","barnehagedeltakelse"
"10","alle","1_5","personer",10483,"2014","barnehagedeltakelse"
"11","alle","1_5","personer",29194,"2014","barnehagedeltakelse"
"12","alle","1_5","personer",29610,"2014","barnehagedeltakelse"
"14","alle","1_5","personer",5856,"2014","barnehagedeltakelse"
"15","alle","1_5","personer",14316,"2014","barnehagedeltakelse"
"16","alle","1_5","personer",17640,"2014","barnehagedeltakelse"
"17","alle","1_5","personer",7459,"2014","barnehagedeltakelse"
"18","alle","1_5","personer",12195,"2014","barnehagedeltakelse"
"19","alle","1_5","personer",8647,"2014","barnehagedeltakelse"
"20","alle","1_5","personer",3770,"2014","barnehagedeltakelse"
"00","alle","1","personer",41120,"2014","barnehagedeltakelse"
"01","alle","1","personer",1911,"2014","barnehagedeltakelse"
"02","alle","1","personer",4987,"2014","barnehagedeltakelse"
"03","alle","1","personer",5708,"2014","barnehagedeltakelse"
"04","alle","1","personer",1286,"2014","barnehagedeltakelse"
"05","alle","1","personer",1165,"2014","barnehagedeltakelse"
"06","alle","1","personer",1969,"2014","barnehagedeltakelse"
"07","alle","1","personer",1676,"2014","barnehagedeltakelse"
"08","alle","1","personer",1194,"2014","barnehagedeltakelse"
"09","alle","1","personer",832,"2014","barnehagedeltakelse"
"10","alle","1","personer",1365,"2014","barnehagedeltakelse"
"11","alle","1","personer",3981,"2014","barnehagedeltakelse"
"12","alle","1","personer",4448,"2014","barnehagedeltakelse"
"14","alle","1","personer",790,"2014","barnehagedeltakelse"
"15","alle","1","personer",2057,"2014","barnehagedeltakelse"
"16","alle","1","personer",2830,"2014","barnehagedeltakelse"
"17","alle","1","personer",1125,"2014","barnehagedeltakelse"
"18","alle","1","personer",1856,"2014","barnehagedeltakelse"
"19","alle","1","personer",1351,"2014","barnehagedeltakelse"
"20","alle","1","personer",589,"2014","barnehagedeltakelse"
"00","alle","2","personer",56694,"2014","barnehagedeltakelse"
"01","alle","2","personer",2695,"2014","barnehagedeltakelse"
"02","alle","2","personer",6845,"2014","barnehagedeltakelse"
"03","alle","2","personer",7651,"2014","barnehagedeltakelse"
"04","alle","2","personer",1809,"2014","barnehagedeltakelse"
"05","alle","2","personer",1731,"2014","barnehagedeltakelse"
"06","alle","2","personer",2858,"2014","barnehagedeltakelse"
"07","alle","2","personer",2340,"2014","barnehagedeltakelse"
"08","alle","2","personer",1655,"2014","barnehagedeltakelse"
"09","alle","2","personer",1266,"2014","barnehagedeltakelse"
"10","alle","2","personer",2082,"2014","barnehagedeltakelse"
"11","alle","2","personer",5894,"2014","barnehagedeltakelse"
"12","alle","2","personer",6015,"2014","barnehagedeltakelse"
"14","alle","2","personer",1172,"2014","barnehagedeltakelse"
"15","alle","2","personer",2850,"2014","barnehagedeltakelse"
"16","alle","2","personer",3526,"2014","barnehagedeltakelse"
"17","alle","2","personer",1457,"2014","barnehagedeltakelse"
"18","alle","2","personer",2435,"2014","barnehagedeltakelse"
"19","alle","2","personer",1679,"2014","barnehagedeltakelse"
"20","alle","2","personer",734,"2014","barnehagedeltakelse"
"00","alle","3","personer",59813,"2014","barnehagedeltakelse"
"01","alle","3","personer",3018,"2014","barnehagedeltakelse"
"02","alle","3","personer",7280,"2014","barnehagedeltakelse"
"03","alle","3","personer",7656,"2014","barnehagedeltakelse"
"04","alle","3","personer",1881,"2014","barnehagedeltakelse"
"05","alle","3","personer",1795,"2014","barnehagedeltakelse"
"06","alle","3","personer",3099,"2014","barnehagedeltakelse"
"07","alle","3","personer",2589,"2014","barnehagedeltakelse"
"08","alle","3","personer",1774,"2014","barnehagedeltakelse"
"09","alle","3","personer",1370,"2014","barnehagedeltakelse"
"10","alle","3","personer",2217,"2014","barnehagedeltakelse"
"11","alle","3","personer",6283,"2014","barnehagedeltakelse"
"12","alle","3","personer",6181,"2014","barnehagedeltakelse"
"14","alle","3","personer",1286,"2014","barnehagedeltakelse"
"15","alle","3","personer",3044,"2014","barnehagedeltakelse"
"16","alle","3","personer",3692,"2014","barnehagedeltakelse"
"17","alle","3","personer",1564,"2014","barnehagedeltakelse"
"18","alle","3","personer",2539,"2014","barnehagedeltakelse"
"19","alle","3","personer",1767,"2014","barnehagedeltakelse"
"20","alle","3","personer",778,"2014","barnehagedeltakelse"
"00","alle","4","personer",62396,"2014","barnehagedeltakelse"
"01","alle","4","personer",3197,"2014","barnehagedeltakelse"
"02","alle","4","personer",7792,"2014","barnehagedeltakelse"
"03","alle","4","personer",7691,"2014","barnehagedeltakelse"
"04","alle","4","personer",1974,"2014","barnehagedeltakelse"
"05","alle","4","personer",1985,"2014","barnehagedeltakelse"
"06","alle","4","personer",3190,"2014","barnehagedeltakelse"
"07","alle","4","personer",2772,"2014","barnehagedeltakelse"
"08","alle","4","personer",1871,"2014","barnehagedeltakelse"
"09","alle","4","personer",1436,"2014","barnehagedeltakelse"
"10","alle","4","personer",2313,"2014","barnehagedeltakelse"
"11","alle","4","personer",6574,"2014","barnehagedeltakelse"
"12","alle","4","personer",6419,"2014","barnehagedeltakelse"
"14","alle","4","personer",1303,"2014","barnehagedeltakelse"
"15","alle","4","personer",3062,"2014","barnehagedeltakelse"
"16","alle","4","personer",3811,"2014","barnehagedeltakelse"
"17","alle","4","personer",1628,"2014","barnehagedeltakelse"
"18","alle","4","personer",2629,"2014","barnehagedeltakelse"
"19","alle","4","personer",1943,"2014","barnehagedeltakelse"
"20","alle","4","personer",806,"2014","barnehagedeltakelse"
"00","alle","5","personer",63721,"2014","barnehagedeltakelse"
"01","alle","5","personer",3479,"2014","barnehagedeltakelse"
"02","alle","5","personer",7979,"2014","barnehagedeltakelse"
"03","alle","5","personer",7639,"2014","barnehagedeltakelse"
"04","alle","5","personer",2135,"2014","barnehagedeltakelse"
"05","alle","5","personer",1976,"2014","barnehagedeltakelse"
"06","alle","5","personer",3270,"2014","barnehagedeltakelse"
"07","alle","5","personer",2788,"2014","barnehagedeltakelse"
"08","alle","5","personer",1870,"2014","barnehagedeltakelse"
"09","alle","5","personer",1490,"2014","barnehagedeltakelse"
"10","alle","5","personer",2506,"2014","barnehagedeltakelse"
"11","alle","5","personer",6462,"2014","barnehagedeltakelse"
"12","alle","5","personer",6547,"2014","barnehagedeltakelse"
"14","alle","5","personer",1305,"2014","barnehagedeltakelse"
"15","alle","5","personer",3303,"2014","barnehagedeltakelse"
"16","alle","5","personer",3781,"2014","barnehagedeltakelse"
"17","alle","5","personer",1685,"2014","barnehagedeltakelse"
"18","alle","5","personer",2736,"2014","barnehagedeltakelse"
"19","alle","5","personer",1907,"2014","barnehagedeltakelse"
"20","alle","5","personer",863,"2014","barnehagedeltakelse"
"00","alle","1_5","prosent",90.20030454,"2014","barnehagedeltakelse"
"01","alle","1_5","prosent",88.16819779,"2014","barnehagedeltakelse"
"02","alle","1_5","prosent",91.75390604,"2014","barnehagedeltakelse"
"03","alle","1_5","prosent",85.70114834,"2014","barnehagedeltakelse"
"04","alle","1_5","prosent",91.67507568,"2014","barnehagedeltakelse"
"05","alle","1_5","prosent",91.09286166,"2014","barnehagedeltakelse"
"06","alle","1_5","prosent",90.06448382,"2014","barnehagedeltakelse"
"07","alle","1_5","prosent",89.50117716,"2014","barnehagedeltakelse"
"08","alle","1_5","prosent",90.47052461,"2014","barnehagedeltakelse"
"09","alle","1_5","prosent",90.4768643,"2014","barnehagedeltakelse"
"10","alle","1_5","prosent",88.49400642,"2014","barnehagedeltakelse"
"11","alle","1_5","prosent",88.50153091,"2014","barnehagedeltakelse"
"12","alle","1_5","prosent",91.0712638,"2014","barnehagedeltakelse"
"14","alle","1_5","prosent",92.84921516,"2014","barnehagedeltakelse"
"15","alle","1_5","prosent",92.48659474,"2014","barnehagedeltakelse"
"16","alle","1_5","prosent",93.96473659,"2014","barnehagedeltakelse"
"17","alle","1_5","prosent",93.30748061,"2014","barnehagedeltakelse"
"18","alle","1_5","prosent",91.68483573,"2014","barnehagedeltakelse"
"19","alle","1_5","prosent",93.4406743,"2014","barnehagedeltakelse"
"20","alle","1_5","prosent",90.0621118,"2014","barnehagedeltakelse"
"00","alle","1","prosent",68.42271661,"2014","barnehagedeltakelse"
"01","alle","1","prosent",64.3651061,"2014","barnehagedeltakelse"
"02","alle","1","prosent",72.78166959,"2014","barnehagedeltakelse"
"03","alle","1","prosent",63.52103272,"2014","barnehagedeltakelse"
"04","alle","1","prosent",71.56371731,"2014","barnehagedeltakelse"
"05","alle","1","prosent",66.57142857,"2014","barnehagedeltakelse"
"06","alle","1","prosent",67.17843739,"2014","barnehagedeltakelse"
"07","alle","1","prosent",67.41753821,"2014","barnehagedeltakelse"
"08","alle","1","prosent",68.66014951,"2014","barnehagedeltakelse"
"09","alle","1","prosent",64.69673406,"2014","barnehagedeltakelse"
"10","alle","1","prosent",61.01922217,"2014","barnehagedeltakelse"
"11","alle","1","prosent",62.65344665,"2014","barnehagedeltakelse"
"12","alle","1","prosent",70.61438324,"2014","barnehagedeltakelse"
"14","alle","1","prosent",70.1598579,"2014","barnehagedeltakelse"
"15","alle","1","prosent",71.29982669,"2014","barnehagedeltakelse"
"16","alle","1","prosent",76.58998647,"2014","barnehagedeltakelse"
"17","alle","1","prosent",72.58064516,"2014","barnehagedeltakelse"
"18","alle","1","prosent",72.92730845,"2014","barnehagedeltakelse"
"19","alle","1","prosent",75.47486034,"2014","barnehagedeltakelse"
"20","alle","1","prosent",71.82926829,"2014","barnehagedeltakelse"
"00","alle","2","prosent",91.31968494,"2014","barnehagedeltakelse"
"01","alle","2","prosent",86.51685393,"2014","barnehagedeltakelse"
"02","alle","2","prosent",92.41258269,"2014","barnehagedeltakelse"
"03","alle","2","prosent",86.40316206,"2014","barnehagedeltakelse"
"04","alle","2","prosent",91.96746314,"2014","barnehagedeltakelse"
"05","alle","2","prosent",93.66883117,"2014","barnehagedeltakelse"
"06","alle","2","prosent",91.04810449,"2014","barnehagedeltakelse"
"07","alle","2","prosent",89.89627353,"2014","barnehagedeltakelse"
"08","alle","2","prosent",91.63898117,"2014","barnehagedeltakelse"
"09","alle","2","prosent",92.34135667,"2014","barnehagedeltakelse"
"10","alle","2","prosent",88.48278793,"2014","barnehagedeltakelse"
"11","alle","2","prosent",89.92981385,"2014","barnehagedeltakelse"
"12","alle","2","prosent",92.95317571,"2014","barnehagedeltakelse"
"14","alle","2","prosent",95.67346939,"2014","barnehagedeltakelse"
"15","alle","2","prosent",94.46470003,"2014","barnehagedeltakelse"
"16","alle","2","prosent",96.44420131,"2014","barnehagedeltakelse"
"17","alle","2","prosent",95.35340314,"2014","barnehagedeltakelse"
"18","alle","2","prosent",93.50998464,"2014","barnehagedeltakelse"
"19","alle","2","prosent",95.1814059,"2014","barnehagedeltakelse"
"20","alle","2","prosent",91.75,"2014","barnehagedeltakelse"
"00","alle","3","prosent",95.4381542,"2014","barnehagedeltakelse"
"01","alle","3","prosent",93.49442379,"2014","barnehagedeltakelse"
"02","alle","3","prosent",95.95360485,"2014","barnehagedeltakelse"
"03","alle","3","prosent",91.48046362,"2014","barnehagedeltakelse"
"04","alle","3","prosent",97.20930233,"2014","barnehagedeltakelse"
"05","alle","3","prosent",95.88675214,"2014","barnehagedeltakelse"
"06","alle","3","prosent",95.47134935,"2014","barnehagedeltakelse"
"07","alle","3","prosent",93.97459165,"2014","barnehagedeltakelse"
"08","alle","3","prosent",94.81560663,"2014","barnehagedeltakelse"
"09","alle","3","prosent",96.75141243,"2014","barnehagedeltakelse"
"10","alle","3","prosent",94.74358974,"2014","barnehagedeltakelse"
"11","alle","3","prosent",95.58801156,"2014","barnehagedeltakelse"
"12","alle","3","prosent",96.00807704,"2014","barnehagedeltakelse"
"14","alle","3","prosent",97.64616553,"2014","barnehagedeltakelse"
"15","alle","3","prosent",97.53284204,"2014","barnehagedeltakelse"
"16","alle","3","prosent",98.84872825,"2014","barnehagedeltakelse"
"17","alle","3","prosent",98.36477987,"2014","barnehagedeltakelse"
"18","alle","3","prosent",95.77517918,"2014","barnehagedeltakelse"
"19","alle","3","prosent",97.89473684,"2014","barnehagedeltakelse"
"20","alle","3","prosent",94.53219927,"2014","barnehagedeltakelse"
"00","alle","4","prosent",96.94389634,"2014","barnehagedeltakelse"
"01","alle","4","prosent",96.00600601,"2014","barnehagedeltakelse"
"02","alle","4","prosent",97.4365387,"2014","barnehagedeltakelse"
"03","alle","4","prosent",94.05649994,"2014","barnehagedeltakelse"
"04","alle","4","prosent",97.33727811,"2014","barnehagedeltakelse"
"05","alle","4","prosent",98.21870361,"2014","barnehagedeltakelse"
"06","alle","4","prosent",96.60811629,"2014","barnehagedeltakelse"
"07","alle","4","prosent",96.51810585,"2014","barnehagedeltakelse"
"08","alle","4","prosent",96.64256198,"2014","barnehagedeltakelse"
"09","alle","4","prosent",97.82016349,"2014","barnehagedeltakelse"
"10","alle","4","prosent",97.43049705,"2014","barnehagedeltakelse"
"11","alle","4","prosent",96.25183016,"2014","barnehagedeltakelse"
"12","alle","4","prosent",97.24284199,"2014","barnehagedeltakelse"
"14","alle","4","prosent",98.41389728,"2014","barnehagedeltakelse"
"15","alle","4","prosent",98.77419355,"2014","barnehagedeltakelse"
"16","alle","4","prosent",98.3483871,"2014","barnehagedeltakelse"
"17","alle","4","prosent",99.51100244,"2014","barnehagedeltakelse"
"18","alle","4","prosent",97.84145888,"2014","barnehagedeltakelse"
"19","alle","4","prosent",98.47947288,"2014","barnehagedeltakelse"
"20","alle","4","prosent",96.875,"2014","barnehagedeltakelse"
"00","alle","5","prosent",97.49831691,"2014","barnehagedeltakelse"
"01","alle","5","prosent",97.26027397,"2014","barnehagedeltakelse"
"02","alle","5","prosent",97.60244648,"2014","barnehagedeltakelse"
"03","alle","5","prosent",95.22562952,"2014","barnehagedeltakelse"
"04","alle","5","prosent",97.80119102,"2014","barnehagedeltakelse"
"05","alle","5","prosent",98.45540608,"2014","barnehagedeltakelse"
