"kommune_nr","spraak","bhgalder","enhet","tabellvariabel","aar","tabell_navn"
"0101","alle","1_5","personer","1499","2014","barnehagedeltakelse"
"0104","alle","1_5","personer","1568","2014","barnehagedeltakelse"
"0105","alle","1_5","personer","2752","2014","barnehagedeltakelse"
"0106","alle","1_5","personer","3872","2014","barnehagedeltakelse"
"0111","alle","1_5","personer","177","2014","barnehagedeltakelse"
"0118","alle","1_5","personer","60","2014","barnehagedeltakelse"
"0119","alle","1_5","personer","154","2014","barnehagedeltakelse"
"0121","alle","1_5","personer","31","2014","barnehagedeltakelse"
"0122","alle","1_5","personer","264","2014","barnehagedeltakelse"
"0123","alle","1_5","personer","317","2014","barnehagedeltakelse"
"0124","alle","1_5","personer","792","2014","barnehagedeltakelse"
"0125","alle","1_5","personer","547","2014","barnehagedeltakelse"
"0127","alle","1_5","personer","206","2014","barnehagedeltakelse"
"0128","alle","1_5","personer","385","2014","barnehagedeltakelse"
"0135","alle","1_5","personer","362","2014","barnehagedeltakelse"
"0136","alle","1_5","personer","707","2014","barnehagedeltakelse"
"0137","alle","1_5","personer","314","2014","barnehagedeltakelse"
"0138","alle","1_5","personer","293","2014","barnehagedeltakelse"
"0211","alle","1_5","personer","1038","2014","barnehagedeltakelse"
"0213","alle","1_5","personer","1815","2014","barnehagedeltakelse"
"0214","alle","1_5","personer","1185","2014","barnehagedeltakelse"
"0215","alle","1_5","personer","775","2014","barnehagedeltakelse"
"0216","alle","1_5","personer","1088","2014","barnehagedeltakelse"
"0217","alle","1_5","personer","1593","2014","barnehagedeltakelse"
"0219","alle","1_5","personer","7449","2014","barnehagedeltakelse"
"0220","alle","1_5","personer","3523","2014","barnehagedeltakelse"
"0221","alle","1_5","personer","809","2014","barnehagedeltakelse"
"0226","alle","1_5","personer","1105","2014","barnehagedeltakelse"
"0227","alle","1_5","personer","625","2014","barnehagedeltakelse"
"0228","alle","1_5","personer","1116","2014","barnehagedeltakelse"
"0229","alle","1_5","personer","644","2014","barnehagedeltakelse"
"0230","alle","1_5","personer","2003","2014","barnehagedeltakelse"
"0231","alle","1_5","personer","2817","2014","barnehagedeltakelse"
"0233","alle","1_5","personer","1420","2014","barnehagedeltakelse"
"0234","alle","1_5","personer","387","2014","barnehagedeltakelse"
"0235","alle","1_5","personer","2241","2014","barnehagedeltakelse"
"0236","alle","1_5","personer","1094","2014","barnehagedeltakelse"
"0237","alle","1_5","personer","1383","2014","barnehagedeltakelse"
"0238","alle","1_5","personer","622","2014","barnehagedeltakelse"
"0239","alle","1_5","personer","151","2014","barnehagedeltakelse"
"0301","alle","1_5","personer","36345","2014","barnehagedeltakelse"
"0402","alle","1_5","personer","790","2014","barnehagedeltakelse"
"0403","alle","1_5","personer","1447","2014","barnehagedeltakelse"
"0412","alle","1_5","personer","1697","2014","barnehagedeltakelse"
"0415","alle","1_5","personer","334","2014","barnehagedeltakelse"
"0417","alle","1_5","personer","1069","2014","barnehagedeltakelse"
"0418","alle","1_5","personer","209","2014","barnehagedeltakelse"
"0419","alle","1_5","personer","353","2014","barnehagedeltakelse"
"0420","alle","1_5","personer","220","2014","barnehagedeltakelse"
"0423","alle","1_5","personer","139","2014","barnehagedeltakelse"
"0425","alle","1_5","personer","265","2014","barnehagedeltakelse"
"0426","alle","1_5","personer","138","2014","barnehagedeltakelse"
"0427","alle","1_5","personer","1067","2014","barnehagedeltakelse"
"0428","alle","1_5","personer","254","2014","barnehagedeltakelse"
"0429","alle","1_5","personer","223","2014","barnehagedeltakelse"
"0430","alle","1_5","personer","95","2014","barnehagedeltakelse"
"0432","alle","1_5","personer","59","2014","barnehagedeltakelse"
"0434","alle","1_5","personer","37","2014","barnehagedeltakelse"
"0436","alle","1_5","personer","86","2014","barnehagedeltakelse"
"0437","alle","1_5","personer","318","2014","barnehagedeltakelse"
"0438","alle","1_5","personer","135","2014","barnehagedeltakelse"
"0439","alle","1_5","personer","75","2014","barnehagedeltakelse"
"0441","alle","1_5","personer","75","2014","barnehagedeltakelse"
"0501","alle","1_5","personer","1275","2014","barnehagedeltakelse"
"0502","alle","1_5","personer","1488","2014","barnehagedeltakelse"
"0511","alle","1_5","personer","106","2014","barnehagedeltakelse"
"0512","alle","1_5","personer","83","2014","barnehagedeltakelse"
"0513","alle","1_5","personer","80","2014","barnehagedeltakelse"
"0514","alle","1_5","personer","98","2014","barnehagedeltakelse"
"0515","alle","1_5","personer","176","2014","barnehagedeltakelse"
"0516","alle","1_5","personer","248","2014","barnehagedeltakelse"
"0517","alle","1_5","personer","240","2014","barnehagedeltakelse"
"0519","alle","1_5","personer","153","2014","barnehagedeltakelse"
"0520","alle","1_5","personer","200","2014","barnehagedeltakelse"
"0521","alle","1_5","personer","223","2014","barnehagedeltakelse"
"0522","alle","1_5","personer","278","2014","barnehagedeltakelse"
"0528","alle","1_5","personer","672","2014","barnehagedeltakelse"
"0529","alle","1_5","personer","610","2014","barnehagedeltakelse"
"0532","alle","1_5","personer","324","2014","barnehagedeltakelse"
"0533","alle","1_5","personer","484","2014","barnehagedeltakelse"
"0534","alle","1_5","personer","628","2014","barnehagedeltakelse"
"0536","alle","1_5","personer","214","2014","barnehagedeltakelse"
"0538","alle","1_5","personer","308","2014","barnehagedeltakelse"
"0540","alle","1_5","personer","126","2014","barnehagedeltakelse"
"0541","alle","1_5","personer","57","2014","barnehagedeltakelse"
"0542","alle","1_5","personer","270","2014","barnehagedeltakelse"
"0543","alle","1_5","personer","91","2014","barnehagedeltakelse"
"0544","alle","1_5","personer","149","2014","barnehagedeltakelse"
"0545","alle","1_5","personer","71","2014","barnehagedeltakelse"
"0602","alle","1_5","personer","3567","2014","barnehagedeltakelse"
"0604","alle","1_5","personer","1536","2014","barnehagedeltakelse"
"0605","alle","1_5","personer","1432","2014","barnehagedeltakelse"
"0612","alle","1_5","personer","394","2014","barnehagedeltakelse"
"0615","alle","1_5","personer","38","2014","barnehagedeltakelse"
"0616","alle","1_5","personer","121","2014","barnehagedeltakelse"
"0617","alle","1_5","personer","214","2014","barnehagedeltakelse"
"0618","alle","1_5","personer","134","2014","barnehagedeltakelse"
"0619","alle","1_5","personer","225","2014","barnehagedeltakelse"
"0620","alle","1_5","personer","155","2014","barnehagedeltakelse"
"0621","alle","1_5","personer","143","2014","barnehagedeltakelse"
"0622","alle","1_5","personer","113","2014","barnehagedeltakelse"
"0623","alle","1_5","personer","642","2014","barnehagedeltakelse"
"0624","alle","1_5","personer","941","2014","barnehagedeltakelse"
"0625","alle","1_5","personer","1306","2014","barnehagedeltakelse"
"0626","alle","1_5","personer","1497","2014","barnehagedeltakelse"
"0627","alle","1_5","personer","1197","2014","barnehagedeltakelse"
"0628","alle","1_5","personer","464","2014","barnehagedeltakelse"
"0631","alle","1_5","personer","128","2014","barnehagedeltakelse"
"0632","alle","1_5","personer","37","2014","barnehagedeltakelse"
"0633","alle","1_5","personer","102","2014","barnehagedeltakelse"
"0701","alle","1_5","personer","1311","2014","barnehagedeltakelse"
"0702","alle","1_5","personer","536","2014","barnehagedeltakelse"
"0704","alle","1_5","personer","2155","2014","barnehagedeltakelse"
"0706","alle","1_5","personer","2253","2014","barnehagedeltakelse"
"0709","alle","1_5","personer","2141","2014","barnehagedeltakelse"
"0711","alle","1_5","personer","268","2014","barnehagedeltakelse"
"0713","alle","1_5","personer","512","2014","barnehagedeltakelse"
"0714","alle","1_5","personer","140","2014","barnehagedeltakelse"
"0716","alle","1_5","personer","491","2014","barnehagedeltakelse"
"0719","alle","1_5","personer","304","2014","barnehagedeltakelse"
"0720","alle","1_5","personer","601","2014","barnehagedeltakelse"
"0722","alle","1_5","personer","1146","2014","barnehagedeltakelse"
"0723","alle","1_5","personer","185","2014","barnehagedeltakelse"
"0728","alle","1_5","personer","122","2014","barnehagedeltakelse"
"0805","alle","1_5","personer","1822","2014","barnehagedeltakelse"
"0806","alle","1_5","personer","2653","2014","barnehagedeltakelse"
"0807","alle","1_5","personer","619","2014","barnehagedeltakelse"
"0811","alle","1_5","personer","96","2014","barnehagedeltakelse"
"0814","alle","1_5","personer","663","2014","barnehagedeltakelse"
"0815","alle","1_5","personer","452","2014","barnehagedeltakelse"
"0817","alle","1_5","personer","188","2014","barnehagedeltakelse"
"0819","alle","1_5","personer","294","2014","barnehagedeltakelse"
"0821","alle","1_5","personer","342","2014","barnehagedeltakelse"
"0822","alle","1_5","personer","183","2014","barnehagedeltakelse"
"0826","alle","1_5","personer","296","2014","barnehagedeltakelse"
"0827","alle","1_5","personer","71","2014","barnehagedeltakelse"
"0828","alle","1_5","personer","164","2014","barnehagedeltakelse"
"0829","alle","1_5","personer","94","2014","barnehagedeltakelse"
"0830","alle","1_5","personer","82","2014","barnehagedeltakelse"
"0831","alle","1_5","personer","57","2014","barnehagedeltakelse"
"0833","alle","1_5","personer","108","2014","barnehagedeltakelse"
"0834","alle","1_5","personer","180","2014","barnehagedeltakelse"
"0901","alle","1_5","personer","286","2014","barnehagedeltakelse"
"0904","alle","1_5","personer","1324","2014","barnehagedeltakelse"
"0906","alle","1_5","personer","2373","2014","barnehagedeltakelse"
"0911","alle","1_5","personer","111","2014","barnehagedeltakelse"
"0912","alle","1_5","personer","123","2014","barnehagedeltakelse"
"0914","alle","1_5","personer","315","2014","barnehagedeltakelse"
"0919","alle","1_5","personer","353","2014","barnehagedeltakelse"
"0926","alle","1_5","personer","640","2014","barnehagedeltakelse"
"0928","alle","1_5","personer","343","2014","barnehagedeltakelse"
"0929","alle","1_5","personer","92","2014","barnehagedeltakelse"
"0935","alle","1_5","personer","92","2014","barnehagedeltakelse"
"0937","alle","1_5","personer","194","2014","barnehagedeltakelse"
