"naringsregion_nr","spraak","bhgalder","enhet","tabellvariabel","aar","tabell_navn"
"01","alle","1_5","personer","1466","2013","barnehagedeltakelse"
"02","alle","1_5","personer","3064","2013","barnehagedeltakelse"
"03","alle","1_5","personer","2929","2013","barnehagedeltakelse"
"04","alle","1_5","personer","6814","2013","barnehagedeltakelse"
"05","alle","1_5","personer","10791","2013","barnehagedeltakelse"
"06","alle","1_5","personer","8247","2013","barnehagedeltakelse"
"07","alle","1_5","personer","9940","2013","barnehagedeltakelse"
"08","alle","1_5","personer","5916","2013","barnehagedeltakelse"
"09","alle","1_5","personer","36005","2013","barnehagedeltakelse"
"10","alle","1_5","personer","768","2013","barnehagedeltakelse"
"11","alle","1_5","personer","2170","2013","barnehagedeltakelse"
"12","alle","1_5","personer","4503","2013","barnehagedeltakelse"
"13","alle","1_5","personer","1723","2013","barnehagedeltakelse"
"14","alle","1_5","personer","3326","2013","barnehagedeltakelse"
"15","alle","1_5","personer","1425","2013","barnehagedeltakelse"
"16","alle","1_5","personer","1873","2013","barnehagedeltakelse"
"17","alle","1_5","personer","617","2013","barnehagedeltakelse"
"18","alle","1_5","personer","804","2013","barnehagedeltakelse"
"19","alle","1_5","personer","807","2013","barnehagedeltakelse"
"20","alle","1_5","personer","9868","2013","barnehagedeltakelse"
"21","alle","1_5","personer","914","2013","barnehagedeltakelse"
"22","alle","1_5","personer","1858","2013","barnehagedeltakelse"
"23","alle","1_5","personer","928","2013","barnehagedeltakelse"
"24","alle","1_5","personer","1793","2013","barnehagedeltakelse"
"25","alle","1_5","personer","6897","2013","barnehagedeltakelse"
"26","alle","1_5","personer","4594","2013","barnehagedeltakelse"
"27","alle","1_5","personer","5881","2013","barnehagedeltakelse"
"28","alle","1_5","personer","813","2013","barnehagedeltakelse"
"29","alle","1_5","personer","1002","2013","barnehagedeltakelse"
"30","alle","1_5","personer","669","2013","barnehagedeltakelse"
"31","alle","1_5","personer","361","2013","barnehagedeltakelse"
"32","alle","1_5","personer","5012","2013","barnehagedeltakelse"
"33","alle","1_5","personer","2001","2013","barnehagedeltakelse"
"34","alle","1_5","personer","1438","2013","barnehagedeltakelse"
"35","alle","1_5","personer","7996","2013","barnehagedeltakelse"
"36","alle","1_5","personer","1455","2013","barnehagedeltakelse"
"37","alle","1_5","personer","6070","2013","barnehagedeltakelse"
"38","alle","1_5","personer","1468","2013","barnehagedeltakelse"
"39","alle","1_5","personer","20278","2013","barnehagedeltakelse"
"40","alle","1_5","personer","15113","2013","barnehagedeltakelse"
"41","alle","1_5","personer","1647","2013","barnehagedeltakelse"
"42","alle","1_5","personer","1081","2013","barnehagedeltakelse"
"43","alle","1_5","personer","739","2013","barnehagedeltakelse"
"44","alle","1_5","personer","2092","2013","barnehagedeltakelse"
"45","alle","1_5","personer","619","2013","barnehagedeltakelse"
"46","alle","1_5","personer","3908","2013","barnehagedeltakelse"
"47","alle","1_5","personer","4441","2013","barnehagedeltakelse"
"48","alle","1_5","personer","470","2013","barnehagedeltakelse"
"49","alle","1_5","personer","1744","2013","barnehagedeltakelse"
"50","alle","1_5","personer","1604","2013","barnehagedeltakelse"
"51","alle","1_5","personer","2110","2013","barnehagedeltakelse"
"52","alle","1_5","personer","3060","2013","barnehagedeltakelse"
"53","alle","1_5","personer","3039","2013","barnehagedeltakelse"
"54","alle","1_5","personer","915","2013","barnehagedeltakelse"
"55","alle","1_5","personer","2709","2013","barnehagedeltakelse"
"56","alle","1_5","personer","4673","2013","barnehagedeltakelse"
"57","alle","1_5","personer","1210","2013","barnehagedeltakelse"
"58","alle","1_5","personer","437","2013","barnehagedeltakelse"
"59","alle","1_5","personer","456","2013","barnehagedeltakelse"
"60","alle","1_5","personer","1228","2013","barnehagedeltakelse"
"61","alle","1_5","personer","14142","2013","barnehagedeltakelse"
"62","alle","1_5","personer","368","2013","barnehagedeltakelse"
"63","alle","1_5","personer","1648","2013","barnehagedeltakelse"
"64","alle","1_5","personer","3627","2013","barnehagedeltakelse"
"65","alle","1_5","personer","411","2013","barnehagedeltakelse"
"66","alle","1_5","personer","539","2013","barnehagedeltakelse"
"67","alle","1_5","personer","1142","2013","barnehagedeltakelse"
"68","alle","1_5","personer","678","2013","barnehagedeltakelse"
"69","alle","1_5","personer","645","2013","barnehagedeltakelse"
"70","alle","1_5","personer","184","2013","barnehagedeltakelse"
"71","alle","1_5","personer","779","2013","barnehagedeltakelse"
"72","alle","1_5","personer","1720","2013","barnehagedeltakelse"
"73","alle","1_5","personer","4409","2013","barnehagedeltakelse"
"74","alle","1_5","personer","1265","2013","barnehagedeltakelse"
"75","alle","1_5","personer","1130","2013","barnehagedeltakelse"
"76","alle","1_5","personer","1545","2013","barnehagedeltakelse"
"77","alle","1_5","personer","1855","2013","barnehagedeltakelse"
"78","alle","1_5","personer","1593","2013","barnehagedeltakelse"
"79","alle","1_5","personer","4751","2013","barnehagedeltakelse"
"80","alle","1_5","personer","699","2013","barnehagedeltakelse"
"81","alle","1_5","personer","2145","2013","barnehagedeltakelse"
"82","alle","1_5","personer","622","2013","barnehagedeltakelse"
"83","alle","1_5","personer","1107","2013","barnehagedeltakelse"
"01","alle","1","personer","195","2013","barnehagedeltakelse"
"02","alle","1","personer","415","2013","barnehagedeltakelse"
"03","alle","1","personer","388","2013","barnehagedeltakelse"
"04","alle","1","personer","907","2013","barnehagedeltakelse"
"05","alle","1","personer","1619","2013","barnehagedeltakelse"
"06","alle","1","personer","1179","2013","barnehagedeltakelse"
"07","alle","1","personer","1427","2013","barnehagedeltakelse"
"08","alle","1","personer","936","2013","barnehagedeltakelse"
"09","alle","1","personer","5871","2013","barnehagedeltakelse"
"10","alle","1","personer","106","2013","barnehagedeltakelse"
"11","alle","1","personer","287","2013","barnehagedeltakelse"
"12","alle","1","personer","683","2013","barnehagedeltakelse"
"13","alle","1","personer","272","2013","barnehagedeltakelse"
"14","alle","1","personer","515","2013","barnehagedeltakelse"
"15","alle","1","personer","202","2013","barnehagedeltakelse"
"16","alle","1","personer","301","2013","barnehagedeltakelse"
"17","alle","1","personer","75","2013","barnehagedeltakelse"
"18","alle","1","personer","86","2013","barnehagedeltakelse"
"19","alle","1","personer","94","2013","barnehagedeltakelse"
"20","alle","1","personer","1472","2013","barnehagedeltakelse"
"21","alle","1","personer","110","2013","barnehagedeltakelse"
"22","alle","1","personer","279","2013","barnehagedeltakelse"
"23","alle","1","personer","122","2013","barnehagedeltakelse"
"24","alle","1","personer","234","2013","barnehagedeltakelse"
"25","alle","1","personer","915","2013","barnehagedeltakelse"
"26","alle","1","personer","650","2013","barnehagedeltakelse"
"27","alle","1","personer","847","2013","barnehagedeltakelse"
"28","alle","1","personer","129","2013","barnehagedeltakelse"
"29","alle","1","personer","158","2013","barnehagedeltakelse"
"30","alle","1","personer","83","2013","barnehagedeltakelse"
"31","alle","1","personer","49","2013","barnehagedeltakelse"
"32","alle","1","personer","717","2013","barnehagedeltakelse"
"33","alle","1","personer","251","2013","barnehagedeltakelse"
"34","alle","1","personer","171","2013","barnehagedeltakelse"
"35","alle","1","personer","1075","2013","barnehagedeltakelse"
"36","alle","1","personer","199","2013","barnehagedeltakelse"
"37","alle","1","personer","815","2013","barnehagedeltakelse"
"38","alle","1","personer","198","2013","barnehagedeltakelse"
"39","alle","1","personer","2972","2013","barnehagedeltakelse"
"40","alle","1","personer","2326","2013","barnehagedeltakelse"
"41","alle","1","personer","218","2013","barnehagedeltakelse"
"42","alle","1","personer","150","2013","barnehagedeltakelse"
"43","alle","1","personer","83","2013","barnehagedeltakelse"
"44","alle","1","personer","352","2013","barnehagedeltakelse"
"45","alle","1","personer","81","2013","barnehagedeltakelse"
"46","alle","1","personer","546","2013","barnehagedeltakelse"
"47","alle","1","personer","727","2013","barnehagedeltakelse"
"48","alle","1","personer","66","2013","barnehagedeltakelse"
"49","alle","1","personer","242","2013","barnehagedeltakelse"
"50","alle","1","personer","245","2013","barnehagedeltakelse"
"51","alle","1","personer","280","2013","barnehagedeltakelse"
"52","alle","1","personer","432","2013","barnehagedeltakelse"
"53","alle","1","personer","432","2013","barnehagedeltakelse"
"54","alle","1","personer","147","2013","barnehagedeltakelse"
"55","alle","1","personer","391","2013","barnehagedeltakelse"
"56","alle","1","personer","774","2013","barnehagedeltakelse"
"57","alle","1","personer","153","2013","barnehagedeltakelse"
"58","alle","1","personer","58","2013","barnehagedeltakelse"
"59","alle","1","personer","54","2013","barnehagedeltakelse"
"60","alle","1","personer","157","2013","barnehagedeltakelse"
"61","alle","1","personer","2335","2013","barnehagedeltakelse"
"62","alle","1","personer","52","2013","barnehagedeltakelse"
"63","alle","1","personer","240","2013","barnehagedeltakelse"
"64","alle","1","personer","576","2013","barnehagedeltakelse"
"65","alle","1","personer","55","2013","barnehagedeltakelse"
"66","alle","1","personer","88","2013","barnehagedeltakelse"
"67","alle","1","personer","164","2013","barnehagedeltakelse"
"68","alle","1","personer","100","2013","barnehagedeltakelse"
"69","alle","1","personer","113","2013","barnehagedeltakelse"
"70","alle","1","personer","35","2013","barnehagedeltakelse"
"71","alle","1","personer","127","2013","barnehagedeltakelse"
"72","alle","1","personer","267","2013","barnehagedeltakelse"
"73","alle","1","personer","692","2013","barnehagedeltakelse"
"74","alle","1","personer","185","2013","barnehagedeltakelse"
"75","alle","1","personer","139","2013","barnehagedeltakelse"
"76","alle","1","personer","258","2013","barnehagedeltakelse"
"77","alle","1","personer","283","2013","barnehagedeltakelse"
"78","alle","1","personer","211","2013","barnehagedeltakelse"
"79","alle","1","personer","781","2013","barnehagedeltakelse"
"80","alle","1","personer","99","2013","barnehagedeltakelse"
"81","alle","1","personer","347","2013","barnehagedeltakelse"
"82","alle","1","personer","78","2013","barnehagedeltakelse"
"83","alle","1","personer","181","2013","barnehagedeltakelse"
"01","alle","2","personer","273","2013","barnehagedeltakelse"
"02","alle","2","personer","604","2013","barnehagedeltakelse"
"03","alle","2","personer","583","2013","barnehagedeltakelse"
"04","alle","2","personer","1264","2013","barnehagedeltakelse"
"05","alle","2","personer","2044","2013","barnehagedeltakelse"
"06","alle","2","personer","1600","2013","barnehagedeltakelse"
"07","alle","2","personer","1908","2013","barnehagedeltakelse"
"08","alle","2","personer","1115","2013","barnehagedeltakelse"
"09","alle","2","personer","7487","2013","barnehagedeltakelse"
"10","alle","2","personer","142","2013","barnehagedeltakelse"
"11","alle","2","personer","432","2013","barnehagedeltakelse"
"12","alle","2","personer","857","2013","barnehagedeltakelse"
"13","alle","2","personer","316","2013","barnehagedeltakelse"
"14","alle","2","personer","614","2013","barnehagedeltakelse"
"15","alle","2","personer","272","2013","barnehagedeltakelse"
"16","alle","2","personer","367","2013","barnehagedeltakelse"
"17","alle","2","personer","112","2013","barnehagedeltakelse"
"18","alle","2","personer","144","2013","barnehagedeltakelse"
"19","alle","2","personer","160","2013","barnehagedeltakelse"
"20","alle","2","personer","1902","2013","barnehagedeltakelse"
"21","alle","2","personer","196","2013","barnehagedeltakelse"
"22","alle","2","personer","356","2013","barnehagedeltakelse"
"23","alle","2","personer","185","2013","barnehagedeltakelse"
"24","alle","2","personer","353","2013","barnehagedeltakelse"
"25","alle","2","personer","1393","2013","barnehagedeltakelse"
"26","alle","2","personer","867","2013","barnehagedeltakelse"
"27","alle","2","personer","1186","2013","barnehagedeltakelse"
"28","alle","2","personer","142","2013","barnehagedeltakelse"
"29","alle","2","personer","189","2013","barnehagedeltakelse"
"30","alle","2","personer","140","2013","barnehagedeltakelse"
"31","alle","2","personer","61","2013","barnehagedeltakelse"
"32","alle","2","personer","981","2013","barnehagedeltakelse"
"33","alle","2","personer","354","2013","barnehagedeltakelse"
"34","alle","2","personer","290","2013","barnehagedeltakelse"
"35","alle","2","personer","1590","2013","barnehagedeltakelse"
"36","alle","2","personer","261","2013","barnehagedeltakelse"
"37","alle","2","personer","1193","2013","barnehagedeltakelse"
"38","alle","2","personer","276","2013","barnehagedeltakelse"
"39","alle","2","personer","4144","2013","barnehagedeltakelse"
"40","alle","2","personer","3049","2013","barnehagedeltakelse"
"41","alle","2","personer","337","2013","barnehagedeltakelse"
"42","alle","2","personer","209","2013","barnehagedeltakelse"
"43","alle","2","personer","168","2013","barnehagedeltakelse"
"44","alle","2","personer","371","2013","barnehagedeltakelse"
"45","alle","2","personer","113","2013","barnehagedeltakelse"
"46","alle","2","personer","778","2013","barnehagedeltakelse"
"47","alle","2","personer","861","2013","barnehagedeltakelse"
"48","alle","2","personer","109","2013","barnehagedeltakelse"
"49","alle","2","personer","364","2013","barnehagedeltakelse"
"50","alle","2","personer","309","2013","barnehagedeltakelse"
"51","alle","2","personer","454","2013","barnehagedeltakelse"
