"tabell_navn","aar","bydel_nr","innvkat_3","kjonn","enhet","alder_grupper","tabellvariabel"
"befolkning_alder","2006","030101","alle","0","personer","0_5","1681"
"befolkning_alder","2006","030101","alle","1","personer","0_5","1602"
"befolkning_alder","2006","030101","alle","alle","personer","0_5","3283"
"befolkning_alder","2006","030101","befolkningen_ellers","0","personer","0_5","1625"
"befolkning_alder","2006","030101","befolkningen_ellers","1","personer","0_5","1545"
"befolkning_alder","2006","030101","befolkningen_ellers","alle","personer","0_5","3170"
"befolkning_alder","2006","030101","innvandrere","0","personer","0_5","56"
"befolkning_alder","2006","030101","innvandrere","1","personer","0_5","57"
"befolkning_alder","2006","030101","innvandrere","alle","personer","0_5","113"
"befolkning_alder","2006","030102","alle","0","personer","0_5","1344"
"befolkning_alder","2006","030102","alle","1","personer","0_5","1460"
"befolkning_alder","2006","030102","alle","alle","personer","0_5","2804"
"befolkning_alder","2006","030102","befolkningen_ellers","0","personer","0_5","1290"
"befolkning_alder","2006","030102","befolkningen_ellers","1","personer","0_5","1402"
"befolkning_alder","2006","030102","befolkningen_ellers","alle","personer","0_5","2692"
"befolkning_alder","2006","030102","innvandrere","0","personer","0_5","54"
"befolkning_alder","2006","030102","innvandrere","1","personer","0_5","58"
"befolkning_alder","2006","030102","innvandrere","alle","personer","0_5","112"
"befolkning_alder","2006","030103","alle","0","personer","0_5","1137"
"befolkning_alder","2006","030103","alle","1","personer","0_5","1087"
"befolkning_alder","2006","030103","alle","alle","personer","0_5","2224"
"befolkning_alder","2006","030103","befolkningen_ellers","0","personer","0_5","1106"
"befolkning_alder","2006","030103","befolkningen_ellers","1","personer","0_5","1060"
"befolkning_alder","2006","030103","befolkningen_ellers","alle","personer","0_5","2166"
"befolkning_alder","2006","030103","innvandrere","0","personer","0_5","31"
"befolkning_alder","2006","030103","innvandrere","1","personer","0_5","27"
"befolkning_alder","2006","030103","innvandrere","alle","personer","0_5","58"
"befolkning_alder","2006","030104","alle","0","personer","0_5","844"
"befolkning_alder","2006","030104","alle","1","personer","0_5","917"
"befolkning_alder","2006","030104","alle","alle","personer","0_5","1761"
"befolkning_alder","2006","030104","befolkningen_ellers","0","personer","0_5","824"
"befolkning_alder","2006","030104","befolkningen_ellers","1","personer","0_5","893"
"befolkning_alder","2006","030104","befolkningen_ellers","alle","personer","0_5","1717"
"befolkning_alder","2006","030104","innvandrere","0","personer","0_5","20"
"befolkning_alder","2006","030104","innvandrere","1","personer","0_5","24"
"befolkning_alder","2006","030104","innvandrere","alle","personer","0_5","44"
"befolkning_alder","2006","030105","alle","0","personer","0_5","1169"
"befolkning_alder","2006","030105","alle","1","personer","0_5","1205"
"befolkning_alder","2006","030105","alle","alle","personer","0_5","2374"
"befolkning_alder","2006","030105","befolkningen_ellers","0","personer","0_5","1113"
"befolkning_alder","2006","030105","befolkningen_ellers","1","personer","0_5","1165"
"befolkning_alder","2006","030105","befolkningen_ellers","alle","personer","0_5","2278"
"befolkning_alder","2006","030105","innvandrere","0","personer","0_5","56"
"befolkning_alder","2006","030105","innvandrere","1","personer","0_5","40"
"befolkning_alder","2006","030105","innvandrere","alle","personer","0_5","96"
"befolkning_alder","2006","030106","alle","0","personer","0_5","1133"
"befolkning_alder","2006","030106","alle","1","personer","0_5","1121"
"befolkning_alder","2006","030106","alle","alle","personer","0_5","2254"
"befolkning_alder","2006","030106","befolkningen_ellers","0","personer","0_5","1111"
"befolkning_alder","2006","030106","befolkningen_ellers","1","personer","0_5","1103"
"befolkning_alder","2006","030106","befolkningen_ellers","alle","personer","0_5","2214"
"befolkning_alder","2006","030106","innvandrere","0","personer","0_5","22"
"befolkning_alder","2006","030106","innvandrere","1","personer","0_5","18"
"befolkning_alder","2006","030106","innvandrere","alle","personer","0_5","40"
"befolkning_alder","2006","030107","alle","0","personer","0_5","1725"
"befolkning_alder","2006","030107","alle","1","personer","0_5","1669"
"befolkning_alder","2006","030107","alle","alle","personer","0_5","3394"
"befolkning_alder","2006","030107","befolkningen_ellers","0","personer","0_5","1695"
"befolkning_alder","2006","030107","befolkningen_ellers","1","personer","0_5","1638"
"befolkning_alder","2006","030107","befolkningen_ellers","alle","personer","0_5","3333"
"befolkning_alder","2006","030107","innvandrere","0","personer","0_5","30"
"befolkning_alder","2006","030107","innvandrere","1","personer","0_5","31"
"befolkning_alder","2006","030107","innvandrere","alle","personer","0_5","61"
"befolkning_alder","2006","030108","alle","0","personer","0_5","1601"
"befolkning_alder","2006","030108","alle","1","personer","0_5","1944"
"befolkning_alder","2006","030108","alle","alle","personer","0_5","3545"
"befolkning_alder","2006","030108","befolkningen_ellers","0","personer","0_5","1575"
"befolkning_alder","2006","030108","befolkningen_ellers","1","personer","0_5","1916"
"befolkning_alder","2006","030108","befolkningen_ellers","alle","personer","0_5","3491"
"befolkning_alder","2006","030108","innvandrere","0","personer","0_5","26"
"befolkning_alder","2006","030108","innvandrere","1","personer","0_5","28"
"befolkning_alder","2006","030108","innvandrere","alle","personer","0_5","54"
"befolkning_alder","2006","030109","alle","0","personer","0_5","1187"
"befolkning_alder","2006","030109","alle","1","personer","0_5","1183"
"befolkning_alder","2006","030109","alle","alle","personer","0_5","2370"
"befolkning_alder","2006","030109","befolkningen_ellers","0","personer","0_5","1149"
"befolkning_alder","2006","030109","befolkningen_ellers","1","personer","0_5","1142"
"befolkning_alder","2006","030109","befolkningen_ellers","alle","personer","0_5","2291"
"befolkning_alder","2006","030109","innvandrere","0","personer","0_5","38"
"befolkning_alder","2006","030109","innvandrere","1","personer","0_5","41"
"befolkning_alder","2006","030109","innvandrere","alle","personer","0_5","79"
"befolkning_alder","2006","030110","alle","0","personer","0_5","1021"
"befolkning_alder","2006","030110","alle","1","personer","0_5","1097"
"befolkning_alder","2006","030110","alle","alle","personer","0_5","2118"
"befolkning_alder","2006","030110","befolkningen_ellers","0","personer","0_5","998"
"befolkning_alder","2006","030110","befolkningen_ellers","1","personer","0_5","1071"
"befolkning_alder","2006","030110","befolkningen_ellers","alle","personer","0_5","2069"
"befolkning_alder","2006","030110","innvandrere","0","personer","0_5","23"
"befolkning_alder","2006","030110","innvandrere","1","personer","0_5","26"
"befolkning_alder","2006","030110","innvandrere","alle","personer","0_5","49"
"befolkning_alder","2006","030111","alle","0","personer","0_5","1175"
"befolkning_alder","2006","030111","alle","1","personer","0_5","1302"
"befolkning_alder","2006","030111","alle","alle","personer","0_5","2477"
"befolkning_alder","2006","030111","befolkningen_ellers","0","personer","0_5","1136"
"befolkning_alder","2006","030111","befolkningen_ellers","1","personer","0_5","1263"
"befolkning_alder","2006","030111","befolkningen_ellers","alle","personer","0_5","2399"
"befolkning_alder","2006","030111","innvandrere","0","personer","0_5","39"
"befolkning_alder","2006","030111","innvandrere","1","personer","0_5","39"
"befolkning_alder","2006","030111","innvandrere","alle","personer","0_5","78"
"befolkning_alder","2006","030112","alle","0","personer","0_5","1879"
"befolkning_alder","2006","030112","alle","1","personer","0_5","1894"
