"tabell_navn","aar","bydel_nr","innvkat_3","kjonn","enhet","alder_grupper","tabellvariabel"
"befolkning_alder","2015","030101","alle","0","personer","0_5","2302"
"befolkning_alder","2015","030101","alle","1","personer","0_5","2291"
"befolkning_alder","2015","030101","alle","alle","personer","0_5","4593"
"befolkning_alder","2015","030101","befolkningen_ellers","0","personer","0_5","2199"
"befolkning_alder","2015","030101","befolkningen_ellers","1","personer","0_5","2182"
"befolkning_alder","2015","030101","befolkningen_ellers","alle","personer","0_5","4381"
"befolkning_alder","2015","030101","innvandrere","0","personer","0_5","103"
"befolkning_alder","2015","030101","innvandrere","1","personer","0_5","109"
"befolkning_alder","2015","030101","innvandrere","alle","personer","0_5","212"
"befolkning_alder","2015","030102","alle","0","personer","0_5","2043"
"befolkning_alder","2015","030102","alle","1","personer","0_5","2127"
"befolkning_alder","2015","030102","alle","alle","personer","0_5","4170"
"befolkning_alder","2015","030102","befolkningen_ellers","0","personer","0_5","1930"
"befolkning_alder","2015","030102","befolkningen_ellers","1","personer","0_5","2020"
"befolkning_alder","2015","030102","befolkningen_ellers","alle","personer","0_5","3950"
"befolkning_alder","2015","030102","innvandrere","0","personer","0_5","113"
"befolkning_alder","2015","030102","innvandrere","1","personer","0_5","107"
"befolkning_alder","2015","030102","innvandrere","alle","personer","0_5","220"
"befolkning_alder","2015","030103","alle","0","personer","0_5","1659"
"befolkning_alder","2015","030103","alle","1","personer","0_5","1657"
"befolkning_alder","2015","030103","alle","alle","personer","0_5","3316"
"befolkning_alder","2015","030103","befolkningen_ellers","0","personer","0_5","1605"
"befolkning_alder","2015","030103","befolkningen_ellers","1","personer","0_5","1618"
"befolkning_alder","2015","030103","befolkningen_ellers","alle","personer","0_5","3223"
"befolkning_alder","2015","030103","innvandrere","0","personer","0_5","54"
"befolkning_alder","2015","030103","innvandrere","1","personer","0_5","39"
"befolkning_alder","2015","030103","innvandrere","alle","personer","0_5","93"
"befolkning_alder","2015","030104","alle","0","personer","0_5","1106"
"befolkning_alder","2015","030104","alle","1","personer","0_5","1156"
"befolkning_alder","2015","030104","alle","alle","personer","0_5","2262"
"befolkning_alder","2015","030104","befolkningen_ellers","0","personer","0_5","1041"
"befolkning_alder","2015","030104","befolkningen_ellers","1","personer","0_5","1084"
"befolkning_alder","2015","030104","befolkningen_ellers","alle","personer","0_5","2125"
"befolkning_alder","2015","030104","innvandrere","0","personer","0_5","65"
"befolkning_alder","2015","030104","innvandrere","1","personer","0_5","72"
"befolkning_alder","2015","030104","innvandrere","alle","personer","0_5","137"
"befolkning_alder","2015","030105","alle","0","personer","0_5","1516"
"befolkning_alder","2015","030105","alle","1","personer","0_5","1533"
"befolkning_alder","2015","030105","alle","alle","personer","0_5","3049"
