"tabell_navn","aar","fylke_nr","innvkat_3","kjonn","enhet","alder_grupper","tabellvariabel"
"befolkning_alder","2006","00","alle","0","personer","0_5","170188"
"befolkning_alder","2006","00","alle","1","personer","0_5","177627"
"befolkning_alder","2006","00","alle","alle","personer","0_5","347815"
"befolkning_alder","2006","00","befolkningen_ellers","0","personer","0_5","167516"
"befolkning_alder","2006","00","befolkningen_ellers","1","personer","0_5","174950"
"befolkning_alder","2006","00","befolkningen_ellers","alle","personer","0_5","342466"
"befolkning_alder","2006","00","innvandrere","0","personer","0_5","2672"
"befolkning_alder","2006","00","innvandrere","1","personer","0_5","2677"
"befolkning_alder","2006","00","innvandrere","alle","personer","0_5","5349"
"befolkning_alder","2006","01","alle","0","personer","0_5","8824"
"befolkning_alder","2006","01","alle","1","personer","0_5","9419"
"befolkning_alder","2006","01","alle","alle","personer","0_5","18243"
"befolkning_alder","2006","01","befolkningen_ellers","0","personer","0_5","8716"
"befolkning_alder","2006","01","befolkningen_ellers","1","personer","0_5","9285"
"befolkning_alder","2006","01","befolkningen_ellers","alle","personer","0_5","18001"
"befolkning_alder","2006","01","innvandrere","0","personer","0_5","108"
"befolkning_alder","2006","01","innvandrere","1","personer","0_5","134"
"befolkning_alder","2006","01","innvandrere","alle","personer","0_5","242"
"befolkning_alder","2006","02","alle","0","personer","0_5","19910"
"befolkning_alder","2006","02","alle","1","personer","0_5","20710"
"befolkning_alder","2006","02","alle","alle","personer","0_5","40620"
"befolkning_alder","2006","02","befolkningen_ellers","0","personer","0_5","19597"
"befolkning_alder","2006","02","befolkningen_ellers","1","personer","0_5","20400"
"befolkning_alder","2006","02","befolkningen_ellers","alle","personer","0_5","39997"
"befolkning_alder","2006","02","innvandrere","0","personer","0_5","313"
"befolkning_alder","2006","02","innvandrere","1","personer","0_5","310"
"befolkning_alder","2006","02","innvandrere","alle","personer","0_5","623"
"befolkning_alder","2006","03","alle","0","personer","0_5","21212"
"befolkning_alder","2006","03","alle","1","personer","0_5","21982"
"befolkning_alder","2006","03","alle","alle","personer","0_5","43194"
"befolkning_alder","2006","03","befolkningen_ellers","0","personer","0_5","20648"
"befolkning_alder","2006","03","befolkningen_ellers","1","personer","0_5","21439"
"befolkning_alder","2006","03","befolkningen_ellers","alle","personer","0_5","42087"
"befolkning_alder","2006","03","innvandrere","0","personer","0_5","564"
"befolkning_alder","2006","03","innvandrere","1","personer","0_5","543"
"befolkning_alder","2006","03","innvandrere","alle","personer","0_5","1107"
"befolkning_alder","2006","04","alle","0","personer","0_5","5859"
"befolkning_alder","2006","04","alle","1","personer","0_5","6071"
"befolkning_alder","2006","04","alle","alle","personer","0_5","11930"
"befolkning_alder","2006","04","befolkningen_ellers","0","personer","0_5","5786"
"befolkning_alder","2006","04","befolkningen_ellers","1","personer","0_5","5992"
"befolkning_alder","2006","04","befolkningen_ellers","alle","personer","0_5","11778"
"befolkning_alder","2006","04","innvandrere","0","personer","0_5","73"
"befolkning_alder","2006","04","innvandrere","1","personer","0_5","79"
"befolkning_alder","2006","04","innvandrere","alle","personer","0_5","152"
"befolkning_alder","2006","05","alle","0","personer","0_5","5851"
"befolkning_alder","2006","05","alle","1","personer","0_5","6089"
"befolkning_alder","2006","05","alle","alle","personer","0_5","11940"
"befolkning_alder","2006","05","befolkningen_ellers","0","personer","0_5","5774"
"befolkning_alder","2006","05","befolkningen_ellers","1","personer","0_5","6002"
"befolkning_alder","2006","05","befolkningen_ellers","alle","personer","0_5","11776"
"befolkning_alder","2006","05","innvandrere","0","personer","0_5","77"
"befolkning_alder","2006","05","innvandrere","1","personer","0_5","87"
"befolkning_alder","2006","05","innvandrere","alle","personer","0_5","164"
"befolkning_alder","2006","06","alle","0","personer","0_5","8608"
"befolkning_alder","2006","06","alle","1","personer","0_5","8973"
"befolkning_alder","2006","06","alle","alle","personer","0_5","17581"
"befolkning_alder","2006","06","befolkningen_ellers","0","personer","0_5","8445"
"befolkning_alder","2006","06","befolkningen_ellers","1","personer","0_5","8820"
"befolkning_alder","2006","06","befolkningen_ellers","alle","personer","0_5","17265"
"befolkning_alder","2006","06","innvandrere","0","personer","0_5","163"
"befolkning_alder","2006","06","innvandrere","1","personer","0_5","153"
"befolkning_alder","2006","06","innvandrere","alle","personer","0_5","316"
"befolkning_alder","2006","07","alle","0","personer","0_5","7352"
"befolkning_alder","2006","07","alle","1","personer","0_5","7930"
"befolkning_alder","2006","07","alle","alle","personer","0_5","15282"
"befolkning_alder","2006","07","befolkningen_ellers","0","personer","0_5","7263"
"befolkning_alder","2006","07","befolkningen_ellers","1","personer","0_5","7825"
"befolkning_alder","2006","07","befolkningen_ellers","alle","personer","0_5","15088"
"befolkning_alder","2006","07","innvandrere","0","personer","0_5","89"
"befolkning_alder","2006","07","innvandrere","1","personer","0_5","105"
"befolkning_alder","2006","07","innvandrere","alle","personer","0_5","194"
"befolkning_alder","2006","08","alle","0","personer","0_5","5430"
"befolkning_alder","2006","08","alle","1","personer","0_5","5539"
"befolkning_alder","2006","08","alle","alle","personer","0_5","10969"
"befolkning_alder","2006","08","befolkningen_ellers","0","personer","0_5","5312"
"befolkning_alder","2006","08","befolkningen_ellers","1","personer","0_5","5455"
"befolkning_alder","2006","08","befolkningen_ellers","alle","personer","0_5","10767"
"befolkning_alder","2006","08","innvandrere","0","personer","0_5","118"
"befolkning_alder","2006","08","innvandrere","1","personer","0_5","84"
"befolkning_alder","2006","08","innvandrere","alle","personer","0_5","202"
"befolkning_alder","2006","09","alle","0","personer","0_5","3572"
"befolkning_alder","2006","09","alle","1","personer","0_5","3754"
"befolkning_alder","2006","09","alle","alle","personer","0_5","7326"
"befolkning_alder","2006","09","befolkningen_ellers","0","personer","0_5","3504"
"befolkning_alder","2006","09","befolkningen_ellers","1","personer","0_5","3689"
"befolkning_alder","2006","09","befolkningen_ellers","alle","personer","0_5","7193"
"befolkning_alder","2006","09","innvandrere","0","personer","0_5","68"
"befolkning_alder","2006","09","innvandrere","1","personer","0_5","65"
"befolkning_alder","2006","09","innvandrere","alle","personer","0_5","133"
"befolkning_alder","2006","10","alle","0","personer","0_5","6067"
"befolkning_alder","2006","10","alle","1","personer","0_5","6284"
"befolkning_alder","2006","10","alle","alle","personer","0_5","12351"
"befolkning_alder","2006","10","befolkningen_ellers","0","personer","0_5","5952"
"befolkning_alder","2006","10","befolkningen_ellers","1","personer","0_5","6170"
"befolkning_alder","2006","10","befolkningen_ellers","alle","personer","0_5","12122"
"befolkning_alder","2006","10","innvandrere","0","personer","0_5","115"
"befolkning_alder","2006","10","innvandrere","1","personer","0_5","114"
"befolkning_alder","2006","10","innvandrere","alle","personer","0_5","229"
"befolkning_alder","2006","11","alle","0","personer","0_5","16441"
"befolkning_alder","2006","11","alle","1","personer","0_5","16942"
"befolkning_alder","2006","11","alle","alle","personer","0_5","33383"
"befolkning_alder","2006","11","befolkningen_ellers","0","personer","0_5","16203"
"befolkning_alder","2006","11","befolkningen_ellers","1","personer","0_5","16690"
"befolkning_alder","2006","11","befolkningen_ellers","alle","personer","0_5","32893"
"befolkning_alder","2006","11","innvandrere","0","personer","0_5","238"
"befolkning_alder","2006","11","innvandrere","1","personer","0_5","252"
"befolkning_alder","2006","11","innvandrere","alle","personer","0_5","490"
"befolkning_alder","2006","12","alle","0","personer","0_5","17599"
"befolkning_alder","2006","12","alle","1","personer","0_5","18177"
"befolkning_alder","2006","12","alle","alle","personer","0_5","35776"
"befolkning_alder","2006","12","befolkningen_ellers","0","personer","0_5","17374"
"befolkning_alder","2006","12","befolkningen_ellers","1","personer","0_5","17973"
"befolkning_alder","2006","12","befolkningen_ellers","alle","personer","0_5","35347"
"befolkning_alder","2006","12","innvandrere","0","personer","0_5","225"
"befolkning_alder","2006","12","innvandrere","1","personer","0_5","204"
"befolkning_alder","2006","12","innvandrere","alle","personer","0_5","429"
"befolkning_alder","2006","14","alle","0","personer","0_5","3912"
"befolkning_alder","2006","14","alle","1","personer","0_5","4153"
"befolkning_alder","2006","14","alle","alle","personer","0_5","8065"
"befolkning_alder","2006","14","befolkningen_ellers","0","personer","0_5","3867"
"befolkning_alder","2006","14","befolkningen_ellers","1","personer","0_5","4086"
"befolkning_alder","2006","14","befolkningen_ellers","alle","personer","0_5","7953"
"befolkning_alder","2006","14","innvandrere","0","personer","0_5","45"
"befolkning_alder","2006","14","innvandrere","1","personer","0_5","67"
"befolkning_alder","2006","14","innvandrere","alle","personer","0_5","112"
"befolkning_alder","2006","15","alle","0","personer","0_5","8801"
"befolkning_alder","2006","15","alle","1","personer","0_5","9255"
"befolkning_alder","2006","15","alle","alle","personer","0_5","18056"
"befolkning_alder","2006","15","befolkningen_ellers","0","personer","0_5","8708"
"befolkning_alder","2006","15","befolkningen_ellers","1","personer","0_5","9167"
"befolkning_alder","2006","15","befolkningen_ellers","alle","personer","0_5","17875"
"befolkning_alder","2006","15","innvandrere","0","personer","0_5","93"
"befolkning_alder","2006","15","innvandrere","1","personer","0_5","88"
"befolkning_alder","2006","15","innvandrere","alle","personer","0_5","181"
"befolkning_alder","2006","16","alle","0","personer","0_5","10059"
"befolkning_alder","2006","16","alle","1","personer","0_5","10661"
"befolkning_alder","2006","16","alle","alle","personer","0_5","20720"
"befolkning_alder","2006","16","befolkningen_ellers","0","personer","0_5","9934"
"befolkning_alder","2006","16","befolkningen_ellers","1","personer","0_5","10521"
"befolkning_alder","2006","16","befolkningen_ellers","alle","personer","0_5","20455"
"befolkning_alder","2006","16","innvandrere","0","personer","0_5","125"
"befolkning_alder","2006","16","innvandrere","1","personer","0_5","140"
"befolkning_alder","2006","16","innvandrere","alle","personer","0_5","265"
"befolkning_alder","2006","17","alle","0","personer","0_5","4633"
"befolkning_alder","2006","17","alle","1","personer","0_5","4812"
"befolkning_alder","2006","17","alle","alle","personer","0_5","9445"
"befolkning_alder","2006","17","befolkningen_ellers","0","personer","0_5","4581"
"befolkning_alder","2006","17","befolkningen_ellers","1","personer","0_5","4762"
"befolkning_alder","2006","17","befolkningen_ellers","alle","personer","0_5","9343"
"befolkning_alder","2006","17","innvandrere","0","personer","0_5","52"
"befolkning_alder","2006","17","innvandrere","1","personer","0_5","50"
"befolkning_alder","2006","17","innvandrere","alle","personer","0_5","102"
"befolkning_alder","2006","18","alle","0","personer","0_5","7879"
"befolkning_alder","2006","18","alle","1","personer","0_5","8289"
"befolkning_alder","2006","18","alle","alle","personer","0_5","16168"
"befolkning_alder","2006","18","befolkningen_ellers","0","personer","0_5","7780"
"befolkning_alder","2006","18","befolkningen_ellers","1","personer","0_5","8192"
"befolkning_alder","2006","18","befolkningen_ellers","alle","personer","0_5","15972"
"befolkning_alder","2006","18","innvandrere","0","personer","0_5","99"
