"tabell_navn","aar","fylke_nr","innvkat_3","kjonn","enhet","alder_grupper","tabellvariabel"
"befolkning_alder","2015","01","alle","0","personer","0_5","9203"
"befolkning_alder","2015","01","alle","1","personer","0_5","9914"
"befolkning_alder","2015","01","alle","alle","personer","0_5","19117"
"befolkning_alder","2015","01","befolkningen_ellers","0","personer","0_5","8954"
"befolkning_alder","2015","01","befolkningen_ellers","1","personer","0_5","9661"
"befolkning_alder","2015","01","befolkningen_ellers","alle","personer","0_5","18615"
"befolkning_alder","2015","01","innvandrere","0","personer","0_5","249"
"befolkning_alder","2015","01","innvandrere","1","personer","0_5","253"
"befolkning_alder","2015","01","innvandrere","alle","personer","0_5","502"
"befolkning_alder","2015","02","alle","0","personer","0_5","21658"
"befolkning_alder","2015","02","alle","1","personer","0_5","22822"
"befolkning_alder","2015","02","alle","alle","personer","0_5","44480"
"befolkning_alder","2015","02","befolkningen_ellers","0","personer","0_5","21010"
"befolkning_alder","2015","02","befolkningen_ellers","1","personer","0_5","22087"
"befolkning_alder","2015","02","befolkningen_ellers","alle","personer","0_5","43097"
"befolkning_alder","2015","02","innvandrere","0","personer","0_5","648"
"befolkning_alder","2015","02","innvandrere","1","personer","0_5","735"
"befolkning_alder","2015","02","innvandrere","alle","personer","0_5","1383"
"befolkning_alder","2015","03","alle","0","personer","0_5","25585"
"befolkning_alder","2015","03","alle","1","personer","0_5","26669"
"befolkning_alder","2015","03","alle","alle","personer","0_5","52254"
"befolkning_alder","2015","03","befolkningen_ellers","0","personer","0_5","24498"
"befolkning_alder","2015","03","befolkningen_ellers","1","personer","0_5","25561"
"befolkning_alder","2015","03","befolkningen_ellers","alle","personer","0_5","50059"
"befolkning_alder","2015","03","innvandrere","0","personer","0_5","1087"
"befolkning_alder","2015","03","innvandrere","1","personer","0_5","1108"
"befolkning_alder","2015","03","innvandrere","alle","personer","0_5","2195"
"befolkning_alder","2015","04","alle","0","personer","0_5","5596"
"befolkning_alder","2015","04","alle","1","personer","0_5","6020"
"befolkning_alder","2015","04","alle","alle","personer","0_5","11616"
"befolkning_alder","2015","04","befolkningen_ellers","0","personer","0_5","5456"
"befolkning_alder","2015","04","befolkningen_ellers","1","personer","0_5","5844"
"befolkning_alder","2015","04","befolkningen_ellers","alle","personer","0_5","11300"
"befolkning_alder","2015","04","innvandrere","0","personer","0_5","140"
"befolkning_alder","2015","04","innvandrere","1","personer","0_5","176"
"befolkning_alder","2015","04","innvandrere","alle","personer","0_5","316"
"befolkning_alder","2015","05","alle","0","personer","0_5","5478"
"befolkning_alder","2015","05","alle","1","personer","0_5","5819"
"befolkning_alder","2015","05","alle","alle","personer","0_5","11297"
"befolkning_alder","2015","05","befolkningen_ellers","0","personer","0_5","5324"
"befolkning_alder","2015","05","befolkningen_ellers","1","personer","0_5","5668"
"befolkning_alder","2015","05","befolkningen_ellers","alle","personer","0_5","10992"
"befolkning_alder","2015","05","innvandrere","0","personer","0_5","154"
"befolkning_alder","2015","05","innvandrere","1","personer","0_5","151"
"befolkning_alder","2015","05","innvandrere","alle","personer","0_5","305"
"befolkning_alder","2015","06","alle","0","personer","0_5","9208"
"befolkning_alder","2015","06","alle","1","personer","0_5","9703"
"befolkning_alder","2015","06","alle","alle","personer","0_5","18911"
"befolkning_alder","2015","06","befolkningen_ellers","0","personer","0_5","8831"
"befolkning_alder","2015","06","befolkningen_ellers","1","personer","0_5","9339"
"befolkning_alder","2015","06","befolkningen_ellers","alle","personer","0_5","18170"
"befolkning_alder","2015","06","innvandrere","0","personer","0_5","377"
"befolkning_alder","2015","06","innvandrere","1","personer","0_5","364"
"befolkning_alder","2015","06","innvandrere","alle","personer","0_5","741"
"befolkning_alder","2015","07","alle","0","personer","0_5","7671"
"befolkning_alder","2015","07","alle","1","personer","0_5","8281"
"befolkning_alder","2015","07","alle","alle","personer","0_5","15952"
"befolkning_alder","2015","07","befolkningen_ellers","0","personer","0_5","7469"
"befolkning_alder","2015","07","befolkningen_ellers","1","personer","0_5","8047"
"befolkning_alder","2015","07","befolkningen_ellers","alle","personer","0_5","15516"
"befolkning_alder","2015","07","innvandrere","0","personer","0_5","202"
"befolkning_alder","2015","07","innvandrere","1","personer","0_5","234"
"befolkning_alder","2015","07","innvandrere","alle","personer","0_5","436"
"befolkning_alder","2015","08","alle","0","personer","0_5","5264"
"befolkning_alder","2015","08","alle","1","personer","0_5","5644"
"befolkning_alder","2015","08","alle","alle","personer","0_5","10908"
"befolkning_alder","2015","08","befolkningen_ellers","0","personer","0_5","5085"
"befolkning_alder","2015","08","befolkningen_ellers","1","personer","0_5","5502"
"befolkning_alder","2015","08","befolkningen_ellers","alle","personer","0_5","10587"
