"tabell_navn","aar","kommune_nr","innvkat_3","kjonn","enhet","alder_grupper","tabellvariabel"
"befolkning_alder","2015","0101","alle","0","personer","0_5","972"
"befolkning_alder","2015","0101","alle","1","personer","0_5","1008"
"befolkning_alder","2015","0101","alle","alle","personer","0_5","1980"
"befolkning_alder","2015","0101","befolkningen_ellers","0","personer","0_5","960"
"befolkning_alder","2015","0101","befolkningen_ellers","1","personer","0_5","990"
"befolkning_alder","2015","0101","befolkningen_ellers","alle","personer","0_5","1950"
"befolkning_alder","2015","0101","innvandrere","0","personer","0_5","12"
"befolkning_alder","2015","0101","innvandrere","1","personer","0_5","18"
"befolkning_alder","2015","0101","innvandrere","alle","personer","0_5","30"
"befolkning_alder","2015","0104","alle","0","personer","0_5","1005"
"befolkning_alder","2015","0104","alle","1","personer","0_5","1084"
"befolkning_alder","2015","0104","alle","alle","personer","0_5","2089"
"befolkning_alder","2015","0104","befolkningen_ellers","0","personer","0_5","960"
"befolkning_alder","2015","0104","befolkningen_ellers","1","personer","0_5","1040"
"befolkning_alder","2015","0104","befolkningen_ellers","alle","personer","0_5","2000"
"befolkning_alder","2015","0104","innvandrere","0","personer","0_5","45"
"befolkning_alder","2015","0104","innvandrere","1","personer","0_5","44"
"befolkning_alder","2015","0104","innvandrere","alle","personer","0_5","89"
"befolkning_alder","2015","0105","alle","0","personer","0_5","1771"
"befolkning_alder","2015","0105","alle","1","personer","0_5","1924"
"befolkning_alder","2015","0105","alle","alle","personer","0_5","3695"
"befolkning_alder","2015","0105","befolkningen_ellers","0","personer","0_5","1724"
"befolkning_alder","2015","0105","befolkningen_ellers","1","personer","0_5","1885"
"befolkning_alder","2015","0105","befolkningen_ellers","alle","personer","0_5","3609"
"befolkning_alder","2015","0105","innvandrere","0","personer","0_5","47"
"befolkning_alder","2015","0105","innvandrere","1","personer","0_5","39"
"befolkning_alder","2015","0105","innvandrere","alle","personer","0_5","86"
"befolkning_alder","2015","0106","alle","0","personer","0_5","2490"
"befolkning_alder","2015","0106","alle","1","personer","0_5","2661"
"befolkning_alder","2015","0106","alle","alle","personer","0_5","5151"
"befolkning_alder","2015","0106","befolkningen_ellers","0","personer","0_5","2435"
"befolkning_alder","2015","0106","befolkningen_ellers","1","personer","0_5","2593"
"befolkning_alder","2015","0106","befolkningen_ellers","alle","personer","0_5","5028"
"befolkning_alder","2015","0106","innvandrere","0","personer","0_5","55"
"befolkning_alder","2015","0106","innvandrere","1","personer","0_5","68"
"befolkning_alder","2015","0106","innvandrere","alle","personer","0_5","123"
"befolkning_alder","2015","0111","alle","0","personer","0_5","105"
"befolkning_alder","2015","0111","alle","1","personer","0_5","119"
"befolkning_alder","2015","0111","alle","alle","personer","0_5","224"
"befolkning_alder","2015","0111","befolkningen_ellers","0","personer","0_5","102"
"befolkning_alder","2015","0111","befolkningen_ellers","1","personer","0_5","116"
"befolkning_alder","2015","0111","befolkningen_ellers","alle","personer","0_5","218"
"befolkning_alder","2015","0111","innvandrere","0","personer","0_5","3"
