"tabell_navn","aar","naringsregion_nr","innvkat_3","kjonn","enhet","alder_grupper","tabellvariabel"
"befolkning_alder","2006","01","alle","0","personer","0_5","902"
"befolkning_alder","2006","01","alle","1","personer","0_5","1025"
"befolkning_alder","2006","01","alle","alle","personer","0_5","1927"
"befolkning_alder","2006","01","befolkningen_ellers","0","personer","0_5","892"
"befolkning_alder","2006","01","befolkningen_ellers","1","personer","0_5","1010"
"befolkning_alder","2006","01","befolkningen_ellers","alle","personer","0_5","1902"
"befolkning_alder","2006","01","innvandrere","0","personer","0_5","10"
"befolkning_alder","2006","01","innvandrere","1","personer","0_5","15"
"befolkning_alder","2006","01","innvandrere","alle","personer","0_5","25"
"befolkning_alder","2006","02","alle","0","personer","0_5","1940"
"befolkning_alder","2006","02","alle","1","personer","0_5","2034"
"befolkning_alder","2006","02","alle","alle","personer","0_5","3974"
"befolkning_alder","2006","02","befolkningen_ellers","0","personer","0_5","1914"
"befolkning_alder","2006","02","befolkningen_ellers","1","personer","0_5","1998"
"befolkning_alder","2006","02","befolkningen_ellers","alle","personer","0_5","3912"
"befolkning_alder","2006","02","innvandrere","0","personer","0_5","26"
"befolkning_alder","2006","02","innvandrere","1","personer","0_5","36"
"befolkning_alder","2006","02","innvandrere","alle","personer","0_5","62"
"befolkning_alder","2006","03","alle","0","personer","0_5","1805"
"befolkning_alder","2006","03","alle","1","personer","0_5","1896"
"befolkning_alder","2006","03","alle","alle","personer","0_5","3701"
"befolkning_alder","2006","03","befolkningen_ellers","0","personer","0_5","1783"
"befolkning_alder","2006","03","befolkningen_ellers","1","personer","0_5","1870"
"befolkning_alder","2006","03","befolkningen_ellers","alle","personer","0_5","3653"
"befolkning_alder","2006","03","innvandrere","0","personer","0_5","22"
"befolkning_alder","2006","03","innvandrere","1","personer","0_5","26"
"befolkning_alder","2006","03","innvandrere","alle","personer","0_5","48"
"befolkning_alder","2006","04","alle","0","personer","0_5","4177"
"befolkning_alder","2006","04","alle","1","personer","0_5","4464"
"befolkning_alder","2006","04","alle","alle","personer","0_5","8641"
"befolkning_alder","2006","04","befolkningen_ellers","0","personer","0_5","4127"
"befolkning_alder","2006","04","befolkningen_ellers","1","personer","0_5","4407"
"befolkning_alder","2006","04","befolkningen_ellers","alle","personer","0_5","8534"
"befolkning_alder","2006","04","innvandrere","0","personer","0_5","50"
"befolkning_alder","2006","04","innvandrere","1","personer","0_5","57"
"befolkning_alder","2006","04","innvandrere","alle","personer","0_5","107"
"befolkning_alder","2006","05","alle","0","personer","0_5","6435"
"befolkning_alder","2006","05","alle","1","personer","0_5","6581"
"befolkning_alder","2006","05","alle","alle","personer","0_5","13016"
"befolkning_alder","2006","05","befolkningen_ellers","0","personer","0_5","6318"
"befolkning_alder","2006","05","befolkningen_ellers","1","personer","0_5","6452"
"befolkning_alder","2006","05","befolkningen_ellers","alle","personer","0_5","12770"
"befolkning_alder","2006","05","innvandrere","0","personer","0_5","117"
"befolkning_alder","2006","05","innvandrere","1","personer","0_5","129"
"befolkning_alder","2006","05","innvandrere","alle","personer","0_5","246"
"befolkning_alder","2006","06","alle","0","personer","0_5","4669"
"befolkning_alder","2006","06","alle","1","personer","0_5","4764"
"befolkning_alder","2006","06","alle","alle","personer","0_5","9433"
"befolkning_alder","2006","06","befolkningen_ellers","0","personer","0_5","4593"
"befolkning_alder","2006","06","befolkningen_ellers","1","personer","0_5","4706"
"befolkning_alder","2006","06","befolkningen_ellers","alle","personer","0_5","9299"
"befolkning_alder","2006","06","innvandrere","0","personer","0_5","76"
"befolkning_alder","2006","06","innvandrere","1","personer","0_5","58"
"befolkning_alder","2006","06","innvandrere","alle","personer","0_5","134"
"befolkning_alder","2006","07","alle","0","personer","0_5","5600"
"befolkning_alder","2006","07","alle","1","personer","0_5","5928"
"befolkning_alder","2006","07","alle","alle","personer","0_5","11528"
"befolkning_alder","2006","07","befolkningen_ellers","0","personer","0_5","5525"
"befolkning_alder","2006","07","befolkningen_ellers","1","personer","0_5","5847"
"befolkning_alder","2006","07","befolkningen_ellers","alle","personer","0_5","11372"
"befolkning_alder","2006","07","innvandrere","0","personer","0_5","75"
"befolkning_alder","2006","07","innvandrere","1","personer","0_5","81"
"befolkning_alder","2006","07","innvandrere","alle","personer","0_5","156"
"befolkning_alder","2006","08","alle","0","personer","0_5","3206"
"befolkning_alder","2006","08","alle","1","personer","0_5","3437"
"befolkning_alder","2006","08","alle","alle","personer","0_5","6643"
"befolkning_alder","2006","08","befolkningen_ellers","0","personer","0_5","3161"
"befolkning_alder","2006","08","befolkningen_ellers","1","personer","0_5","3395"
"befolkning_alder","2006","08","befolkningen_ellers","alle","personer","0_5","6556"
"befolkning_alder","2006","08","innvandrere","0","personer","0_5","45"
"befolkning_alder","2006","08","innvandrere","1","personer","0_5","42"
"befolkning_alder","2006","08","innvandrere","alle","personer","0_5","87"
"befolkning_alder","2006","09","alle","0","personer","0_5","21212"
"befolkning_alder","2006","09","alle","1","personer","0_5","21982"
"befolkning_alder","2006","09","alle","alle","personer","0_5","43194"
"befolkning_alder","2006","09","befolkningen_ellers","0","personer","0_5","20648"
"befolkning_alder","2006","09","befolkningen_ellers","1","personer","0_5","21439"
"befolkning_alder","2006","09","befolkningen_ellers","alle","personer","0_5","42087"
"befolkning_alder","2006","09","innvandrere","0","personer","0_5","564"
"befolkning_alder","2006","09","innvandrere","1","personer","0_5","543"
"befolkning_alder","2006","09","innvandrere","alle","personer","0_5","1107"
"befolkning_alder","2006","10","alle","0","personer","0_5","469"
"befolkning_alder","2006","10","alle","1","personer","0_5","506"
"befolkning_alder","2006","10","alle","alle","personer","0_5","975"
"befolkning_alder","2006","10","befolkningen_ellers","0","personer","0_5","461"
"befolkning_alder","2006","10","befolkningen_ellers","1","personer","0_5","491"
"befolkning_alder","2006","10","befolkningen_ellers","alle","personer","0_5","952"
"befolkning_alder","2006","10","innvandrere","0","personer","0_5","8"
"befolkning_alder","2006","10","innvandrere","1","personer","0_5","15"
"befolkning_alder","2006","10","innvandrere","alle","personer","0_5","23"
"befolkning_alder","2006","11","alle","0","personer","0_5","1548"
"befolkning_alder","2006","11","alle","1","personer","0_5","1594"
