"tabell_navn","aar","naringsregion_nr","innvkat_3","kjonn","enhet","alder_grupper","tabellvariabel"
"befolkning_alder","2015","01","alle","0","personer","0_5","972"
"befolkning_alder","2015","01","alle","1","personer","0_5","1008"
"befolkning_alder","2015","01","alle","alle","personer","0_5","1980"
"befolkning_alder","2015","01","befolkningen_ellers","0","personer","0_5","960"
"befolkning_alder","2015","01","befolkningen_ellers","1","personer","0_5","990"
"befolkning_alder","2015","01","befolkningen_ellers","alle","personer","0_5","1950"
"befolkning_alder","2015","01","innvandrere","0","personer","0_5","12"
"befolkning_alder","2015","01","innvandrere","1","personer","0_5","18"
"befolkning_alder","2015","01","innvandrere","alle","personer","0_5","30"
"befolkning_alder","2015","02","alle","0","personer","0_5","1981"
"befolkning_alder","2015","02","alle","1","personer","0_5","2167"
"befolkning_alder","2015","02","alle","alle","personer","0_5","4148"
"befolkning_alder","2015","02","befolkningen_ellers","0","personer","0_5","1920"
"befolkning_alder","2015","02","befolkningen_ellers","1","personer","0_5","2110"
"befolkning_alder","2015","02","befolkningen_ellers","alle","personer","0_5","4030"
"befolkning_alder","2015","02","innvandrere","0","personer","0_5","61"
"befolkning_alder","2015","02","innvandrere","1","personer","0_5","57"
"befolkning_alder","2015","02","innvandrere","alle","personer","0_5","118"
"befolkning_alder","2015","03","alle","0","personer","0_5","1884"
"befolkning_alder","2015","03","alle","1","personer","0_5","2035"
"befolkning_alder","2015","03","alle","alle","personer","0_5","3919"
"befolkning_alder","2015","03","befolkningen_ellers","0","personer","0_5","1813"
"befolkning_alder","2015","03","befolkningen_ellers","1","personer","0_5","1966"
"befolkning_alder","2015","03","befolkningen_ellers","alle","personer","0_5","3779"
"befolkning_alder","2015","03","innvandrere","0","personer","0_5","71"
"befolkning_alder","2015","03","innvandrere","1","personer","0_5","69"
"befolkning_alder","2015","03","innvandrere","alle","personer","0_5","140"
"befolkning_alder","2015","04","alle","0","personer","0_5","4366"
"befolkning_alder","2015","04","alle","1","personer","0_5","4704"
"befolkning_alder","2015","04","alle","alle","personer","0_5","9070"
"befolkning_alder","2015","04","befolkningen_ellers","0","personer","0_5","4261"
"befolkning_alder","2015","04","befolkningen_ellers","1","personer","0_5","4595"
"befolkning_alder","2015","04","befolkningen_ellers","alle","personer","0_5","8856"
"befolkning_alder","2015","04","innvandrere","0","personer","0_5","105"
"befolkning_alder","2015","04","innvandrere","1","personer","0_5","109"
"befolkning_alder","2015","04","innvandrere","alle","personer","0_5","214"
"befolkning_alder","2015","05","alle","0","personer","0_5","6832"
"befolkning_alder","2015","05","alle","1","personer","0_5","7257"
"befolkning_alder","2015","05","alle","alle","personer","0_5","14089"
"befolkning_alder","2015","05","befolkningen_ellers","0","personer","0_5","6551"
"befolkning_alder","2015","05","befolkningen_ellers","1","personer","0_5","6959"
"befolkning_alder","2015","05","befolkningen_ellers","alle","personer","0_5","13510"
"befolkning_alder","2015","05","innvandrere","0","personer","0_5","281"
"befolkning_alder","2015","05","innvandrere","1","personer","0_5","298"
"befolkning_alder","2015","05","innvandrere","alle","personer","0_5","579"
"befolkning_alder","2015","06","alle","0","personer","0_5","5000"
"befolkning_alder","2015","06","alle","1","personer","0_5","5252"
"befolkning_alder","2015","06","alle","alle","personer","0_5","10252"
"befolkning_alder","2015","06","befolkningen_ellers","0","personer","0_5","4888"
"befolkning_alder","2015","06","befolkningen_ellers","1","personer","0_5","5113"
"befolkning_alder","2015","06","befolkningen_ellers","alle","personer","0_5","10001"
"befolkning_alder","2015","06","innvandrere","0","personer","0_5","112"
"befolkning_alder","2015","06","innvandrere","1","personer","0_5","139"
