"tabell_navn","aar","fylke_nr","innvkat_3","kjonn","enhet","alder_grupper","tabellvariabel"
"befolkning_alder","2015","00","alle","0","personer","0_5","182110"
"befolkning_alder","2015","00","alle","1","personer","0_5","191844"
"befolkning_alder","2015","00","alle","alle","personer","0_5","373954"
"befolkning_alder","2015","00","befolkningen_ellers","0","personer","0_5","175843"
"befolkning_alder","2015","00","befolkningen_ellers","1","personer","0_5","185396"
"befolkning_alder","2015","00","befolkningen_ellers","alle","personer","0_5","361239"
"befolkning_alder","2015","00","innvandrere","0","personer","0_5","6267"
"befolkning_alder","2015","00","innvandrere","1","personer","0_5","6448"
"befolkning_alder","2015","00","innvandrere","alle","personer","0_5","12715"
"befolkning_alder","2015","00","alle","0","personer","16_19","127157"
"befolkning_alder","2015","00","alle","1","personer","16_19","135324"
"befolkning_alder","2015","00","alle","alle","personer","16_19","262481"
"befolkning_alder","2015","00","befolkningen_ellers","0","personer","16_19","116107"
"befolkning_alder","2015","00","befolkningen_ellers","1","personer","16_19","122565"
"befolkning_alder","2015","00","befolkningen_ellers","alle","personer","16_19","238672"
"befolkning_alder","2015","00","innvandrere","0","personer","16_19","11050"
"befolkning_alder","2015","00","innvandrere","1","personer","16_19","12759"
"befolkning_alder","2015","00","innvandrere","alle","personer","16_19","23809"
"befolkning_alder","2015","00","alle","0","personer","20_29","340803"
"befolkning_alder","2015","00","alle","1","personer","20_29","356594"
"befolkning_alder","2015","00","alle","alle","personer","20_29","697397"
"befolkning_alder","2015","00","befolkningen_ellers","0","personer","20_29","275676"
"befolkning_alder","2015","00","befolkningen_ellers","1","personer","20_29","291782"
"befolkning_alder","2015","00","befolkningen_ellers","alle","personer","20_29","567458"
"befolkning_alder","2015","00","innvandrere","0","personer","20_29","65127"
"befolkning_alder","2015","00","innvandrere","1","personer","20_29","64812"
"befolkning_alder","2015","00","innvandrere","alle","personer","20_29","129939"
"befolkning_alder","2015","00","alle","0","personer","30_54","858795"
"befolkning_alder","2015","00","alle","1","personer","30_54","913211"
"befolkning_alder","2015","00","alle","alle","personer","30_54","1772006"
"befolkning_alder","2015","00","befolkningen_ellers","0","personer","30_54","691227"
"befolkning_alder","2015","00","befolkningen_ellers","1","personer","30_54","715269"
"befolkning_alder","2015","00","befolkningen_ellers","alle","personer","30_54","1406496"
"befolkning_alder","2015","00","innvandrere","0","personer","30_54","167568"
"befolkning_alder","2015","00","innvandrere","1","personer","30_54","197942"
"befolkning_alder","2015","00","innvandrere","alle","personer","30_54","365510"
"befolkning_alder","2015","00","alle","0","personer","55_66","353427"
"befolkning_alder","2015","00","alle","1","personer","55_66","361332"
"befolkning_alder","2015","00","alle","alle","personer","55_66","714759"
"befolkning_alder","2015","00","befolkningen_ellers","0","personer","55_66","325704"
"befolkning_alder","2015","00","befolkningen_ellers","1","personer","55_66","328346"
"befolkning_alder","2015","00","befolkningen_ellers","alle","personer","55_66","654050"
"befolkning_alder","2015","00","innvandrere","0","personer","55_66","27723"
"befolkning_alder","2015","00","innvandrere","1","personer","55_66","32986"
"befolkning_alder","2015","00","innvandrere","alle","personer","55_66","60709"
"befolkning_alder","2015","00","alle","0","personer","6_15","303995"
"befolkning_alder","2015","00","alle","1","personer","6_15","318469"
"befolkning_alder","2015","00","alle","alle","personer","6_15","622464"
"befolkning_alder","2015","00","befolkningen_ellers","0","personer","6_15","281984"
"befolkning_alder","2015","00","befolkningen_ellers","1","personer","6_15","295537"
"befolkning_alder","2015","00","befolkningen_ellers","alle","personer","6_15","577521"
"befolkning_alder","2015","00","innvandrere","0","personer","6_15","22011"
"befolkning_alder","2015","00","innvandrere","1","personer","6_15","22932"
"befolkning_alder","2015","00","innvandrere","alle","personer","6_15","44943"
"befolkning_alder","2015","00","alle","0","personer","67+","400691"
"befolkning_alder","2015","00","alle","1","personer","67+","322050"
"befolkning_alder","2015","00","alle","alle","personer","67+","722741"
"befolkning_alder","2015","00","befolkningen_ellers","0","personer","67+","382699"
"befolkning_alder","2015","00","befolkningen_ellers","1","personer","67+","308287"
"befolkning_alder","2015","00","befolkningen_ellers","alle","personer","67+","690986"
"befolkning_alder","2015","00","innvandrere","0","personer","67+","17992"
"befolkning_alder","2015","00","innvandrere","1","personer","67+","13763"
"befolkning_alder","2015","00","innvandrere","alle","personer","67+","31755"
"befolkning_alder","2015","00","alle","0","personer","alle","2566978"
"befolkning_alder","2015","00","alle","1","personer","alle","2598824"
"befolkning_alder","2015","00","alle","alle","personer","alle","5165802"
"befolkning_alder","2015","00","befolkningen_ellers","0","personer","alle","2249240"
"befolkning_alder","2015","00","befolkningen_ellers","1","personer","alle","2247182"
"befolkning_alder","2015","00","befolkningen_ellers","alle","personer","alle","4496422"
"befolkning_alder","2015","00","innvandrere","0","personer","alle","317738"
"befolkning_alder","2015","00","innvandrere","1","personer","alle","351642"
"befolkning_alder","2015","00","innvandrere","alle","personer","alle","669380"
