"tabell_navn","aar","bydel_nr","vreg_3","enhet","botid_5","tabellvariabel"
"befolkning_botid","2015","030101","1","personer","0_4","2771"
"befolkning_botid","2015","030101","2","personer","0_4","2051"
"befolkning_botid","2015","030101","alle","personer","0_4","4822"
"befolkning_botid","2015","030102","1","personer","0_4","4173"
"befolkning_botid","2015","030102","2","personer","0_4","2224"
"befolkning_botid","2015","030102","alle","personer","0_4","6397"
"befolkning_botid","2015","030103","1","personer","0_4","1840"
"befolkning_botid","2015","030103","2","personer","0_4","1025"
"befolkning_botid","2015","030103","alle","personer","0_4","2865"
"befolkning_botid","2015","030104","1","personer","0_4","2748"
"befolkning_botid","2015","030104","2","personer","0_4","1353"
"befolkning_botid","2015","030104","alle","personer","0_4","4101"
"befolkning_botid","2015","030105","1","personer","0_4","4850"
"befolkning_botid","2015","030105","2","personer","0_4","2211"
"befolkning_botid","2015","030105","alle","personer","0_4","7061"
"befolkning_botid","2015","030106","1","personer","0_4","1114"
"befolkning_botid","2015","030106","2","personer","0_4","773"
"befolkning_botid","2015","030106","alle","personer","0_4","1887"
"befolkning_botid","2015","030107","1","personer","0_4","1729"
"befolkning_botid","2015","030107","2","personer","0_4","1208"
"befolkning_botid","2015","030107","alle","personer","0_4","2937"
"befolkning_botid","2015","030108","1","personer","0_4","1772"
"befolkning_botid","2015","030108","2","personer","0_4","1660"
"befolkning_botid","2015","030108","alle","personer","0_4","3432"
"befolkning_botid","2015","030109","1","personer","0_4","1415"
"befolkning_botid","2015","030109","2","personer","0_4","1274"
"befolkning_botid","2015","030109","alle","personer","0_4","2689"
"befolkning_botid","2015","030110","1","personer","0_4","719"
"befolkning_botid","2015","030110","2","personer","0_4","981"
"befolkning_botid","2015","030110","alle","personer","0_4","1700"
"befolkning_botid","2015","030111","1","personer","0_4","922"
"befolkning_botid","2015","030111","2","personer","0_4","1180"
"befolkning_botid","2015","030111","alle","personer","0_4","2102"
"befolkning_botid","2015","030112","1","personer","0_4","1235"
"befolkning_botid","2015","030112","2","personer","0_4","1734"
"befolkning_botid","2015","030112","alle","personer","0_4","2969"
"befolkning_botid","2015","030113","1","personer","0_4","1051"
"befolkning_botid","2015","030113","2","personer","0_4","1012"
"befolkning_botid","2015","030113","alle","personer","0_4","2063"
"befolkning_botid","2015","030114","1","personer","0_4","1369"
"befolkning_botid","2015","030114","2","personer","0_4","820"
"befolkning_botid","2015","030114","alle","personer","0_4","2189"
"befolkning_botid","2015","030115","1","personer","0_4","1296"
"befolkning_botid","2015","030115","2","personer","0_4","1157"
"befolkning_botid","2015","030115","alle","personer","0_4","2453"
"befolkning_botid","2015","030116","1","personer","0_4","231"
"befolkning_botid","2015","030116","2","personer","0_4","100"
"befolkning_botid","2015","030116","alle","personer","0_4","331"
"befolkning_botid","2015","030117","1","personer","0_4","60"
"befolkning_botid","2015","030117","2","personer","0_4","12"
"befolkning_botid","2015","030117","alle","personer","0_4","72"
"befolkning_botid","2015","030199","1","personer","0_4","1047"
"befolkning_botid","2015","030199","2","personer","0_4","297"
"befolkning_botid","2015","030199","alle","personer","0_4","1344"
"befolkning_botid","2015","030101","1","personer","10+","1266"
"befolkning_botid","2015","030101","2","personer","10+","6240"
"befolkning_botid","2015","030101","alle","personer","10+","7506"
"befolkning_botid","2015","030102","1","personer","10+","1278"
"befolkning_botid","2015","030102","2","personer","10+","4857"
"befolkning_botid","2015","030102","alle","personer","10+","6135"
"befolkning_botid","2015","030103","1","personer","10+","919"
"befolkning_botid","2015","030103","2","personer","10+","2766"
"befolkning_botid","2015","030103","alle","personer","10+","3685"
"befolkning_botid","2015","030104","1","personer","10+","1073"
"befolkning_botid","2015","030104","2","personer","10+","1719"
"befolkning_botid","2015","030104","alle","personer","10+","2792"
"befolkning_botid","2015","030105","1","personer","10+","2259"
"befolkning_botid","2015","030105","2","personer","10+","2411"
"befolkning_botid","2015","030105","alle","personer","10+","4670"
"befolkning_botid","2015","030106","1","personer","10+","1204"
"befolkning_botid","2015","030106","2","personer","10+","914"
"befolkning_botid","2015","030106","alle","personer","10+","2118"
"befolkning_botid","2015","030107","1","personer","10+","1575"
"befolkning_botid","2015","030107","2","personer","10+","1158"
"befolkning_botid","2015","030107","alle","personer","10+","2733"
"befolkning_botid","2015","030108","1","personer","10+","1281"
"befolkning_botid","2015","030108","2","personer","10+","1372"
"befolkning_botid","2015","030108","alle","personer","10+","2653"
"befolkning_botid","2015","030109","1","personer","10+","654"
"befolkning_botid","2015","030109","2","personer","10+","4217"
"befolkning_botid","2015","030109","alle","personer","10+","4871"
"befolkning_botid","2015","030110","1","personer","10+","531"
"befolkning_botid","2015","030110","2","personer","10+","5022"
"befolkning_botid","2015","030110","alle","personer","10+","5553"
"befolkning_botid","2015","030111","1","personer","10+","564"
