"tabell_navn","aar","fylke_nr","vreg_3","botid_5","enhet","tabellvariabel"
"befolkning_botid","2015","00","alle","alle","personer","669380"
"befolkning_botid","2015","00","1","0_4","personer","155959"
"befolkning_botid","2015","00","2","0_4","personer","101467"
"befolkning_botid","2015","00","1","5_9","personer","82437"
"befolkning_botid","2015","00","2","5_9","personer","67571"
"befolkning_botid","2015","00","1","10+","personer","88660"
"befolkning_botid","2015","00","2","10+","personer","173286"
"befolkning_botid","2015","01","alle","alle","personer","35027"
"befolkning_botid","2015","02","alle","alle","personer","85511"
"befolkning_botid","2015","03","alle","alle","personer","158835"
"befolkning_botid","2015","04","alle","alle","personer","15780"
"befolkning_botid","2015","05","alle","alle","personer","15632"
"befolkning_botid","2015","06","alle","alle","personer","39132"
"befolkning_botid","2015","07","alle","alle","personer","26283"
"befolkning_botid","2015","08","alle","alle","personer","16860"
"befolkning_botid","2015","09","alle","alle","personer","11710"
"befolkning_botid","2015","10","alle","alle","personer","20772"
"befolkning_botid","2015","11","alle","alle","personer","66389"
"befolkning_botid","2015","12","alle","alle","personer","58643"
"befolkning_botid","2015","14","alle","alle","personer","9994"
"befolkning_botid","2015","15","alle","alle","personer","26764"
"befolkning_botid","2015","16","alle","alle","personer","30042"
"befolkning_botid","2015","17","alle","alle","personer","8936"
"befolkning_botid","2015","18","alle","alle","personer","18998"
"befolkning_botid","2015","19","alle","alle","personer","15082"
"befolkning_botid","2015","20","alle","alle","personer","8990"
"befolkning_botid","2015","01","1","0_4","personer","6042"
"befolkning_botid","2015","01","2","0_4","personer","3531"
"befolkning_botid","2015","01","1","5_9","personer","4090"
"befolkning_botid","2015","01","2","5_9","personer","3860"
"befolkning_botid","2015","01","1","10+","personer","5583"
"befolkning_botid","2015","01","2","10+","personer","11921"
"befolkning_botid","2015","02","1","0_4","personer","17942"
"befolkning_botid","2015","02","2","0_4","personer","10060"
"befolkning_botid","2015","02","1","5_9","personer","10697"
"befolkning_botid","2015","02","2","5_9","personer","7858"
"befolkning_botid","2015","02","1","10+","personer","15170"
"befolkning_botid","2015","02","2","10+","personer","23784"
"befolkning_botid","2015","03","1","0_4","personer","30342"
"befolkning_botid","2015","03","2","0_4","personer","21072"
"befolkning_botid","2015","03","1","5_9","personer","13614"
"befolkning_botid","2015","03","2","5_9","personer","15608"
"befolkning_botid","2015","03","1","10+","personer","17195"
"befolkning_botid","2015","03","2","10+","personer","61004"
"befolkning_botid","2015","04","1","0_4","personer","3478"
"befolkning_botid","2015","04","2","0_4","personer","2893"
"befolkning_botid","2015","04","1","5_9","personer","1860"
"befolkning_botid","2015","04","2","5_9","personer","1709"
"befolkning_botid","2015","04","1","10+","personer","2767"
"befolkning_botid","2015","04","2","10+","personer","3073"
"befolkning_botid","2015","05","1","0_4","personer","3618"
"befolkning_botid","2015","05","2","0_4","personer","3246"
"befolkning_botid","2015","05","1","5_9","personer","2093"
"befolkning_botid","2015","05","2","5_9","personer","1686"
"befolkning_botid","2015","05","1","10+","personer","2147"
"befolkning_botid","2015","05","2","10+","personer","2842"
"befolkning_botid","2015","06","1","0_4","personer","8743"
"befolkning_botid","2015","06","2","0_4","personer","5039"
"befolkning_botid","2015","06","1","5_9","personer","5233"
"befolkning_botid","2015","06","2","5_9","personer","3860"
"befolkning_botid","2015","06","1","10+","personer","5501"
"befolkning_botid","2015","06","2","10+","personer","10756"
"befolkning_botid","2015","07","1","0_4","personer","5925"
"befolkning_botid","2015","07","2","0_4","personer","3128"
"befolkning_botid","2015","07","1","5_9","personer","3777"
"befolkning_botid","2015","07","2","5_9","personer","2477"
"befolkning_botid","2015","07","1","10+","personer","4442"
"befolkning_botid","2015","07","2","10+","personer","6534"
"befolkning_botid","2015","08","1","0_4","personer","2925"
"befolkning_botid","2015","08","2","0_4","personer","3070"
"befolkning_botid","2015","08","1","5_9","personer","1844"
"befolkning_botid","2015","08","2","5_9","personer","2082"
"befolkning_botid","2015","08","1","10+","personer","2661"
"befolkning_botid","2015","08","2","10+","personer","4278"
"befolkning_botid","2015","09","1","0_4","personer","2333"
"befolkning_botid","2015","09","2","0_4","personer","2025"
"befolkning_botid","2015","09","1","5_9","personer","1818"
"befolkning_botid","2015","09","2","5_9","personer","1273"
"befolkning_botid","2015","09","1","10+","personer","1973"
"befolkning_botid","2015","09","2","10+","personer","2288"
"befolkning_botid","2015","10","1","0_4","personer","3390"
"befolkning_botid","2015","10","2","0_4","personer","3606"
"befolkning_botid","2015","10","1","5_9","personer","2517"
"befolkning_botid","2015","10","2","5_9","personer","2419"
"befolkning_botid","2015","10","1","10+","personer","3102"
"befolkning_botid","2015","10","2","10+","personer","5738"
"befolkning_botid","2015","11","1","0_4","personer","19337"
"befolkning_botid","2015","11","2","0_4","personer","9999"
"befolkning_botid","2015","11","1","5_9","personer","10400"
"befolkning_botid","2015","11","2","5_9","personer","6616"
"befolkning_botid","2015","11","1","10+","personer","7648"
"befolkning_botid","2015","11","2","10+","personer","12389"
"befolkning_botid","2015","12","1","0_4","personer","17251"
"befolkning_botid","2015","12","2","0_4","personer","8885"
"befolkning_botid","2015","12","1","5_9","personer","8998"
"befolkning_botid","2015","12","2","5_9","personer","5758"
"befolkning_botid","2015","12","1","10+","personer","6330"
"befolkning_botid","2015","12","2","10+","personer","11421"
"befolkning_botid","2015","14","1","0_4","personer","3284"
"befolkning_botid","2015","14","2","0_4","personer","1897"
"befolkning_botid","2015","14","1","5_9","personer","1705"
"befolkning_botid","2015","14","2","5_9","personer","690"
"befolkning_botid","2015","14","1","10+","personer","1303"
"befolkning_botid","2015","14","2","10+","personer","1115"
"befolkning_botid","2015","15","1","0_4","personer","9355"
"befolkning_botid","2015","15","2","0_4","personer","4359"
"befolkning_botid","2015","15","1","5_9","personer","4665"
"befolkning_botid","2015","15","2","5_9","personer","2248"
"befolkning_botid","2015","15","1","10+","personer","2737"
"befolkning_botid","2015","15","2","10+","personer","3400"
"befolkning_botid","2015","16","1","0_4","personer","8091"
"befolkning_botid","2015","16","2","0_4","personer","5313"
"befolkning_botid","2015","16","1","5_9","personer","3725"
"befolkning_botid","2015","16","2","5_9","personer","3444"
"befolkning_botid","2015","16","1","10+","personer","3454"
"befolkning_botid","2015","16","2","10+","personer","6015"
"befolkning_botid","2015","17","1","0_4","personer","2060"
"befolkning_botid","2015","17","2","0_4","personer","2398"
"befolkning_botid","2015","17","1","5_9","personer","1128"
"befolkning_botid","2015","17","2","5_9","personer","1049"
"befolkning_botid","2015","17","1","10+","personer","1078"
"befolkning_botid","2015","17","2","10+","personer","1223"
"befolkning_botid","2015","18","1","0_4","personer","4946"
"befolkning_botid","2015","18","2","0_4","personer","5358"
"befolkning_botid","2015","18","1","5_9","personer","1846"
"befolkning_botid","2015","18","2","5_9","personer","2242"
"befolkning_botid","2015","18","1","10+","personer","2244"
"befolkning_botid","2015","18","2","10+","personer","2362"
"befolkning_botid","2015","19","1","0_4","personer","4152"
"befolkning_botid","2015","19","2","0_4","personer","3635"
