"tabell_navn","aar","kommune_nr","vreg_3","enhet","botid_5","tabellvariabel"
"befolkning_botid","2015","0101","1","personer","0_4","522"
"befolkning_botid","2015","0101","2","personer","0_4","270"
"befolkning_botid","2015","0101","alle","personer","0_4","792"
"befolkning_botid","2015","0104","1","personer","0_4","771"
"befolkning_botid","2015","0104","2","personer","0_4","602"
"befolkning_botid","2015","0104","alle","personer","0_4","1373"
"befolkning_botid","2015","0105","1","personer","0_4","982"
"befolkning_botid","2015","0105","2","personer","0_4","698"
"befolkning_botid","2015","0105","alle","personer","0_4","1680"
"befolkning_botid","2015","0106","1","personer","0_4","1548"
"befolkning_botid","2015","0106","2","personer","0_4","929"
"befolkning_botid","2015","0106","alle","personer","0_4","2477"
"befolkning_botid","2015","0111","1","personer","0_4","41"
"befolkning_botid","2015","0111","2","personer","0_4","54"
"befolkning_botid","2015","0111","alle","personer","0_4","95"
"befolkning_botid","2015","0118","1","personer","0_4","6"
"befolkning_botid","2015","0118","2","personer","0_4","5"
"befolkning_botid","2015","0118","alle","personer","0_4","11"
"befolkning_botid","2015","0119","1","personer","0_4","49"
"befolkning_botid","2015","0119","2","personer","0_4","21"
"befolkning_botid","2015","0119","alle","personer","0_4","70"
"befolkning_botid","2015","0121","1","personer","0_4","9"
"befolkning_botid","2015","0121","2","personer","0_4","."
"befolkning_botid","2015","0121","alle","personer","0_4","9"
"befolkning_botid","2015","0122","1","personer","0_4","163"
"befolkning_botid","2015","0122","2","personer","0_4","64"
"befolkning_botid","2015","0122","alle","personer","0_4","227"
"befolkning_botid","2015","0123","1","personer","0_4","113"
"befolkning_botid","2015","0123","2","personer","0_4","120"
"befolkning_botid","2015","0123","alle","personer","0_4","233"
"befolkning_botid","2015","0124","1","personer","0_4","271"
"befolkning_botid","2015","0124","2","personer","0_4","209"
"befolkning_botid","2015","0124","alle","personer","0_4","480"
"befolkning_botid","2015","0125","1","personer","0_4","319"
"befolkning_botid","2015","0125","2","personer","0_4","153"
"befolkning_botid","2015","0125","alle","personer","0_4","472"
"befolkning_botid","2015","0127","1","personer","0_4","104"
"befolkning_botid","2015","0127","2","personer","0_4","31"
"befolkning_botid","2015","0127","alle","personer","0_4","135"
"befolkning_botid","2015","0128","1","personer","0_4","257"
"befolkning_botid","2015","0128","2","personer","0_4","58"
"befolkning_botid","2015","0128","alle","personer","0_4","315"
"befolkning_botid","2015","0135","1","personer","0_4","203"
"befolkning_botid","2015","0135","2","personer","0_4","75"
"befolkning_botid","2015","0135","alle","personer","0_4","278"
"befolkning_botid","2015","0136","1","personer","0_4","318"
"befolkning_botid","2015","0136","2","personer","0_4","118"
"befolkning_botid","2015","0136","alle","personer","0_4","436"
"befolkning_botid","2015","0137","1","personer","0_4","157"
"befolkning_botid","2015","0137","2","personer","0_4","34"
"befolkning_botid","2015","0137","alle","personer","0_4","191"
"befolkning_botid","2015","0138","1","personer","0_4","209"
"befolkning_botid","2015","0138","2","personer","0_4","89"
"befolkning_botid","2015","0138","alle","personer","0_4","298"
"befolkning_botid","2015","0211","1","personer","0_4","398"
"befolkning_botid","2015","0211","2","personer","0_4","219"
"befolkning_botid","2015","0211","alle","personer","0_4","617"
"befolkning_botid","2015","0213","1","personer","0_4","564"
"befolkning_botid","2015","0213","2","personer","0_4","409"
"befolkning_botid","2015","0213","alle","personer","0_4","973"
"befolkning_botid","2015","0214","1","personer","0_4","786"
"befolkning_botid","2015","0214","2","personer","0_4","646"
"befolkning_botid","2015","0214","alle","personer","0_4","1432"
"befolkning_botid","2015","0215","1","personer","0_4","325"
"befolkning_botid","2015","0215","2","personer","0_4","163"
"befolkning_botid","2015","0215","alle","personer","0_4","488"
"befolkning_botid","2015","0216","1","personer","0_4","398"
"befolkning_botid","2015","0216","2","personer","0_4","201"
"befolkning_botid","2015","0216","alle","personer","0_4","599"
"befolkning_botid","2015","0217","1","personer","0_4","529"
"befolkning_botid","2015","0217","2","personer","0_4","402"
"befolkning_botid","2015","0217","alle","personer","0_4","931"
"befolkning_botid","2015","0219","1","personer","0_4","3903"
"befolkning_botid","2015","0219","2","personer","0_4","2806"
"befolkning_botid","2015","0219","alle","personer","0_4","6709"
"befolkning_botid","2015","0220","1","personer","0_4","2095"
"befolkning_botid","2015","0220","2","personer","0_4","1242"
"befolkning_botid","2015","0220","alle","personer","0_4","3337"
"befolkning_botid","2015","0221","1","personer","0_4","521"
"befolkning_botid","2015","0221","2","personer","0_4","153"
"befolkning_botid","2015","0221","alle","personer","0_4","674"
"befolkning_botid","2015","0226","1","personer","0_4","689"
"befolkning_botid","2015","0226","2","personer","0_4","171"
"befolkning_botid","2015","0226","alle","personer","0_4","860"
"befolkning_botid","2015","0227","1","personer","0_4","368"
"befolkning_botid","2015","0227","2","personer","0_4","104"
"befolkning_botid","2015","0227","alle","personer","0_4","472"
"befolkning_botid","2015","0228","1","personer","0_4","500"
"befolkning_botid","2015","0228","2","personer","0_4","306"
"befolkning_botid","2015","0228","alle","personer","0_4","806"
"befolkning_botid","2015","0229","1","personer","0_4","314"
"befolkning_botid","2015","0229","2","personer","0_4","123"
"befolkning_botid","2015","0229","alle","personer","0_4","437"
"befolkning_botid","2015","0230","1","personer","0_4","1149"
"befolkning_botid","2015","0230","2","personer","0_4","540"
"befolkning_botid","2015","0230","alle","personer","0_4","1689"
"befolkning_botid","2015","0231","1","personer","0_4","1459"
"befolkning_botid","2015","0231","2","personer","0_4","1030"
"befolkning_botid","2015","0231","alle","personer","0_4","2489"
"befolkning_botid","2015","0233","1","personer","0_4","587"
"befolkning_botid","2015","0233","2","personer","0_4","222"
"befolkning_botid","2015","0233","alle","personer","0_4","809"
"befolkning_botid","2015","0234","1","personer","0_4","282"
"befolkning_botid","2015","0234","2","personer","0_4","55"
"befolkning_botid","2015","0234","alle","personer","0_4","337"
"befolkning_botid","2015","0235","1","personer","0_4","1391"
"befolkning_botid","2015","0235","2","personer","0_4","551"
"befolkning_botid","2015","0235","alle","personer","0_4","1942"
"befolkning_botid","2015","0236","1","personer","0_4","520"
"befolkning_botid","2015","0236","2","personer","0_4","227"
"befolkning_botid","2015","0236","alle","personer","0_4","747"
"befolkning_botid","2015","0237","1","personer","0_4","594"
"befolkning_botid","2015","0237","2","personer","0_4","279"
"befolkning_botid","2015","0237","alle","personer","0_4","873"
"befolkning_botid","2015","0238","1","personer","0_4","515"
"befolkning_botid","2015","0238","2","personer","0_4","167"
"befolkning_botid","2015","0238","alle","personer","0_4","682"
"befolkning_botid","2015","0239","1","personer","0_4","55"
"befolkning_botid","2015","0239","2","personer","0_4","44"
"befolkning_botid","2015","0239","alle","personer","0_4","99"
"befolkning_botid","2015","0301","1","personer","0_4","30342"
"befolkning_botid","2015","0301","2","personer","0_4","21072"
"befolkning_botid","2015","0301","alle","personer","0_4","51414"
"befolkning_botid","2015","0402","1","personer","0_4","232"
"befolkning_botid","2015","0402","2","personer","0_4","316"
"befolkning_botid","2015","0402","alle","personer","0_4","548"
"befolkning_botid","2015","0403","1","personer","0_4","497"
"befolkning_botid","2015","0403","2","personer","0_4","547"
"befolkning_botid","2015","0403","alle","personer","0_4","1044"
"befolkning_botid","2015","0412","1","personer","0_4","800"
"befolkning_botid","2015","0412","2","personer","0_4","304"
"befolkning_botid","2015","0412","alle","personer","0_4","1104"
"befolkning_botid","2015","0415","1","personer","0_4","132"
"befolkning_botid","2015","0415","2","personer","0_4","99"
"befolkning_botid","2015","0415","alle","personer","0_4","231"
"befolkning_botid","2015","0417","1","personer","0_4","347"
"befolkning_botid","2015","0417","2","personer","0_4","336"
"befolkning_botid","2015","0417","alle","personer","0_4","683"
"befolkning_botid","2015","0418","1","personer","0_4","49"
"befolkning_botid","2015","0418","2","personer","0_4","30"
"befolkning_botid","2015","0418","alle","personer","0_4","79"
"befolkning_botid","2015","0419","1","personer","0_4","103"
"befolkning_botid","2015","0419","2","personer","0_4","62"
"befolkning_botid","2015","0419","alle","personer","0_4","165"
"befolkning_botid","2015","0420","1","personer","0_4","66"
"befolkning_botid","2015","0420","2","personer","0_4","47"
"befolkning_botid","2015","0420","alle","personer","0_4","113"
"befolkning_botid","2015","0423","1","personer","0_4","47"
"befolkning_botid","2015","0423","2","personer","0_4","60"
"befolkning_botid","2015","0423","alle","personer","0_4","107"
"befolkning_botid","2015","0425","1","personer","0_4","105"
"befolkning_botid","2015","0425","2","personer","0_4","176"
"befolkning_botid","2015","0425","alle","personer","0_4","281"
"befolkning_botid","2015","0426","1","personer","0_4","82"
"befolkning_botid","2015","0426","2","personer","0_4","21"
"befolkning_botid","2015","0426","alle","personer","0_4","103"
"befolkning_botid","2015","0427","1","personer","0_4","345"
"befolkning_botid","2015","0427","2","personer","0_4","323"
"befolkning_botid","2015","0427","alle","personer","0_4","668"
"befolkning_botid","2015","0428","1","personer","0_4","170"
"befolkning_botid","2015","0428","2","personer","0_4","91"
"befolkning_botid","2015","0428","alle","personer","0_4","261"
"befolkning_botid","2015","0429","1","personer","0_4","98"
"befolkning_botid","2015","0429","2","personer","0_4","27"
"befolkning_botid","2015","0429","alle","personer","0_4","125"
