"tabell_navn","aar","naringsregion_nr","vreg_3","enhet","botid_5","tabellvariabel"
"befolkning_botid","2015","01","1","personer","0_4","522"
"befolkning_botid","2015","01","2","personer","0_4","270"
"befolkning_botid","2015","01","alle","personer","0_4","792"
"befolkning_botid","2015","02","1","personer","0_4","1500"
"befolkning_botid","2015","02","2","personer","0_4","751"
"befolkning_botid","2015","02","alle","personer","0_4","2251"
"befolkning_botid","2015","03","1","personer","0_4","1449"
"befolkning_botid","2015","03","2","personer","0_4","829"
"befolkning_botid","2015","03","alle","personer","0_4","2278"
"befolkning_botid","2015","04","1","personer","0_4","2571"
"befolkning_botid","2015","04","2","personer","0_4","1681"
"befolkning_botid","2015","04","alle","personer","0_4","4252"
"befolkning_botid","2015","05","1","personer","0_4","5998"
"befolkning_botid","2015","05","2","personer","0_4","4048"
"befolkning_botid","2015","05","alle","personer","0_4","10046"
"befolkning_botid","2015","06","1","personer","0_4","3314"
"befolkning_botid","2015","06","2","personer","0_4","2163"
"befolkning_botid","2015","06","alle","personer","0_4","5477"
"befolkning_botid","2015","07","1","personer","0_4","5273"
"befolkning_botid","2015","07","2","personer","0_4","2526"
"befolkning_botid","2015","07","alle","personer","0_4","7799"
"befolkning_botid","2015","08","1","personer","0_4","3357"
"befolkning_botid","2015","08","2","personer","0_4","1323"
"befolkning_botid","2015","08","alle","personer","0_4","4680"
"befolkning_botid","2015","09","1","personer","0_4","30342"
"befolkning_botid","2015","09","2","personer","0_4","21072"
"befolkning_botid","2015","09","alle","personer","0_4","51414"
"befolkning_botid","2015","10","1","personer","0_4","321"
"befolkning_botid","2015","10","2","personer","0_4","235"
"befolkning_botid","2015","10","alle","personer","0_4","556"
"befolkning_botid","2015","11","1","personer","0_4","684"
"befolkning_botid","2015","11","2","personer","0_4","712"
"befolkning_botid","2015","11","alle","personer","0_4","1396"
"befolkning_botid","2015","12","1","personer","0_4","1776"
"befolkning_botid","2015","12","2","personer","0_4","1286"
"befolkning_botid","2015","12","alle","personer","0_4","3062"
"befolkning_botid","2015","13","1","personer","0_4","697"
"befolkning_botid","2015","13","2","personer","0_4","660"
"befolkning_botid","2015","13","alle","personer","0_4","1357"
"befolkning_botid","2015","14","1","personer","0_4","1351"
"befolkning_botid","2015","14","2","personer","0_4","1201"
"befolkning_botid","2015","14","alle","personer","0_4","2552"
"befolkning_botid","2015","15","1","personer","0_4","504"
"befolkning_botid","2015","15","2","personer","0_4","579"
"befolkning_botid","2015","15","alle","personer","0_4","1083"
"befolkning_botid","2015","16","1","personer","0_4","739"
"befolkning_botid","2015","16","2","personer","0_4","559"
"befolkning_botid","2015","16","alle","personer","0_4","1298"
"befolkning_botid","2015","17","1","personer","0_4","294"
"befolkning_botid","2015","17","2","personer","0_4","154"
"befolkning_botid","2015","17","alle","personer","0_4","448"
"befolkning_botid","2015","18","1","personer","0_4","270"
"befolkning_botid","2015","18","2","personer","0_4","394"
"befolkning_botid","2015","18","alle","personer","0_4","664"
"befolkning_botid","2015","19","1","personer","0_4","460"
"befolkning_botid","2015","19","2","personer","0_4","359"
"befolkning_botid","2015","19","alle","personer","0_4","819"
"befolkning_botid","2015","20","1","personer","0_4","6040"
"befolkning_botid","2015","20","2","personer","0_4","3163"
"befolkning_botid","2015","20","alle","personer","0_4","9203"
"befolkning_botid","2015","21","1","personer","0_4","832"
