"tabell_navn","aar","bydel_nr","enhet","flytting","innvkat_3","tabellvariabel"
"befolkning_flytting","2014","030101","personer","innflytting","alle","3012"
"befolkning_flytting","2014","030101","personer","innvandring","alle","1581"
"befolkning_flytting","2014","030101","personer","innvandring_og_innflytting","alle","4593"
"befolkning_flytting","2014","030101","personer","nettoinnflytting","alle","384"
"befolkning_flytting","2014","030101","personer","nettoinnvandring","alle","806"
"befolkning_flytting","2014","030101","personer","nettoinnvandring_og_nettoinnflytting","alle","1190"
"befolkning_flytting","2014","030101","personer","utflytting","alle","2628"
"befolkning_flytting","2014","030101","personer","utvandring","alle","775"
"befolkning_flytting","2014","030101","personer","utvandring_og_utflytting","alle","3403"
"befolkning_flytting","2014","030102","personer","innflytting","alle","4370"
"befolkning_flytting","2014","030102","personer","innvandring","alle","1864"
"befolkning_flytting","2014","030102","personer","innvandring_og_innflytting","alle","6234"
"befolkning_flytting","2014","030102","personer","nettoinnflytting","alle","1051"
"befolkning_flytting","2014","030102","personer","nettoinnvandring","alle","935"
"befolkning_flytting","2014","030102","personer","nettoinnvandring_og_nettoinnflytting","alle","1986"
"befolkning_flytting","2014","030102","personer","utflytting","alle","3319"
"befolkning_flytting","2014","030102","personer","utvandring","alle","929"
"befolkning_flytting","2014","030102","personer","utvandring_og_utflytting","alle","4248"
"befolkning_flytting","2014","030103","personer","innflytting","alle","2922"
"befolkning_flytting","2014","030103","personer","innvandring","alle","856"
"befolkning_flytting","2014","030103","personer","innvandring_og_innflytting","alle","3778"
"befolkning_flytting","2014","030103","personer","nettoinnflytting","alle","349"
"befolkning_flytting","2014","030103","personer","nettoinnvandring","alle","355"
"befolkning_flytting","2014","030103","personer","nettoinnvandring_og_nettoinnflytting","alle","704"
"befolkning_flytting","2014","030103","personer","utflytting","alle","2573"
"befolkning_flytting","2014","030103","personer","utvandring","alle","501"
"befolkning_flytting","2014","030103","personer","utvandring_og_utflytting","alle","3074"
"befolkning_flytting","2014","030104","personer","innflytting","alle","3263"
"befolkning_flytting","2014","030104","personer","innvandring","alle","1443"
"befolkning_flytting","2014","030104","personer","innvandring_og_innflytting","alle","4706"
"befolkning_flytting","2014","030104","personer","nettoinnflytting","alle","859"
"befolkning_flytting","2014","030104","personer","nettoinnvandring","alle","757"
"befolkning_flytting","2014","030104","personer","nettoinnvandring_og_nettoinnflytting","alle","1616"
"befolkning_flytting","2014","030104","personer","utflytting","alle","2404"
"befolkning_flytting","2014","030104","personer","utvandring","alle","686"
"befolkning_flytting","2014","030104","personer","utvandring_og_utflytting","alle","3090"
"befolkning_flytting","2014","030105","personer","innflytting","alle","4209"
"befolkning_flytting","2014","030105","personer","innvandring","alle","2598"
"befolkning_flytting","2014","030105","personer","innvandring_og_innflytting","alle","6807"
"befolkning_flytting","2014","030105","personer","nettoinnflytting","alle","1036"
"befolkning_flytting","2014","030105","personer","nettoinnvandring","alle","1209"
"befolkning_flytting","2014","030105","personer","nettoinnvandring_og_nettoinnflytting","alle","2245"
"befolkning_flytting","2014","030105","personer","utflytting","alle","3173"
"befolkning_flytting","2014","030105","personer","utvandring","alle","1389"
"befolkning_flytting","2014","030105","personer","utvandring_og_utflytting","alle","4562"
"befolkning_flytting","2014","030106","personer","innflytting","alle","1075"
"befolkning_flytting","2014","030106","personer","innvandring","alle","597"
"befolkning_flytting","2014","030106","personer","innvandring_og_innflytting","alle","1672"
"befolkning_flytting","2014","030106","personer","nettoinnflytting","alle","-299"
"befolkning_flytting","2014","030106","personer","nettoinnvandring","alle","310"
"befolkning_flytting","2014","030106","personer","nettoinnvandring_og_nettoinnflytting","alle","11"
"befolkning_flytting","2014","030106","personer","utflytting","alle","1374"
"befolkning_flytting","2014","030106","personer","utvandring","alle","287"
"befolkning_flytting","2014","030106","personer","utvandring_og_utflytting","alle","1661"
"befolkning_flytting","2014","030107","personer","innflytting","alle","1324"
"befolkning_flytting","2014","030107","personer","innvandring","alle","985"
"befolkning_flytting","2014","030107","personer","innvandring_og_innflytting","alle","2309"
"befolkning_flytting","2014","030107","personer","nettoinnflytting","alle","-304"
"befolkning_flytting","2014","030107","personer","nettoinnvandring","alle","465"
"befolkning_flytting","2014","030107","personer","nettoinnvandring_og_nettoinnflytting","alle","161"
"befolkning_flytting","2014","030107","personer","utflytting","alle","1628"
"befolkning_flytting","2014","030107","personer","utvandring","alle","520"
"befolkning_flytting","2014","030107","personer","utvandring_og_utflytting","alle","2148"
"befolkning_flytting","2014","030108","personer","innflytting","alle","1820"
"befolkning_flytting","2014","030108","personer","innvandring","alle","1193"
"befolkning_flytting","2014","030108","personer","innvandring_og_innflytting","alle","3013"
"befolkning_flytting","2014","030108","personer","nettoinnflytting","alle","-45"
"befolkning_flytting","2014","030108","personer","nettoinnvandring","alle","572"
"befolkning_flytting","2014","030108","personer","nettoinnvandring_og_nettoinnflytting","alle","527"
"befolkning_flytting","2014","030108","personer","utflytting","alle","1865"
"befolkning_flytting","2014","030108","personer","utvandring","alle","621"
"befolkning_flytting","2014","030108","personer","utvandring_og_utflytting","alle","2486"
"befolkning_flytting","2014","030109","personer","innflytting","alle","979"
"befolkning_flytting","2014","030109","personer","innvandring","alle","710"
"befolkning_flytting","2014","030109","personer","innvandring_og_innflytting","alle","1689"
"befolkning_flytting","2014","030109","personer","nettoinnflytting","alle","-476"
"befolkning_flytting","2014","030109","personer","nettoinnvandring","alle","377"
"befolkning_flytting","2014","030109","personer","nettoinnvandring_og_nettoinnflytting","alle","-99"
"befolkning_flytting","2014","030109","personer","utflytting","alle","1455"
"befolkning_flytting","2014","030109","personer","utvandring","alle","333"
"befolkning_flytting","2014","030109","personer","utvandring_og_utflytting","alle","1788"
"befolkning_flytting","2014","030110","personer","innflytting","alle","647"
"befolkning_flytting","2014","030110","personer","innvandring","alle","441"
"befolkning_flytting","2014","030110","personer","innvandring_og_innflytting","alle","1088"
"befolkning_flytting","2014","030110","personer","nettoinnflytting","alle","-345"
"befolkning_flytting","2014","030110","personer","nettoinnvandring","alle","244"
"befolkning_flytting","2014","030110","personer","nettoinnvandring_og_nettoinnflytting","alle","-101"
"befolkning_flytting","2014","030110","personer","utflytting","alle","992"
"befolkning_flytting","2014","030110","personer","utvandring","alle","197"
"befolkning_flytting","2014","030110","personer","utvandring_og_utflytting","alle","1189"
"befolkning_flytting","2014","030111","personer","innflytting","alle","870"
"befolkning_flytting","2014","030111","personer","innvandring","alle","656"
"befolkning_flytting","2014","030111","personer","innvandring_og_innflytting","alle","1526"
"befolkning_flytting","2014","030111","personer","nettoinnflytting","alle","-300"
"befolkning_flytting","2014","030111","personer","nettoinnvandring","alle","356"
"befolkning_flytting","2014","030111","personer","nettoinnvandring_og_nettoinnflytting","alle","56"
"befolkning_flytting","2014","030111","personer","utflytting","alle","1170"
"befolkning_flytting","2014","030111","personer","utvandring","alle","300"
"befolkning_flytting","2014","030111","personer","utvandring_og_utflytting","alle","1470"
"befolkning_flytting","2014","030112","personer","innflytting","alle","1345"
"befolkning_flytting","2014","030112","personer","innvandring","alle","770"
"befolkning_flytting","2014","030112","personer","innvandring_og_innflytting","alle","2115"
"befolkning_flytting","2014","030112","personer","nettoinnflytting","alle","-477"
"befolkning_flytting","2014","030112","personer","nettoinnvandring","alle","370"
"befolkning_flytting","2014","030112","personer","nettoinnvandring_og_nettoinnflytting","alle","-107"
"befolkning_flytting","2014","030112","personer","utflytting","alle","1822"
"befolkning_flytting","2014","030112","personer","utvandring","alle","400"
"befolkning_flytting","2014","030112","personer","utvandring_og_utflytting","alle","2222"
"befolkning_flytting","2014","030113","personer","innflytting","alle","1062"
"befolkning_flytting","2014","030113","personer","innvandring","alle","499"
"befolkning_flytting","2014","030113","personer","innvandring_og_innflytting","alle","1561"
"befolkning_flytting","2014","030113","personer","nettoinnflytting","alle","-545"
"befolkning_flytting","2014","030113","personer","nettoinnvandring","alle","257"
"befolkning_flytting","2014","030113","personer","nettoinnvandring_og_nettoinnflytting","alle","-288"
"befolkning_flytting","2014","030113","personer","utflytting","alle","1607"
"befolkning_flytting","2014","030113","personer","utvandring","alle","242"
"befolkning_flytting","2014","030113","personer","utvandring_og_utflytting","alle","1849"
"befolkning_flytting","2014","030114","personer","innflytting","alle","1297"
"befolkning_flytting","2014","030114","personer","innvandring","alle","672"
"befolkning_flytting","2014","030114","personer","innvandring_og_innflytting","alle","1969"
"befolkning_flytting","2014","030114","personer","nettoinnflytting","alle","-388"
"befolkning_flytting","2014","030114","personer","nettoinnvandring","alle","389"
"befolkning_flytting","2014","030114","personer","nettoinnvandring_og_nettoinnflytting","alle","1"
"befolkning_flytting","2014","030114","personer","utflytting","alle","1685"
"befolkning_flytting","2014","030114","personer","utvandring","alle","283"
"befolkning_flytting","2014","030114","personer","utvandring_og_utflytting","alle","1968"
"befolkning_flytting","2014","030115","personer","innflytting","alle","1076"
"befolkning_flytting","2014","030115","personer","innvandring","alle","739"
"befolkning_flytting","2014","030115","personer","innvandring_og_innflytting","alle","1815"
"befolkning_flytting","2014","030115","personer","nettoinnflytting","alle","-300"
"befolkning_flytting","2014","030115","personer","nettoinnvandring","alle","391"
"befolkning_flytting","2014","030115","personer","nettoinnvandring_og_nettoinnflytting","alle","91"
"befolkning_flytting","2014","030115","personer","utflytting","alle","1376"
"befolkning_flytting","2014","030115","personer","utvandring","alle","348"
"befolkning_flytting","2014","030115","personer","utvandring_og_utflytting","alle","1724"
"befolkning_flytting","2014","030116","personer","innflytting","alle","145"
"befolkning_flytting","2014","030116","personer","innvandring","alle","121"
"befolkning_flytting","2014","030116","personer","innvandring_og_innflytting","alle","266"
"befolkning_flytting","2014","030116","personer","nettoinnflytting","alle","62"
"befolkning_flytting","2014","030116","personer","nettoinnvandring","alle","58"
"befolkning_flytting","2014","030116","personer","nettoinnvandring_og_nettoinnflytting","alle","120"
"befolkning_flytting","2014","030116","personer","utflytting","alle","83"
"befolkning_flytting","2014","030116","personer","utvandring","alle","63"
