"tabell_navn","aar","fylke_nr","enhet","flytting","innvkat_3","tabellvariabel"
"befolkning_flytting","2014","00","personer","innflytting","alle","237861"
"befolkning_flytting","2014","00","personer","innvandring","alle","70030"
"befolkning_flytting","2014","00","personer","innvandring_og_innflytting","alle","307891"
"befolkning_flytting","2014","00","personer","nettoinnflytting","alle","0"
"befolkning_flytting","2014","00","personer","nettoinnvandring","alle","38155"
"befolkning_flytting","2014","00","personer","nettoinnvandring_og_nettoinnflytting","alle","38155"
"befolkning_flytting","2014","00","personer","utflytting","alle","237861"
"befolkning_flytting","2014","00","personer","utvandring","alle","31875"
"befolkning_flytting","2014","00","personer","utvandring_og_utflytting","alle","269736"
"befolkning_flytting","2014","01","personer","innflytting","alle","7295"
"befolkning_flytting","2014","01","personer","innvandring","alle","2238"
"befolkning_flytting","2014","01","personer","innvandring_og_innflytting","alle","9533"
"befolkning_flytting","2014","01","personer","nettoinnflytting","alle","1136"
"befolkning_flytting","2014","01","personer","nettoinnvandring","alle","874"
"befolkning_flytting","2014","01","personer","nettoinnvandring_og_nettoinnflytting","alle","2010"
"befolkning_flytting","2014","01","personer","utflytting","alle","6159"
"befolkning_flytting","2014","01","personer","utvandring","alle","1364"
"befolkning_flytting","2014","01","personer","utvandring_og_utflytting","alle","7523"
"befolkning_flytting","2014","02","personer","innflytting","alle","23643"
"befolkning_flytting","2014","02","personer","innvandring","alle","7237"
"befolkning_flytting","2014","02","personer","innvandring_og_innflytting","alle","30880"
"befolkning_flytting","2014","02","personer","nettoinnflytting","alle","3005"
"befolkning_flytting","2014","02","personer","nettoinnvandring","alle","3711"
"befolkning_flytting","2014","02","personer","nettoinnvandring_og_nettoinnflytting","alle","6716"
"befolkning_flytting","2014","02","personer","utflytting","alle","20638"
"befolkning_flytting","2014","02","personer","utvandring","alle","3526"
"befolkning_flytting","2014","02","personer","utvandring_og_utflytting","alle","24164"
"befolkning_flytting","2014","03","personer","innflytting","alle","29590"
"befolkning_flytting","2014","03","personer","innvandring","alle","15773"
"befolkning_flytting","2014","03","personer","innvandring_og_innflytting","alle","45363"
"befolkning_flytting","2014","03","personer","nettoinnflytting","alle","102"
"befolkning_flytting","2014","03","personer","nettoinnvandring","alle","7087"
"befolkning_flytting","2014","03","personer","nettoinnvandring_og_nettoinnflytting","alle","7189"
"befolkning_flytting","2014","03","personer","utflytting","alle","29488"
"befolkning_flytting","2014","03","personer","utvandring","alle","8686"
"befolkning_flytting","2014","03","personer","utvandring_og_utflytting","alle","38174"
"befolkning_flytting","2014","04","personer","innflytting","alle","4760"
"befolkning_flytting","2014","04","personer","innvandring","alle","1929"
"befolkning_flytting","2014","04","personer","innvandring_og_innflytting","alle","6689"
"befolkning_flytting","2014","04","personer","nettoinnflytting","alle","-213"
"befolkning_flytting","2014","04","personer","nettoinnvandring","alle","1333"
"befolkning_flytting","2014","04","personer","nettoinnvandring_og_nettoinnflytting","alle","1120"
"befolkning_flytting","2014","04","personer","utflytting","alle","4973"
"befolkning_flytting","2014","04","personer","utvandring","alle","596"
"befolkning_flytting","2014","04","personer","utvandring_og_utflytting","alle","5569"
"befolkning_flytting","2014","05","personer","innflytting","alle","4744"
"befolkning_flytting","2014","05","personer","innvandring","alle","2004"
"befolkning_flytting","2014","05","personer","innvandring_og_innflytting","alle","6748"
"befolkning_flytting","2014","05","personer","nettoinnflytting","alle","-295"
"befolkning_flytting","2014","05","personer","nettoinnvandring","alle","1522"
"befolkning_flytting","2014","05","personer","nettoinnvandring_og_nettoinnflytting","alle","1227"
"befolkning_flytting","2014","05","personer","utflytting","alle","5039"
"befolkning_flytting","2014","05","personer","utvandring","alle","482"
"befolkning_flytting","2014","05","personer","utvandring_og_utflytting","alle","5521"
"befolkning_flytting","2014","06","personer","innflytting","alle","7943"
