"tabell_navn","aar","naringsregion_nr","enhet","flytting","innvkat_3","tabellvariabel"
"befolkning_flytting","2014","01","personer","innflytting","alle","1213"
"befolkning_flytting","2014","01","personer","innvandring","alle","207"
"befolkning_flytting","2014","01","personer","innvandring_og_innflytting","alle","1420"
"befolkning_flytting","2014","01","personer","nettoinnflytting","alle","170"
"befolkning_flytting","2014","01","personer","nettoinnvandring","alle","51"
"befolkning_flytting","2014","01","personer","nettoinnvandring_og_nettoinnflytting","alle","221"
"befolkning_flytting","2014","01","personer","utflytting","alle","1043"
"befolkning_flytting","2014","01","personer","utvandring","alle","156"
"befolkning_flytting","2014","01","personer","utvandring_og_utflytting","alle","1199"
"befolkning_flytting","2014","02","personer","innflytting","alle","2428"
"befolkning_flytting","2014","02","personer","innvandring","alle","510"
"befolkning_flytting","2014","02","personer","innvandring_og_innflytting","alle","2938"
"befolkning_flytting","2014","02","personer","nettoinnflytting","alle","34"
"befolkning_flytting","2014","02","personer","nettoinnvandring","alle","274"
"befolkning_flytting","2014","02","personer","nettoinnvandring_og_nettoinnflytting","alle","308"
"befolkning_flytting","2014","02","personer","utflytting","alle","2394"
"befolkning_flytting","2014","02","personer","utvandring","alle","236"
"befolkning_flytting","2014","02","personer","utvandring_og_utflytting","alle","2630"
"befolkning_flytting","2014","03","personer","innflytting","alle","2606"
"befolkning_flytting","2014","03","personer","innvandring","alle","571"
"befolkning_flytting","2014","03","personer","innvandring_og_innflytting","alle","3177"
"befolkning_flytting","2014","03","personer","nettoinnflytting","alle","482"
"befolkning_flytting","2014","03","personer","nettoinnvandring","alle","295"
"befolkning_flytting","2014","03","personer","nettoinnvandring_og_nettoinnflytting","alle","777"
"befolkning_flytting","2014","03","personer","utflytting","alle","2124"
"befolkning_flytting","2014","03","personer","utvandring","alle","276"
"befolkning_flytting","2014","03","personer","utvandring_og_utflytting","alle","2400"
"befolkning_flytting","2014","04","personer","innflytting","alle","4065"
"befolkning_flytting","2014","04","personer","innvandring","alle","950"
"befolkning_flytting","2014","04","personer","innvandring_og_innflytting","alle","5015"
"befolkning_flytting","2014","04","personer","nettoinnflytting","alle","450"
"befolkning_flytting","2014","04","personer","nettoinnvandring","alle","254"
"befolkning_flytting","2014","04","personer","nettoinnvandring_og_nettoinnflytting","alle","704"
"befolkning_flytting","2014","04","personer","utflytting","alle","3615"
"befolkning_flytting","2014","04","personer","utvandring","alle","696"
"befolkning_flytting","2014","04","personer","utvandring_og_utflytting","alle","4311"
"befolkning_flytting","2014","05","personer","innflytting","alle","9009"
"befolkning_flytting","2014","05","personer","innvandring","alle","2896"
"befolkning_flytting","2014","05","personer","innvandring_og_innflytting","alle","11905"
"befolkning_flytting","2014","05","personer","nettoinnflytting","alle","1220"
"befolkning_flytting","2014","05","personer","nettoinnvandring","alle","1419"
"befolkning_flytting","2014","05","personer","nettoinnvandring_og_nettoinnflytting","alle","2639"
"befolkning_flytting","2014","05","personer","utflytting","alle","7789"
"befolkning_flytting","2014","05","personer","utvandring","alle","1477"
"befolkning_flytting","2014","05","personer","utvandring_og_utflytting","alle","9266"
"befolkning_flytting","2014","06","personer","innflytting","alle","6333"
"befolkning_flytting","2014","06","personer","innvandring","alle","1500"
"befolkning_flytting","2014","06","personer","innvandring_og_innflytting","alle","7833"
"befolkning_flytting","2014","06","personer","nettoinnflytting","alle","321"
"befolkning_flytting","2014","06","personer","nettoinnvandring","alle","771"
"befolkning_flytting","2014","06","personer","nettoinnvandring_og_nettoinnflytting","alle","1092"
"befolkning_flytting","2014","06","personer","utflytting","alle","6012"
"befolkning_flytting","2014","06","personer","utvandring","alle","729"
"befolkning_flytting","2014","06","personer","utvandring_og_utflytting","alle","6741"
"befolkning_flytting","2014","07","personer","innflytting","alle","8026"
"befolkning_flytting","2014","07","personer","innvandring","alle","1824"
"befolkning_flytting","2014","07","personer","innvandring_og_innflytting","alle","9850"
"befolkning_flytting","2014","07","personer","nettoinnflytting","alle","551"
"befolkning_flytting","2014","07","personer","nettoinnvandring","alle","918"
"befolkning_flytting","2014","07","personer","nettoinnvandring_og_nettoinnflytting","alle","1469"
"befolkning_flytting","2014","07","personer","utflytting","alle","7475"
"befolkning_flytting","2014","07","personer","utvandring","alle","906"
"befolkning_flytting","2014","07","personer","utvandring_og_utflytting","alle","8381"
"befolkning_flytting","2014","08","personer","innflytting","alle","4696"
"befolkning_flytting","2014","08","personer","innvandring","alle","1017"
"befolkning_flytting","2014","08","personer","innvandring_og_innflytting","alle","5713"
"befolkning_flytting","2014","08","personer","nettoinnflytting","alle","913"
"befolkning_flytting","2014","08","personer","nettoinnvandring","alle","603"
"befolkning_flytting","2014","08","personer","nettoinnvandring_og_nettoinnflytting","alle","1516"
"befolkning_flytting","2014","08","personer","utflytting","alle","3783"
"befolkning_flytting","2014","08","personer","utvandring","alle","414"
"befolkning_flytting","2014","08","personer","utvandring_og_utflytting","alle","4197"
"befolkning_flytting","2014","09","personer","innflytting","alle","29590"
"befolkning_flytting","2014","09","personer","innvandring","alle","15773"
"befolkning_flytting","2014","09","personer","innvandring_og_innflytting","alle","45363"
"befolkning_flytting","2014","09","personer","nettoinnflytting","alle","102"
"befolkning_flytting","2014","09","personer","nettoinnvandring","alle","7087"
"befolkning_flytting","2014","09","personer","nettoinnvandring_og_nettoinnflytting","alle","7189"
"befolkning_flytting","2014","09","personer","utflytting","alle","29488"
"befolkning_flytting","2014","09","personer","utvandring","alle","8686"
"befolkning_flytting","2014","09","personer","utvandring_og_utflytting","alle","38174"
"befolkning_flytting","2014","10","personer","innflytting","alle","436"
"befolkning_flytting","2014","10","personer","innvandring","alle","98"
"befolkning_flytting","2014","10","personer","innvandring_og_innflytting","alle","534"
"befolkning_flytting","2014","10","personer","nettoinnflytting","alle","-51"
"befolkning_flytting","2014","10","personer","nettoinnvandring","alle","54"
"befolkning_flytting","2014","10","personer","nettoinnvandring_og_nettoinnflytting","alle","3"
"befolkning_flytting","2014","10","personer","utflytting","alle","487"
"befolkning_flytting","2014","10","personer","utvandring","alle","44"
"befolkning_flytting","2014","10","personer","utvandring_og_utflytting","alle","531"
"befolkning_flytting","2014","11","personer","innflytting","alle","1521"
"befolkning_flytting","2014","11","personer","innvandring","alle","572"
"befolkning_flytting","2014","11","personer","innvandring_og_innflytting","alle","2093"
"befolkning_flytting","2014","11","personer","nettoinnflytting","alle","-199"
"befolkning_flytting","2014","11","personer","nettoinnvandring","alle","403"
"befolkning_flytting","2014","11","personer","nettoinnvandring_og_nettoinnflytting","alle","204"
