"aar","bydel_nr","flytting","innvkat_3","enhet","tabellvariabel","tabell_navn","fylke_nr","Fylke","naringsregion_nr","kommune_nr"
2013,"000301","innvandring","alle","personer","16800","befolkning_flytting","NULL","NULL","NULL","NULL"
2013,"000301","innvandring","innvandrere","personer","14601","befolkning_flytting","NULL","NULL","NULL","NULL"
2013,"000301","innvandring","befolkningen_ellers","personer","2199","befolkning_flytting","NULL","NULL","NULL","NULL"
2013,"000301","utvandring","alle","personer","10563","befolkning_flytting","NULL","NULL","NULL","NULL"
2013,"000301","utvandring","innvandrere","personer","7616","befolkning_flytting","NULL","NULL","NULL","NULL"
2013,"000301","utvandring","befolkningen_ellers","personer","2947","befolkning_flytting","NULL","NULL","NULL","NULL"
2013,"000301","nettoinnvandring","alle","personer","6237","befolkning_flytting","NULL","NULL","NULL","NULL"
2013,"000301","nettoinnvandring","innvandrere","personer","6985","befolkning_flytting","NULL","NULL","NULL","NULL"
2013,"000301","nettoinnvandring","befolkningen_ellers","personer","-748","befolkning_flytting","NULL","NULL","NULL","NULL"
2013,"000301","innflytting","alle","personer","28840","befolkning_flytting","NULL","NULL","NULL","NULL"
2013,"000301","innflytting","innvandrere","personer","6521","befolkning_flytting","NULL","NULL","NULL","NULL"
2013,"000301","innflytting","befolkningen_ellers","personer","22319","befolkning_flytting","NULL","NULL","NULL","NULL"
2013,"000301","utflytting","alle","personer","30173","befolkning_flytting","NULL","NULL","NULL","NULL"
2013,"000301","utflytting","innvandrere","personer","6601","befolkning_flytting","NULL","NULL","NULL","NULL"
2013,"000301","utflytting","befolkningen_ellers","personer","23572","befolkning_flytting","NULL","NULL","NULL","NULL"
2013,"000301","nettoinnflytting","alle","personer","-1333","befolkning_flytting","NULL","NULL","NULL","NULL"
2013,"000301","nettoinnflytting","innvandrere","personer","-80","befolkning_flytting","NULL","NULL","NULL","NULL"
2013,"000301","nettoinnflytting","befolkningen_ellers","personer","-1253","befolkning_flytting","NULL","NULL","NULL","NULL"
2013,"000301","innvandring_og_innflytting","alle","personer","45640","befolkning_flytting","NULL","NULL","NULL","NULL"
2013,"000301","innvandring_og_innflytting","innvandrere","personer","21122","befolkning_flytting","NULL","NULL","NULL","NULL"
2013,"000301","innvandring_og_innflytting","befolkningen_ellers","personer","24518","befolkning_flytting","NULL","NULL","NULL","NULL"
2013,"000301","utvandring_og_utflytting","alle","personer","40736","befolkning_flytting","NULL","NULL","NULL","NULL"
