"aar","bydel_nr","flytting","vreg_3","enhet","tabellvariabel","tabell_navn","fylke_nr","Fylke","naringsregion_nr","kommune_nr"
2013,"000301","innvandring","1","personer","8689","befolkning_flytting_vreg","NULL","NULL","NULL","NULL"
2013,"000301","innvandring","2","personer","5912","befolkning_flytting_vreg","NULL","NULL","NULL","NULL"
2013,"000301","innvandring","alle","personer","14601","befolkning_flytting_vreg","NULL","NULL","NULL","NULL"
2013,"000301","utvandring","1","personer","4407","befolkning_flytting_vreg","NULL","NULL","NULL","NULL"
2013,"000301","utvandring","2","personer","3209","befolkning_flytting_vreg","NULL","NULL","NULL","NULL"
2013,"000301","utvandring","alle","personer","7616","befolkning_flytting_vreg","NULL","NULL","NULL","NULL"
2013,"000301","nettoinnvandring","1","personer","4282","befolkning_flytting_vreg","NULL","NULL","NULL","NULL"
2013,"000301","nettoinnvandring","2","personer","2703","befolkning_flytting_vreg","NULL","NULL","NULL","NULL"
2013,"000301","nettoinnvandring","alle","personer","6985","befolkning_flytting_vreg","NULL","NULL","NULL","NULL"
2013,"000301","innflytting","1","personer","2463","befolkning_flytting_vreg","NULL","NULL","NULL","NULL"
2013,"000301","innflytting","2","personer","4058","befolkning_flytting_vreg","NULL","NULL","NULL","NULL"
2013,"000301","innflytting","alle","personer","6521","befolkning_flytting_vreg","NULL","NULL","NULL","NULL"
2013,"000301","utflytting","1","personer","3015","befolkning_flytting_vreg","NULL","NULL","NULL","NULL"
2013,"000301","utflytting","2","personer","3586","befolkning_flytting_vreg","NULL","NULL","NULL","NULL"
2013,"000301","utflytting","alle","personer","6601","befolkning_flytting_vreg","NULL","NULL","NULL","NULL"
2013,"000301","nettoinnflytting","1","personer","-552","befolkning_flytting_vreg","NULL","NULL","NULL","NULL"
2013,"000301","nettoinnflytting","2","personer","472","befolkning_flytting_vreg","NULL","NULL","NULL","NULL"
2013,"000301","nettoinnflytting","alle","personer","-80","befolkning_flytting_vreg","NULL","NULL","NULL","NULL"
2013,"000301","innvandring_og_innflytting","1","personer","11152","befolkning_flytting_vreg","NULL","NULL","NULL","NULL"
2013,"000301","innvandring_og_innflytting","2","personer","9970","befolkning_flytting_vreg","NULL","NULL","NULL","NULL"
2013,"000301","innvandring_og_innflytting","alle","personer","21122","befolkning_flytting_vreg","NULL","NULL","NULL","NULL"
2013,"000301","utvandring_og_utflytting","1","personer","7422","befolkning_flytting_vreg","NULL","NULL","NULL","NULL"
2013,"000301","utvandring_og_utflytting","2","personer","6795","befolkning_flytting_vreg","NULL","NULL","NULL","NULL"
2013,"000301","utvandring_og_utflytting","alle","personer","14217","befolkning_flytting_vreg","NULL","NULL","NULL","NULL"
2013,"000301","nettoinnvandring_og_nettoinnflytting","1","personer","3730","befolkning_flytting_vreg","NULL","NULL","NULL","NULL"
