"tabell_navn","aar","bydel_nr","vreg_3","enhet","tabellvariabel","flytting"
"befolkning_flytting_vreg","2014","030101","alle","personer","1371","innvandring"
"befolkning_flytting_vreg","2014","030102","alle","personer","1681","innvandring"
"befolkning_flytting_vreg","2014","030103","alle","personer","719","innvandring"
"befolkning_flytting_vreg","2014","030104","alle","personer","1271","innvandring"
"befolkning_flytting_vreg","2014","030105","alle","personer","2266","innvandring"
"befolkning_flytting_vreg","2014","030106","alle","personer","481","innvandring"
"befolkning_flytting_vreg","2014","030107","alle","personer","792","innvandring"
"befolkning_flytting_vreg","2014","030108","alle","personer","1065","innvandring"
"befolkning_flytting_vreg","2014","030109","alle","personer","630","innvandring"
"befolkning_flytting_vreg","2014","030110","alle","personer","381","innvandring"
"befolkning_flytting_vreg","2014","030111","alle","personer","540","innvandring"
"befolkning_flytting_vreg","2014","030112","alle","personer","665","innvandring"
"befolkning_flytting_vreg","2014","030113","alle","personer","426","innvandring"
"befolkning_flytting_vreg","2014","030114","alle","personer","554","innvandring"
"befolkning_flytting_vreg","2014","030115","alle","personer","617","innvandring"
"befolkning_flytting_vreg","2014","030116","alle","personer","116","innvandring"
"befolkning_flytting_vreg","2014","030117","alle","personer","19","innvandring"
"befolkning_flytting_vreg","2014","030199","alle","personer","21","innvandring"
"befolkning_flytting_vreg","2014","030101","1","personer","769","innvandring"
"befolkning_flytting_vreg","2014","030101","2","personer","602","innvandring"
"befolkning_flytting_vreg","2014","030102","1","personer","1117","innvandring"
"befolkning_flytting_vreg","2014","030102","2","personer","564","innvandring"
"befolkning_flytting_vreg","2014","030103","1","personer","461","innvandring"
"befolkning_flytting_vreg","2014","030103","2","personer","258","innvandring"
"befolkning_flytting_vreg","2014","030104","1","personer","787","innvandring"
"befolkning_flytting_vreg","2014","030104","2","personer","484","innvandring"
"befolkning_flytting_vreg","2014","030105","1","personer","1478","innvandring"
"befolkning_flytting_vreg","2014","030105","2","personer","788","innvandring"
"befolkning_flytting_vreg","2014","030106","1","personer","288","innvandring"
"befolkning_flytting_vreg","2014","030106","2","personer","193","innvandring"
"befolkning_flytting_vreg","2014","030107","1","personer","465","innvandring"
"befolkning_flytting_vreg","2014","030107","2","personer","327","innvandring"
"befolkning_flytting_vreg","2014","030108","1","personer","502","innvandring"
"befolkning_flytting_vreg","2014","030108","2","personer","563","innvandring"
"befolkning_flytting_vreg","2014","030109","1","personer","309","innvandring"
"befolkning_flytting_vreg","2014","030109","2","personer","321","innvandring"
"befolkning_flytting_vreg","2014","030110","1","personer","156","innvandring"
"befolkning_flytting_vreg","2014","030110","2","personer","225","innvandring"
"befolkning_flytting_vreg","2014","030111","1","personer","228","innvandring"
"befolkning_flytting_vreg","2014","030111","2","personer","312","innvandring"
"befolkning_flytting_vreg","2014","030112","1","personer","286","innvandring"
"befolkning_flytting_vreg","2014","030112","2","personer","379","innvandring"
"befolkning_flytting_vreg","2014","030113","1","personer","220","innvandring"
"befolkning_flytting_vreg","2014","030113","2","personer","206","innvandring"
"befolkning_flytting_vreg","2014","030114","1","personer","360","innvandring"
"befolkning_flytting_vreg","2014","030114","2","personer","194","innvandring"
"befolkning_flytting_vreg","2014","030115","1","personer","319","innvandring"
"befolkning_flytting_vreg","2014","030115","2","personer","298","innvandring"
"befolkning_flytting_vreg","2014","030116","1","personer","85","innvandring"
"befolkning_flytting_vreg","2014","030116","2","personer","31","innvandring"
"befolkning_flytting_vreg","2014","030117","1","personer","17","innvandring"
"befolkning_flytting_vreg","2014","030117","2","personer","2","innvandring"
"befolkning_flytting_vreg","2014","030199","1","personer","7","innvandring"
"befolkning_flytting_vreg","2014","030199","2","personer","14","innvandring"
"befolkning_flytting_vreg","2014","030101","alle","personer","510","utvandring"
"befolkning_flytting_vreg","2014","030102","alle","personer","713","utvandring"
"befolkning_flytting_vreg","2014","030103","alle","personer","334","utvandring"
"befolkning_flytting_vreg","2014","030104","alle","personer","556","utvandring"
"befolkning_flytting_vreg","2014","030105","alle","personer","1132","utvandring"
"befolkning_flytting_vreg","2014","030106","alle","personer","210","utvandring"
"befolkning_flytting_vreg","2014","030107","alle","personer","382","utvandring"
"befolkning_flytting_vreg","2014","030108","alle","personer","521","utvandring"
"befolkning_flytting_vreg","2014","030109","alle","personer","210","utvandring"
"befolkning_flytting_vreg","2014","030110","alle","personer","121","utvandring"
"befolkning_flytting_vreg","2014","030111","alle","personer","163","utvandring"
"befolkning_flytting_vreg","2014","030112","alle","personer","261","utvandring"
"befolkning_flytting_vreg","2014","030113","alle","personer","142","utvandring"
"befolkning_flytting_vreg","2014","030114","alle","personer","196","utvandring"
"befolkning_flytting_vreg","2014","030115","alle","personer","210","utvandring"
"befolkning_flytting_vreg","2014","030116","alle","personer","57","utvandring"
"befolkning_flytting_vreg","2014","030117","alle","personer","5","utvandring"
"befolkning_flytting_vreg","2014","030199","alle","personer","690","utvandring"
"befolkning_flytting_vreg","2014","030101","1","personer","292","utvandring"
"befolkning_flytting_vreg","2014","030101","2","personer","218","utvandring"
"befolkning_flytting_vreg","2014","030102","1","personer","462","utvandring"
"befolkning_flytting_vreg","2014","030102","2","personer","251","utvandring"
"befolkning_flytting_vreg","2014","030103","1","personer","194","utvandring"
"befolkning_flytting_vreg","2014","030103","2","personer","140","utvandring"
"befolkning_flytting_vreg","2014","030104","1","personer","377","utvandring"
"befolkning_flytting_vreg","2014","030104","2","personer","179","utvandring"
"befolkning_flytting_vreg","2014","030105","1","personer","757","utvandring"
"befolkning_flytting_vreg","2014","030105","2","personer","375","utvandring"
"befolkning_flytting_vreg","2014","030106","1","personer","97","utvandring"
"befolkning_flytting_vreg","2014","030106","2","personer","113","utvandring"
"befolkning_flytting_vreg","2014","030107","1","personer","164","utvandring"
