"tabell_navn","aar","fylke_nr","vreg_3","enhet","tabellvariabel","flytting"
"befolkning_flytting_vreg","2014","01","alle","personer","1736","innvandring"
"befolkning_flytting_vreg","2014","02","alle","personer","5992","innvandring"
"befolkning_flytting_vreg","2014","03","alle","personer","13615","innvandring"
"befolkning_flytting_vreg","2014","04","alle","personer","1659","innvandring"
"befolkning_flytting_vreg","2014","05","alle","personer","1809","innvandring"
"befolkning_flytting_vreg","2014","06","alle","personer","2780","innvandring"
"befolkning_flytting_vreg","2014","07","alle","personer","2025","innvandring"
"befolkning_flytting_vreg","2014","08","alle","personer","1120","innvandring"
"befolkning_flytting_vreg","2014","09","alle","personer","910","innvandring"
"befolkning_flytting_vreg","2014","10","alle","personer","1925","innvandring"
"befolkning_flytting_vreg","2014","11","alle","personer","6823","innvandring"
"befolkning_flytting_vreg","2014","12","alle","personer","5933","innvandring"
"befolkning_flytting_vreg","2014","14","alle","personer","1268","innvandring"
"befolkning_flytting_vreg","2014","15","alle","personer","3211","innvandring"
"befolkning_flytting_vreg","2014","16","alle","personer","3285","innvandring"
"befolkning_flytting_vreg","2014","17","alle","personer","1055","innvandring"
"befolkning_flytting_vreg","2014","18","alle","personer","2658","innvandring"
"befolkning_flytting_vreg","2014","19","alle","personer","2280","innvandring"
"befolkning_flytting_vreg","2014","20","alle","personer","1242","innvandring"
"befolkning_flytting_vreg","2014","01","1","personer","993","innvandring"
"befolkning_flytting_vreg","2014","01","2","personer","743","innvandring"
"befolkning_flytting_vreg","2014","02","1","personer","3725","innvandring"
"befolkning_flytting_vreg","2014","02","2","personer","2267","innvandring"
"befolkning_flytting_vreg","2014","03","1","personer","7854","innvandring"
"befolkning_flytting_vreg","2014","03","2","personer","5761","innvandring"
"befolkning_flytting_vreg","2014","04","1","personer","808","innvandring"
"befolkning_flytting_vreg","2014","04","2","personer","851","innvandring"
"befolkning_flytting_vreg","2014","05","1","personer","837","innvandring"
"befolkning_flytting_vreg","2014","05","2","personer","972","innvandring"
"befolkning_flytting_vreg","2014","06","1","personer","1730","innvandring"
"befolkning_flytting_vreg","2014","06","2","personer","1050","innvandring"
"befolkning_flytting_vreg","2014","07","1","personer","1295","innvandring"
"befolkning_flytting_vreg","2014","07","2","personer","730","innvandring"
"befolkning_flytting_vreg","2014","08","1","personer","583","innvandring"
"befolkning_flytting_vreg","2014","08","2","personer","537","innvandring"
"befolkning_flytting_vreg","2014","09","1","personer","457","innvandring"
"befolkning_flytting_vreg","2014","09","2","personer","453","innvandring"
"befolkning_flytting_vreg","2014","10","1","personer","916","innvandring"
"befolkning_flytting_vreg","2014","10","2","personer","1009","innvandring"
"befolkning_flytting_vreg","2014","11","1","personer","4388","innvandring"
"befolkning_flytting_vreg","2014","11","2","personer","2435","innvandring"
