"tabell_navn","aar","naringsregion_nr","vreg_3","enhet","tabellvariabel","flytting"
"befolkning_flytting_vreg","2014","01","alle","personer","154","innvandring"
"befolkning_flytting_vreg","2014","02","alle","personer","442","innvandring"
"befolkning_flytting_vreg","2014","03","alle","personer","483","innvandring"
"befolkning_flytting_vreg","2014","04","alle","personer","657","innvandring"
"befolkning_flytting_vreg","2014","05","alle","personer","2312","innvandring"
"befolkning_flytting_vreg","2014","06","alle","personer","1243","innvandring"
"befolkning_flytting_vreg","2014","07","alle","personer","1566","innvandring"
"befolkning_flytting_vreg","2014","08","alle","personer","871","innvandring"
"befolkning_flytting_vreg","2014","09","alle","personer","13615","innvandring"
"befolkning_flytting_vreg","2014","10","alle","personer","86","innvandring"
"befolkning_flytting_vreg","2014","11","alle","personer","466","innvandring"
"befolkning_flytting_vreg","2014","12","alle","personer","725","innvandring"
"befolkning_flytting_vreg","2014","13","alle","personer","382","innvandring"
"befolkning_flytting_vreg","2014","14","alle","personer","712","innvandring"
"befolkning_flytting_vreg","2014","15","alle","personer","231","innvandring"
"befolkning_flytting_vreg","2014","16","alle","personer","293","innvandring"
"befolkning_flytting_vreg","2014","17","alle","personer","110","innvandring"
"befolkning_flytting_vreg","2014","18","alle","personer","207","innvandring"
"befolkning_flytting_vreg","2014","19","alle","personer","256","innvandring"
"befolkning_flytting_vreg","2014","20","alle","personer","1735","innvandring"
"befolkning_flytting_vreg","2014","21","alle","personer","328","innvandring"
"befolkning_flytting_vreg","2014","22","alle","personer","393","innvandring"
"befolkning_flytting_vreg","2014","23","alle","personer","107","innvandring"
"befolkning_flytting_vreg","2014","24","alle","personer","331","innvandring"
"befolkning_flytting_vreg","2014","25","alle","personer","1156","innvandring"
"befolkning_flytting_vreg","2014","26","alle","personer","755","innvandring"
"befolkning_flytting_vreg","2014","27","alle","personer","693","innvandring"
"befolkning_flytting_vreg","2014","28","alle","personer","193","innvandring"
"befolkning_flytting_vreg","2014","29","alle","personer","145","innvandring"
"befolkning_flytting_vreg","2014","30","alle","personer","89","innvandring"
"befolkning_flytting_vreg","2014","31","alle","personer","56","innvandring"
"befolkning_flytting_vreg","2014","32","alle","personer","671","innvandring"
"befolkning_flytting_vreg","2014","33","alle","personer","507","innvandring"
"befolkning_flytting_vreg","2014","34","alle","personer","230","innvandring"
"befolkning_flytting_vreg","2014","35","alle","personer","1371","innvandring"
"befolkning_flytting_vreg","2014","36","alle","personer","248","innvandring"
"befolkning_flytting_vreg","2014","37","alle","personer","1012","innvandring"
"befolkning_flytting_vreg","2014","38","alle","personer","262","innvandring"
"befolkning_flytting_vreg","2014","39","alle","personer","5301","innvandring"
"befolkning_flytting_vreg","2014","40","alle","personer","3987","innvandring"
"befolkning_flytting_vreg","2014","41","alle","personer","205","innvandring"
"befolkning_flytting_vreg","2014","42","alle","personer","281","innvandring"
"befolkning_flytting_vreg","2014","43","alle","personer","151","innvandring"
"befolkning_flytting_vreg","2014","44","alle","personer","208","innvandring"
"befolkning_flytting_vreg","2014","45","alle","personer","70","innvandring"
"befolkning_flytting_vreg","2014","46","alle","personer","609","innvandring"
"befolkning_flytting_vreg","2014","47","alle","personer","422","innvandring"
"befolkning_flytting_vreg","2014","48","alle","personer","153","innvandring"
"befolkning_flytting_vreg","2014","49","alle","personer","341","innvandring"
"befolkning_flytting_vreg","2014","50","alle","personer","389","innvandring"
"befolkning_flytting_vreg","2014","51","alle","personer","385","innvandring"
"befolkning_flytting_vreg","2014","52","alle","personer","652","innvandring"
"befolkning_flytting_vreg","2014","53","alle","personer","772","innvandring"
