"tabell_navn","aar","bydel_nr","innvkat_5","kjonn","enhet","tabellvariabel"
"befolkning_hovedgruppe",2015,"030101","alle","alle","person",49854
"befolkning_hovedgruppe",2015,"030101","innvandrere","alle","person",14925
"befolkning_hovedgruppe",2015,"030101","befolkningen_ellers","alle","person",34929
"befolkning_hovedgruppe",2015,"030101","norskfodte_m_innvf","alle","person",4430
"befolkning_hovedgruppe",2015,"030101","bef_u_innv_og_norskf","alle","person",30499
"befolkning_hovedgruppe",2015,"030101","alle","1","person",25977
"befolkning_hovedgruppe",2015,"030101","innvandrere","1","person",8197
"befolkning_hovedgruppe",2015,"030101","befolkningen_ellers","1","person",17780
"befolkning_hovedgruppe",2015,"030101","norskfodte_m_innvf","1","person",2245
"befolkning_hovedgruppe",2015,"030101","bef_u_innv_og_norskf","1","person",15535
"befolkning_hovedgruppe",2015,"030101","alle","0","person",23877
"befolkning_hovedgruppe",2015,"030101","innvandrere","0","person",6728
"befolkning_hovedgruppe",2015,"030101","befolkningen_ellers","0","person",17149
"befolkning_hovedgruppe",2015,"030101","norskfodte_m_innvf","0","person",2185
"befolkning_hovedgruppe",2015,"030101","bef_u_innv_og_norskf","0","person",14964
"befolkning_hovedgruppe",2015,"030102","alle","alle","person",54701
"befolkning_hovedgruppe",2015,"030102","innvandrere","alle","person",15745
"befolkning_hovedgruppe",2015,"030102","befolkningen_ellers","alle","person",38956
"befolkning_hovedgruppe",2015,"030102","norskfodte_m_innvf","alle","person",3163
"befolkning_hovedgruppe",2015,"030102","bef_u_innv_og_norskf","alle","person",35793
"befolkning_hovedgruppe",2015,"030102","alle","1","person",28389
"befolkning_hovedgruppe",2015,"030102","innvandrere","1","person",8812
"befolkning_hovedgruppe",2015,"030102","befolkningen_ellers","1","person",19577
"befolkning_hovedgruppe",2015,"030102","norskfodte_m_innvf","1","person",1692
"befolkning_hovedgruppe",2015,"030102","bef_u_innv_og_norskf","1","person",17885
"befolkning_hovedgruppe",2015,"030102","alle","0","person",26312
"befolkning_hovedgruppe",2015,"030102","innvandrere","0","person",6933
"befolkning_hovedgruppe",2015,"030102","befolkningen_ellers","0","person",19379
"befolkning_hovedgruppe",2015,"030102","norskfodte_m_innvf","0","person",1471
"befolkning_hovedgruppe",2015,"030102","bef_u_innv_og_norskf","0","person",17908
"befolkning_hovedgruppe",2015,"030103","alle","alle","person",39918
"befolkning_hovedgruppe",2015,"030103","innvandrere","alle","person",8159
"befolkning_hovedgruppe",2015,"030103","befolkningen_ellers","alle","person",31759
"befolkning_hovedgruppe",2015,"030103","norskfodte_m_innvf","alle","person",1846
"befolkning_hovedgruppe",2015,"030103","bef_u_innv_og_norskf","alle","person",29913
"befolkning_hovedgruppe",2015,"030103","alle","1","person",19563
"befolkning_hovedgruppe",2015,"030103","innvandrere","1","person",4326
"befolkning_hovedgruppe",2015,"030103","befolkningen_ellers","1","person",15237
"befolkning_hovedgruppe",2015,"030103","norskfodte_m_innvf","1","person",933
"befolkning_hovedgruppe",2015,"030103","bef_u_innv_og_norskf","1","person",14304
"befolkning_hovedgruppe",2015,"030103","alle","0","person",20355
"befolkning_hovedgruppe",2015,"030103","innvandrere","0","person",3833
"befolkning_hovedgruppe",2015,"030103","befolkningen_ellers","0","person",16522
"befolkning_hovedgruppe",2015,"030103","norskfodte_m_innvf","0","person",913
"befolkning_hovedgruppe",2015,"030103","bef_u_innv_og_norskf","0","person",15609
"befolkning_hovedgruppe",2015,"030104","alle","alle","person",36218
"befolkning_hovedgruppe",2015,"030104","innvandrere","alle","person",8595
"befolkning_hovedgruppe",2015,"030104","befolkningen_ellers","alle","person",27623
"befolkning_hovedgruppe",2015,"030104","norskfodte_m_innvf","alle","person",1090
"befolkning_hovedgruppe",2015,"030104","bef_u_innv_og_norskf","alle","person",26533
"befolkning_hovedgruppe",2015,"030104","alle","1","person",18170
"befolkning_hovedgruppe",2015,"030104","innvandrere","1","person",4739
"befolkning_hovedgruppe",2015,"030104","befolkningen_ellers","1","person",13431
"befolkning_hovedgruppe",2015,"030104","norskfodte_m_innvf","1","person",546
"befolkning_hovedgruppe",2015,"030104","bef_u_innv_og_norskf","1","person",12885
"befolkning_hovedgruppe",2015,"030104","alle","0","person",18048
"befolkning_hovedgruppe",2015,"030104","innvandrere","0","person",3856
"befolkning_hovedgruppe",2015,"030104","befolkningen_ellers","0","person",14192
"befolkning_hovedgruppe",2015,"030104","norskfodte_m_innvf","0","person",544
"befolkning_hovedgruppe",2015,"030104","bef_u_innv_og_norskf","0","person",13648
"befolkning_hovedgruppe",2015,"030105","alle","alle","person",55965
"befolkning_hovedgruppe",2015,"030105","innvandrere","alle","person",14011
"befolkning_hovedgruppe",2015,"030105","befolkningen_ellers","alle","person",41954
"befolkning_hovedgruppe",2015,"030105","norskfodte_m_innvf","alle","person",1384
"befolkning_hovedgruppe",2015,"030105","bef_u_innv_og_norskf","alle","person",40570
"befolkning_hovedgruppe",2015,"030105","alle","1","person",27757
"befolkning_hovedgruppe",2015,"030105","innvandrere","1","person",7142
"befolkning_hovedgruppe",2015,"030105","befolkningen_ellers","1","person",20615
"befolkning_hovedgruppe",2015,"030105","norskfodte_m_innvf","1","person",702
"befolkning_hovedgruppe",2015,"030105","bef_u_innv_og_norskf","1","person",19913
"befolkning_hovedgruppe",2015,"030105","alle","0","person",28208
"befolkning_hovedgruppe",2015,"030105","innvandrere","0","person",6869
"befolkning_hovedgruppe",2015,"030105","befolkningen_ellers","0","person",21339
"befolkning_hovedgruppe",2015,"030105","norskfodte_m_innvf","0","person",682
"befolkning_hovedgruppe",2015,"030105","bef_u_innv_og_norskf","0","person",20657
"befolkning_hovedgruppe",2015,"030106","alle","alle","person",32124
"befolkning_hovedgruppe",2015,"030106","innvandrere","alle","person",4990
"befolkning_hovedgruppe",2015,"030106","befolkningen_ellers","alle","person",27134
"befolkning_hovedgruppe",2015,"030106","norskfodte_m_innvf","alle","person",693
"befolkning_hovedgruppe",2015,"030106","bef_u_innv_og_norskf","alle","person",26441
"befolkning_hovedgruppe",2015,"030106","alle","1","person",15474
"befolkning_hovedgruppe",2015,"030106","innvandrere","1","person",2340
"befolkning_hovedgruppe",2015,"030106","befolkningen_ellers","1","person",13134
"befolkning_hovedgruppe",2015,"030106","norskfodte_m_innvf","1","person",372
"befolkning_hovedgruppe",2015,"030106","bef_u_innv_og_norskf","1","person",12762
"befolkning_hovedgruppe",2015,"030106","alle","0","person",16650
"befolkning_hovedgruppe",2015,"030106","innvandrere","0","person",2650
"befolkning_hovedgruppe",2015,"030106","befolkningen_ellers","0","person",14000
"befolkning_hovedgruppe",2015,"030106","norskfodte_m_innvf","0","person",321
"befolkning_hovedgruppe",2015,"030106","bef_u_innv_og_norskf","0","person",13679
"befolkning_hovedgruppe",2015,"030107","alle","alle","person",47024
"befolkning_hovedgruppe",2015,"030107","innvandrere","alle","person",6989
"befolkning_hovedgruppe",2015,"030107","befolkningen_ellers","alle","person",40035
"befolkning_hovedgruppe",2015,"030107","norskfodte_m_innvf","alle","person",991
