"tabell_navn","aar","bydel_nr","innvgrunn_6","kjonn","enhet","tabellvariabel"
"befolkning_innvandringsgrunn","2006","030101","alle","alle","personer","8918"
"befolkning_innvandringsgrunn","2006","030101","arbeid","alle","personer","417"
"befolkning_innvandringsgrunn","2006","030101","flukt","alle","personer","2613"
"befolkning_innvandringsgrunn","2006","030101","familie","alle","personer","1840"
"befolkning_innvandringsgrunn","2006","030101","annet","alle","personer","190"
"befolkning_innvandringsgrunn","2006","030101","uoppgitt","alle","personer","3858"
"befolkning_innvandringsgrunn","2006","030101","alle","1","personer","4810"
"befolkning_innvandringsgrunn","2006","030101","arbeid","1","personer","328"
"befolkning_innvandringsgrunn","2006","030101","flukt","1","personer","1291"
"befolkning_innvandringsgrunn","2006","030101","familie","1","personer","837"
"befolkning_innvandringsgrunn","2006","030101","annet","1","personer","62"
"befolkning_innvandringsgrunn","2006","030101","uoppgitt","1","personer","2292"
"befolkning_innvandringsgrunn","2006","030101","alle","0","personer","4108"
"befolkning_innvandringsgrunn","2006","030101","arbeid","0","personer","89"
"befolkning_innvandringsgrunn","2006","030101","flukt","0","personer","1322"
"befolkning_innvandringsgrunn","2006","030101","familie","0","personer","1003"
"befolkning_innvandringsgrunn","2006","030101","annet","0","personer","128"
"befolkning_innvandringsgrunn","2006","030101","uoppgitt","0","personer","1566"
"befolkning_innvandringsgrunn","2006","030102","alle","alle","personer","8277"
"befolkning_innvandringsgrunn","2006","030102","arbeid","alle","personer","482"
"befolkning_innvandringsgrunn","2006","030102","flukt","alle","personer","2403"
"befolkning_innvandringsgrunn","2006","030102","familie","alle","personer","1602"
"befolkning_innvandringsgrunn","2006","030102","annet","alle","personer","219"
"befolkning_innvandringsgrunn","2006","030102","uoppgitt","alle","personer","3571"
"befolkning_innvandringsgrunn","2006","030102","alle","1","personer","4687"
"befolkning_innvandringsgrunn","2006","030102","arbeid","1","personer","364"
"befolkning_innvandringsgrunn","2006","030102","flukt","1","personer","1377"
"befolkning_innvandringsgrunn","2006","030102","familie","1","personer","740"
"befolkning_innvandringsgrunn","2006","030102","annet","1","personer","78"
"befolkning_innvandringsgrunn","2006","030102","uoppgitt","1","personer","2128"
"befolkning_innvandringsgrunn","2006","030102","alle","0","personer","3590"
"befolkning_innvandringsgrunn","2006","030102","arbeid","0","personer","118"
"befolkning_innvandringsgrunn","2006","030102","flukt","0","personer","1026"
"befolkning_innvandringsgrunn","2006","030102","familie","0","personer","862"
"befolkning_innvandringsgrunn","2006","030102","annet","0","personer","141"
"befolkning_innvandringsgrunn","2006","030102","uoppgitt","0","personer","1443"
"befolkning_innvandringsgrunn","2006","030103","alle","alle","personer","4908"
"befolkning_innvandringsgrunn","2006","030103","arbeid","alle","personer","291"
"befolkning_innvandringsgrunn","2006","030103","flukt","alle","personer","1219"
"befolkning_innvandringsgrunn","2006","030103","familie","alle","personer","985"
"befolkning_innvandringsgrunn","2006","030103","annet","alle","personer","131"
"befolkning_innvandringsgrunn","2006","030103","uoppgitt","alle","personer","2282"
"befolkning_innvandringsgrunn","2006","030103","alle","1","personer","2736"
"befolkning_innvandringsgrunn","2006","030103","arbeid","1","personer","210"
"befolkning_innvandringsgrunn","2006","030103","flukt","1","personer","674"
"befolkning_innvandringsgrunn","2006","030103","familie","1","personer","446"
"befolkning_innvandringsgrunn","2006","030103","annet","1","personer","46"
"befolkning_innvandringsgrunn","2006","030103","uoppgitt","1","personer","1360"
"befolkning_innvandringsgrunn","2006","030103","alle","0","personer","2172"
"befolkning_innvandringsgrunn","2006","030103","arbeid","0","personer","81"
"befolkning_innvandringsgrunn","2006","030103","flukt","0","personer","545"
"befolkning_innvandringsgrunn","2006","030103","familie","0","personer","539"
"befolkning_innvandringsgrunn","2006","030103","annet","0","personer","85"
"befolkning_innvandringsgrunn","2006","030103","uoppgitt","0","personer","922"
"befolkning_innvandringsgrunn","2006","030104","alle","alle","personer","4248"
"befolkning_innvandringsgrunn","2006","030104","arbeid","alle","personer","392"
"befolkning_innvandringsgrunn","2006","030104","flukt","alle","personer","727"
"befolkning_innvandringsgrunn","2006","030104","familie","alle","personer","654"
"befolkning_innvandringsgrunn","2006","030104","annet","alle","personer","219"
"befolkning_innvandringsgrunn","2006","030104","uoppgitt","alle","personer","2256"
"befolkning_innvandringsgrunn","2006","030104","alle","1","personer","2256"
"befolkning_innvandringsgrunn","2006","030104","arbeid","1","personer","276"
"befolkning_innvandringsgrunn","2006","030104","flukt","1","personer","400"
"befolkning_innvandringsgrunn","2006","030104","familie","1","personer","295"
"befolkning_innvandringsgrunn","2006","030104","annet","1","personer","98"
"befolkning_innvandringsgrunn","2006","030104","uoppgitt","1","personer","1187"
"befolkning_innvandringsgrunn","2006","030104","alle","0","personer","1992"
"befolkning_innvandringsgrunn","2006","030104","arbeid","0","personer","116"
"befolkning_innvandringsgrunn","2006","030104","flukt","0","personer","327"
"befolkning_innvandringsgrunn","2006","030104","familie","0","personer","359"
"befolkning_innvandringsgrunn","2006","030104","annet","0","personer","121"
"befolkning_innvandringsgrunn","2006","030104","uoppgitt","0","personer","1069"
"befolkning_innvandringsgrunn","2006","030105","alle","alle","personer","7017"
"befolkning_innvandringsgrunn","2006","030105","arbeid","alle","personer","815"
"befolkning_innvandringsgrunn","2006","030105","flukt","alle","personer","718"
"befolkning_innvandringsgrunn","2006","030105","familie","alle","personer","1217"
"befolkning_innvandringsgrunn","2006","030105","annet","alle","personer","309"
"befolkning_innvandringsgrunn","2006","030105","uoppgitt","alle","personer","3958"
"befolkning_innvandringsgrunn","2006","030105","alle","1","personer","3478"
"befolkning_innvandringsgrunn","2006","030105","arbeid","1","personer","617"
"befolkning_innvandringsgrunn","2006","030105","flukt","1","personer","397"
"befolkning_innvandringsgrunn","2006","030105","familie","1","personer","458"
"befolkning_innvandringsgrunn","2006","030105","annet","1","personer","83"
"befolkning_innvandringsgrunn","2006","030105","uoppgitt","1","personer","1923"
"befolkning_innvandringsgrunn","2006","030105","alle","0","personer","3539"
"befolkning_innvandringsgrunn","2006","030105","arbeid","0","personer","198"
"befolkning_innvandringsgrunn","2006","030105","flukt","0","personer","321"
"befolkning_innvandringsgrunn","2006","030105","familie","0","personer","759"
"befolkning_innvandringsgrunn","2006","030105","annet","0","personer","226"
"befolkning_innvandringsgrunn","2006","030105","uoppgitt","0","personer","2035"
"befolkning_innvandringsgrunn","2006","030106","alle","alle","personer","2789"
"befolkning_innvandringsgrunn","2006","030106","arbeid","alle","personer","272"
"befolkning_innvandringsgrunn","2006","030106","flukt","alle","personer","293"
"befolkning_innvandringsgrunn","2006","030106","familie","alle","personer","492"
"befolkning_innvandringsgrunn","2006","030106","annet","alle","personer","167"
"befolkning_innvandringsgrunn","2006","030106","uoppgitt","alle","personer","1565"
"befolkning_innvandringsgrunn","2006","030106","alle","1","personer","1190"
"befolkning_innvandringsgrunn","2006","030106","arbeid","1","personer","194"
"befolkning_innvandringsgrunn","2006","030106","flukt","1","personer","134"
"befolkning_innvandringsgrunn","2006","030106","familie","1","personer","191"
"befolkning_innvandringsgrunn","2006","030106","annet","1","personer","24"
"befolkning_innvandringsgrunn","2006","030106","uoppgitt","1","personer","647"
"befolkning_innvandringsgrunn","2006","030106","alle","0","personer","1599"
"befolkning_innvandringsgrunn","2006","030106","arbeid","0","personer","78"
"befolkning_innvandringsgrunn","2006","030106","flukt","0","personer","159"
"befolkning_innvandringsgrunn","2006","030106","familie","0","personer","301"
"befolkning_innvandringsgrunn","2006","030106","annet","0","personer","143"
"befolkning_innvandringsgrunn","2006","030106","uoppgitt","0","personer","918"
"befolkning_innvandringsgrunn","2006","030107","alle","alle","personer","3998"
"befolkning_innvandringsgrunn","2006","030107","arbeid","alle","personer","360"
"befolkning_innvandringsgrunn","2006","030107","flukt","alle","personer","409"
"befolkning_innvandringsgrunn","2006","030107","familie","alle","personer","645"
"befolkning_innvandringsgrunn","2006","030107","annet","alle","personer","394"
"befolkning_innvandringsgrunn","2006","030107","uoppgitt","alle","personer","2190"
"befolkning_innvandringsgrunn","2006","030107","alle","1","personer","1577"
"befolkning_innvandringsgrunn","2006","030107","arbeid","1","personer","257"
"befolkning_innvandringsgrunn","2006","030107","flukt","1","personer","172"
"befolkning_innvandringsgrunn","2006","030107","familie","1","personer","227"
"befolkning_innvandringsgrunn","2006","030107","annet","1","personer","38"
"befolkning_innvandringsgrunn","2006","030107","uoppgitt","1","personer","883"
"befolkning_innvandringsgrunn","2006","030107","alle","0","personer","2421"
"befolkning_innvandringsgrunn","2006","030107","arbeid","0","personer","103"
"befolkning_innvandringsgrunn","2006","030107","flukt","0","personer","237"
"befolkning_innvandringsgrunn","2006","030107","familie","0","personer","418"
"befolkning_innvandringsgrunn","2006","030107","annet","0","personer","356"
"befolkning_innvandringsgrunn","2006","030107","uoppgitt","0","personer","1307"
"befolkning_innvandringsgrunn","2006","030108","alle","alle","personer","4470"
"befolkning_innvandringsgrunn","2006","030108","arbeid","alle","personer","250"
"befolkning_innvandringsgrunn","2006","030108","flukt","alle","personer","756"
"befolkning_innvandringsgrunn","2006","030108","familie","alle","personer","648"
"befolkning_innvandringsgrunn","2006","030108","annet","alle","personer","997"
"befolkning_innvandringsgrunn","2006","030108","uoppgitt","alle","personer","1819"
"befolkning_innvandringsgrunn","2006","030108","alle","1","personer","2186"
"befolkning_innvandringsgrunn","2006","030108","arbeid","1","personer","177"
