"tabell_navn","aar","fylke_nr","innvgrunn_6","kjonn","enhet","tabellvariabel"
"befolkning_innvandringsgrunn","2006","01","alle","alle","personer","18070"
"befolkning_innvandringsgrunn","2006","01","arbeid","alle","personer","612"
"befolkning_innvandringsgrunn","2006","01","flukt","alle","personer","6982"
"befolkning_innvandringsgrunn","2006","01","familie","alle","personer","2616"
"befolkning_innvandringsgrunn","2006","01","annet","alle","personer","301"
"befolkning_innvandringsgrunn","2006","01","uoppgitt","alle","personer","7559"
"befolkning_innvandringsgrunn","2006","01","alle","1","personer","8785"
"befolkning_innvandringsgrunn","2006","01","arbeid","1","personer","487"
"befolkning_innvandringsgrunn","2006","01","flukt","1","personer","3533"
"befolkning_innvandringsgrunn","2006","01","familie","1","personer","851"
"befolkning_innvandringsgrunn","2006","01","annet","1","personer","96"
"befolkning_innvandringsgrunn","2006","01","uoppgitt","1","personer","3818"
"befolkning_innvandringsgrunn","2006","01","alle","0","personer","9285"
"befolkning_innvandringsgrunn","2006","01","arbeid","0","personer","125"
"befolkning_innvandringsgrunn","2006","01","flukt","0","personer","3449"
"befolkning_innvandringsgrunn","2006","01","familie","0","personer","1765"
"befolkning_innvandringsgrunn","2006","01","annet","0","personer","205"
"befolkning_innvandringsgrunn","2006","01","uoppgitt","0","personer","3741"
"befolkning_innvandringsgrunn","2006","02","alle","alle","personer","39758"
"befolkning_innvandringsgrunn","2006","02","arbeid","alle","personer","2169"
"befolkning_innvandringsgrunn","2006","02","flukt","alle","personer","9062"
"befolkning_innvandringsgrunn","2006","02","familie","alle","personer","6985"
"befolkning_innvandringsgrunn","2006","02","annet","alle","personer","1422"
"befolkning_innvandringsgrunn","2006","02","uoppgitt","alle","personer","20120"
"befolkning_innvandringsgrunn","2006","02","alle","1","personer","18654"
"befolkning_innvandringsgrunn","2006","02","arbeid","1","personer","1600"
"befolkning_innvandringsgrunn","2006","02","flukt","1","personer","4442"
"befolkning_innvandringsgrunn","2006","02","familie","1","personer","2546"
"befolkning_innvandringsgrunn","2006","02","annet","1","personer","394"
"befolkning_innvandringsgrunn","2006","02","uoppgitt","1","personer","9672"
"befolkning_innvandringsgrunn","2006","02","alle","0","personer","21104"
"befolkning_innvandringsgrunn","2006","02","arbeid","0","personer","569"
"befolkning_innvandringsgrunn","2006","02","flukt","0","personer","4620"
"befolkning_innvandringsgrunn","2006","02","familie","0","personer","4439"
"befolkning_innvandringsgrunn","2006","02","annet","0","personer","1028"
"befolkning_innvandringsgrunn","2006","02","uoppgitt","0","personer","10448"
"befolkning_innvandringsgrunn","2006","03","alle","alle","personer","93355"
"befolkning_innvandringsgrunn","2006","03","arbeid","alle","personer","4698"
"befolkning_innvandringsgrunn","2006","03","flukt","alle","personer","22489"
"befolkning_innvandringsgrunn","2006","03","familie","alle","personer","18213"
"befolkning_innvandringsgrunn","2006","03","annet","alle","personer","3524"
"befolkning_innvandringsgrunn","2006","03","uoppgitt","alle","personer","44431"
"befolkning_innvandringsgrunn","2006","03","alle","1","personer","47326"
"befolkning_innvandringsgrunn","2006","03","arbeid","1","personer","3444"
