"tabell_navn","aar","fylke_nr","innvgrunn_6","kjonn","enhet","tabellvariabel"
"befolkning_innvandringsgrunn",2015,"01","alle","alle","person",35019
"befolkning_innvandringsgrunn",2015,"01","arbeid","alle","person",6552
"befolkning_innvandringsgrunn",2015,"01","flukt","alle","person",11829
"befolkning_innvandringsgrunn",2015,"01","familie","alle","person",7441
"befolkning_innvandringsgrunn",2015,"01","annet","alle","person",754
"befolkning_innvandringsgrunn",2015,"01","uoppgitt","alle","person",8443
"befolkning_innvandringsgrunn",2015,"01","alle","1","person",18170
"befolkning_innvandringsgrunn",2015,"01","arbeid","1","person",5105
"befolkning_innvandringsgrunn",2015,"01","flukt","1","person",6099
"befolkning_innvandringsgrunn",2015,"01","familie","1","person",2401
"befolkning_innvandringsgrunn",2015,"01","annet","1","person",227
"befolkning_innvandringsgrunn",2015,"01","uoppgitt","1","person",4338
"befolkning_innvandringsgrunn",2015,"01","alle","0","person",16849
"befolkning_innvandringsgrunn",2015,"01","arbeid","0","person",1447
"befolkning_innvandringsgrunn",2015,"01","flukt","0","person",5730
"befolkning_innvandringsgrunn",2015,"01","familie","0","person",5040
"befolkning_innvandringsgrunn",2015,"01","annet","0","person",527
"befolkning_innvandringsgrunn",2015,"01","uoppgitt","0","person",4105
"befolkning_innvandringsgrunn",2015,"02","alle","alle","person",85482
"befolkning_innvandringsgrunn",2015,"02","arbeid","alle","person",21102
"befolkning_innvandringsgrunn",2015,"02","flukt","alle","person",17261
"befolkning_innvandringsgrunn",2015,"02","familie","alle","person",18703
"befolkning_innvandringsgrunn",2015,"02","annet","alle","person",4023
"befolkning_innvandringsgrunn",2015,"02","uoppgitt","alle","person",24393
"befolkning_innvandringsgrunn",2015,"02","alle","1","person",44329
"befolkning_innvandringsgrunn",2015,"02","arbeid","1","person",16142
"befolkning_innvandringsgrunn",2015,"02","flukt","1","person",8556
"befolkning_innvandringsgrunn",2015,"02","familie","1","person",6347
"befolkning_innvandringsgrunn",2015,"02","annet","1","person",1088
"befolkning_innvandringsgrunn",2015,"02","uoppgitt","1","person",12196
"befolkning_innvandringsgrunn",2015,"02","alle","0","person",41153
"befolkning_innvandringsgrunn",2015,"02","arbeid","0","person",4960
"befolkning_innvandringsgrunn",2015,"02","flukt","0","person",8705
"befolkning_innvandringsgrunn",2015,"02","familie","0","person",12356
"befolkning_innvandringsgrunn",2015,"02","annet","0","person",2935
"befolkning_innvandringsgrunn",2015,"02","uoppgitt","0","person",12197
"befolkning_innvandringsgrunn",2015,"03","alle","alle","person",158802
"befolkning_innvandringsgrunn",2015,"03","arbeid","alle","person",32157
"befolkning_innvandringsgrunn",2015,"03","flukt","alle","person",34085
"befolkning_innvandringsgrunn",2015,"03","familie","alle","person",33332
"befolkning_innvandringsgrunn",2015,"03","annet","alle","person",9601
"befolkning_innvandringsgrunn",2015,"03","uoppgitt","alle","person",49627
"befolkning_innvandringsgrunn",2015,"03","alle","1","person",83109
"befolkning_innvandringsgrunn",2015,"03","arbeid","1","person",23192
"befolkning_innvandringsgrunn",2015,"03","flukt","1","person",16767
"befolkning_innvandringsgrunn",2015,"03","familie","1","person",13045
"befolkning_innvandringsgrunn",2015,"03","annet","1","person",3371
"befolkning_innvandringsgrunn",2015,"03","uoppgitt","1","person",26734
"befolkning_innvandringsgrunn",2015,"03","alle","0","person",75693
"befolkning_innvandringsgrunn",2015,"03","arbeid","0","person",8965
"befolkning_innvandringsgrunn",2015,"03","flukt","0","person",17318
"befolkning_innvandringsgrunn",2015,"03","familie","0","person",20287
"befolkning_innvandringsgrunn",2015,"03","annet","0","person",6230
"befolkning_innvandringsgrunn",2015,"03","uoppgitt","0","person",22893
"befolkning_innvandringsgrunn",2015,"04","alle","alle","person",15776
"befolkning_innvandringsgrunn",2015,"04","arbeid","alle","person",3460
"befolkning_innvandringsgrunn",2015,"04","flukt","alle","person",4823
"befolkning_innvandringsgrunn",2015,"04","familie","alle","person",3473
"befolkning_innvandringsgrunn",2015,"04","annet","alle","person",549
"befolkning_innvandringsgrunn",2015,"04","uoppgitt","alle","person",3471
"befolkning_innvandringsgrunn",2015,"04","alle","1","person",8070
"befolkning_innvandringsgrunn",2015,"04","arbeid","1","person",2519
"befolkning_innvandringsgrunn",2015,"04","flukt","1","person",2664
"befolkning_innvandringsgrunn",2015,"04","familie","1","person",1049
"befolkning_innvandringsgrunn",2015,"04","annet","1","person",177
"befolkning_innvandringsgrunn",2015,"04","uoppgitt","1","person",1661
"befolkning_innvandringsgrunn",2015,"04","alle","0","person",7706
"befolkning_innvandringsgrunn",2015,"04","arbeid","0","person",941
"befolkning_innvandringsgrunn",2015,"04","flukt","0","person",2159
"befolkning_innvandringsgrunn",2015,"04","familie","0","person",2424
"befolkning_innvandringsgrunn",2015,"04","annet","0","person",372
"befolkning_innvandringsgrunn",2015,"04","uoppgitt","0","person",1810
"befolkning_innvandringsgrunn",2015,"05","alle","alle","person",15627
"befolkning_innvandringsgrunn",2015,"05","arbeid","alle","person",3986
"befolkning_innvandringsgrunn",2015,"05","flukt","alle","person",5202
"befolkning_innvandringsgrunn",2015,"05","familie","alle","person",3179
"befolkning_innvandringsgrunn",2015,"05","annet","alle","person",495
"befolkning_innvandringsgrunn",2015,"05","uoppgitt","alle","person",2765
"befolkning_innvandringsgrunn",2015,"05","alle","1","person",8190
"befolkning_innvandringsgrunn",2015,"05","arbeid","1","person",2870
"befolkning_innvandringsgrunn",2015,"05","flukt","1","person",2803
"befolkning_innvandringsgrunn",2015,"05","familie","1","person",991
"befolkning_innvandringsgrunn",2015,"05","annet","1","person",174
"befolkning_innvandringsgrunn",2015,"05","uoppgitt","1","person",1352
"befolkning_innvandringsgrunn",2015,"05","alle","0","person",7437
"befolkning_innvandringsgrunn",2015,"05","arbeid","0","person",1116
"befolkning_innvandringsgrunn",2015,"05","flukt","0","person",2399
"befolkning_innvandringsgrunn",2015,"05","familie","0","person",2188
"befolkning_innvandringsgrunn",2015,"05","annet","0","person",321
"befolkning_innvandringsgrunn",2015,"05","uoppgitt","0","person",1413
"befolkning_innvandringsgrunn",2015,"06","alle","alle","person",39123
"befolkning_innvandringsgrunn",2015,"06","arbeid","alle","person",10024
"befolkning_innvandringsgrunn",2015,"06","flukt","alle","person",9654
"befolkning_innvandringsgrunn",2015,"06","familie","alle","person",9292
"befolkning_innvandringsgrunn",2015,"06","annet","alle","person",1128
"befolkning_innvandringsgrunn",2015,"06","uoppgitt","alle","person",9025
"befolkning_innvandringsgrunn",2015,"06","alle","1","person",20370
"befolkning_innvandringsgrunn",2015,"06","arbeid","1","person",7488
"befolkning_innvandringsgrunn",2015,"06","flukt","1","person",4994
"befolkning_innvandringsgrunn",2015,"06","familie","1","person",3060
"befolkning_innvandringsgrunn",2015,"06","annet","1","person",268
"befolkning_innvandringsgrunn",2015,"06","uoppgitt","1","person",4560
"befolkning_innvandringsgrunn",2015,"06","alle","0","person",18753
"befolkning_innvandringsgrunn",2015,"06","arbeid","0","person",2536
"befolkning_innvandringsgrunn",2015,"06","flukt","0","person",4660
"befolkning_innvandringsgrunn",2015,"06","familie","0","person",6232
"befolkning_innvandringsgrunn",2015,"06","annet","0","person",860
"befolkning_innvandringsgrunn",2015,"06","uoppgitt","0","person",4465
"befolkning_innvandringsgrunn",2015,"07","alle","alle","person",26276
"befolkning_innvandringsgrunn",2015,"07","arbeid","alle","person",6827
"befolkning_innvandringsgrunn",2015,"07","flukt","alle","person",6361
"befolkning_innvandringsgrunn",2015,"07","familie","alle","person",6274
"befolkning_innvandringsgrunn",2015,"07","annet","alle","person",785
"befolkning_innvandringsgrunn",2015,"07","uoppgitt","alle","person",6029
"befolkning_innvandringsgrunn",2015,"07","alle","1","person",13409
"befolkning_innvandringsgrunn",2015,"07","arbeid","1","person",4831
"befolkning_innvandringsgrunn",2015,"07","flukt","1","person",3333
"befolkning_innvandringsgrunn",2015,"07","familie","1","person",2019
"befolkning_innvandringsgrunn",2015,"07","annet","1","person",233
"befolkning_innvandringsgrunn",2015,"07","uoppgitt","1","person",2993
"befolkning_innvandringsgrunn",2015,"07","alle","0","person",12867
"befolkning_innvandringsgrunn",2015,"07","arbeid","0","person",1996
"befolkning_innvandringsgrunn",2015,"07","flukt","0","person",3028
"befolkning_innvandringsgrunn",2015,"07","familie","0","person",4255
"befolkning_innvandringsgrunn",2015,"07","annet","0","person",552
"befolkning_innvandringsgrunn",2015,"07","uoppgitt","0","person",3036
"befolkning_innvandringsgrunn",2015,"08","alle","alle","person",16855
