"tabell_navn","aar","bydel_nr","landbakgrunn","enhet","tabellvariabel"
"befolkning_opprinnelsesland","2006","030101","101","personer","229"
"befolkning_opprinnelsesland","2006","030101","102","personer","4"
"befolkning_opprinnelsesland","2006","030101","103","personer","96"
"befolkning_opprinnelsesland","2006","030101","104","personer",":"
"befolkning_opprinnelsesland","2006","030101","105","personer","41"
"befolkning_opprinnelsesland","2006","030101","106","personer","535"
"befolkning_opprinnelsesland","2006","030101","111","personer","5"
"befolkning_opprinnelsesland","2006","030101","112","personer","7"
"befolkning_opprinnelsesland","2006","030101","113","personer","20"
"befolkning_opprinnelsesland","2006","030101","114","personer","."
"befolkning_opprinnelsesland","2006","030101","115","personer","21"
"befolkning_opprinnelsesland","2006","030101","117","personer","51"
"befolkning_opprinnelsesland","2006","030101","118","personer","."
"befolkning_opprinnelsesland","2006","030101","119","personer","7"
"befolkning_opprinnelsesland","2006","030101","120","personer",":"
"befolkning_opprinnelsesland","2006","030101","121","personer","8"
"befolkning_opprinnelsesland","2006","030101","122","personer","49"
"befolkning_opprinnelsesland","2006","030101","123","personer","34"
"befolkning_opprinnelsesland","2006","030101","124","personer","12"
"befolkning_opprinnelsesland","2006","030101","126","personer","."
"befolkning_opprinnelsesland","2006","030101","127","personer","22"
"befolkning_opprinnelsesland","2006","030101","128","personer","."
"befolkning_opprinnelsesland","2006","030101","129","personer","."
"befolkning_opprinnelsesland","2006","030101","130","personer","."
"befolkning_opprinnelsesland","2006","030101","131","personer","231"
"befolkning_opprinnelsesland","2006","030101","132","personer","14"
"befolkning_opprinnelsesland","2006","030101","133","personer","18"
"befolkning_opprinnelsesland","2006","030101","134","personer","."
"befolkning_opprinnelsesland","2006","030101","136","personer","38"
"befolkning_opprinnelsesland","2006","030101","137","personer","41"
"befolkning_opprinnelsesland","2006","030101","138","personer",":"
"befolkning_opprinnelsesland","2006","030101","139","personer","104"
"befolkning_opprinnelsesland","2006","030101","140","personer","80"
"befolkning_opprinnelsesland","2006","030101","141","personer","13"
"befolkning_opprinnelsesland","2006","030101","143","personer","320"
"befolkning_opprinnelsesland","2006","030101","144","personer","115"
"befolkning_opprinnelsesland","2006","030101","146","personer","7"
"befolkning_opprinnelsesland","2006","030101","148","personer","12"
"befolkning_opprinnelsesland","2006","030101","152","personer","20"
"befolkning_opprinnelsesland","2006","030101","153","personer","12"
"befolkning_opprinnelsesland","2006","030101","154","personer","."
"befolkning_opprinnelsesland","2006","030101","155","personer","137"
"befolkning_opprinnelsesland","2006","030101","156","personer","189"
"befolkning_opprinnelsesland","2006","030101","157","personer","7"
"befolkning_opprinnelsesland","2006","030101","158","personer","25"
"befolkning_opprinnelsesland","2006","030101","159","personer","."
"befolkning_opprinnelsesland","2006","030101","160","personer","."
"befolkning_opprinnelsesland","2006","030101","161","personer","."
"befolkning_opprinnelsesland","2006","030101","162","personer","."
"befolkning_opprinnelsesland","2006","030101","163","personer","."
"befolkning_opprinnelsesland","2006","030101","164","personer","."
"befolkning_opprinnelsesland","2006","030101","203","personer","64"
"befolkning_opprinnelsesland","2006","030101","204","personer",":"
"befolkning_opprinnelsesland","2006","030101","205","personer","."
"befolkning_opprinnelsesland","2006","030101","209","personer","."
"befolkning_opprinnelsesland","2006","030101","213","personer","."
"befolkning_opprinnelsesland","2006","030101","216","personer",":"
"befolkning_opprinnelsesland","2006","030101","220","personer","."
"befolkning_opprinnelsesland","2006","030101","229","personer","."
"befolkning_opprinnelsesland","2006","030101","235","personer","."
"befolkning_opprinnelsesland","2006","030101","239","personer",":"
"befolkning_opprinnelsesland","2006","030101","241","personer","87"
"befolkning_opprinnelsesland","2006","030101","246","personer","91"
"befolkning_opprinnelsesland","2006","030101","249","personer","18"
"befolkning_opprinnelsesland","2006","030101","250","personer",":"
"befolkning_opprinnelsesland","2006","030101","254","personer","."
"befolkning_opprinnelsesland","2006","030101","256","personer","76"
"befolkning_opprinnelsesland","2006","030101","260","personer","41"
"befolkning_opprinnelsesland","2006","030101","264","personer",":"
"befolkning_opprinnelsesland","2006","030101","266","personer","."
"befolkning_opprinnelsesland","2006","030101","270","personer","4"
"befolkning_opprinnelsesland","2006","030101","273","personer","6"
"befolkning_opprinnelsesland","2006","030101","276","personer","23"
"befolkning_opprinnelsesland","2006","030101","278","personer","."
"befolkning_opprinnelsesland","2006","030101","279","personer","6"
"befolkning_opprinnelsesland","2006","030101","281","personer","."
"befolkning_opprinnelsesland","2006","030101","283","personer",":"
"befolkning_opprinnelsesland","2006","030101","286","personer","9"
"befolkning_opprinnelsesland","2006","030101","289","personer",":"
"befolkning_opprinnelsesland","2006","030101","296","personer","."
"befolkning_opprinnelsesland","2006","030101","299","personer","."
"befolkning_opprinnelsesland","2006","030101","303","personer","435"
"befolkning_opprinnelsesland","2006","030101","304","personer","."
"befolkning_opprinnelsesland","2006","030101","306","personer","."
"befolkning_opprinnelsesland","2006","030101","307","personer",":"
"befolkning_opprinnelsesland","2006","030101","308","personer",":"
"befolkning_opprinnelsesland","2006","030101","309","personer","."
"befolkning_opprinnelsesland","2006","030101","313","personer","19"
"befolkning_opprinnelsesland","2006","030101","319","personer","."
"befolkning_opprinnelsesland","2006","030101","322","personer","."
"befolkning_opprinnelsesland","2006","030101","323","personer","."
"befolkning_opprinnelsesland","2006","030101","326","personer","7"
"befolkning_opprinnelsesland","2006","030101","329","personer","5"
"befolkning_opprinnelsesland","2006","030101","333","personer","."
"befolkning_opprinnelsesland","2006","030101","336","personer","9"
"befolkning_opprinnelsesland","2006","030101","337","personer","."
"befolkning_opprinnelsesland","2006","030101","338","personer","."
"befolkning_opprinnelsesland","2006","030101","339","personer","7"
"befolkning_opprinnelsesland","2006","030101","346","personer","1024"
"befolkning_opprinnelsesland","2006","030101","355","personer","."
"befolkning_opprinnelsesland","2006","030101","356","personer","32"
"befolkning_opprinnelsesland","2006","030101","357","personer","."
"befolkning_opprinnelsesland","2006","030101","359","personer","8"
"befolkning_opprinnelsesland","2006","030101","369","personer","19"
"befolkning_opprinnelsesland","2006","030101","373","personer",":"
"befolkning_opprinnelsesland","2006","030101","376","personer",":"
"befolkning_opprinnelsesland","2006","030101","379","personer","43"
"befolkning_opprinnelsesland","2006","030101","386","personer","16"
"befolkning_opprinnelsesland","2006","030101","389","personer","5"
"befolkning_opprinnelsesland","2006","030101","393","personer","."
"befolkning_opprinnelsesland","2006","030101","404","personer","87"
"befolkning_opprinnelsesland","2006","030101","406","personer",":"
"befolkning_opprinnelsesland","2006","030101","407","personer",":"
"befolkning_opprinnelsesland","2006","030101","409","personer","."
"befolkning_opprinnelsesland","2006","030101","410","personer","18"
"befolkning_opprinnelsesland","2006","030101","412","personer",":"
"befolkning_opprinnelsesland","2006","030101","416","personer","."
"befolkning_opprinnelsesland","2006","030101","420","personer","9"
"befolkning_opprinnelsesland","2006","030101","424","personer","287"
"befolkning_opprinnelsesland","2006","030101","426","personer",":"
"befolkning_opprinnelsesland","2006","030101","428","personer","105"
"befolkning_opprinnelsesland","2006","030101","430","personer","."
"befolkning_opprinnelsesland","2006","030101","432","personer","5"
"befolkning_opprinnelsesland","2006","030101","436","personer","17"
"befolkning_opprinnelsesland","2006","030101","444","personer","126"
"befolkning_opprinnelsesland","2006","030101","448","personer","15"
"befolkning_opprinnelsesland","2006","030101","452","personer","632"
"befolkning_opprinnelsesland","2006","030101","456","personer","280"
"befolkning_opprinnelsesland","2006","030101","460","personer","17"
"befolkning_opprinnelsesland","2006","030101","464","personer","15"
"befolkning_opprinnelsesland","2006","030101","476","personer",":"
"befolkning_opprinnelsesland","2006","030101","478","personer","."
"befolkning_opprinnelsesland","2006","030101","480","personer","."
"befolkning_opprinnelsesland","2006","030101","484","personer","120"
"befolkning_opprinnelsesland","2006","030101","488","personer","."
"befolkning_opprinnelsesland","2006","030101","492","personer","6"
"befolkning_opprinnelsesland","2006","030101","496","personer","4"
"befolkning_opprinnelsesland","2006","030101","500","personer",":"
"befolkning_opprinnelsesland","2006","030101","502","personer","."
"befolkning_opprinnelsesland","2006","030101","504","personer",":"
"befolkning_opprinnelsesland","2006","030101","508","personer","141"
"befolkning_opprinnelsesland","2006","030101","510","personer",":"
"befolkning_opprinnelsesland","2006","030101","512","personer","11"
"befolkning_opprinnelsesland","2006","030101","513","personer","."
"befolkning_opprinnelsesland","2006","030101","516","personer",":"
"befolkning_opprinnelsesland","2006","030101","520","personer","."
"befolkning_opprinnelsesland","2006","030101","524","personer","26"
"befolkning_opprinnelsesland","2006","030101","528","personer",":"
"befolkning_opprinnelsesland","2006","030101","534","personer","1214"
"befolkning_opprinnelsesland","2006","030101","537","personer","."
"befolkning_opprinnelsesland","2006","030101","540","personer",":"
"befolkning_opprinnelsesland","2006","030101","544","personer","9"
"befolkning_opprinnelsesland","2006","030101","548","personer","6"
"befolkning_opprinnelsesland","2006","030101","550","personer",":"
"befolkning_opprinnelsesland","2006","030101","552","personer","."
"befolkning_opprinnelsesland","2006","030101","554","personer","."
"befolkning_opprinnelsesland","2006","030101","564","personer","40"
"befolkning_opprinnelsesland","2006","030101","568","personer","156"
"befolkning_opprinnelsesland","2006","030101","575","personer","389"
"befolkning_opprinnelsesland","2006","030101","578","personer","4"
"befolkning_opprinnelsesland","2006","030101","601","personer","."
"befolkning_opprinnelsesland","2006","030101","602","personer","."
"befolkning_opprinnelsesland","2006","030101","603","personer","."
"befolkning_opprinnelsesland","2006","030101","604","personer","."
"befolkning_opprinnelsesland","2006","030101","605","personer","."
"befolkning_opprinnelsesland","2006","030101","606","personer","."
"befolkning_opprinnelsesland","2006","030101","608","personer","."
"befolkning_opprinnelsesland","2006","030101","612","personer","15"
"befolkning_opprinnelsesland","2006","030101","613","personer","."
"befolkning_opprinnelsesland","2006","030101","616","personer","."
"befolkning_opprinnelsesland","2006","030101","620","personer","33"
"befolkning_opprinnelsesland","2006","030101","622","personer",":"
"befolkning_opprinnelsesland","2006","030101","624","personer","17"
"befolkning_opprinnelsesland","2006","030101","629","personer",":"
"befolkning_opprinnelsesland","2006","030101","631","personer","."
"befolkning_opprinnelsesland","2006","030101","632","personer",":"
"befolkning_opprinnelsesland","2006","030101","636","personer",":"
"befolkning_opprinnelsesland","2006","030101","644","personer","."
"befolkning_opprinnelsesland","2006","030101","648","personer","7"
"befolkning_opprinnelsesland","2006","030101","650","personer","."
"befolkning_opprinnelsesland","2006","030101","652","personer","10"
"befolkning_opprinnelsesland","2006","030101","654","personer","."
"befolkning_opprinnelsesland","2006","030101","657","personer",":"
"befolkning_opprinnelsesland","2006","030101","658","personer","."
"befolkning_opprinnelsesland","2006","030101","659","personer","."
"befolkning_opprinnelsesland","2006","030101","660","personer","."
"befolkning_opprinnelsesland","2006","030101","661","personer","."
"befolkning_opprinnelsesland","2006","030101","664","personer","5"
"befolkning_opprinnelsesland","2006","030101","668","personer","."
"befolkning_opprinnelsesland","2006","030101","672","personer",":"
"befolkning_opprinnelsesland","2006","030101","676","personer","."
"befolkning_opprinnelsesland","2006","030101","677","personer","."
"befolkning_opprinnelsesland","2006","030101","678","personer",":"
"befolkning_opprinnelsesland","2006","030101","679","personer",":"
"befolkning_opprinnelsesland","2006","030101","680","personer",":"
"befolkning_opprinnelsesland","2006","030101","681","personer","."
"befolkning_opprinnelsesland","2006","030101","684","personer","77"
"befolkning_opprinnelsesland","2006","030101","685","personer","."
"befolkning_opprinnelsesland","2006","030101","686","personer","."
"befolkning_opprinnelsesland","2006","030101","687","personer","."
"befolkning_opprinnelsesland","2006","030101","705","personer","20"
"befolkning_opprinnelsesland","2006","030101","710","personer",":"
"befolkning_opprinnelsesland","2006","030101","715","personer","34"
"befolkning_opprinnelsesland","2006","030101","720","personer",":"
"befolkning_opprinnelsesland","2006","030101","725","personer","139"
"befolkning_opprinnelsesland","2006","030101","730","personer","20"
"befolkning_opprinnelsesland","2006","030101","735","personer","7"
"befolkning_opprinnelsesland","2006","030101","740","personer","."
"befolkning_opprinnelsesland","2006","030101","745","personer","."
"befolkning_opprinnelsesland","2006","030101","755","personer",":"
"befolkning_opprinnelsesland","2006","030101","760","personer","21"
"befolkning_opprinnelsesland","2006","030101","765","personer","."
"befolkning_opprinnelsesland","2006","030101","770","personer",":"
"befolkning_opprinnelsesland","2006","030101","775","personer","4"
"befolkning_opprinnelsesland","2006","030101","802","personer","."
"befolkning_opprinnelsesland","2006","030101","805","personer","25"
"befolkning_opprinnelsesland","2006","030101","806","personer","."
"befolkning_opprinnelsesland","2006","030101","807","personer","."
"befolkning_opprinnelsesland","2006","030101","808","personer","."
"befolkning_opprinnelsesland","2006","030101","809","personer","."
"befolkning_opprinnelsesland","2006","030101","811","personer","."
"befolkning_opprinnelsesland","2006","030101","812","personer","."
"befolkning_opprinnelsesland","2006","030101","813","personer","."
"befolkning_opprinnelsesland","2006","030101","814","personer","."
"befolkning_opprinnelsesland","2006","030101","815","personer","."
"befolkning_opprinnelsesland","2006","030101","816","personer","."
"befolkning_opprinnelsesland","2006","030101","817","personer","."
"befolkning_opprinnelsesland","2006","030101","818","personer","."
"befolkning_opprinnelsesland","2006","030101","819","personer","."
"befolkning_opprinnelsesland","2006","030101","820","personer","."
"befolkning_opprinnelsesland","2006","030101","821","personer","."
"befolkning_opprinnelsesland","2006","030101","822","personer","."
"befolkning_opprinnelsesland","2006","030101","826","personer","."
"befolkning_opprinnelsesland","2006","030101","827","personer","."
"befolkning_opprinnelsesland","2006","030101","828","personer","."
"befolkning_opprinnelsesland","2006","030101","829","personer","."
"befolkning_opprinnelsesland","2006","030101","830","personer","."
"befolkning_opprinnelsesland","2006","030101","832","personer","."
"befolkning_opprinnelsesland","2006","030101","833","personer","."
"befolkning_opprinnelsesland","2006","030101","835","personer","."
"befolkning_opprinnelsesland","2006","030101","839","personer","."
"befolkning_opprinnelsesland","2006","030101","840","personer","."
