"tabell_navn","aar","bydel_nr","landbakgrunn","enhet","tabellvariabel"
"befolkning_opprinnelsesland",2015,"030101",101,"person","260"
"befolkning_opprinnelsesland",2015,"030101",102,"person",":"
"befolkning_opprinnelsesland",2015,"030101",103,"person","105"
"befolkning_opprinnelsesland",2015,"030101",104,"person",":"
"befolkning_opprinnelsesland",2015,"030101",105,"person","85"
"befolkning_opprinnelsesland",2015,"030101",106,"person","1379"
"befolkning_opprinnelsesland",2015,"030101",111,"person","49"
"befolkning_opprinnelsesland",2015,"030101",112,"person","10"
"befolkning_opprinnelsesland",2015,"030101",113,"person","171"
"befolkning_opprinnelsesland",2015,"030101",114,"person","."
"befolkning_opprinnelsesland",2015,"030101",115,"person","59"
"befolkning_opprinnelsesland",2015,"030101",117,"person","142"
"befolkning_opprinnelsesland",2015,"030101",118,"person","."
"befolkning_opprinnelsesland",2015,"030101",119,"person","65"
"befolkning_opprinnelsesland",2015,"030101",120,"person","9"
"befolkning_opprinnelsesland",2015,"030101",121,"person","20"
"befolkning_opprinnelsesland",2015,"030101",122,"person","71"
"befolkning_opprinnelsesland",2015,"030101",123,"person","113"
"befolkning_opprinnelsesland",2015,"030101",124,"person","73"
"befolkning_opprinnelsesland",2015,"030101",126,"person",":"
"befolkning_opprinnelsesland",2015,"030101",127,"person","51"
"befolkning_opprinnelsesland",2015,"030101",128,"person","."
"befolkning_opprinnelsesland",2015,"030101",129,"person","."
"befolkning_opprinnelsesland",2015,"030101",130,"person","."
"befolkning_opprinnelsesland",2015,"030101",131,"person","944"
"befolkning_opprinnelsesland",2015,"030101",132,"person","73"
"befolkning_opprinnelsesland",2015,"030101",133,"person","261"
"befolkning_opprinnelsesland",2015,"030101",134,"person","."
"befolkning_opprinnelsesland",2015,"030101",136,"person","215"
"befolkning_opprinnelsesland",2015,"030101",137,"person","152"
"befolkning_opprinnelsesland",2015,"030101",138,"person","14"
"befolkning_opprinnelsesland",2015,"030101",139,"person","224"
"befolkning_opprinnelsesland",2015,"030101",140,"person","223"
"befolkning_opprinnelsesland",2015,"030101",141,"person","17"
"befolkning_opprinnelsesland",2015,"030101",143,"person","245"
"befolkning_opprinnelsesland",2015,"030101",144,"person","255"
"befolkning_opprinnelsesland",2015,"030101",146,"person","."
"befolkning_opprinnelsesland",2015,"030101",148,"person","49"
"befolkning_opprinnelsesland",2015,"030101",152,"person","63"
"befolkning_opprinnelsesland",2015,"030101",153,"person","14"
"befolkning_opprinnelsesland",2015,"030101",154,"person","."
"befolkning_opprinnelsesland",2015,"030101",155,"person","275"
"befolkning_opprinnelsesland",2015,"030101",156,"person","170"
"befolkning_opprinnelsesland",2015,"030101",157,"person","35"
"befolkning_opprinnelsesland",2015,"030101",158,"person","37"
"befolkning_opprinnelsesland",2015,"030101",159,"person","71"
"befolkning_opprinnelsesland",2015,"030101",160,"person","7"
"befolkning_opprinnelsesland",2015,"030101",161,"person","144"
"befolkning_opprinnelsesland",2015,"030101",162,"person","."
"befolkning_opprinnelsesland",2015,"030101",163,"person","."
"befolkning_opprinnelsesland",2015,"030101",164,"person","."
"befolkning_opprinnelsesland",2015,"030101",203,"person","75"
"befolkning_opprinnelsesland",2015,"030101",204,"person","6"
"befolkning_opprinnelsesland",2015,"030101",205,"person","."
"befolkning_opprinnelsesland",2015,"030101",209,"person","."
"befolkning_opprinnelsesland",2015,"030101",213,"person","."
"befolkning_opprinnelsesland",2015,"030101",216,"person","14"
"befolkning_opprinnelsesland",2015,"030101",220,"person","."
"befolkning_opprinnelsesland",2015,"030101",229,"person","."
"befolkning_opprinnelsesland",2015,"030101",235,"person","."
"befolkning_opprinnelsesland",2015,"030101",239,"person","11"
"befolkning_opprinnelsesland",2015,"030101",241,"person","129"
"befolkning_opprinnelsesland",2015,"030101",246,"person","194"
"befolkning_opprinnelsesland",2015,"030101",249,"person","32"
"befolkning_opprinnelsesland",2015,"030101",250,"person",":"
"befolkning_opprinnelsesland",2015,"030101",254,"person","."
"befolkning_opprinnelsesland",2015,"030101",256,"person","68"
"befolkning_opprinnelsesland",2015,"030101",260,"person","45"
"befolkning_opprinnelsesland",2015,"030101",264,"person",":"
"befolkning_opprinnelsesland",2015,"030101",266,"person",":"
"befolkning_opprinnelsesland",2015,"030101",270,"person","5"
"befolkning_opprinnelsesland",2015,"030101",273,"person","8"
"befolkning_opprinnelsesland",2015,"030101",276,"person","59"
"befolkning_opprinnelsesland",2015,"030101",278,"person",":"
"befolkning_opprinnelsesland",2015,"030101",279,"person","16"
"befolkning_opprinnelsesland",2015,"030101",281,"person","."
"befolkning_opprinnelsesland",2015,"030101",283,"person","15"
"befolkning_opprinnelsesland",2015,"030101",286,"person","8"
"befolkning_opprinnelsesland",2015,"030101",289,"person",":"
"befolkning_opprinnelsesland",2015,"030101",296,"person",":"
"befolkning_opprinnelsesland",2015,"030101",299,"person",":"
"befolkning_opprinnelsesland",2015,"030101",303,"person","326"
"befolkning_opprinnelsesland",2015,"030101",304,"person","."
"befolkning_opprinnelsesland",2015,"030101",306,"person","4"
"befolkning_opprinnelsesland",2015,"030101",307,"person","4"
"befolkning_opprinnelsesland",2015,"030101",308,"person","."
"befolkning_opprinnelsesland",2015,"030101",309,"person",":"
"befolkning_opprinnelsesland",2015,"030101",313,"person","46"
"befolkning_opprinnelsesland",2015,"030101",319,"person","9"
"befolkning_opprinnelsesland",2015,"030101",322,"person","."
"befolkning_opprinnelsesland",2015,"030101",323,"person",":"
"befolkning_opprinnelsesland",2015,"030101",326,"person","6"
"befolkning_opprinnelsesland",2015,"030101",329,"person","7"
"befolkning_opprinnelsesland",2015,"030101",333,"person","."
"befolkning_opprinnelsesland",2015,"030101",336,"person","11"
"befolkning_opprinnelsesland",2015,"030101",337,"person","."
"befolkning_opprinnelsesland",2015,"030101",338,"person",":"
"befolkning_opprinnelsesland",2015,"030101",339,"person","9"
"befolkning_opprinnelsesland",2015,"030101",346,"person","1866"
"befolkning_opprinnelsesland",2015,"030101",355,"person","6"
"befolkning_opprinnelsesland",2015,"030101",356,"person","50"
"befolkning_opprinnelsesland",2015,"030101",357,"person","."
"befolkning_opprinnelsesland",2015,"030101",359,"person","16"
"befolkning_opprinnelsesland",2015,"030101",369,"person","27"
"befolkning_opprinnelsesland",2015,"030101",373,"person","."
"befolkning_opprinnelsesland",2015,"030101",376,"person","4"
"befolkning_opprinnelsesland",2015,"030101",379,"person","51"
"befolkning_opprinnelsesland",2015,"030101",386,"person","32"
"befolkning_opprinnelsesland",2015,"030101",389,"person","5"
"befolkning_opprinnelsesland",2015,"030101",393,"person","."
"befolkning_opprinnelsesland",2015,"030101",404,"person","233"
"befolkning_opprinnelsesland",2015,"030101",406,"person","10"
"befolkning_opprinnelsesland",2015,"030101",407,"person","15"
"befolkning_opprinnelsesland",2015,"030101",409,"person","."
"befolkning_opprinnelsesland",2015,"030101",410,"person","51"
"befolkning_opprinnelsesland",2015,"030101",412,"person",":"
"befolkning_opprinnelsesland",2015,"030101",416,"person","."
"befolkning_opprinnelsesland",2015,"030101",420,"person","11"
"befolkning_opprinnelsesland",2015,"030101",424,"person","236"
"befolkning_opprinnelsesland",2015,"030101",426,"person","4"
"befolkning_opprinnelsesland",2015,"030101",428,"person","238"
"befolkning_opprinnelsesland",2015,"030101",430,"person","11"
"befolkning_opprinnelsesland",2015,"030101",432,"person","10"
"befolkning_opprinnelsesland",2015,"030101",436,"person","26"
"befolkning_opprinnelsesland",2015,"030101",444,"person","313"
"befolkning_opprinnelsesland",2015,"030101",448,"person","23"
"befolkning_opprinnelsesland",2015,"030101",452,"person","684"
"befolkning_opprinnelsesland",2015,"030101",456,"person","393"
"befolkning_opprinnelsesland",2015,"030101",460,"person","7"
"befolkning_opprinnelsesland",2015,"030101",464,"person","11"
"befolkning_opprinnelsesland",2015,"030101",476,"person","11"
"befolkning_opprinnelsesland",2015,"030101",478,"person","9"
"befolkning_opprinnelsesland",2015,"030101",480,"person","9"
"befolkning_opprinnelsesland",2015,"030101",484,"person","234"
"befolkning_opprinnelsesland",2015,"030101",488,"person","."
"befolkning_opprinnelsesland",2015,"030101",492,"person","20"
"befolkning_opprinnelsesland",2015,"030101",496,"person","10"
"befolkning_opprinnelsesland",2015,"030101",500,"person",":"
"befolkning_opprinnelsesland",2015,"030101",502,"person","6"
"befolkning_opprinnelsesland",2015,"030101",504,"person",":"
"befolkning_opprinnelsesland",2015,"030101",508,"person","97"
"befolkning_opprinnelsesland",2015,"030101",510,"person","."
"befolkning_opprinnelsesland",2015,"030101",512,"person","19"
"befolkning_opprinnelsesland",2015,"030101",513,"person","."
"befolkning_opprinnelsesland",2015,"030101",516,"person",":"
"befolkning_opprinnelsesland",2015,"030101",520,"person",":"
"befolkning_opprinnelsesland",2015,"030101",524,"person","52"
"befolkning_opprinnelsesland",2015,"030101",528,"person","111"
"befolkning_opprinnelsesland",2015,"030101",534,"person","980"
"befolkning_opprinnelsesland",2015,"030101",537,"person","."
"befolkning_opprinnelsesland",2015,"030101",540,"person","."
"befolkning_opprinnelsesland",2015,"030101",544,"person","12"
"befolkning_opprinnelsesland",2015,"030101",548,"person","8"
"befolkning_opprinnelsesland",2015,"030101",550,"person",":"
"befolkning_opprinnelsesland",2015,"030101",552,"person","."
"befolkning_opprinnelsesland",2015,"030101",554,"person","10"
"befolkning_opprinnelsesland",2015,"030101",564,"person","86"
"befolkning_opprinnelsesland",2015,"030101",568,"person","251"
"befolkning_opprinnelsesland",2015,"030101",575,"person","527"
"befolkning_opprinnelsesland",2015,"030101",578,"person","8"
