"tabell_navn","aar","fylke_nr","landbakgrunn","enhet","tabellvariabel"
"befolkning_opprinnelsesland",2015,"01",101,"person","1174"
"befolkning_opprinnelsesland",2015,"01",102,"person","9"
"befolkning_opprinnelsesland",2015,"01",103,"person","269"
"befolkning_opprinnelsesland",2015,"01",104,"person","29"
"befolkning_opprinnelsesland",2015,"01",105,"person","454"
"befolkning_opprinnelsesland",2015,"01",106,"person","2297"
"befolkning_opprinnelsesland",2015,"01",111,"person","59"
"befolkning_opprinnelsesland",2015,"01",112,"person","44"
"befolkning_opprinnelsesland",2015,"01",113,"person","154"
"befolkning_opprinnelsesland",2015,"01",114,"person","."
"befolkning_opprinnelsesland",2015,"01",115,"person","217"
"befolkning_opprinnelsesland",2015,"01",117,"person","118"
"befolkning_opprinnelsesland",2015,"01",118,"person","."
"befolkning_opprinnelsesland",2015,"01",119,"person","99"
"befolkning_opprinnelsesland",2015,"01",120,"person","53"
"befolkning_opprinnelsesland",2015,"01",121,"person","35"
"befolkning_opprinnelsesland",2015,"01",122,"person","213"
"befolkning_opprinnelsesland",2015,"01",123,"person","91"
"befolkning_opprinnelsesland",2015,"01",124,"person","399"
"befolkning_opprinnelsesland",2015,"01",126,"person","."
"befolkning_opprinnelsesland",2015,"01",127,"person","266"
"befolkning_opprinnelsesland",2015,"01",128,"person",":"
"befolkning_opprinnelsesland",2015,"01",129,"person","."
"befolkning_opprinnelsesland",2015,"01",130,"person","."
"befolkning_opprinnelsesland",2015,"01",131,"person","5450"
"befolkning_opprinnelsesland",2015,"01",132,"person","69"
"befolkning_opprinnelsesland",2015,"01",133,"person","330"
"befolkning_opprinnelsesland",2015,"01",134,"person","."
"befolkning_opprinnelsesland",2015,"01",136,"person","1524"
"befolkning_opprinnelsesland",2015,"01",137,"person","219"
"befolkning_opprinnelsesland",2015,"01",138,"person","21"
"befolkning_opprinnelsesland",2015,"01",139,"person","421"
"befolkning_opprinnelsesland",2015,"01",140,"person","695"
"befolkning_opprinnelsesland",2015,"01",141,"person","72"
"befolkning_opprinnelsesland",2015,"01",143,"person","457"
"befolkning_opprinnelsesland",2015,"01",144,"person","821"
"befolkning_opprinnelsesland",2015,"01",146,"person","37"
"befolkning_opprinnelsesland",2015,"01",148,"person","164"
"befolkning_opprinnelsesland",2015,"01",152,"person","205"
"befolkning_opprinnelsesland",2015,"01",153,"person","60"
"befolkning_opprinnelsesland",2015,"01",154,"person","."
"befolkning_opprinnelsesland",2015,"01",155,"person","1715"
"befolkning_opprinnelsesland",2015,"01",156,"person","183"
"befolkning_opprinnelsesland",2015,"01",157,"person","161"
"befolkning_opprinnelsesland",2015,"01",158,"person","90"
"befolkning_opprinnelsesland",2015,"01",159,"person","296"
"befolkning_opprinnelsesland",2015,"01",160,"person","38"
"befolkning_opprinnelsesland",2015,"01",161,"person","1709"
"befolkning_opprinnelsesland",2015,"01",162,"person","."
"befolkning_opprinnelsesland",2015,"01",163,"person","."
"befolkning_opprinnelsesland",2015,"01",164,"person","."
"befolkning_opprinnelsesland",2015,"01",203,"person","68"
"befolkning_opprinnelsesland",2015,"01",204,"person","32"
"befolkning_opprinnelsesland",2015,"01",205,"person","."
"befolkning_opprinnelsesland",2015,"01",209,"person","."
"befolkning_opprinnelsesland",2015,"01",213,"person","."
"befolkning_opprinnelsesland",2015,"01",216,"person","55"
