"tabell_navn","aar","naringsregion_nr","landbakgrunn","enhet","tabellvariabel"
"befolkning_opprinnelsesland",2015,"01",101,"person","123"
"befolkning_opprinnelsesland",2015,"01",102,"person",":"
"befolkning_opprinnelsesland",2015,"01",103,"person","30"
"befolkning_opprinnelsesland",2015,"01",104,"person",":"
"befolkning_opprinnelsesland",2015,"01",105,"person","43"
"befolkning_opprinnelsesland",2015,"01",106,"person","358"
"befolkning_opprinnelsesland",2015,"01",111,"person","4"
"befolkning_opprinnelsesland",2015,"01",112,"person","11"
"befolkning_opprinnelsesland",2015,"01",113,"person","9"
"befolkning_opprinnelsesland",2015,"01",114,"person","."
"befolkning_opprinnelsesland",2015,"01",115,"person","19"
"befolkning_opprinnelsesland",2015,"01",117,"person","30"
"befolkning_opprinnelsesland",2015,"01",118,"person","."
"befolkning_opprinnelsesland",2015,"01",119,"person","6"
"befolkning_opprinnelsesland",2015,"01",120,"person","7"
"befolkning_opprinnelsesland",2015,"01",121,"person","6"
"befolkning_opprinnelsesland",2015,"01",122,"person","7"
"befolkning_opprinnelsesland",2015,"01",123,"person","6"
"befolkning_opprinnelsesland",2015,"01",124,"person","13"
"befolkning_opprinnelsesland",2015,"01",126,"person","."
"befolkning_opprinnelsesland",2015,"01",127,"person","39"
"befolkning_opprinnelsesland",2015,"01",128,"person","."
"befolkning_opprinnelsesland",2015,"01",129,"person","."
"befolkning_opprinnelsesland",2015,"01",130,"person","."
"befolkning_opprinnelsesland",2015,"01",131,"person","356"
"befolkning_opprinnelsesland",2015,"01",132,"person",":"
"befolkning_opprinnelsesland",2015,"01",133,"person","25"
"befolkning_opprinnelsesland",2015,"01",134,"person","."
"befolkning_opprinnelsesland",2015,"01",136,"person","114"
"befolkning_opprinnelsesland",2015,"01",137,"person","23"
"befolkning_opprinnelsesland",2015,"01",138,"person","."
"befolkning_opprinnelsesland",2015,"01",139,"person","43"
"befolkning_opprinnelsesland",2015,"01",140,"person","64"
"befolkning_opprinnelsesland",2015,"01",141,"person","10"
"befolkning_opprinnelsesland",2015,"01",143,"person","38"
"befolkning_opprinnelsesland",2015,"01",144,"person","100"
"befolkning_opprinnelsesland",2015,"01",146,"person",":"
"befolkning_opprinnelsesland",2015,"01",148,"person","15"
"befolkning_opprinnelsesland",2015,"01",152,"person","26"
"befolkning_opprinnelsesland",2015,"01",153,"person","8"
"befolkning_opprinnelsesland",2015,"01",154,"person","."
"befolkning_opprinnelsesland",2015,"01",155,"person","73"
"befolkning_opprinnelsesland",2015,"01",156,"person","40"
"befolkning_opprinnelsesland",2015,"01",157,"person","11"
"befolkning_opprinnelsesland",2015,"01",158,"person","13"
"befolkning_opprinnelsesland",2015,"01",159,"person","13"
"befolkning_opprinnelsesland",2015,"01",160,"person","4"
"befolkning_opprinnelsesland",2015,"01",161,"person","342"
"befolkning_opprinnelsesland",2015,"01",162,"person","."
"befolkning_opprinnelsesland",2015,"01",163,"person","."
"befolkning_opprinnelsesland",2015,"01",164,"person","."
"befolkning_opprinnelsesland",2015,"01",203,"person",":"
"befolkning_opprinnelsesland",2015,"01",204,"person",":"
"befolkning_opprinnelsesland",2015,"01",205,"person","."
"befolkning_opprinnelsesland",2015,"01",209,"person","."
"befolkning_opprinnelsesland",2015,"01",213,"person","."
"befolkning_opprinnelsesland",2015,"01",216,"person","12"
"befolkning_opprinnelsesland",2015,"01",220,"person","."
"befolkning_opprinnelsesland",2015,"01",229,"person","."
"befolkning_opprinnelsesland",2015,"01",235,"person","."
