"aar","bydel_nr","kjonn","enhet","tabell_navn","fylke_nr","naringsregion_nr","kommune_nr","vreg_3","vreg_6","vreg_9","tabellvariabel"
2014,"000301","alle","personer","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL","afrika","22739"
2014,"030101","alle","personer","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL","afrika","3014"
2014,"030102","alle","personer","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL","afrika","2278"
2014,"030103","alle","personer","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL","afrika","1759"
2014,"030104","alle","personer","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL","afrika","1022"
2014,"030105","alle","personer","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL","afrika","797"
2014,"030106","alle","personer","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL","afrika","306"
2014,"030107","alle","personer","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL","afrika","471"
2014,"030108","alle","personer","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL","afrika","1019"
2014,"030109","alle","personer","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL","afrika","1481"
2014,"030110","alle","personer","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL","afrika","1777"
2014,"030111","alle","personer","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL","afrika","1684"
2014,"030112","alle","personer","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL","afrika","2661"
2014,"030113","alle","personer","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL","afrika","1298"
2014,"030114","alle","personer","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL","afrika","734"
2014,"030115","alle","personer","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL","afrika","1982"
2014,"030116","alle","personer","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL","afrika","41"
2014,"030117","alle","personer","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL","afrika","0"
2014,"030199","alle","personer","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL","afrika","414"
2014,"NULL","alle","personer","befolkning_verdensregion","00","NULL","NULL","NULL","NULL","afrika","74171"
2014,"NULL","alle","personer","befolkning_verdensregion","01","NULL","NULL","NULL","NULL","afrika","3458"
2014,"NULL","alle","personer","befolkning_verdensregion","02","NULL","NULL","NULL","NULL","afrika","6232"
2014,"NULL","alle","personer","befolkning_verdensregion","03","NULL","NULL","NULL","NULL","afrika","22739"
2014,"NULL","alle","personer","befolkning_verdensregion","04","NULL","NULL","NULL","NULL","afrika","2166"
2014,"NULL","alle","personer","befolkning_verdensregion","05","NULL","NULL","NULL","NULL","afrika","2161"
2014,"NULL","alle","personer","befolkning_verdensregion","06","NULL","NULL","NULL","NULL","afrika","3318"
2014,"NULL","alle","personer","befolkning_verdensregion","07","NULL","NULL","NULL","NULL","afrika","2045"
2014,"NULL","alle","personer","befolkning_verdensregion","08","NULL","NULL","NULL","NULL","afrika","2610"
2014,"NULL","alle","personer","befolkning_verdensregion","09","NULL","NULL","NULL","NULL","afrika","1039"
2014,"NULL","alle","personer","befolkning_verdensregion","10","NULL","NULL","NULL","NULL","afrika","2127"
2014,"NULL","alle","personer","befolkning_verdensregion","11","NULL","NULL","NULL","NULL","afrika","5279"
2014,"NULL","alle","personer","befolkning_verdensregion","12","NULL","NULL","NULL","NULL","afrika","6090"
2014,"NULL","alle","personer","befolkning_verdensregion","14","NULL","NULL","NULL","NULL","afrika","1273"
2014,"NULL","alle","personer","befolkning_verdensregion","15","NULL","NULL","NULL","NULL","afrika","2239"
2014,"NULL","alle","personer","befolkning_verdensregion","16","NULL","NULL","NULL","NULL","afrika","3170"
2014,"NULL","alle","personer","befolkning_verdensregion","17","NULL","NULL","NULL","NULL","afrika","1618"
2014,"NULL","alle","personer","befolkning_verdensregion","18","NULL","NULL","NULL","NULL","afrika","3327"
2014,"NULL","alle","personer","befolkning_verdensregion","19","NULL","NULL","NULL","NULL","afrika","2402"
2014,"NULL","alle","personer","befolkning_verdensregion","20","NULL","NULL","NULL","NULL","afrika","878"
2014,"NULL","alle","personer","befolkning_verdensregion","99","NULL","NULL","NULL","NULL","afrika","."
2014,"NULL","alle","personer","befolkning_verdensregion","NULL","01","NULL","NULL","NULL","afrika","397"
2014,"NULL","alle","personer","befolkning_verdensregion","NULL","02","NULL","NULL","NULL","afrika","513"
2014,"NULL","alle","personer","befolkning_verdensregion","NULL","03","NULL","NULL","NULL","afrika","713"
2014,"NULL","alle","personer","befolkning_verdensregion","NULL","04","NULL","NULL","NULL","afrika","1835"
2014,"NULL","alle","personer","befolkning_verdensregion","NULL","05","NULL","NULL","NULL","afrika","2220"
2014,"NULL","alle","personer","befolkning_verdensregion","NULL","06","NULL","NULL","NULL","afrika","1685"
2014,"NULL","alle","personer","befolkning_verdensregion","NULL","07","NULL","NULL","NULL","afrika","1711"
2014,"NULL","alle","personer","befolkning_verdensregion","NULL","08","NULL","NULL","NULL","afrika","616"
2014,"NULL","alle","personer","befolkning_verdensregion","NULL","09","NULL","NULL","NULL","afrika","22739"
2014,"NULL","alle","personer","befolkning_verdensregion","NULL","10","NULL","NULL","NULL","afrika","162"
2014,"NULL","alle","personer","befolkning_verdensregion","NULL","11","NULL","NULL","NULL","afrika","381"
2014,"NULL","alle","personer","befolkning_verdensregion","NULL","12","NULL","NULL","NULL","afrika","1061"
2014,"NULL","alle","personer","befolkning_verdensregion","NULL","13","NULL","NULL","NULL","afrika","562"
2014,"NULL","alle","personer","befolkning_verdensregion","NULL","14","NULL","NULL","NULL","afrika","788"
2014,"NULL","alle","personer","befolkning_verdensregion","NULL","15","NULL","NULL","NULL","afrika","366"
2014,"NULL","alle","personer","befolkning_verdensregion","NULL","16","NULL","NULL","NULL","afrika","446"
2014,"NULL","alle","personer","befolkning_verdensregion","NULL","17","NULL","NULL","NULL","afrika","96"
2014,"NULL","alle","personer","befolkning_verdensregion","NULL","18","NULL","NULL","NULL","afrika","249"
2014,"NULL","alle","personer","befolkning_verdensregion","NULL","19","NULL","NULL","NULL","afrika","216"
2014,"NULL","alle","personer","befolkning_verdensregion","NULL","20","NULL","NULL","NULL","afrika","2396"
2014,"NULL","alle","personer","befolkning_verdensregion","NULL","21","NULL","NULL","NULL","afrika","264"
2014,"NULL","alle","personer","befolkning_verdensregion","NULL","22","NULL","NULL","NULL","afrika","414"
2014,"NULL","alle","personer","befolkning_verdensregion","NULL","23","NULL","NULL","NULL","afrika","123"
2014,"NULL","alle","personer","befolkning_verdensregion","NULL","24","NULL","NULL","NULL","afrika","213"
2014,"NULL","alle","personer","befolkning_verdensregion","NULL","25","NULL","NULL","NULL","afrika","1103"
2014,"NULL","alle","personer","befolkning_verdensregion","NULL","26","NULL","NULL","NULL","afrika","850"
2014,"NULL","alle","personer","befolkning_verdensregion","NULL","27","NULL","NULL","NULL","afrika","1950"
2014,"NULL","alle","personer","befolkning_verdensregion","NULL","28","NULL","NULL","NULL","afrika","249"
2014,"NULL","alle","personer","befolkning_verdensregion","NULL","29","NULL","NULL","NULL","afrika","290"
