"aar","bydel_nr","vreg_2","kjonn","enhet","tabellvariabel","tabell_navn","fylke_nr","naringsregion_nr","kommune_nr"
2014,"000301","1","0","personer","25087","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"000301","1","1","personer","32461","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"000301","1","alle","personer","57548","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"000301","2","0","personer","47323","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"000301","2","1","personer","46851","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"000301","2","alle","personer","94174","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030101","1","0","personer","2018","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030101","1","1","personer","2859","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030101","1","alle","personer","4877","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030101","2","0","personer","4434","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030101","2","1","personer","4934","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030101","2","alle","personer","9368","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030102","1","0","personer","2727","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030102","1","1","personer","3934","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030102","1","alle","personer","6661","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030102","2","0","personer","3728","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030102","2","1","personer","4326","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030102","2","alle","personer","8054","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030103","1","0","personer","1491","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030103","1","1","personer","1842","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030103","1","alle","personer","3333","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030103","2","0","personer","2203","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030103","2","1","personer","2357","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030103","2","alle","personer","4560","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030104","1","0","personer","2053","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030104","1","1","personer","2652","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030104","1","alle","personer","4705","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030104","2","0","personer","1660","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030104","2","1","personer","2020","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030104","2","alle","personer","3680","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030105","1","0","personer","3813","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030105","1","1","personer","4366","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030105","1","alle","personer","8179","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030105","2","0","personer","2659","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030105","2","1","personer","2358","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030105","2","alle","personer","5017","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030106","1","0","personer","1377","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030106","1","1","personer","1419","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030106","1","alle","personer","2796","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030106","2","0","personer","1162","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030106","2","1","personer","811","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030106","2","alle","personer","1973","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030107","1","0","personer","1931","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030107","1","1","personer","2077","befolkning_verdensregion_2","NULL","NULL","NULL"
