"tabell_navn","aar","kommune_nr","kjonn","enhet","vreg_3","tabellvariabel"
"befolkning_verdensregion_3",2015,"0101","0","person","1",684
"befolkning_verdensregion_3",2015,"0101","1","person","1",783
"befolkning_verdensregion_3",2015,"0101","alle","person","1",1467
"befolkning_verdensregion_3",2015,"0104","0","person","1",864
"befolkning_verdensregion_3",2015,"0104","1","person","1",1139
"befolkning_verdensregion_3",2015,"0104","alle","person","1",2003
"befolkning_verdensregion_3",2015,"0105","0","person","1",1137
"befolkning_verdensregion_3",2015,"0105","1","person","1",1568
"befolkning_verdensregion_3",2015,"0105","alle","person","1",2705
"befolkning_verdensregion_3",2015,"0106","0","person","1",1659
"befolkning_verdensregion_3",2015,"0106","1","person","1",2197
"befolkning_verdensregion_3",2015,"0106","alle","person","1",3856
"befolkning_verdensregion_3",2015,"0111","0","person","1",68
"befolkning_verdensregion_3",2015,"0111","1","person","1",78
"befolkning_verdensregion_3",2015,"0111","alle","person","1",146
"befolkning_verdensregion_3",2015,"0118","0","person","1",15
"befolkning_verdensregion_3",2015,"0118","1","person","1",16
"befolkning_verdensregion_3",2015,"0118","alle","person","1",31
"befolkning_verdensregion_3",2015,"0119","0","person","1",97
"befolkning_verdensregion_3",2015,"0119","1","person","1",79
"befolkning_verdensregion_3",2015,"0119","alle","person","1",176
"befolkning_verdensregion_3",2015,"0121","0","person","1",24
"befolkning_verdensregion_3",2015,"0121","1","person","1",20
"befolkning_verdensregion_3",2015,"0121","alle","person","1",44
"befolkning_verdensregion_3",2015,"0122","0","person","1",137
"befolkning_verdensregion_3",2015,"0122","1","person","1",206
"befolkning_verdensregion_3",2015,"0122","alle","person","1",343
"befolkning_verdensregion_3",2015,"0123","0","person","1",121
"befolkning_verdensregion_3",2015,"0123","1","person","1",173
"befolkning_verdensregion_3",2015,"0123","alle","person","1",294
"befolkning_verdensregion_3",2015,"0124","0","person","1",395
"befolkning_verdensregion_3",2015,"0124","1","person","1",534
"befolkning_verdensregion_3",2015,"0124","alle","person","1",929
"befolkning_verdensregion_3",2015,"0125","0","person","1",348
"befolkning_verdensregion_3",2015,"0125","1","person","1",435
"befolkning_verdensregion_3",2015,"0125","alle","person","1",783
"befolkning_verdensregion_3",2015,"0127","0","person","1",88
"befolkning_verdensregion_3",2015,"0127","1","person","1",148
"befolkning_verdensregion_3",2015,"0127","alle","person","1",236
"befolkning_verdensregion_3",2015,"0128","0","person","1",178
"befolkning_verdensregion_3",2015,"0128","1","person","1",298
"befolkning_verdensregion_3",2015,"0128","alle","person","1",476
"befolkning_verdensregion_3",2015,"0135","0","person","1",158
"befolkning_verdensregion_3",2015,"0135","1","person","1",308
"befolkning_verdensregion_3",2015,"0135","alle","person","1",466
"befolkning_verdensregion_3",2015,"0136","0","person","1",370
"befolkning_verdensregion_3",2015,"0136","1","person","1",507
"befolkning_verdensregion_3",2015,"0136","alle","person","1",877
"befolkning_verdensregion_3",2015,"0137","0","person","1",171
"befolkning_verdensregion_3",2015,"0137","1","person","1",235
"befolkning_verdensregion_3",2015,"0137","alle","person","1",406
"befolkning_verdensregion_3",2015,"0138","0","person","1",198
"befolkning_verdensregion_3",2015,"0138","1","person","1",279
"befolkning_verdensregion_3",2015,"0138","alle","person","1",477
"befolkning_verdensregion_3",2015,"0211","0","person","1",427
"befolkning_verdensregion_3",2015,"0211","1","person","1",625
"befolkning_verdensregion_3",2015,"0211","alle","person","1",1052
"befolkning_verdensregion_3",2015,"0213","0","person","1",762
"befolkning_verdensregion_3",2015,"0213","1","person","1",996
"befolkning_verdensregion_3",2015,"0213","alle","person","1",1758
"befolkning_verdensregion_3",2015,"0214","0","person","1",686
"befolkning_verdensregion_3",2015,"0214","1","person","1",937
"befolkning_verdensregion_3",2015,"0214","alle","person","1",1623
"befolkning_verdensregion_3",2015,"0215","0","person","1",464
"befolkning_verdensregion_3",2015,"0215","1","person","1",510
"befolkning_verdensregion_3",2015,"0215","alle","person","1",974
"befolkning_verdensregion_3",2015,"0216","0","person","1",681
"befolkning_verdensregion_3",2015,"0216","1","person","1",729
"befolkning_verdensregion_3",2015,"0216","alle","person","1",1410
"befolkning_verdensregion_3",2015,"0217","0","person","1",739
"befolkning_verdensregion_3",2015,"0217","1","person","1",887
"befolkning_verdensregion_3",2015,"0217","alle","person","1",1626
"befolkning_verdensregion_3",2015,"0219","0","person","1",4743
"befolkning_verdensregion_3",2015,"0219","1","person","1",5761
"befolkning_verdensregion_3",2015,"0219","alle","person","1",10504
"befolkning_verdensregion_3",2015,"0220","0","person","1",2332
"befolkning_verdensregion_3",2015,"0220","1","person","1",2923
"befolkning_verdensregion_3",2015,"0220","alle","person","1",5255
"befolkning_verdensregion_3",2015,"0221","0","person","1",462
