"tabell_navn","aar","naringsregion_nr","kjonn","enhet","vreg_3","tabellvariabel"
"befolkning_verdensregion_3",2015,"01","0","person","1",684
"befolkning_verdensregion_3",2015,"01","1","person","1",783
"befolkning_verdensregion_3",2015,"01","alle","person","1",1467
"befolkning_verdensregion_3",2015,"02","0","person","1",1601
"befolkning_verdensregion_3",2015,"02","1","person","1",2188
"befolkning_verdensregion_3",2015,"02","alle","person","1",3789
"befolkning_verdensregion_3",2015,"03","0","person","1",1563
"befolkning_verdensregion_3",2015,"03","1","person","1",2189
"befolkning_verdensregion_3",2015,"03","alle","person","1",3752
"befolkning_verdensregion_3",2015,"04","0","person","1",2864
"befolkning_verdensregion_3",2015,"04","1","person","1",3843
"befolkning_verdensregion_3",2015,"04","alle","person","1",6707
"befolkning_verdensregion_3",2015,"05","0","person","1",7075
"befolkning_verdensregion_3",2015,"05","1","person","1",8684
"befolkning_verdensregion_3",2015,"05","alle","person","1",15759
"befolkning_verdensregion_3",2015,"06","0","person","1",4060
"befolkning_verdensregion_3",2015,"06","1","person","1",5116
"befolkning_verdensregion_3",2015,"06","alle","person","1",9176
"befolkning_verdensregion_3",2015,"07","0","person","1",4669
"befolkning_verdensregion_3",2015,"07","1","person","1",7160
"befolkning_verdensregion_3",2015,"07","alle","person","1",11829
"befolkning_verdensregion_3",2015,"08","0","person","1",2863
"befolkning_verdensregion_3",2015,"08","1","person","1",4182
"befolkning_verdensregion_3",2015,"08","alle","person","1",7045
"befolkning_verdensregion_3",2015,"09","0","person","1",26680
"befolkning_verdensregion_3",2015,"09","1","person","1",34471
"befolkning_verdensregion_3",2015,"09","alle","person","1",61151
"befolkning_verdensregion_3",2015,"10","0","person","1",321
"befolkning_verdensregion_3",2015,"10","1","person","1",385
"befolkning_verdensregion_3",2015,"10","alle","person","1",706
"befolkning_verdensregion_3",2015,"11","0","person","1",926
"befolkning_verdensregion_3",2015,"11","1","person","1",1012
"befolkning_verdensregion_3",2015,"11","alle","person","1",1938
"befolkning_verdensregion_3",2015,"12","0","person","1",1699
