"aar","bydel_nr","enhet","tabellvariabel","tabell_navn","vreg_5","fylke_nr","naringsregion_nr","kommune_nr"
2014,"000301","personer","65836","befolkning_verdensregion_5","europa","NULL","NULL","NULL"
2014,"000301","personer","54902","befolkning_verdensregion_5","asia","NULL","NULL","NULL"
2014,"000301","personer","22739","befolkning_verdensregion_5","afrika","NULL","NULL","NULL"
2014,"000301","personer","2718","befolkning_verdensregion_5","nord_amerika_oseania","NULL","NULL","NULL"
2014,"000301","personer","5487","befolkning_verdensregion_5","sor_og_mellom_amerika","NULL","NULL","NULL"
2014,"030101","personer","5596","befolkning_verdensregion_5","europa","NULL","NULL","NULL"
2014,"030101","personer","4804","befolkning_verdensregion_5","asia","NULL","NULL","NULL"
2014,"030101","personer","3014","befolkning_verdensregion_5","afrika","NULL","NULL","NULL"
2014,"030101","personer","232","befolkning_verdensregion_5","nord_amerika_oseania","NULL","NULL","NULL"
2014,"030101","personer","595","befolkning_verdensregion_5","sor_og_mellom_amerika","NULL","NULL","NULL"
2014,"030102","personer","7459","befolkning_verdensregion_5","europa","NULL","NULL","NULL"
2014,"030102","personer","4010","befolkning_verdensregion_5","asia","NULL","NULL","NULL"
2014,"030102","personer","2278","befolkning_verdensregion_5","afrika","NULL","NULL","NULL"
2014,"030102","personer","303","befolkning_verdensregion_5","nord_amerika_oseania","NULL","NULL","NULL"
2014,"030102","personer","658","befolkning_verdensregion_5","sor_og_mellom_amerika","NULL","NULL","NULL"
2014,"030103","personer","3799","befolkning_verdensregion_5","europa","NULL","NULL","NULL"
2014,"030103","personer","1808","befolkning_verdensregion_5","asia","NULL","NULL","NULL"
2014,"030103","personer","1759","befolkning_verdensregion_5","afrika","NULL","NULL","NULL"
2014,"030103","personer","144","befolkning_verdensregion_5","nord_amerika_oseania","NULL","NULL","NULL"
2014,"030103","personer","382","befolkning_verdensregion_5","sor_og_mellom_amerika","NULL","NULL","NULL"
2014,"030104","personer","5025","befolkning_verdensregion_5","europa","NULL","NULL","NULL"
2014,"030104","personer","1708","befolkning_verdensregion_5","asia","NULL","NULL","NULL"
2014,"030104","personer","1022","befolkning_verdensregion_5","afrika","NULL","NULL","NULL"
2014,"030104","personer","233","befolkning_verdensregion_5","nord_amerika_oseania","NULL","NULL","NULL"
2014,"030104","personer","397","befolkning_verdensregion_5","sor_og_mellom_amerika","NULL","NULL","NULL"
2014,"030105","personer","8535","befolkning_verdensregion_5","europa","NULL","NULL","NULL"
2014,"030105","personer","2642","befolkning_verdensregion_5","asia","NULL","NULL","NULL"
2014,"030105","personer","797","befolkning_verdensregion_5","afrika","NULL","NULL","NULL"
2014,"030105","personer","567","befolkning_verdensregion_5","nord_amerika_oseania","NULL","NULL","NULL"
2014,"030105","personer","655","befolkning_verdensregion_5","sor_og_mellom_amerika","NULL","NULL","NULL"
2014,"030106","personer","2970","befolkning_verdensregion_5","europa","NULL","NULL","NULL"
2014,"030106","personer","1158","befolkning_verdensregion_5","asia","NULL","NULL","NULL"
2014,"030106","personer","306","befolkning_verdensregion_5","afrika","NULL","NULL","NULL"
2014,"030106","personer","151","befolkning_verdensregion_5","nord_amerika_oseania","NULL","NULL","NULL"
2014,"030106","personer","183","befolkning_verdensregion_5","sor_og_mellom_amerika","NULL","NULL","NULL"
2014,"030107","personer","4110","befolkning_verdensregion_5","europa","NULL","NULL","NULL"
2014,"030107","personer","1650","befolkning_verdensregion_5","asia","NULL","NULL","NULL"
2014,"030107","personer","471","befolkning_verdensregion_5","afrika","NULL","NULL","NULL"
2014,"030107","personer","274","befolkning_verdensregion_5","nord_amerika_oseania","NULL","NULL","NULL"
2014,"030107","personer","231","befolkning_verdensregion_5","sor_og_mellom_amerika","NULL","NULL","NULL"
2014,"030108","personer","3943","befolkning_verdensregion_5","europa","NULL","NULL","NULL"
2014,"030108","personer","1738","befolkning_verdensregion_5","asia","NULL","NULL","NULL"
2014,"030108","personer","1019","befolkning_verdensregion_5","afrika","NULL","NULL","NULL"
2014,"030108","personer","211","befolkning_verdensregion_5","nord_amerika_oseania","NULL","NULL","NULL"
2014,"030108","personer","240","befolkning_verdensregion_5","sor_og_mellom_amerika","NULL","NULL","NULL"
2014,"030109","personer","3218","befolkning_verdensregion_5","europa","NULL","NULL","NULL"
2014,"030109","personer","4283","befolkning_verdensregion_5","asia","NULL","NULL","NULL"
2014,"030109","personer","1481","befolkning_verdensregion_5","afrika","NULL","NULL","NULL"
2014,"030109","personer","53","befolkning_verdensregion_5","nord_amerika_oseania","NULL","NULL","NULL"
2014,"030109","personer","248","befolkning_verdensregion_5","sor_og_mellom_amerika","NULL","NULL","NULL"
2014,"030110","personer","2243","befolkning_verdensregion_5","europa","NULL","NULL","NULL"
2014,"030110","personer","4204","befolkning_verdensregion_5","asia","NULL","NULL","NULL"
2014,"030110","personer","1777","befolkning_verdensregion_5","afrika","NULL","NULL","NULL"
2014,"030110","personer","48","befolkning_verdensregion_5","nord_amerika_oseania","NULL","NULL","NULL"
2014,"030110","personer","364","befolkning_verdensregion_5","sor_og_mellom_amerika","NULL","NULL","NULL"
2014,"030111","personer","2284","befolkning_verdensregion_5","europa","NULL","NULL","NULL"
2014,"030111","personer","6321","befolkning_verdensregion_5","asia","NULL","NULL","NULL"
2014,"030111","personer","1684","befolkning_verdensregion_5","afrika","NULL","NULL","NULL"
2014,"030111","personer","27","befolkning_verdensregion_5","nord_amerika_oseania","NULL","NULL","NULL"
2014,"030111","personer","190","befolkning_verdensregion_5","sor_og_mellom_amerika","NULL","NULL","NULL"
2014,"030112","personer","4251","befolkning_verdensregion_5","europa","NULL","NULL","NULL"
2014,"030112","personer","8756","befolkning_verdensregion_5","asia","NULL","NULL","NULL"
2014,"030112","personer","2661","befolkning_verdensregion_5","afrika","NULL","NULL","NULL"
2014,"030112","personer","76","befolkning_verdensregion_5","nord_amerika_oseania","NULL","NULL","NULL"
2014,"030112","personer","442","befolkning_verdensregion_5","sor_og_mellom_amerika","NULL","NULL","NULL"
2014,"030113","personer","3504","befolkning_verdensregion_5","europa","NULL","NULL","NULL"
2014,"030113","personer","3161","befolkning_verdensregion_5","asia","NULL","NULL","NULL"
2014,"030113","personer","1298","befolkning_verdensregion_5","afrika","NULL","NULL","NULL"
2014,"030113","personer","112","befolkning_verdensregion_5","nord_amerika_oseania","NULL","NULL","NULL"
2014,"030113","personer","267","befolkning_verdensregion_5","sor_og_mellom_amerika","NULL","NULL","NULL"
2014,"030114","personer","3754","befolkning_verdensregion_5","europa","NULL","NULL","NULL"
2014,"030114","personer","1605","befolkning_verdensregion_5","asia","NULL","NULL","NULL"
2014,"030114","personer","734","befolkning_verdensregion_5","afrika","NULL","NULL","NULL"
2014,"030114","personer","157","befolkning_verdensregion_5","nord_amerika_oseania","NULL","NULL","NULL"
2014,"030114","personer","255","befolkning_verdensregion_5","sor_og_mellom_amerika","NULL","NULL","NULL"
2014,"030115","personer","3405","befolkning_verdensregion_5","europa","NULL","NULL","NULL"
2014,"030115","personer","6564","befolkning_verdensregion_5","asia","NULL","NULL","NULL"
2014,"030115","personer","1982","befolkning_verdensregion_5","afrika","NULL","NULL","NULL"
2014,"030115","personer","93","befolkning_verdensregion_5","nord_amerika_oseania","NULL","NULL","NULL"
2014,"030115","personer","291","befolkning_verdensregion_5","sor_og_mellom_amerika","NULL","NULL","NULL"
2014,"030116","personer","310","befolkning_verdensregion_5","europa","NULL","NULL","NULL"
2014,"030116","personer","114","befolkning_verdensregion_5","asia","NULL","NULL","NULL"
2014,"030116","personer","41","befolkning_verdensregion_5","afrika","NULL","NULL","NULL"
2014,"030116","personer","5","befolkning_verdensregion_5","nord_amerika_oseania","NULL","NULL","NULL"
2014,"030116","personer","14","befolkning_verdensregion_5","sor_og_mellom_amerika","NULL","NULL","NULL"
2014,"030117","personer","113","befolkning_verdensregion_5","europa","NULL","NULL","NULL"
2014,"030117","personer","27","befolkning_verdensregion_5","asia","NULL","NULL","NULL"
2014,"030117","personer","0","befolkning_verdensregion_5","afrika","NULL","NULL","NULL"
2014,"030117","personer","8","befolkning_verdensregion_5","nord_amerika_oseania","NULL","NULL","NULL"
2014,"030117","personer","4","befolkning_verdensregion_5","sor_og_mellom_amerika","NULL","NULL","NULL"
2014,"030199","personer","1317","befolkning_verdensregion_5","europa","NULL","NULL","NULL"
2014,"030199","personer","349","befolkning_verdensregion_5","asia","NULL","NULL","NULL"
2014,"030199","personer","414","befolkning_verdensregion_5","afrika","NULL","NULL","NULL"
2014,"030199","personer","24","befolkning_verdensregion_5","nord_amerika_oseania","NULL","NULL","NULL"
2014,"030199","personer","71","befolkning_verdensregion_5","sor_og_mellom_amerika","NULL","NULL","NULL"
2014,"NULL","personer","347179","befolkning_verdensregion_5","europa","00","NULL","NULL"
2014,"NULL","personer","179785","befolkning_verdensregion_5","asia","00","NULL","NULL"
2014,"NULL","personer","74171","befolkning_verdensregion_5","afrika","00","NULL","NULL"
2014,"NULL","personer","12010","befolkning_verdensregion_5","nord_amerika_oseania","00","NULL","NULL"
2014,"NULL","personer","19853","befolkning_verdensregion_5","sor_og_mellom_amerika","00","NULL","NULL"
2014,"NULL","personer","19534","befolkning_verdensregion_5","europa","01","NULL","NULL"
2014,"NULL","personer","9697","befolkning_verdensregion_5","asia","01","NULL","NULL"
2014,"NULL","personer","3458","befolkning_verdensregion_5","afrika","01","NULL","NULL"
2014,"NULL","personer","369","befolkning_verdensregion_5","nord_amerika_oseania","01","NULL","NULL"
2014,"NULL","personer","628","befolkning_verdensregion_5","sor_og_mellom_amerika","01","NULL","NULL"
2014,"NULL","personer","45306","befolkning_verdensregion_5","europa","02","NULL","NULL"
2014,"NULL","personer","25031","befolkning_verdensregion_5","asia","02","NULL","NULL"
2014,"NULL","personer","6232","befolkning_verdensregion_5","afrika","02","NULL","NULL"
2014,"NULL","personer","1610","befolkning_verdensregion_5","nord_amerika_oseania","02","NULL","NULL"
2014,"NULL","personer","2150","befolkning_verdensregion_5","sor_og_mellom_amerika","02","NULL","NULL"
2014,"NULL","personer","65836","befolkning_verdensregion_5","europa","03","NULL","NULL"
2014,"NULL","personer","54902","befolkning_verdensregion_5","asia","03","NULL","NULL"
2014,"NULL","personer","22739","befolkning_verdensregion_5","afrika","03","NULL","NULL"
2014,"NULL","personer","2718","befolkning_verdensregion_5","nord_amerika_oseania","03","NULL","NULL"
2014,"NULL","personer","5487","befolkning_verdensregion_5","sor_og_mellom_amerika","03","NULL","NULL"
2014,"NULL","personer","8573","befolkning_verdensregion_5","europa","04","NULL","NULL"
2014,"NULL","personer","3531","befolkning_verdensregion_5","asia","04","NULL","NULL"
2014,"NULL","personer","2166","befolkning_verdensregion_5","afrika","04","NULL","NULL"
2014,"NULL","personer","209","befolkning_verdensregion_5","nord_amerika_oseania","04","NULL","NULL"
2014,"NULL","personer","304","befolkning_verdensregion_5","sor_og_mellom_amerika","04","NULL","NULL"
2014,"NULL","personer","8487","befolkning_verdensregion_5","europa","05","NULL","NULL"
2014,"NULL","personer","3369","befolkning_verdensregion_5","asia","05","NULL","NULL"
2014,"NULL","personer","2161","befolkning_verdensregion_5","afrika","05","NULL","NULL"
2014,"NULL","personer","196","befolkning_verdensregion_5","nord_amerika_oseania","05","NULL","NULL"
2014,"NULL","personer","233","befolkning_verdensregion_5","sor_og_mellom_amerika","05","NULL","NULL"
2014,"NULL","personer","21310","befolkning_verdensregion_5","europa","06","NULL","NULL"
2014,"NULL","personer","11365","befolkning_verdensregion_5","asia","06","NULL","NULL"
2014,"NULL","personer","3318","befolkning_verdensregion_5","afrika","06","NULL","NULL"
2014,"NULL","personer","487","befolkning_verdensregion_5","nord_amerika_oseania","06","NULL","NULL"
2014,"NULL","personer","930","befolkning_verdensregion_5","sor_og_mellom_amerika","06","NULL","NULL"
2014,"NULL","personer","15354","befolkning_verdensregion_5","europa","07","NULL","NULL"
2014,"NULL","personer","6456","befolkning_verdensregion_5","asia","07","NULL","NULL"
2014,"NULL","personer","2045","befolkning_verdensregion_5","afrika","07","NULL","NULL"
2014,"NULL","personer","477","befolkning_verdensregion_5","nord_amerika_oseania","07","NULL","NULL"
2014,"NULL","personer","599","befolkning_verdensregion_5","sor_og_mellom_amerika","07","NULL","NULL"
2014,"NULL","personer","8424","befolkning_verdensregion_5","europa","08","NULL","NULL"
2014,"NULL","personer","4377","befolkning_verdensregion_5","asia","08","NULL","NULL"
2014,"NULL","personer","2610","befolkning_verdensregion_5","afrika","08","NULL","NULL"
2014,"NULL","personer","245","befolkning_verdensregion_5","nord_amerika_oseania","08","NULL","NULL"
2014,"NULL","personer","558","befolkning_verdensregion_5","sor_og_mellom_amerika","08","NULL","NULL"
2014,"NULL","personer","6643","befolkning_verdensregion_5","europa","09","NULL","NULL"
2014,"NULL","personer","2891","befolkning_verdensregion_5","asia","09","NULL","NULL"
2014,"NULL","personer","1039","befolkning_verdensregion_5","afrika","09","NULL","NULL"
2014,"NULL","personer","292","befolkning_verdensregion_5","nord_amerika_oseania","09","NULL","NULL"
2014,"NULL","personer","242","befolkning_verdensregion_5","sor_og_mellom_amerika","09","NULL","NULL"
2014,"NULL","personer","10380","befolkning_verdensregion_5","europa","10","NULL","NULL"
2014,"NULL","personer","5395","befolkning_verdensregion_5","asia","10","NULL","NULL"
2014,"NULL","personer","2127","befolkning_verdensregion_5","afrika","10","NULL","NULL"
2014,"NULL","personer","557","befolkning_verdensregion_5","nord_amerika_oseania","10","NULL","NULL"
2014,"NULL","personer","1084","befolkning_verdensregion_5","sor_og_mellom_amerika","10","NULL","NULL"
2014,"NULL","personer","38154","befolkning_verdensregion_5","europa","11","NULL","NULL"
2014,"NULL","personer","15195","befolkning_verdensregion_5","asia","11","NULL","NULL"
2014,"NULL","personer","5279","befolkning_verdensregion_5","afrika","11","NULL","NULL"
2014,"NULL","personer","1848","befolkning_verdensregion_5","nord_amerika_oseania","11","NULL","NULL"
2014,"NULL","personer","2202","befolkning_verdensregion_5","sor_og_mellom_amerika","11","NULL","NULL"
2014,"NULL","personer","32467","befolkning_verdensregion_5","europa","12","NULL","NULL"
2014,"NULL","personer","12842","befolkning_verdensregion_5","asia","12","NULL","NULL"
2014,"NULL","personer","6090","befolkning_verdensregion_5","afrika","12","NULL","NULL"
2014,"NULL","personer","1248","befolkning_verdensregion_5","nord_amerika_oseania","12","NULL","NULL"
2014,"NULL","personer","2528","befolkning_verdensregion_5","sor_og_mellom_amerika","12","NULL","NULL"
2014,"NULL","personer","6314","befolkning_verdensregion_5","europa","14","NULL","NULL"
2014,"NULL","personer","1408","befolkning_verdensregion_5","asia","14","NULL","NULL"
2014,"NULL","personer","1273","befolkning_verdensregion_5","afrika","14","NULL","NULL"
2014,"NULL","personer","119","befolkning_verdensregion_5","nord_amerika_oseania","14","NULL","NULL"
2014,"NULL","personer","335","befolkning_verdensregion_5","sor_og_mellom_amerika","14","NULL","NULL"
2014,"NULL","personer","16829","befolkning_verdensregion_5","europa","15","NULL","NULL"
2014,"NULL","personer","4793","befolkning_verdensregion_5","asia","15","NULL","NULL"
2014,"NULL","personer","2239","befolkning_verdensregion_5","afrika","15","NULL","NULL"
2014,"NULL","personer","351","befolkning_verdensregion_5","nord_amerika_oseania","15","NULL","NULL"
2014,"NULL","personer","629","befolkning_verdensregion_5","sor_og_mellom_amerika","15","NULL","NULL"
2014,"NULL","personer","15900","befolkning_verdensregion_5","europa","16","NULL","NULL"
2014,"NULL","personer","7805","befolkning_verdensregion_5","asia","16","NULL","NULL"
2014,"NULL","personer","3170","befolkning_verdensregion_5","afrika","16","NULL","NULL"
2014,"NULL","personer","624","befolkning_verdensregion_5","nord_amerika_oseania","16","NULL","NULL"
2014,"NULL","personer","990","befolkning_verdensregion_5","sor_og_mellom_amerika","16","NULL","NULL"
2014,"NULL","personer","4482","befolkning_verdensregion_5","europa","17","NULL","NULL"
2014,"NULL","personer","2024","befolkning_verdensregion_5","asia","17","NULL","NULL"
2014,"NULL","personer","1618","befolkning_verdensregion_5","afrika","17","NULL","NULL"
2014,"NULL","personer","114","befolkning_verdensregion_5","nord_amerika_oseania","17","NULL","NULL"
2014,"NULL","personer","171","befolkning_verdensregion_5","sor_og_mellom_amerika","17","NULL","NULL"
2014,"NULL","personer","9576","befolkning_verdensregion_5","europa","18","NULL","NULL"
2014,"NULL","personer","4205","befolkning_verdensregion_5","asia","18","NULL","NULL"
2014,"NULL","personer","3327","befolkning_verdensregion_5","afrika","18","NULL","NULL"
2014,"NULL","personer","231","befolkning_verdensregion_5","nord_amerika_oseania","18","NULL","NULL"
2014,"NULL","personer","349","befolkning_verdensregion_5","sor_og_mellom_amerika","18","NULL","NULL"
2014,"NULL","personer","7919","befolkning_verdensregion_5","europa","19","NULL","NULL"
2014,"NULL","personer","2843","befolkning_verdensregion_5","asia","19","NULL","NULL"
2014,"NULL","personer","2402","befolkning_verdensregion_5","afrika","19","NULL","NULL"
2014,"NULL","personer","244","befolkning_verdensregion_5","nord_amerika_oseania","19","NULL","NULL"
2014,"NULL","personer","324","befolkning_verdensregion_5","sor_og_mellom_amerika","19","NULL","NULL"
2014,"NULL","personer","5691","befolkning_verdensregion_5","europa","20","NULL","NULL"
