"tabell_navn","aar","bydel_nr","enhet","vreg_6","tabellvariabel"
"befolkning_verdensregion_6","2015","030101","person","afrika","3177"
"befolkning_verdensregion_6","2015","030102","person","afrika","2381"
"befolkning_verdensregion_6","2015","030103","person","afrika","1761"
"befolkning_verdensregion_6","2015","030104","person","afrika","986"
"befolkning_verdensregion_6","2015","030105","person","afrika","864"
"befolkning_verdensregion_6","2015","030106","person","afrika","332"
"befolkning_verdensregion_6","2015","030107","person","afrika","494"
"befolkning_verdensregion_6","2015","030108","person","afrika","1060"
"befolkning_verdensregion_6","2015","030109","person","afrika","1402"
"befolkning_verdensregion_6","2015","030110","person","afrika","1843"
"befolkning_verdensregion_6","2015","030111","person","afrika","1767"
"befolkning_verdensregion_6","2015","030112","person","afrika","2787"
"befolkning_verdensregion_6","2015","030113","person","afrika","1312"
"befolkning_verdensregion_6","2015","030114","person","afrika","741"
"befolkning_verdensregion_6","2015","030115","person","afrika","2104"
"befolkning_verdensregion_6","2015","030116","person","afrika","53"
"befolkning_verdensregion_6","2015","030117","person","afrika","0"
"befolkning_verdensregion_6","2015","030199","person","afrika","600"
"befolkning_verdensregion_6","2015","030101","person","asia","4991"
"befolkning_verdensregion_6","2015","030102","person","asia","4273"
"befolkning_verdensregion_6","2015","030103","person","asia","1834"
"befolkning_verdensregion_6","2015","030104","person","asia","1786"
"befolkning_verdensregion_6","2015","030105","person","asia","2853"
"befolkning_verdensregion_6","2015","030106","person","asia","1192"
"befolkning_verdensregion_6","2015","030107","person","asia","1706"
"befolkning_verdensregion_6","2015","030108","person","asia","1821"
"befolkning_verdensregion_6","2015","030109","person","asia","4230"
"befolkning_verdensregion_6","2015","030110","person","asia","4339"
"befolkning_verdensregion_6","2015","030111","person","asia","6464"
"befolkning_verdensregion_6","2015","030112","person","asia","8762"
"befolkning_verdensregion_6","2015","030113","person","asia","3172"
"befolkning_verdensregion_6","2015","030114","person","asia","1637"
"befolkning_verdensregion_6","2015","030115","person","asia","6725"
"befolkning_verdensregion_6","2015","030116","person","asia","128"
"befolkning_verdensregion_6","2015","030117","person","asia","23"
"befolkning_verdensregion_6","2015","030199","person","asia","602"
"befolkning_verdensregion_6","2015","030101","person","europa","5910"
"befolkning_verdensregion_6","2015","030102","person","europa","8071"
"befolkning_verdensregion_6","2015","030103","person","europa","4003"
"befolkning_verdensregion_6","2015","030104","person","europa","5165"
"befolkning_verdensregion_6","2015","030105","person","europa","8963"
"befolkning_verdensregion_6","2015","030106","person","europa","3111"
"befolkning_verdensregion_6","2015","030107","person","europa","4286"
"befolkning_verdensregion_6","2015","030108","person","europa","4112"
"befolkning_verdensregion_6","2015","030109","person","europa","3405"
"befolkning_verdensregion_6","2015","030110","person","europa","2374"
"befolkning_verdensregion_6","2015","030111","person","europa","2462"
"befolkning_verdensregion_6","2015","030112","person","europa","4597"
"befolkning_verdensregion_6","2015","030113","person","europa","3750"
"befolkning_verdensregion_6","2015","030114","person","europa","3877"
"befolkning_verdensregion_6","2015","030115","person","europa","3743"
"befolkning_verdensregion_6","2015","030116","person","europa","371"
"befolkning_verdensregion_6","2015","030117","person","europa","129"
"befolkning_verdensregion_6","2015","030199","person","europa","1661"
"befolkning_verdensregion_6","2015","030101","person","nord_amerika_oseania","247"
"befolkning_verdensregion_6","2015","030102","person","nord_amerika_oseania","302"
"befolkning_verdensregion_6","2015","030103","person","nord_amerika_oseania","173"
"befolkning_verdensregion_6","2015","030104","person","nord_amerika_oseania","252"
"befolkning_verdensregion_6","2015","030105","person","nord_amerika_oseania","593"
"befolkning_verdensregion_6","2015","030106","person","nord_amerika_oseania","166"
"befolkning_verdensregion_6","2015","030107","person","nord_amerika_oseania","266"
"befolkning_verdensregion_6","2015","030108","person","nord_amerika_oseania","211"
"befolkning_verdensregion_6","2015","030109","person","nord_amerika_oseania","55"
"befolkning_verdensregion_6","2015","030110","person","nord_amerika_oseania","53"
"befolkning_verdensregion_6","2015","030111","person","nord_amerika_oseania","31"
"befolkning_verdensregion_6","2015","030112","person","nord_amerika_oseania","68"
"befolkning_verdensregion_6","2015","030113","person","nord_amerika_oseania","111"
"befolkning_verdensregion_6","2015","030114","person","nord_amerika_oseania","165"
"befolkning_verdensregion_6","2015","030115","person","nord_amerika_oseania","111"
"befolkning_verdensregion_6","2015","030116","person","nord_amerika_oseania","7"
"befolkning_verdensregion_6","2015","030117","person","nord_amerika_oseania","7"
"befolkning_verdensregion_6","2015","030199","person","nord_amerika_oseania","31"
"befolkning_verdensregion_6","2015","030101","person","sor_og_mellom_amerika","596"
"befolkning_verdensregion_6","2015","030102","person","sor_og_mellom_amerika","711"
"befolkning_verdensregion_6","2015","030103","person","sor_og_mellom_amerika","386"
"befolkning_verdensregion_6","2015","030104","person","sor_og_mellom_amerika","406"
"befolkning_verdensregion_6","2015","030105","person","sor_og_mellom_amerika","738"
"befolkning_verdensregion_6","2015","030106","person","sor_og_mellom_amerika","187"
"befolkning_verdensregion_6","2015","030107","person","sor_og_mellom_amerika","237"
"befolkning_verdensregion_6","2015","030108","person","sor_og_mellom_amerika","262"
"befolkning_verdensregion_6","2015","030109","person","sor_og_mellom_amerika","256"
"befolkning_verdensregion_6","2015","030110","person","sor_og_mellom_amerika","356"
"befolkning_verdensregion_6","2015","030111","person","sor_og_mellom_amerika","192"
"befolkning_verdensregion_6","2015","030112","person","sor_og_mellom_amerika","484"
"befolkning_verdensregion_6","2015","030113","person","sor_og_mellom_amerika","278"
"befolkning_verdensregion_6","2015","030114","person","sor_og_mellom_amerika","265"
"befolkning_verdensregion_6","2015","030115","person","sor_og_mellom_amerika","293"
"befolkning_verdensregion_6","2015","030116","person","sor_og_mellom_amerika","19"
"befolkning_verdensregion_6","2015","030117","person","sor_og_mellom_amerika","3"
"befolkning_verdensregion_6","2015","030199","person","sor_og_mellom_amerika","86"
"befolkning_verdensregion_6","2015","030101","person","alle","14921"
"befolkning_verdensregion_6","2015","030102","person","alle","15738"
"befolkning_verdensregion_6","2015","030103","person","alle","8157"
"befolkning_verdensregion_6","2015","030104","person","alle","8595"
"befolkning_verdensregion_6","2015","030105","person","alle","14011"
"befolkning_verdensregion_6","2015","030106","person","alle","4988"
"befolkning_verdensregion_6","2015","030107","person","alle","6989"
"befolkning_verdensregion_6","2015","030108","person","alle","7466"
"befolkning_verdensregion_6","2015","030109","person","alle","9348"
"befolkning_verdensregion_6","2015","030110","person","alle","8965"
"befolkning_verdensregion_6","2015","030111","person","alle","10916"
"befolkning_verdensregion_6","2015","030112","person","alle","16698"
"befolkning_verdensregion_6","2015","030113","person","alle","8623"
"befolkning_verdensregion_6","2015","030114","person","alle","6685"
"befolkning_verdensregion_6","2015","030115","person","alle","12976"
"befolkning_verdensregion_6","2015","030116","person","alle","578"
"befolkning_verdensregion_6","2015","030117","person","alle","162"
"befolkning_verdensregion_6","2015","030199","person","alle","2980"
