"tabell_navn","aar","fylke_nr","enhet","vreg_6","tabellvariabel"
"befolkning_verdensregion_6","2015","00","person","afrika","79817"
"befolkning_verdensregion_6","2015","01","person","afrika","3693"
"befolkning_verdensregion_6","2015","02","person","afrika","6795"
"befolkning_verdensregion_6","2015","03","person","afrika","23664"
"befolkning_verdensregion_6","2015","04","person","afrika","2314"
"befolkning_verdensregion_6","2015","05","person","afrika","2487"
"befolkning_verdensregion_6","2015","06","person","afrika","3565"
"befolkning_verdensregion_6","2015","07","person","afrika","2147"
"befolkning_verdensregion_6","2015","08","person","afrika","2783"
"befolkning_verdensregion_6","2015","09","person","afrika","1196"
"befolkning_verdensregion_6","2015","10","person","afrika","2407"
"befolkning_verdensregion_6","2015","11","person","afrika","5821"
"befolkning_verdensregion_6","2015","12","person","afrika","6657"
"befolkning_verdensregion_6","2015","14","person","afrika","1335"
"befolkning_verdensregion_6","2015","15","person","afrika","2517"
"befolkning_verdensregion_6","2015","16","person","afrika","3476"
"befolkning_verdensregion_6","2015","17","person","afrika","1815"
"befolkning_verdensregion_6","2015","18","person","afrika","3563"
"befolkning_verdensregion_6","2015","19","person","afrika","2635"
"befolkning_verdensregion_6","2015","20","person","afrika","947"
"befolkning_verdensregion_6","2015","00","person","asia","187649"
"befolkning_verdensregion_6","2015","01","person","asia","10042"
"befolkning_verdensregion_6","2015","02","person","asia","26387"
"befolkning_verdensregion_6","2015","03","person","asia","56538"
"befolkning_verdensregion_6","2015","04","person","asia","3724"
"befolkning_verdensregion_6","2015","05","person","asia","3626"
"befolkning_verdensregion_6","2015","06","person","asia","11829"
"befolkning_verdensregion_6","2015","07","person","asia","6740"
"befolkning_verdensregion_6","2015","08","person","asia","4534"
"befolkning_verdensregion_6","2015","09","person","asia","3097"
"befolkning_verdensregion_6","2015","10","person","asia","5797"
"befolkning_verdensregion_6","2015","11","person","asia","15802"
"befolkning_verdensregion_6","2015","12","person","asia","13373"
"befolkning_verdensregion_6","2015","14","person","asia","1523"
"befolkning_verdensregion_6","2015","15","person","asia","5134"
"befolkning_verdensregion_6","2015","16","person","asia","8073"
"befolkning_verdensregion_6","2015","17","person","asia","2113"
"befolkning_verdensregion_6","2015","18","person","asia","4503"
"befolkning_verdensregion_6","2015","19","person","asia","3043"
"befolkning_verdensregion_6","2015","20","person","asia","1771"
"befolkning_verdensregion_6","2015","00","person","europa","368823"
"befolkning_verdensregion_6","2015","01","person","europa","20261"
"befolkning_verdensregion_6","2015","02","person","europa","48383"
"befolkning_verdensregion_6","2015","03","person","europa","69990"
"befolkning_verdensregion_6","2015","04","person","europa","9230"
"befolkning_verdensregion_6","2015","05","person","europa","9071"
"befolkning_verdensregion_6","2015","06","person","europa","22227"
"befolkning_verdensregion_6","2015","07","person","europa","16257"
"befolkning_verdensregion_6","2015","08","person","europa","8747"
"befolkning_verdensregion_6","2015","09","person","europa","6855"
"befolkning_verdensregion_6","2015","10","person","europa","10920"
"befolkning_verdensregion_6","2015","11","person","europa","40645"
"befolkning_verdensregion_6","2015","12","person","europa","34734"
"befolkning_verdensregion_6","2015","14","person","europa","6685"
"befolkning_verdensregion_6","2015","15","person","europa","18053"
"befolkning_verdensregion_6","2015","16","person","europa","16850"
"befolkning_verdensregion_6","2015","17","person","europa","4719"
"befolkning_verdensregion_6","2015","18","person","europa","10321"
"befolkning_verdensregion_6","2015","19","person","europa","8800"
"befolkning_verdensregion_6","2015","20","person","europa","6075"
"befolkning_verdensregion_6","2015","00","person","nord_amerika_oseania","12201"
"befolkning_verdensregion_6","2015","01","person","nord_amerika_oseania","377"
"befolkning_verdensregion_6","2015","02","person","nord_amerika_oseania","1675"
"befolkning_verdensregion_6","2015","03","person","nord_amerika_oseania","2849"
"befolkning_verdensregion_6","2015","04","person","nord_amerika_oseania","212"
"befolkning_verdensregion_6","2015","05","person","nord_amerika_oseania","189"
"befolkning_verdensregion_6","2015","06","person","nord_amerika_oseania","520"
"befolkning_verdensregion_6","2015","07","person","nord_amerika_oseania","477"
"befolkning_verdensregion_6","2015","08","person","nord_amerika_oseania","235"
"befolkning_verdensregion_6","2015","09","person","nord_amerika_oseania","305"
"befolkning_verdensregion_6","2015","10","person","nord_amerika_oseania","546"
"befolkning_verdensregion_6","2015","11","person","nord_amerika_oseania","1817"
"befolkning_verdensregion_6","2015","12","person","nord_amerika_oseania","1237"
"befolkning_verdensregion_6","2015","14","person","nord_amerika_oseania","121"
"befolkning_verdensregion_6","2015","15","person","nord_amerika_oseania","364"
"befolkning_verdensregion_6","2015","16","person","nord_amerika_oseania","598"
"befolkning_verdensregion_6","2015","17","person","nord_amerika_oseania","114"
"befolkning_verdensregion_6","2015","18","person","nord_amerika_oseania","233"
"befolkning_verdensregion_6","2015","19","person","nord_amerika_oseania","257"
"befolkning_verdensregion_6","2015","20","person","nord_amerika_oseania","75"
"befolkning_verdensregion_6","2015","00","person","sor_og_mellom_amerika","20776"
"befolkning_verdensregion_6","2015","01","person","sor_og_mellom_amerika","653"
"befolkning_verdensregion_6","2015","02","person","sor_og_mellom_amerika","2264"
"befolkning_verdensregion_6","2015","03","person","sor_og_mellom_amerika","5755"
"befolkning_verdensregion_6","2015","04","person","sor_og_mellom_amerika","299"
"befolkning_verdensregion_6","2015","05","person","sor_og_mellom_amerika","255"
"befolkning_verdensregion_6","2015","06","person","sor_og_mellom_amerika","971"
"befolkning_verdensregion_6","2015","07","person","sor_og_mellom_amerika","658"
"befolkning_verdensregion_6","2015","08","person","sor_og_mellom_amerika","559"
"befolkning_verdensregion_6","2015","09","person","sor_og_mellom_amerika","256"
"befolkning_verdensregion_6","2015","10","person","sor_og_mellom_amerika","1101"
"befolkning_verdensregion_6","2015","11","person","sor_og_mellom_amerika","2300"
"befolkning_verdensregion_6","2015","12","person","sor_og_mellom_amerika","2632"
"befolkning_verdensregion_6","2015","14","person","sor_og_mellom_amerika","330"
"befolkning_verdensregion_6","2015","15","person","sor_og_mellom_amerika","689"
"befolkning_verdensregion_6","2015","16","person","sor_og_mellom_amerika","1036"
"befolkning_verdensregion_6","2015","17","person","sor_og_mellom_amerika","173"
"befolkning_verdensregion_6","2015","18","person","sor_og_mellom_amerika","378"
"befolkning_verdensregion_6","2015","19","person","sor_og_mellom_amerika","345"
"befolkning_verdensregion_6","2015","20","person","sor_og_mellom_amerika","122"
"befolkning_verdensregion_6","2015","00","person","alle","669266"
"befolkning_verdensregion_6","2015","01","person","alle","35026"
"befolkning_verdensregion_6","2015","02","person","alle","85504"
"befolkning_verdensregion_6","2015","03","person","alle","158796"
"befolkning_verdensregion_6","2015","04","person","alle","15779"
"befolkning_verdensregion_6","2015","05","person","alle","15628"
"befolkning_verdensregion_6","2015","06","person","alle","39112"
"befolkning_verdensregion_6","2015","07","person","alle","26279"
"befolkning_verdensregion_6","2015","08","person","alle","16858"
"befolkning_verdensregion_6","2015","09","person","alle","11709"
"befolkning_verdensregion_6","2015","10","person","alle","20771"
"befolkning_verdensregion_6","2015","11","person","alle","66385"
"befolkning_verdensregion_6","2015","12","person","alle","58633"
"befolkning_verdensregion_6","2015","14","person","alle","9994"
"befolkning_verdensregion_6","2015","15","person","alle","26757"
"befolkning_verdensregion_6","2015","16","person","alle","30033"
"befolkning_verdensregion_6","2015","17","person","alle","8934"
"befolkning_verdensregion_6","2015","18","person","alle","18998"
"befolkning_verdensregion_6","2015","19","person","alle","15080"
"befolkning_verdensregion_6","2015","20","person","alle","8990"
