"tabell_navn","aar","kommune_nr","enhet","vreg_6","tabellvariabel"
"befolkning_verdensregion_6","2015","0101","person","afrika","404"
"befolkning_verdensregion_6","2015","0104","person","afrika","633"
"befolkning_verdensregion_6","2015","0105","person","afrika","700"
"befolkning_verdensregion_6","2015","0106","person","afrika","1213"
"befolkning_verdensregion_6","2015","0111","person","afrika","23"
"befolkning_verdensregion_6","2015","0118","person","afrika","0"
"befolkning_verdensregion_6","2015","0119","person","afrika","29"
"befolkning_verdensregion_6","2015","0121","person","afrika","0"
"befolkning_verdensregion_6","2015","0122","person","afrika","31"
"befolkning_verdensregion_6","2015","0123","person","afrika","82"
"befolkning_verdensregion_6","2015","0124","person","afrika","151"
"befolkning_verdensregion_6","2015","0125","person","afrika","141"
"befolkning_verdensregion_6","2015","0127","person","afrika","10"
"befolkning_verdensregion_6","2015","0128","person","afrika","85"
"befolkning_verdensregion_6","2015","0135","person","afrika","55"
"befolkning_verdensregion_6","2015","0136","person","afrika","69"
"befolkning_verdensregion_6","2015","0137","person","afrika","20"
"befolkning_verdensregion_6","2015","0138","person","afrika","46"
"befolkning_verdensregion_6","2015","0211","person","afrika","223"
"befolkning_verdensregion_6","2015","0213","person","afrika","401"
"befolkning_verdensregion_6","2015","0214","person","afrika","463"
"befolkning_verdensregion_6","2015","0215","person","afrika","116"
"befolkning_verdensregion_6","2015","0216","person","afrika","164"
"befolkning_verdensregion_6","2015","0217","person","afrika","350"
"befolkning_verdensregion_6","2015","0219","person","afrika","1554"
"befolkning_verdensregion_6","2015","0220","person","afrika","845"
"befolkning_verdensregion_6","2015","0221","person","afrika","74"
"befolkning_verdensregion_6","2015","0226","person","afrika","88"
"befolkning_verdensregion_6","2015","0227","person","afrika","85"
"befolkning_verdensregion_6","2015","0228","person","afrika","233"
"befolkning_verdensregion_6","2015","0229","person","afrika","98"
"befolkning_verdensregion_6","2015","0230","person","afrika","528"
"befolkning_verdensregion_6","2015","0231","person","afrika","701"
"befolkning_verdensregion_6","2015","0233","person","afrika","143"
"befolkning_verdensregion_6","2015","0234","person","afrika","30"
"befolkning_verdensregion_6","2015","0235","person","afrika","258"
"befolkning_verdensregion_6","2015","0236","person","afrika","148"
"befolkning_verdensregion_6","2015","0237","person","afrika","180"
"befolkning_verdensregion_6","2015","0238","person","afrika","99"
"befolkning_verdensregion_6","2015","0239","person","afrika","14"
"befolkning_verdensregion_6","2015","0301","person","afrika","23664"
"befolkning_verdensregion_6","2015","0402","person","afrika","245"
"befolkning_verdensregion_6","2015","0403","person","afrika","550"
"befolkning_verdensregion_6","2015","0412","person","afrika","199"
"befolkning_verdensregion_6","2015","0415","person","afrika","64"
"befolkning_verdensregion_6","2015","0417","person","afrika","290"
"befolkning_verdensregion_6","2015","0418","person","afrika","8"
"befolkning_verdensregion_6","2015","0419","person","afrika","43"
"befolkning_verdensregion_6","2015","0420","person","afrika","30"
"befolkning_verdensregion_6","2015","0423","person","afrika","32"
"befolkning_verdensregion_6","2015","0425","person","afrika","127"
"befolkning_verdensregion_6","2015","0426","person","afrika","4"
"befolkning_verdensregion_6","2015","0427","person","afrika","339"
"befolkning_verdensregion_6","2015","0428","person","afrika","61"
"befolkning_verdensregion_6","2015","0429","person","afrika","26"
"befolkning_verdensregion_6","2015","0430","person","afrika","97"
"befolkning_verdensregion_6","2015","0432","person","afrika","0"
"befolkning_verdensregion_6","2015","0434","person","afrika","24"
"befolkning_verdensregion_6","2015","0436","person","afrika","40"
"befolkning_verdensregion_6","2015","0437","person","afrika","80"
"befolkning_verdensregion_6","2015","0438","person","afrika","37"
"befolkning_verdensregion_6","2015","0439","person","afrika","10"
"befolkning_verdensregion_6","2015","0441","person","afrika","7"
"befolkning_verdensregion_6","2015","0501","person","afrika","387"
"befolkning_verdensregion_6","2015","0502","person","afrika","458"
"befolkning_verdensregion_6","2015","0511","person","afrika","48"
"befolkning_verdensregion_6","2015","0512","person","afrika","10"
"befolkning_verdensregion_6","2015","0513","person","afrika","34"
"befolkning_verdensregion_6","2015","0514","person","afrika","32"
"befolkning_verdensregion_6","2015","0515","person","afrika","32"
"befolkning_verdensregion_6","2015","0516","person","afrika","50"
"befolkning_verdensregion_6","2015","0517","person","afrika","125"
"befolkning_verdensregion_6","2015","0519","person","afrika","7"
"befolkning_verdensregion_6","2015","0520","person","afrika","42"
"befolkning_verdensregion_6","2015","0521","person","afrika","68"
"befolkning_verdensregion_6","2015","0522","person","afrika","37"
"befolkning_verdensregion_6","2015","0528","person","afrika","117"
"befolkning_verdensregion_6","2015","0529","person","afrika","135"
"befolkning_verdensregion_6","2015","0532","person","afrika","30"
"befolkning_verdensregion_6","2015","0533","person","afrika","204"
"befolkning_verdensregion_6","2015","0534","person","afrika","215"
"befolkning_verdensregion_6","2015","0536","person","afrika","138"
"befolkning_verdensregion_6","2015","0538","person","afrika","68"
"befolkning_verdensregion_6","2015","0540","person","afrika","11"
"befolkning_verdensregion_6","2015","0541","person","afrika","91"
"befolkning_verdensregion_6","2015","0542","person","afrika","43"
"befolkning_verdensregion_6","2015","0543","person","afrika","23"
"befolkning_verdensregion_6","2015","0544","person","afrika","17"
"befolkning_verdensregion_6","2015","0545","person","afrika","65"
"befolkning_verdensregion_6","2015","0602","person","afrika","1526"
"befolkning_verdensregion_6","2015","0604","person","afrika","327"
"befolkning_verdensregion_6","2015","0605","person","afrika","222"
"befolkning_verdensregion_6","2015","0612","person","afrika","12"
"befolkning_verdensregion_6","2015","0615","person","afrika","0"
"befolkning_verdensregion_6","2015","0616","person","afrika","59"
"befolkning_verdensregion_6","2015","0617","person","afrika","78"
"befolkning_verdensregion_6","2015","0618","person","afrika","29"
"befolkning_verdensregion_6","2015","0619","person","afrika","59"
"befolkning_verdensregion_6","2015","0620","person","afrika","30"
"befolkning_verdensregion_6","2015","0621","person","afrika","0"
"befolkning_verdensregion_6","2015","0622","person","afrika","3"
"befolkning_verdensregion_6","2015","0623","person","afrika","135"
"befolkning_verdensregion_6","2015","0624","person","afrika","165"
"befolkning_verdensregion_6","2015","0625","person","afrika","235"
"befolkning_verdensregion_6","2015","0626","person","afrika","345"
"befolkning_verdensregion_6","2015","0627","person","afrika","119"
"befolkning_verdensregion_6","2015","0628","person","afrika","99"
"befolkning_verdensregion_6","2015","0631","person","afrika","59"
"befolkning_verdensregion_6","2015","0632","person","afrika","24"
"befolkning_verdensregion_6","2015","0633","person","afrika","39"
"befolkning_verdensregion_6","2015","0701","person","afrika","395"
"befolkning_verdensregion_6","2015","0702","person","afrika","63"
"befolkning_verdensregion_6","2015","0704","person","afrika","394"
"befolkning_verdensregion_6","2015","0706","person","afrika","398"
"befolkning_verdensregion_6","2015","0709","person","afrika","474"
"befolkning_verdensregion_6","2015","0711","person","afrika","26"
"befolkning_verdensregion_6","2015","0713","person","afrika","72"
"befolkning_verdensregion_6","2015","0714","person","afrika","5"
"befolkning_verdensregion_6","2015","0716","person","afrika","44"
"befolkning_verdensregion_6","2015","0719","person","afrika","18"
"befolkning_verdensregion_6","2015","0720","person","afrika","86"
"befolkning_verdensregion_6","2015","0722","person","afrika","130"
"befolkning_verdensregion_6","2015","0723","person","afrika","22"
"befolkning_verdensregion_6","2015","0728","person","afrika","20"
"befolkning_verdensregion_6","2015","0805","person","afrika","469"
"befolkning_verdensregion_6","2015","0806","person","afrika","1140"
"befolkning_verdensregion_6","2015","0807","person","afrika","224"
"befolkning_verdensregion_6","2015","0811","person","afrika","35"
"befolkning_verdensregion_6","2015","0814","person","afrika","206"
"befolkning_verdensregion_6","2015","0815","person","afrika","152"
"befolkning_verdensregion_6","2015","0817","person","afrika","40"
"befolkning_verdensregion_6","2015","0819","person","afrika","119"
"befolkning_verdensregion_6","2015","0821","person","afrika","74"
"befolkning_verdensregion_6","2015","0822","person","afrika","66"
"befolkning_verdensregion_6","2015","0826","person","afrika","112"
"befolkning_verdensregion_6","2015","0827","person","afrika","16"
"befolkning_verdensregion_6","2015","0828","person","afrika","36"
"befolkning_verdensregion_6","2015","0829","person","afrika","3"
"befolkning_verdensregion_6","2015","0830","person","afrika","0"
"befolkning_verdensregion_6","2015","0831","person","afrika","18"
"befolkning_verdensregion_6","2015","0833","person","afrika","10"
"befolkning_verdensregion_6","2015","0834","person","afrika","63"
"befolkning_verdensregion_6","2015","0901","person","afrika","94"
"befolkning_verdensregion_6","2015","0904","person","afrika","280"
"befolkning_verdensregion_6","2015","0906","person","afrika","500"
"befolkning_verdensregion_6","2015","0911","person","afrika","48"
"befolkning_verdensregion_6","2015","0912","person","afrika","14"
"befolkning_verdensregion_6","2015","0914","person","afrika","56"
"befolkning_verdensregion_6","2015","0919","person","afrika","6"
"befolkning_verdensregion_6","2015","0926","person","afrika","88"
"befolkning_verdensregion_6","2015","0928","person","afrika","36"
"befolkning_verdensregion_6","2015","0929","person","afrika","3"
"befolkning_verdensregion_6","2015","0935","person","afrika","14"
"befolkning_verdensregion_6","2015","0937","person","afrika","42"
"befolkning_verdensregion_6","2015","0938","person","afrika","3"
"befolkning_verdensregion_6","2015","0940","person","afrika","8"
"befolkning_verdensregion_6","2015","0941","person","afrika","4"
"befolkning_verdensregion_6","2015","1001","person","afrika","1495"
"befolkning_verdensregion_6","2015","1002","person","afrika","238"
"befolkning_verdensregion_6","2015","1003","person","afrika","76"
"befolkning_verdensregion_6","2015","1004","person","afrika","73"
"befolkning_verdensregion_6","2015","1014","person","afrika","82"
"befolkning_verdensregion_6","2015","1017","person","afrika","115"
"befolkning_verdensregion_6","2015","1018","person","afrika","95"
"befolkning_verdensregion_6","2015","1021","person","afrika","25"
"befolkning_verdensregion_6","2015","1026","person","afrika","5"
"befolkning_verdensregion_6","2015","1027","person","afrika","11"
"befolkning_verdensregion_6","2015","1029","person","afrika","5"
"befolkning_verdensregion_6","2015","1032","person","afrika","79"
"befolkning_verdensregion_6","2015","1034","person","afrika","19"
"befolkning_verdensregion_6","2015","1037","person","afrika","74"
"befolkning_verdensregion_6","2015","1046","person","afrika","15"
"befolkning_verdensregion_6","2015","1101","person","afrika","126"
"befolkning_verdensregion_6","2015","1102","person","afrika","901"
"befolkning_verdensregion_6","2015","1103","person","afrika","2386"
"befolkning_verdensregion_6","2015","1106","person","afrika","398"
"befolkning_verdensregion_6","2015","1111","person","afrika","5"
"befolkning_verdensregion_6","2015","1112","person","afrika","31"
"befolkning_verdensregion_6","2015","1114","person","afrika","3"
"befolkning_verdensregion_6","2015","1119","person","afrika","187"
"befolkning_verdensregion_6","2015","1120","person","afrika","201"
"befolkning_verdensregion_6","2015","1121","person","afrika","194"
"befolkning_verdensregion_6","2015","1122","person","afrika","102"
"befolkning_verdensregion_6","2015","1124","person","afrika","318"
"befolkning_verdensregion_6","2015","1127","person","afrika","145"
"befolkning_verdensregion_6","2015","1129","person","afrika","5"
"befolkning_verdensregion_6","2015","1130","person","afrika","197"
"befolkning_verdensregion_6","2015","1133","person","afrika","60"
"befolkning_verdensregion_6","2015","1134","person","afrika","63"
"befolkning_verdensregion_6","2015","1135","person","afrika","71"
"befolkning_verdensregion_6","2015","1141","person","afrika","3"
"befolkning_verdensregion_6","2015","1142","person","afrika","36"
"befolkning_verdensregion_6","2015","1144","person","afrika","0"
"befolkning_verdensregion_6","2015","1145","person","afrika","3"
"befolkning_verdensregion_6","2015","1146","person","afrika","42"
"befolkning_verdensregion_6","2015","1149","person","afrika","307"
"befolkning_verdensregion_6","2015","1151","person","afrika","0"
"befolkning_verdensregion_6","2015","1160","person","afrika","38"
"befolkning_verdensregion_6","2015","1201","person","afrika","4776"
"befolkning_verdensregion_6","2015","1211","person","afrika","32"
"befolkning_verdensregion_6","2015","1216","person","afrika","53"
"befolkning_verdensregion_6","2015","1219","person","afrika","104"
"befolkning_verdensregion_6","2015","1221","person","afrika","156"
"befolkning_verdensregion_6","2015","1222","person","afrika","3"
"befolkning_verdensregion_6","2015","1223","person","afrika","7"
"befolkning_verdensregion_6","2015","1224","person","afrika","85"
"befolkning_verdensregion_6","2015","1227","person","afrika","3"
"befolkning_verdensregion_6","2015","1228","person","afrika","83"
"befolkning_verdensregion_6","2015","1231","person","afrika","66"
"befolkning_verdensregion_6","2015","1232","person","afrika","4"
"befolkning_verdensregion_6","2015","1233","person","afrika","9"
"befolkning_verdensregion_6","2015","1234","person","afrika","4"
"befolkning_verdensregion_6","2015","1235","person","afrika","163"
"befolkning_verdensregion_6","2015","1238","person","afrika","138"
"befolkning_verdensregion_6","2015","1241","person","afrika","5"
"befolkning_verdensregion_6","2015","1242","person","afrika","16"
"befolkning_verdensregion_6","2015","1243","person","afrika","67"
"befolkning_verdensregion_6","2015","1244","person","afrika","18"
"befolkning_verdensregion_6","2015","1245","person","afrika","95"
"befolkning_verdensregion_6","2015","1246","person","afrika","143"
"befolkning_verdensregion_6","2015","1247","person","afrika","192"
"befolkning_verdensregion_6","2015","1251","person","afrika","57"
"befolkning_verdensregion_6","2015","1252","person","afrika","0"
"befolkning_verdensregion_6","2015","1253","person","afrika","16"
"befolkning_verdensregion_6","2015","1256","person","afrika","74"
"befolkning_verdensregion_6","2015","1259","person","afrika","115"
"befolkning_verdensregion_6","2015","1260","person","afrika","47"
"befolkning_verdensregion_6","2015","1263","person","afrika","88"
"befolkning_verdensregion_6","2015","1264","person","afrika","35"
"befolkning_verdensregion_6","2015","1265","person","afrika","0"
"befolkning_verdensregion_6","2015","1266","person","afrika","3"
"befolkning_verdensregion_6","2015","1401","person","afrika","217"
"befolkning_verdensregion_6","2015","1411","person","afrika","0"
"befolkning_verdensregion_6","2015","1412","person","afrika","3"
"befolkning_verdensregion_6","2015","1413","person","afrika","9"
"befolkning_verdensregion_6","2015","1416","person","afrika","64"
"befolkning_verdensregion_6","2015","1417","person","afrika","35"
"befolkning_verdensregion_6","2015","1418","person","afrika","24"
"befolkning_verdensregion_6","2015","1419","person","afrika","18"
"befolkning_verdensregion_6","2015","1420","person","afrika","205"
"befolkning_verdensregion_6","2015","1421","person","afrika","5"
"befolkning_verdensregion_6","2015","1422","person","afrika","3"
"befolkning_verdensregion_6","2015","1424","person","afrika","73"
"befolkning_verdensregion_6","2015","1426","person","afrika","41"
"befolkning_verdensregion_6","2015","1428","person","afrika","4"
"befolkning_verdensregion_6","2015","1429","person","afrika","36"
"befolkning_verdensregion_6","2015","1430","person","afrika","0"
"befolkning_verdensregion_6","2015","1431","person","afrika","69"
"befolkning_verdensregion_6","2015","1432","person","afrika","152"
"befolkning_verdensregion_6","2015","1433","person","afrika","0"
"befolkning_verdensregion_6","2015","1438","person","afrika","89"
"befolkning_verdensregion_6","2015","1439","person","afrika","19"
"befolkning_verdensregion_6","2015","1441","person","afrika","3"
"befolkning_verdensregion_6","2015","1443","person","afrika","75"
"befolkning_verdensregion_6","2015","1444","person","afrika","0"
"befolkning_verdensregion_6","2015","1445","person","afrika","102"
"befolkning_verdensregion_6","2015","1449","person","afrika","90"
"befolkning_verdensregion_6","2015","1502","person","afrika","435"
"befolkning_verdensregion_6","2015","1504","person","afrika","314"
"befolkning_verdensregion_6","2015","1505","person","afrika","302"
"befolkning_verdensregion_6","2015","1511","person","afrika","0"
"befolkning_verdensregion_6","2015","1514","person","afrika","4"
"befolkning_verdensregion_6","2015","1515","person","afrika","65"
"befolkning_verdensregion_6","2015","1516","person","afrika","133"
"befolkning_verdensregion_6","2015","1517","person","afrika","43"
"befolkning_verdensregion_6","2015","1519","person","afrika","183"
"befolkning_verdensregion_6","2015","1520","person","afrika","93"
"befolkning_verdensregion_6","2015","1523","person","afrika","20"
"befolkning_verdensregion_6","2015","1524","person","afrika","3"
"befolkning_verdensregion_6","2015","1525","person","afrika","7"
"befolkning_verdensregion_6","2015","1526","person","afrika","5"
"befolkning_verdensregion_6","2015","1528","person","afrika","86"
"befolkning_verdensregion_6","2015","1529","person","afrika","18"
"befolkning_verdensregion_6","2015","1531","person","afrika","17"
"befolkning_verdensregion_6","2015","1532","person","afrika","83"
"befolkning_verdensregion_6","2015","1534","person","afrika","67"
"befolkning_verdensregion_6","2015","1535","person","afrika","57"
"befolkning_verdensregion_6","2015","1539","person","afrika","7"
"befolkning_verdensregion_6","2015","1543","person","afrika","10"
"befolkning_verdensregion_6","2015","1545","person","afrika","20"
"befolkning_verdensregion_6","2015","1546","person","afrika","0"
"befolkning_verdensregion_6","2015","1547","person","afrika","33"
"befolkning_verdensregion_6","2015","1548","person","afrika","50"
"befolkning_verdensregion_6","2015","1551","person","afrika","17"
"befolkning_verdensregion_6","2015","1554","person","afrika","25"
"befolkning_verdensregion_6","2015","1557","person","afrika","16"
"befolkning_verdensregion_6","2015","1560","person","afrika","77"
"befolkning_verdensregion_6","2015","1563","person","afrika","235"
"befolkning_verdensregion_6","2015","1566","person","afrika","33"
"befolkning_verdensregion_6","2015","1567","person","afrika","0"
"befolkning_verdensregion_6","2015","1571","person","afrika","5"
"befolkning_verdensregion_6","2015","1573","person","afrika","0"
"befolkning_verdensregion_6","2015","1576","person","afrika","53"
"befolkning_verdensregion_6","2015","1601","person","afrika","2703"
"befolkning_verdensregion_6","2015","1612","person","afrika","39"
"befolkning_verdensregion_6","2015","1613","person","afrika","0"
"befolkning_verdensregion_6","2015","1617","person","afrika","44"
"befolkning_verdensregion_6","2015","1620","person","afrika","14"
"befolkning_verdensregion_6","2015","1621","person","afrika","12"
"befolkning_verdensregion_6","2015","1622","person","afrika","3"
"befolkning_verdensregion_6","2015","1624","person","afrika","53"
"befolkning_verdensregion_6","2015","1627","person","afrika","10"
"befolkning_verdensregion_6","2015","1630","person","afrika","0"
"befolkning_verdensregion_6","2015","1632","person","afrika","0"
"befolkning_verdensregion_6","2015","1633","person","afrika","1"
"befolkning_verdensregion_6","2015","1634","person","afrika","80"
"befolkning_verdensregion_6","2015","1635","person","afrika","19"
"befolkning_verdensregion_6","2015","1636","person","afrika","4"
"befolkning_verdensregion_6","2015","1638","person","afrika","151"
"befolkning_verdensregion_6","2015","1640","person","afrika","43"
"befolkning_verdensregion_6","2015","1644","person","afrika","0"
"befolkning_verdensregion_6","2015","1648","person","afrika","49"
"befolkning_verdensregion_6","2015","1653","person","afrika","81"
"befolkning_verdensregion_6","2015","1657","person","afrika","25"
"befolkning_verdensregion_6","2015","1662","person","afrika","39"
"befolkning_verdensregion_6","2015","1663","person","afrika","86"
"befolkning_verdensregion_6","2015","1664","person","afrika","11"
"befolkning_verdensregion_6","2015","1665","person","afrika","8"
"befolkning_verdensregion_6","2015","1702","person","afrika","300"
"befolkning_verdensregion_6","2015","1703","person","afrika","291"
"befolkning_verdensregion_6","2015","1711","person","afrika","60"
"befolkning_verdensregion_6","2015","1714","person","afrika","285"
"befolkning_verdensregion_6","2015","1717","person","afrika","9"
"befolkning_verdensregion_6","2015","1718","person","afrika","24"
"befolkning_verdensregion_6","2015","1719","person","afrika","219"
"befolkning_verdensregion_6","2015","1721","person","afrika","181"
"befolkning_verdensregion_6","2015","1724","person","afrika","45"
"befolkning_verdensregion_6","2015","1725","person","afrika","10"
"befolkning_verdensregion_6","2015","1736","person","afrika","21"
"befolkning_verdensregion_6","2015","1738","person","afrika","14"
"befolkning_verdensregion_6","2015","1739","person","afrika","0"
"befolkning_verdensregion_6","2015","1740","person","afrika","0"
"befolkning_verdensregion_6","2015","1742","person","afrika","102"
"befolkning_verdensregion_6","2015","1743","person","afrika","3"
"befolkning_verdensregion_6","2015","1744","person","afrika","24"
"befolkning_verdensregion_6","2015","1748","person","afrika","0"
"befolkning_verdensregion_6","2015","1749","person","afrika","0"
"befolkning_verdensregion_6","2015","1750","person","afrika","83"
"befolkning_verdensregion_6","2015","1751","person","afrika","80"
"befolkning_verdensregion_6","2015","1755","person","afrika","0"
"befolkning_verdensregion_6","2015","1756","person","afrika","64"
"befolkning_verdensregion_6","2015","1804","person","afrika","779"
"befolkning_verdensregion_6","2015","1805","person","afrika","312"
"befolkning_verdensregion_6","2015","1811","person","afrika","0"
"befolkning_verdensregion_6","2015","1812","person","afrika","20"
"befolkning_verdensregion_6","2015","1813","person","afrika","102"
"befolkning_verdensregion_6","2015","1815","person","afrika","0"
"befolkning_verdensregion_6","2015","1816","person","afrika","10"
"befolkning_verdensregion_6","2015","1818","person","afrika","28"
"befolkning_verdensregion_6","2015","1820","person","afrika","214"
"befolkning_verdensregion_6","2015","1822","person","afrika","85"
"befolkning_verdensregion_6","2015","1824","person","afrika","138"
"befolkning_verdensregion_6","2015","1825","person","afrika","0"
"befolkning_verdensregion_6","2015","1826","person","afrika","68"
"befolkning_verdensregion_6","2015","1827","person","afrika","3"
