"tabell_navn","aar","naringsregion_nr","enhet","vreg_6","tabellvariabel"
"befolkning_verdensregion_6","2015","01","person","afrika","404"
"befolkning_verdensregion_6","2015","02","person","afrika","576"
"befolkning_verdensregion_6","2015","03","person","afrika","777"
"befolkning_verdensregion_6","2015","04","person","afrika","1936"
"befolkning_verdensregion_6","2015","05","person","afrika","2399"
"befolkning_verdensregion_6","2015","06","person","afrika","1815"
"befolkning_verdensregion_6","2015","07","person","afrika","1852"
"befolkning_verdensregion_6","2015","08","person","afrika","729"
"befolkning_verdensregion_6","2015","09","person","afrika","23664"
"befolkning_verdensregion_6","2015","10","person","afrika","175"
"befolkning_verdensregion_6","2015","11","person","afrika","489"
"befolkning_verdensregion_6","2015","12","person","afrika","1103"
"befolkning_verdensregion_6","2015","13","person","afrika","547"
"befolkning_verdensregion_6","2015","14","person","afrika","916"
"befolkning_verdensregion_6","2015","15","person","afrika","449"
"befolkning_verdensregion_6","2015","16","person","afrika","492"
"befolkning_verdensregion_6","2015","17","person","afrika","99"
"befolkning_verdensregion_6","2015","18","person","afrika","281"
"befolkning_verdensregion_6","2015","19","person","afrika","250"
"befolkning_verdensregion_6","2015","20","person","afrika","2587"
"befolkning_verdensregion_6","2015","21","person","afrika","256"
"befolkning_verdensregion_6","2015","22","person","afrika","449"
"befolkning_verdensregion_6","2015","23","person","afrika","137"
"befolkning_verdensregion_6","2015","24","person","afrika","234"
"befolkning_verdensregion_6","2015","25","person","afrika","1157"
"befolkning_verdensregion_6","2015","26","person","afrika","892"
"befolkning_verdensregion_6","2015","27","person","afrika","2042"
"befolkning_verdensregion_6","2015","28","person","afrika","259"
"befolkning_verdensregion_6","2015","29","person","afrika","352"
"befolkning_verdensregion_6","2015","30","person","afrika","130"
"befolkning_verdensregion_6","2015","31","person","afrika","57"
"befolkning_verdensregion_6","2015","32","person","afrika","1001"
"befolkning_verdensregion_6","2015","33","person","afrika","336"
"befolkning_verdensregion_6","2015","34","person","afrika","284"
"befolkning_verdensregion_6","2015","35","person","afrika","1925"
"befolkning_verdensregion_6","2015","36","person","afrika","165"
"befolkning_verdensregion_6","2015","37","person","afrika","858"
"befolkning_verdensregion_6","2015","38","person","afrika","327"
"befolkning_verdensregion_6","2015","39","person","afrika","4471"
"befolkning_verdensregion_6","2015","40","person","afrika","4776"
"befolkning_verdensregion_6","2015","41","person","afrika","88"
"befolkning_verdensregion_6","2015","42","person","afrika","306"
"befolkning_verdensregion_6","2015","43","person","afrika","163"
"befolkning_verdensregion_6","2015","44","person","afrika","249"
"befolkning_verdensregion_6","2015","45","person","afrika","73"
"befolkning_verdensregion_6","2015","46","person","afrika","457"
"befolkning_verdensregion_6","2015","47","person","afrika","545"
"befolkning_verdensregion_6","2015","48","person","afrika","51"
"befolkning_verdensregion_6","2015","49","person","afrika","378"
"befolkning_verdensregion_6","2015","50","person","afrika","468"
"befolkning_verdensregion_6","2015","51","person","afrika","438"
"befolkning_verdensregion_6","2015","52","person","afrika","764"
"befolkning_verdensregion_6","2015","53","person","afrika","612"
"befolkning_verdensregion_6","2015","54","person","afrika","119"
"befolkning_verdensregion_6","2015","55","person","afrika","522"
"befolkning_verdensregion_6","2015","56","person","afrika","500"
"befolkning_verdensregion_6","2015","57","person","afrika","101"
"befolkning_verdensregion_6","2015","58","person","afrika","58"
"befolkning_verdensregion_6","2015","59","person","afrika","99"
"befolkning_verdensregion_6","2015","60","person","afrika","196"
"befolkning_verdensregion_6","2015","61","person","afrika","2994"
"befolkning_verdensregion_6","2015","62","person","afrika","52"
"befolkning_verdensregion_6","2015","63","person","afrika","354"
"befolkning_verdensregion_6","2015","64","person","afrika","809"
"befolkning_verdensregion_6","2015","65","person","afrika","140"
"befolkning_verdensregion_6","2015","66","person","afrika","163"
"befolkning_verdensregion_6","2015","67","person","afrika","325"
"befolkning_verdensregion_6","2015","68","person","afrika","133"
"befolkning_verdensregion_6","2015","69","person","afrika","329"
"befolkning_verdensregion_6","2015","70","person","afrika","5"
"befolkning_verdensregion_6","2015","71","person","afrika","206"
"befolkning_verdensregion_6","2015","72","person","afrika","408"
"befolkning_verdensregion_6","2015","73","person","afrika","1163"
"befolkning_verdensregion_6","2015","74","person","afrika","406"
"befolkning_verdensregion_6","2015","75","person","afrika","366"
"befolkning_verdensregion_6","2015","76","person","afrika","547"
"befolkning_verdensregion_6","2015","77","person","afrika","650"
"befolkning_verdensregion_6","2015","78","person","afrika","561"
"befolkning_verdensregion_6","2015","79","person","afrika","1285"
"befolkning_verdensregion_6","2015","80","person","afrika","139"
"befolkning_verdensregion_6","2015","81","person","afrika","433"
"befolkning_verdensregion_6","2015","82","person","afrika","65"
"befolkning_verdensregion_6","2015","83","person","afrika","449"
"befolkning_verdensregion_6","2015","01","person","asia","625"
"befolkning_verdensregion_6","2015","02","person","asia","1837"
"befolkning_verdensregion_6","2015","03","person","asia","2247"
"befolkning_verdensregion_6","2015","04","person","asia","5333"
"befolkning_verdensregion_6","2015","05","person","asia","8293"
"befolkning_verdensregion_6","2015","06","person","asia","4216"
"befolkning_verdensregion_6","2015","07","person","asia","10447"
"befolkning_verdensregion_6","2015","08","person","asia","3431"
"befolkning_verdensregion_6","2015","09","person","asia","56538"
"befolkning_verdensregion_6","2015","10","person","asia","197"
"befolkning_verdensregion_6","2015","11","person","asia","1048"
"befolkning_verdensregion_6","2015","12","person","asia","1854"
"befolkning_verdensregion_6","2015","13","person","asia","625"
"befolkning_verdensregion_6","2015","14","person","asia","1651"
"befolkning_verdensregion_6","2015","15","person","asia","520"
"befolkning_verdensregion_6","2015","16","person","asia","860"
"befolkning_verdensregion_6","2015","17","person","asia","154"
"befolkning_verdensregion_6","2015","18","person","asia","215"
"befolkning_verdensregion_6","2015","19","person","asia","226"
"befolkning_verdensregion_6","2015","20","person","asia","9335"
"befolkning_verdensregion_6","2015","21","person","asia","385"
"befolkning_verdensregion_6","2015","22","person","asia","1122"
"befolkning_verdensregion_6","2015","23","person","asia","296"
"befolkning_verdensregion_6","2015","24","person","asia","925"
"befolkning_verdensregion_6","2015","25","person","asia","3673"
"befolkning_verdensregion_6","2015","26","person","asia","2833"
"befolkning_verdensregion_6","2015","27","person","asia","3605"
"befolkning_verdensregion_6","2015","28","person","asia","392"
"befolkning_verdensregion_6","2015","29","person","asia","448"
"befolkning_verdensregion_6","2015","30","person","asia","89"
"befolkning_verdensregion_6","2015","31","person","asia","248"
"befolkning_verdensregion_6","2015","32","person","asia","2428"
"befolkning_verdensregion_6","2015","33","person","asia","766"
"befolkning_verdensregion_6","2015","34","person","asia","566"
"befolkning_verdensregion_6","2015","35","person","asia","4886"
"befolkning_verdensregion_6","2015","36","person","asia","687"
"befolkning_verdensregion_6","2015","37","person","asia","2304"
"befolkning_verdensregion_6","2015","38","person","asia","379"
"befolkning_verdensregion_6","2015","39","person","asia","12432"
"befolkning_verdensregion_6","2015","40","person","asia","9616"
"befolkning_verdensregion_6","2015","41","person","asia","366"
