"aar","bydel_nr","enhet","tabell_navn","fylke_nr","naringsregion_nr","kommune_nr","vreg_6","tabellvariabel"
2014,"000301","personer","befolkning_verdensregion_6","NULL","NULL","NULL","afrika","22739"
2014,"030101","personer","befolkning_verdensregion_6","NULL","NULL","NULL","afrika","3014"
2014,"030102","personer","befolkning_verdensregion_6","NULL","NULL","NULL","afrika","2278"
2014,"030103","personer","befolkning_verdensregion_6","NULL","NULL","NULL","afrika","1759"
2014,"030104","personer","befolkning_verdensregion_6","NULL","NULL","NULL","afrika","1022"
2014,"030105","personer","befolkning_verdensregion_6","NULL","NULL","NULL","afrika","797"
2014,"030106","personer","befolkning_verdensregion_6","NULL","NULL","NULL","afrika","306"
2014,"030107","personer","befolkning_verdensregion_6","NULL","NULL","NULL","afrika","471"
2014,"030108","personer","befolkning_verdensregion_6","NULL","NULL","NULL","afrika","1019"
2014,"030109","personer","befolkning_verdensregion_6","NULL","NULL","NULL","afrika","1481"
2014,"030110","personer","befolkning_verdensregion_6","NULL","NULL","NULL","afrika","1777"
2014,"030111","personer","befolkning_verdensregion_6","NULL","NULL","NULL","afrika","1684"
2014,"030112","personer","befolkning_verdensregion_6","NULL","NULL","NULL","afrika","2661"
2014,"030113","personer","befolkning_verdensregion_6","NULL","NULL","NULL","afrika","1298"
2014,"030114","personer","befolkning_verdensregion_6","NULL","NULL","NULL","afrika","734"
2014,"030115","personer","befolkning_verdensregion_6","NULL","NULL","NULL","afrika","1982"
2014,"030116","personer","befolkning_verdensregion_6","NULL","NULL","NULL","afrika","41"
2014,"030117","personer","befolkning_verdensregion_6","NULL","NULL","NULL","afrika","0"
2014,"030199","personer","befolkning_verdensregion_6","NULL","NULL","NULL","afrika","414"
2014,"NULL","personer","befolkning_verdensregion_6","00","NULL","NULL","afrika","74171"
2014,"NULL","personer","befolkning_verdensregion_6","01","NULL","NULL","afrika","3458"
2014,"NULL","personer","befolkning_verdensregion_6","02","NULL","NULL","afrika","6232"
2014,"NULL","personer","befolkning_verdensregion_6","03","NULL","NULL","afrika","22739"
2014,"NULL","personer","befolkning_verdensregion_6","04","NULL","NULL","afrika","2166"
2014,"NULL","personer","befolkning_verdensregion_6","05","NULL","NULL","afrika","2161"
2014,"NULL","personer","befolkning_verdensregion_6","06","NULL","NULL","afrika","3318"
2014,"NULL","personer","befolkning_verdensregion_6","07","NULL","NULL","afrika","2045"
2014,"NULL","personer","befolkning_verdensregion_6","08","NULL","NULL","afrika","2610"
2014,"NULL","personer","befolkning_verdensregion_6","09","NULL","NULL","afrika","1039"
2014,"NULL","personer","befolkning_verdensregion_6","10","NULL","NULL","afrika","2127"
2014,"NULL","personer","befolkning_verdensregion_6","11","NULL","NULL","afrika","5279"
2014,"NULL","personer","befolkning_verdensregion_6","12","NULL","NULL","afrika","6090"
