"tabell_navn","aar","bydel_nr","vreg_9","enhet","tabellvariabel"
"befolkning_verdensregion_9","2015","030101","norden","person","1832"
"befolkning_verdensregion_9","2015","030101","vest_europa","person","1138"
"befolkning_verdensregion_9","2015","030101","eu_ost_europa","person","1929"
"befolkning_verdensregion_9","2015","030101","ost_europa_ellers","person","1011"
"befolkning_verdensregion_9","2015","030101","nord_amerika_oseania","person","247"
"befolkning_verdensregion_9","2015","030101","asia","person","4991"
"befolkning_verdensregion_9","2015","030101","afrika","person","3177"
"befolkning_verdensregion_9","2015","030101","sor_og_mellom_amerika","person","596"
"befolkning_verdensregion_9","2015","030101","alle","person","14921"
"befolkning_verdensregion_9","2015","030102","norden","person","2485"
"befolkning_verdensregion_9","2015","030102","vest_europa","person","1491"
"befolkning_verdensregion_9","2015","030102","eu_ost_europa","person","2852"
"befolkning_verdensregion_9","2015","030102","ost_europa_ellers","person","1243"
"befolkning_verdensregion_9","2015","030102","nord_amerika_oseania","person","302"
"befolkning_verdensregion_9","2015","030102","asia","person","4273"
"befolkning_verdensregion_9","2015","030102","afrika","person","2381"
"befolkning_verdensregion_9","2015","030102","sor_og_mellom_amerika","person","711"
"befolkning_verdensregion_9","2015","030102","alle","person","15738"
"befolkning_verdensregion_9","2015","030103","norden","person","1352"
"befolkning_verdensregion_9","2015","030103","vest_europa","person","812"
"befolkning_verdensregion_9","2015","030103","eu_ost_europa","person","1222"
"befolkning_verdensregion_9","2015","030103","ost_europa_ellers","person","617"
"befolkning_verdensregion_9","2015","030103","nord_amerika_oseania","person","173"
"befolkning_verdensregion_9","2015","030103","asia","person","1834"
"befolkning_verdensregion_9","2015","030103","afrika","person","1761"
"befolkning_verdensregion_9","2015","030103","sor_og_mellom_amerika","person","386"
"befolkning_verdensregion_9","2015","030103","alle","person","8157"
"befolkning_verdensregion_9","2015","030104","norden","person","1932"
"befolkning_verdensregion_9","2015","030104","vest_europa","person","1216"
"befolkning_verdensregion_9","2015","030104","eu_ost_europa","person","1449"
"befolkning_verdensregion_9","2015","030104","ost_europa_ellers","person","568"
"befolkning_verdensregion_9","2015","030104","nord_amerika_oseania","person","252"
"befolkning_verdensregion_9","2015","030104","asia","person","1786"
"befolkning_verdensregion_9","2015","030104","afrika","person","986"
"befolkning_verdensregion_9","2015","030104","sor_og_mellom_amerika","person","406"
"befolkning_verdensregion_9","2015","030104","alle","person","8595"
"befolkning_verdensregion_9","2015","030105","norden","person","3358"
"befolkning_verdensregion_9","2015","030105","vest_europa","person","2745"
"befolkning_verdensregion_9","2015","030105","eu_ost_europa","person","1875"
"befolkning_verdensregion_9","2015","030105","ost_europa_ellers","person","985"
