"tabell_navn","aar","fylke_nr","vreg_9","enhet","tabellvariabel"
"befolkning_verdensregion_9","2015","01","norden","person","4232"
"befolkning_verdensregion_9","2015","01","vest_europa","person","2316"
"befolkning_verdensregion_9","2015","01","eu_ost_europa","person","8780"
"befolkning_verdensregion_9","2015","01","ost_europa_ellers","person","4933"
"befolkning_verdensregion_9","2015","01","nord_amerika_oseania","person","377"
"befolkning_verdensregion_9","2015","01","asia","person","10042"
"befolkning_verdensregion_9","2015","01","afrika","person","3693"
"befolkning_verdensregion_9","2015","01","sor_og_mellom_amerika","person","653"
"befolkning_verdensregion_9","2015","01","alle","person","35026"
"befolkning_verdensregion_9","2015","02","norden","person","11350"
"befolkning_verdensregion_9","2015","02","vest_europa","person","8540"
"befolkning_verdensregion_9","2015","02","eu_ost_europa","person","22238"
"befolkning_verdensregion_9","2015","02","ost_europa_ellers","person","6255"
"befolkning_verdensregion_9","2015","02","nord_amerika_oseania","person","1675"
"befolkning_verdensregion_9","2015","02","asia","person","26387"
"befolkning_verdensregion_9","2015","02","afrika","person","6795"
"befolkning_verdensregion_9","2015","02","sor_og_mellom_amerika","person","2264"
"befolkning_verdensregion_9","2015","02","alle","person","85504"
"befolkning_verdensregion_9","2015","03","norden","person","18771"
"befolkning_verdensregion_9","2015","03","vest_europa","person","14418"
"befolkning_verdensregion_9","2015","03","eu_ost_europa","person","25091"
"befolkning_verdensregion_9","2015","03","ost_europa_ellers","person","11710"
"befolkning_verdensregion_9","2015","03","nord_amerika_oseania","person","2849"
"befolkning_verdensregion_9","2015","03","asia","person","56538"
"befolkning_verdensregion_9","2015","03","afrika","person","23664"
"befolkning_verdensregion_9","2015","03","sor_og_mellom_amerika","person","5755"
"befolkning_verdensregion_9","2015","03","alle","person","158796"
"befolkning_verdensregion_9","2015","04","norden","person","2182"
"befolkning_verdensregion_9","2015","04","vest_europa","person","1591"
"befolkning_verdensregion_9","2015","04","eu_ost_europa","person","4114"
"befolkning_verdensregion_9","2015","04","ost_europa_ellers","person","1343"
"befolkning_verdensregion_9","2015","04","nord_amerika_oseania","person","212"
"befolkning_verdensregion_9","2015","04","asia","person","3724"
"befolkning_verdensregion_9","2015","04","afrika","person","2314"
"befolkning_verdensregion_9","2015","04","sor_og_mellom_amerika","person","299"
"befolkning_verdensregion_9","2015","04","alle","person","15779"
"befolkning_verdensregion_9","2015","05","norden","person","1604"
"befolkning_verdensregion_9","2015","05","vest_europa","person","1596"
"befolkning_verdensregion_9","2015","05","eu_ost_europa","person","4467"
"befolkning_verdensregion_9","2015","05","ost_europa_ellers","person","1404"
"befolkning_verdensregion_9","2015","05","nord_amerika_oseania","person","189"
"befolkning_verdensregion_9","2015","05","asia","person","3626"
"befolkning_verdensregion_9","2015","05","afrika","person","2487"
"befolkning_verdensregion_9","2015","05","sor_og_mellom_amerika","person","255"
"befolkning_verdensregion_9","2015","05","alle","person","15628"
"befolkning_verdensregion_9","2015","06","norden","person","4014"
"befolkning_verdensregion_9","2015","06","vest_europa","person","3476"
"befolkning_verdensregion_9","2015","06","eu_ost_europa","person","11465"
"befolkning_verdensregion_9","2015","06","ost_europa_ellers","person","3272"
"befolkning_verdensregion_9","2015","06","nord_amerika_oseania","person","520"
"befolkning_verdensregion_9","2015","06","asia","person","11829"
"befolkning_verdensregion_9","2015","06","afrika","person","3565"
"befolkning_verdensregion_9","2015","06","sor_og_mellom_amerika","person","971"
"befolkning_verdensregion_9","2015","06","alle","person","39112"
"befolkning_verdensregion_9","2015","07","norden","person","3045"
"befolkning_verdensregion_9","2015","07","vest_europa","person","2718"
"befolkning_verdensregion_9","2015","07","eu_ost_europa","person","7903"
"befolkning_verdensregion_9","2015","07","ost_europa_ellers","person","2591"
"befolkning_verdensregion_9","2015","07","nord_amerika_oseania","person","477"
"befolkning_verdensregion_9","2015","07","asia","person","6740"
"befolkning_verdensregion_9","2015","07","afrika","person","2147"
"befolkning_verdensregion_9","2015","07","sor_og_mellom_amerika","person","658"
"befolkning_verdensregion_9","2015","07","alle","person","26279"
"befolkning_verdensregion_9","2015","08","norden","person","1732"
"befolkning_verdensregion_9","2015","08","vest_europa","person","1890"
"befolkning_verdensregion_9","2015","08","eu_ost_europa","person","3571"
"befolkning_verdensregion_9","2015","08","ost_europa_ellers","person","1554"
"befolkning_verdensregion_9","2015","08","nord_amerika_oseania","person","235"
"befolkning_verdensregion_9","2015","08","asia","person","4534"
"befolkning_verdensregion_9","2015","08","afrika","person","2783"
"befolkning_verdensregion_9","2015","08","sor_og_mellom_amerika","person","559"
"befolkning_verdensregion_9","2015","08","alle","person","16858"
"befolkning_verdensregion_9","2015","09","norden","person","1264"
"befolkning_verdensregion_9","2015","09","vest_europa","person","1582"
"befolkning_verdensregion_9","2015","09","eu_ost_europa","person","2976"
"befolkning_verdensregion_9","2015","09","ost_europa_ellers","person","1033"
"befolkning_verdensregion_9","2015","09","nord_amerika_oseania","person","305"
"befolkning_verdensregion_9","2015","09","asia","person","3097"
"befolkning_verdensregion_9","2015","09","afrika","person","1196"
"befolkning_verdensregion_9","2015","09","sor_og_mellom_amerika","person","256"
"befolkning_verdensregion_9","2015","09","alle","person","11709"
