"tabell_navn","aar","kommune_nr","vreg_9","enhet","tabellvariabel"
"befolkning_verdensregion_9","2015","0101","norden","person","556"
"befolkning_verdensregion_9","2015","0101","vest_europa","person","285"
"befolkning_verdensregion_9","2015","0101","eu_ost_europa","person","594"
"befolkning_verdensregion_9","2015","0101","ost_europa_ellers","person","562"
"befolkning_verdensregion_9","2015","0101","nord_amerika_oseania","person","30"
"befolkning_verdensregion_9","2015","0101","asia","person","625"
"befolkning_verdensregion_9","2015","0101","afrika","person","404"
"befolkning_verdensregion_9","2015","0101","sor_og_mellom_amerika","person","40"
"befolkning_verdensregion_9","2015","0101","alle","person","3096"
"befolkning_verdensregion_9","2015","0104","norden","person","575"
"befolkning_verdensregion_9","2015","0104","vest_europa","person","313"
"befolkning_verdensregion_9","2015","0104","eu_ost_europa","person","1055"
"befolkning_verdensregion_9","2015","0104","ost_europa_ellers","person","437"
"befolkning_verdensregion_9","2015","0104","nord_amerika_oseania","person","60"
"befolkning_verdensregion_9","2015","0104","asia","person","1638"
"befolkning_verdensregion_9","2015","0104","afrika","person","633"
"befolkning_verdensregion_9","2015","0104","sor_og_mellom_amerika","person","119"
"befolkning_verdensregion_9","2015","0104","alle","person","4830"
"befolkning_verdensregion_9","2015","0105","norden","person","686"
"befolkning_verdensregion_9","2015","0105","vest_europa","person","309"
"befolkning_verdensregion_9","2015","0105","eu_ost_europa","person","1654"
"befolkning_verdensregion_9","2015","0105","ost_europa_ellers","person","1413"
"befolkning_verdensregion_9","2015","0105","nord_amerika_oseania","person","54"
"befolkning_verdensregion_9","2015","0105","asia","person","2156"
"befolkning_verdensregion_9","2015","0105","afrika","person","700"
"befolkning_verdensregion_9","2015","0105","sor_og_mellom_amerika","person","112"
"befolkning_verdensregion_9","2015","0105","alle","person","7084"
"befolkning_verdensregion_9","2015","0106","norden","person","1189"
"befolkning_verdensregion_9","2015","0106","vest_europa","person","618"
"befolkning_verdensregion_9","2015","0106","eu_ost_europa","person","1931"
"befolkning_verdensregion_9","2015","0106","ost_europa_ellers","person","1356"
"befolkning_verdensregion_9","2015","0106","nord_amerika_oseania","person","114"
"befolkning_verdensregion_9","2015","0106","asia","person","3125"
"befolkning_verdensregion_9","2015","0106","afrika","person","1213"
"befolkning_verdensregion_9","2015","0106","sor_og_mellom_amerika","person","153"
"befolkning_verdensregion_9","2015","0106","alle","person","9699"
"befolkning_verdensregion_9","2015","0111","norden","person","39"
"befolkning_verdensregion_9","2015","0111","vest_europa","person","36"
