"tabell_navn","aar","naringsregion_nr","vreg_9","enhet","tabellvariabel"
"befolkning_verdensregion_9","2015","01","norden","person","556"
"befolkning_verdensregion_9","2015","01","vest_europa","person","285"
"befolkning_verdensregion_9","2015","01","eu_ost_europa","person","594"
"befolkning_verdensregion_9","2015","01","ost_europa_ellers","person","562"
"befolkning_verdensregion_9","2015","01","nord_amerika_oseania","person","30"
"befolkning_verdensregion_9","2015","01","asia","person","625"
"befolkning_verdensregion_9","2015","01","afrika","person","404"
"befolkning_verdensregion_9","2015","01","sor_og_mellom_amerika","person","40"
"befolkning_verdensregion_9","2015","01","alle","person","3096"
"befolkning_verdensregion_9","2015","02","norden","person","802"
"befolkning_verdensregion_9","2015","02","vest_europa","person","490"
"befolkning_verdensregion_9","2015","02","eu_ost_europa","person","2426"
"befolkning_verdensregion_9","2015","02","ost_europa_ellers","person","914"
"befolkning_verdensregion_9","2015","02","nord_amerika_oseania","person","70"
"befolkning_verdensregion_9","2015","02","asia","person","1837"
"befolkning_verdensregion_9","2015","02","afrika","person","576"
"befolkning_verdensregion_9","2015","02","sor_og_mellom_amerika","person","150"
"befolkning_verdensregion_9","2015","02","alle","person","7265"
"befolkning_verdensregion_9","2015","03","norden","person","960"
"befolkning_verdensregion_9","2015","03","vest_europa","person","578"
"befolkning_verdensregion_9","2015","03","eu_ost_europa","person","2116"
"befolkning_verdensregion_9","2015","03","ost_europa_ellers","person","669"
"befolkning_verdensregion_9","2015","03","nord_amerika_oseania","person","97"
"befolkning_verdensregion_9","2015","03","asia","person","2247"
"befolkning_verdensregion_9","2015","03","afrika","person","777"
"befolkning_verdensregion_9","2015","03","sor_og_mellom_amerika","person","187"
"befolkning_verdensregion_9","2015","03","alle","person","7631"
"befolkning_verdensregion_9","2015","04","norden","person","1914"
"befolkning_verdensregion_9","2015","04","vest_europa","person","963"
"befolkning_verdensregion_9","2015","04","eu_ost_europa","person","3644"
"befolkning_verdensregion_9","2015","04","ost_europa_ellers","person","2788"
"befolkning_verdensregion_9","2015","04","nord_amerika_oseania","person","180"
"befolkning_verdensregion_9","2015","04","asia","person","5333"
"befolkning_verdensregion_9","2015","04","afrika","person","1936"
"befolkning_verdensregion_9","2015","04","sor_og_mellom_amerika","person","276"
"befolkning_verdensregion_9","2015","04","alle","person","17034"
"befolkning_verdensregion_9","2015","05","norden","person","4079"
"befolkning_verdensregion_9","2015","05","vest_europa","person","3477"
"befolkning_verdensregion_9","2015","05","eu_ost_europa","person","7316"
"befolkning_verdensregion_9","2015","05","ost_europa_ellers","person","2117"
"befolkning_verdensregion_9","2015","05","nord_amerika_oseania","person","884"
"befolkning_verdensregion_9","2015","05","asia","person","8293"
"befolkning_verdensregion_9","2015","05","afrika","person","2399"
"befolkning_verdensregion_9","2015","05","sor_og_mellom_amerika","person","810"
"befolkning_verdensregion_9","2015","05","alle","person","29375"
"befolkning_verdensregion_9","2015","06","norden","person","2756"
"befolkning_verdensregion_9","2015","06","vest_europa","person","2148"
"befolkning_verdensregion_9","2015","06","eu_ost_europa","person","3873"
"befolkning_verdensregion_9","2015","06","ost_europa_ellers","person","1413"
"befolkning_verdensregion_9","2015","06","nord_amerika_oseania","person","397"
"befolkning_verdensregion_9","2015","06","asia","person","4216"
"befolkning_verdensregion_9","2015","06","afrika","person","1815"
"befolkning_verdensregion_9","2015","06","sor_og_mellom_amerika","person","526"
"befolkning_verdensregion_9","2015","06","alle","person","17144"
"befolkning_verdensregion_9","2015","07","norden","person","2757"
"befolkning_verdensregion_9","2015","07","vest_europa","person","1927"
"befolkning_verdensregion_9","2015","07","eu_ost_europa","person","6891"
"befolkning_verdensregion_9","2015","07","ost_europa_ellers","person","1699"
"befolkning_verdensregion_9","2015","07","nord_amerika_oseania","person","252"
"befolkning_verdensregion_9","2015","07","asia","person","10447"
"befolkning_verdensregion_9","2015","07","afrika","person","1852"
"befolkning_verdensregion_9","2015","07","sor_og_mellom_amerika","person","570"
"befolkning_verdensregion_9","2015","07","alle","person","26395"
"befolkning_verdensregion_9","2015","08","norden","person","1758"
"befolkning_verdensregion_9","2015","08","vest_europa","person","988"
"befolkning_verdensregion_9","2015","08","eu_ost_europa","person","4158"
"befolkning_verdensregion_9","2015","08","ost_europa_ellers","person","1026"
"befolkning_verdensregion_9","2015","08","nord_amerika_oseania","person","142"
"befolkning_verdensregion_9","2015","08","asia","person","3431"
"befolkning_verdensregion_9","2015","08","afrika","person","729"
"befolkning_verdensregion_9","2015","08","sor_og_mellom_amerika","person","358"
"befolkning_verdensregion_9","2015","08","alle","person","12590"
"befolkning_verdensregion_9","2015","09","norden","person","18771"
"befolkning_verdensregion_9","2015","09","vest_europa","person","14418"
"befolkning_verdensregion_9","2015","09","eu_ost_europa","person","25091"
"befolkning_verdensregion_9","2015","09","ost_europa_ellers","person","11710"
"befolkning_verdensregion_9","2015","09","nord_amerika_oseania","person","2849"
"befolkning_verdensregion_9","2015","09","asia","person","56538"
"befolkning_verdensregion_9","2015","09","afrika","person","23664"
"befolkning_verdensregion_9","2015","09","sor_og_mellom_amerika","person","5755"
"befolkning_verdensregion_9","2015","09","alle","person","158796"
"befolkning_verdensregion_9","2015","10","norden","person","106"
"befolkning_verdensregion_9","2015","10","vest_europa","person","193"
"befolkning_verdensregion_9","2015","10","eu_ost_europa","person","396"
"befolkning_verdensregion_9","2015","10","ost_europa_ellers","person","69"
"befolkning_verdensregion_9","2015","10","nord_amerika_oseania","person","11"
"befolkning_verdensregion_9","2015","10","asia","person","197"
"befolkning_verdensregion_9","2015","10","afrika","person","175"
"befolkning_verdensregion_9","2015","10","sor_og_mellom_amerika","person","21"
"befolkning_verdensregion_9","2015","10","alle","person","1168"
"befolkning_verdensregion_9","2015","11","norden","person","726"
"befolkning_verdensregion_9","2015","11","vest_europa","person","307"
"befolkning_verdensregion_9","2015","11","eu_ost_europa","person","863"
"befolkning_verdensregion_9","2015","11","ost_europa_ellers","person","334"
"befolkning_verdensregion_9","2015","11","nord_amerika_oseania","person","40"
"befolkning_verdensregion_9","2015","11","asia","person","1048"
"befolkning_verdensregion_9","2015","11","afrika","person","489"
"befolkning_verdensregion_9","2015","11","sor_og_mellom_amerika","person","103"
"befolkning_verdensregion_9","2015","11","alle","person","3910"
"befolkning_verdensregion_9","2015","12","norden","person","859"
"befolkning_verdensregion_9","2015","12","vest_europa","person","738"
"befolkning_verdensregion_9","2015","12","eu_ost_europa","person","2180"
"befolkning_verdensregion_9","2015","12","ost_europa_ellers","person","661"
"befolkning_verdensregion_9","2015","12","nord_amerika_oseania","person","114"
"befolkning_verdensregion_9","2015","12","asia","person","1854"
"befolkning_verdensregion_9","2015","12","afrika","person","1103"
"befolkning_verdensregion_9","2015","12","sor_og_mellom_amerika","person","121"
"befolkning_verdensregion_9","2015","12","alle","person","7630"
"befolkning_verdensregion_9","2015","13","norden","person","491"
