"aar","bydel_nr","enhet","tabellvariabel","tabell_navn","vreg_9","fylke_nr","naringsregion_nr","kommune_nr"
2014,"000301","personer","18620","befolkning_verdensregion_9","norden","NULL","NULL","NULL"
2014,"000301","personer","13230","befolkning_verdensregion_9","vest_europa","NULL","NULL","NULL"
2014,"000301","personer","22963","befolkning_verdensregion_9","eu_ost_europa","NULL","NULL","NULL"
2014,"000301","personer","11023","befolkning_verdensregion_9","ost_europa_ellers","NULL","NULL","NULL"
2014,"000301","personer","2718","befolkning_verdensregion_9","nord_amerika_oseania","NULL","NULL","NULL"
2014,"000301","personer","54902","befolkning_verdensregion_9","asia","NULL","NULL","NULL"
2014,"000301","personer","22739","befolkning_verdensregion_9","afrika","NULL","NULL","NULL"
2014,"000301","personer","5487","befolkning_verdensregion_9","sor_og_mellom_amerika","NULL","NULL","NULL"
2014,"030101","personer","1849","befolkning_verdensregion_9","norden","NULL","NULL","NULL"
2014,"030101","personer","988","befolkning_verdensregion_9","vest_europa","NULL","NULL","NULL"
2014,"030101","personer","1807","befolkning_verdensregion_9","eu_ost_europa","NULL","NULL","NULL"
2014,"030101","personer","952","befolkning_verdensregion_9","ost_europa_ellers","NULL","NULL","NULL"
2014,"030101","personer","232","befolkning_verdensregion_9","nord_amerika_oseania","NULL","NULL","NULL"
2014,"030101","personer","4804","befolkning_verdensregion_9","asia","NULL","NULL","NULL"
2014,"030101","personer","3014","befolkning_verdensregion_9","afrika","NULL","NULL","NULL"
2014,"030101","personer","595","befolkning_verdensregion_9","sor_og_mellom_amerika","NULL","NULL","NULL"
2014,"030102","personer","2480","befolkning_verdensregion_9","norden","NULL","NULL","NULL"
2014,"030102","personer","1299","befolkning_verdensregion_9","vest_europa","NULL","NULL","NULL"
2014,"030102","personer","2579","befolkning_verdensregion_9","eu_ost_europa","NULL","NULL","NULL"
2014,"030102","personer","1101","befolkning_verdensregion_9","ost_europa_ellers","NULL","NULL","NULL"
2014,"030102","personer","303","befolkning_verdensregion_9","nord_amerika_oseania","NULL","NULL","NULL"
2014,"030102","personer","4010","befolkning_verdensregion_9","asia","NULL","NULL","NULL"
2014,"030102","personer","2278","befolkning_verdensregion_9","afrika","NULL","NULL","NULL"
2014,"030102","personer","658","befolkning_verdensregion_9","sor_og_mellom_amerika","NULL","NULL","NULL"
2014,"030103","personer","1283","befolkning_verdensregion_9","norden","NULL","NULL","NULL"
2014,"030103","personer","781","befolkning_verdensregion_9","vest_europa","NULL","NULL","NULL"
2014,"030103","personer","1127","befolkning_verdensregion_9","eu_ost_europa","NULL","NULL","NULL"
2014,"030103","personer","608","befolkning_verdensregion_9","ost_europa_ellers","NULL","NULL","NULL"
2014,"030103","personer","144","befolkning_verdensregion_9","nord_amerika_oseania","NULL","NULL","NULL"
2014,"030103","personer","1808","befolkning_verdensregion_9","asia","NULL","NULL","NULL"
2014,"030103","personer","1759","befolkning_verdensregion_9","afrika","NULL","NULL","NULL"
2014,"030103","personer","382","befolkning_verdensregion_9","sor_og_mellom_amerika","NULL","NULL","NULL"
2014,"030104","personer","2017","befolkning_verdensregion_9","norden","NULL","NULL","NULL"
2014,"030104","personer","1095","befolkning_verdensregion_9","vest_europa","NULL","NULL","NULL"
2014,"030104","personer","1355","befolkning_verdensregion_9","eu_ost_europa","NULL","NULL","NULL"
2014,"030104","personer","558","befolkning_verdensregion_9","ost_europa_ellers","NULL","NULL","NULL"
2014,"030104","personer","233","befolkning_verdensregion_9","nord_amerika_oseania","NULL","NULL","NULL"
2014,"030104","personer","1708","befolkning_verdensregion_9","asia","NULL","NULL","NULL"
2014,"030104","personer","1022","befolkning_verdensregion_9","afrika","NULL","NULL","NULL"
2014,"030104","personer","397","befolkning_verdensregion_9","sor_og_mellom_amerika","NULL","NULL","NULL"
2014,"030105","personer","3366","befolkning_verdensregion_9","norden","NULL","NULL","NULL"
2014,"030105","personer","2524","befolkning_verdensregion_9","vest_europa","NULL","NULL","NULL"
2014,"030105","personer","1723","befolkning_verdensregion_9","eu_ost_europa","NULL","NULL","NULL"
2014,"030105","personer","922","befolkning_verdensregion_9","ost_europa_ellers","NULL","NULL","NULL"
2014,"030105","personer","567","befolkning_verdensregion_9","nord_amerika_oseania","NULL","NULL","NULL"
2014,"030105","personer","2642","befolkning_verdensregion_9","asia","NULL","NULL","NULL"
2014,"030105","personer","797","befolkning_verdensregion_9","afrika","NULL","NULL","NULL"
2014,"030105","personer","655","befolkning_verdensregion_9","sor_og_mellom_amerika","NULL","NULL","NULL"
2014,"030106","personer","839","befolkning_verdensregion_9","norden","NULL","NULL","NULL"
2014,"030106","personer","837","befolkning_verdensregion_9","vest_europa","NULL","NULL","NULL"
2014,"030106","personer","967","befolkning_verdensregion_9","eu_ost_europa","NULL","NULL","NULL"
2014,"030106","personer","327","befolkning_verdensregion_9","ost_europa_ellers","NULL","NULL","NULL"
2014,"030106","personer","151","befolkning_verdensregion_9","nord_amerika_oseania","NULL","NULL","NULL"
2014,"030106","personer","1158","befolkning_verdensregion_9","asia","NULL","NULL","NULL"
2014,"030106","personer","306","befolkning_verdensregion_9","afrika","NULL","NULL","NULL"
2014,"030106","personer","183","befolkning_verdensregion_9","sor_og_mellom_amerika","NULL","NULL","NULL"
2014,"030107","personer","1181","befolkning_verdensregion_9","norden","NULL","NULL","NULL"
2014,"030107","personer","1064","befolkning_verdensregion_9","vest_europa","NULL","NULL","NULL"
2014,"030107","personer","1487","befolkning_verdensregion_9","eu_ost_europa","NULL","NULL","NULL"
2014,"030107","personer","378","befolkning_verdensregion_9","ost_europa_ellers","NULL","NULL","NULL"
2014,"030107","personer","274","befolkning_verdensregion_9","nord_amerika_oseania","NULL","NULL","NULL"
2014,"030107","personer","1650","befolkning_verdensregion_9","asia","NULL","NULL","NULL"
2014,"030107","personer","471","befolkning_verdensregion_9","afrika","NULL","NULL","NULL"
2014,"030107","personer","231","befolkning_verdensregion_9","sor_og_mellom_amerika","NULL","NULL","NULL"
2014,"030108","personer","1151","befolkning_verdensregion_9","norden","NULL","NULL","NULL"
2014,"030108","personer","961","befolkning_verdensregion_9","vest_europa","NULL","NULL","NULL"
2014,"030108","personer","1320","befolkning_verdensregion_9","eu_ost_europa","NULL","NULL","NULL"
2014,"030108","personer","511","befolkning_verdensregion_9","ost_europa_ellers","NULL","NULL","NULL"
2014,"030108","personer","211","befolkning_verdensregion_9","nord_amerika_oseania","NULL","NULL","NULL"
2014,"030108","personer","1738","befolkning_verdensregion_9","asia","NULL","NULL","NULL"
2014,"030108","personer","1019","befolkning_verdensregion_9","afrika","NULL","NULL","NULL"
2014,"030108","personer","240","befolkning_verdensregion_9","sor_og_mellom_amerika","NULL","NULL","NULL"
2014,"030109","personer","521","befolkning_verdensregion_9","norden","NULL","NULL","NULL"
2014,"030109","personer","437","befolkning_verdensregion_9","vest_europa","NULL","NULL","NULL"
2014,"030109","personer","1633","befolkning_verdensregion_9","eu_ost_europa","NULL","NULL","NULL"
2014,"030109","personer","627","befolkning_verdensregion_9","ost_europa_ellers","NULL","NULL","NULL"
2014,"030109","personer","53","befolkning_verdensregion_9","nord_amerika_oseania","NULL","NULL","NULL"
2014,"030109","personer","4283","befolkning_verdensregion_9","asia","NULL","NULL","NULL"
2014,"030109","personer","1481","befolkning_verdensregion_9","afrika","NULL","NULL","NULL"
2014,"030109","personer","248","befolkning_verdensregion_9","sor_og_mellom_amerika","NULL","NULL","NULL"
2014,"030110","personer","315","befolkning_verdensregion_9","norden","NULL","NULL","NULL"
2014,"030110","personer","254","befolkning_verdensregion_9","vest_europa","NULL","NULL","NULL"
2014,"030110","personer","1028","befolkning_verdensregion_9","eu_ost_europa","NULL","NULL","NULL"
2014,"030110","personer","646","befolkning_verdensregion_9","ost_europa_ellers","NULL","NULL","NULL"
2014,"030110","personer","48","befolkning_verdensregion_9","nord_amerika_oseania","NULL","NULL","NULL"
2014,"030110","personer","4204","befolkning_verdensregion_9","asia","NULL","NULL","NULL"
2014,"030110","personer","1777","befolkning_verdensregion_9","afrika","NULL","NULL","NULL"
2014,"030110","personer","364","befolkning_verdensregion_9","sor_og_mellom_amerika","NULL","NULL","NULL"
2014,"030111","personer","356","befolkning_verdensregion_9","norden","NULL","NULL","NULL"
2014,"030111","personer","286","befolkning_verdensregion_9","vest_europa","NULL","NULL","NULL"
2014,"030111","personer","1162","befolkning_verdensregion_9","eu_ost_europa","NULL","NULL","NULL"
2014,"030111","personer","480","befolkning_verdensregion_9","ost_europa_ellers","NULL","NULL","NULL"
2014,"030111","personer","27","befolkning_verdensregion_9","nord_amerika_oseania","NULL","NULL","NULL"
2014,"030111","personer","6321","befolkning_verdensregion_9","asia","NULL","NULL","NULL"
2014,"030111","personer","1684","befolkning_verdensregion_9","afrika","NULL","NULL","NULL"
2014,"030111","personer","190","befolkning_verdensregion_9","sor_og_mellom_amerika","NULL","NULL","NULL"
2014,"030112","personer","538","befolkning_verdensregion_9","norden","NULL","NULL","NULL"
2014,"030112","personer","531","befolkning_verdensregion_9","vest_europa","NULL","NULL","NULL"
2014,"030112","personer","1654","befolkning_verdensregion_9","eu_ost_europa","NULL","NULL","NULL"
2014,"030112","personer","1528","befolkning_verdensregion_9","ost_europa_ellers","NULL","NULL","NULL"
2014,"030112","personer","76","befolkning_verdensregion_9","nord_amerika_oseania","NULL","NULL","NULL"
2014,"030112","personer","8756","befolkning_verdensregion_9","asia","NULL","NULL","NULL"
2014,"030112","personer","2661","befolkning_verdensregion_9","afrika","NULL","NULL","NULL"
2014,"030112","personer","442","befolkning_verdensregion_9","sor_og_mellom_amerika","NULL","NULL","NULL"
2014,"030113","personer","741","befolkning_verdensregion_9","norden","NULL","NULL","NULL"
2014,"030113","personer","494","befolkning_verdensregion_9","vest_europa","NULL","NULL","NULL"
2014,"030113","personer","1305","befolkning_verdensregion_9","eu_ost_europa","NULL","NULL","NULL"
2014,"030113","personer","964","befolkning_verdensregion_9","ost_europa_ellers","NULL","NULL","NULL"
2014,"030113","personer","112","befolkning_verdensregion_9","nord_amerika_oseania","NULL","NULL","NULL"
2014,"030113","personer","3161","befolkning_verdensregion_9","asia","NULL","NULL","NULL"
2014,"030113","personer","1298","befolkning_verdensregion_9","afrika","NULL","NULL","NULL"
2014,"030113","personer","267","befolkning_verdensregion_9","sor_og_mellom_amerika","NULL","NULL","NULL"
2014,"030114","personer","1093","befolkning_verdensregion_9","norden","NULL","NULL","NULL"
2014,"030114","personer","744","befolkning_verdensregion_9","vest_europa","NULL","NULL","NULL"
2014,"030114","personer","1459","befolkning_verdensregion_9","eu_ost_europa","NULL","NULL","NULL"
2014,"030114","personer","458","befolkning_verdensregion_9","ost_europa_ellers","NULL","NULL","NULL"
2014,"030114","personer","157","befolkning_verdensregion_9","nord_amerika_oseania","NULL","NULL","NULL"
2014,"030114","personer","1605","befolkning_verdensregion_9","asia","NULL","NULL","NULL"
2014,"030114","personer","734","befolkning_verdensregion_9","afrika","NULL","NULL","NULL"
2014,"030114","personer","255","befolkning_verdensregion_9","sor_og_mellom_amerika","NULL","NULL","NULL"
