"fylke_nr","bosetting","enhet","aar","tabellvariabel","tabell_navn"
"01","anmodning","personer","2015","435","bosatt_anmodede"
"02","anmodning","personer","2015","777","bosatt_anmodede"
"03","anmodning","personer","2015","720","bosatt_anmodede"
"04","anmodning","personer","2015","445","bosatt_anmodede"
"05","anmodning","personer","2015","472","bosatt_anmodede"
"06","anmodning","personer","2015","564","bosatt_anmodede"
"07","anmodning","personer","2015","393","bosatt_anmodede"
"08","anmodning","personer","2015","552","bosatt_anmodede"
"09","anmodning","personer","2015","395","bosatt_anmodede"
"10","anmodning","personer","2015","595","bosatt_anmodede"
"11","anmodning","personer","2015","774","bosatt_anmodede"
"12","anmodning","personer","2015","897","bosatt_anmodede"
"14","anmodning","personer","2015","367","bosatt_anmodede"
"15","anmodning","personer","2015","739","bosatt_anmodede"
"16","anmodning","personer","2015","670","bosatt_anmodede"
"17","anmodning","personer","2015","420","bosatt_anmodede"
"18","anmodning","personer","2015","925","bosatt_anmodede"
"19","anmodning","personer","2015","620","bosatt_anmodede"
"20","anmodning","personer","2015","425","bosatt_anmodede"
"99","anmodning","personer","2015","0","bosatt_anmodede"
"00","anmodning","personer","2015","11185","bosatt_anmodede"
"01","vedtak","personer","2015","414","bosatt_anmodede"
"02","vedtak","personer","2015","910","bosatt_anmodede"
"03","vedtak","personer","2015","811","bosatt_anmodede"
"04","vedtak","personer","2015","377","bosatt_anmodede"
"05","vedtak","personer","2015","546","bosatt_anmodede"
"06","vedtak","personer","2015","648","bosatt_anmodede"
"07","vedtak","personer","2015","553","bosatt_anmodede"
"08","vedtak","personer","2015","500","bosatt_anmodede"
"09","vedtak","personer","2015","401","bosatt_anmodede"
"10","vedtak","personer","2015","647","bosatt_anmodede"
"11","vedtak","personer","2015","791","bosatt_anmodede"
"12","vedtak","personer","2015","872","bosatt_anmodede"
"14","vedtak","personer","2015","474","bosatt_anmodede"
"15","vedtak","personer","2015","686","bosatt_anmodede"
"16","vedtak","personer","2015","832","bosatt_anmodede"
"17","vedtak","personer","2015","457","bosatt_anmodede"
"18","vedtak","personer","2015","871","bosatt_anmodede"
"19","vedtak","personer","2015","595","bosatt_anmodede"
"20","vedtak","personer","2015","334","bosatt_anmodede"
"99","vedtak","personer","2015","0","bosatt_anmodede"
"00","vedtak","personer","2015","11719","bosatt_anmodede"
"01","bosatt","personer","2015","419","bosatt_anmodede"
"02","bosatt","personer","2015","829","bosatt_anmodede"
"03","bosatt","personer","2015","684","bosatt_anmodede"
