"fylke_nr","bosetting","aar","enhet","tabellvariabel","tabell_navn"
"02","anmodning","2015","personer","777","bosatt_anmodede"
"09","anmodning","2015","personer","395","bosatt_anmodede"
"06","anmodning","2015","personer","564","bosatt_anmodede"
"20","anmodning","2015","personer","425","bosatt_anmodede"
"04","anmodning","2015","personer","445","bosatt_anmodede"
"12","anmodning","2015","personer","897","bosatt_anmodede"
"15","anmodning","2015","personer","739","bosatt_anmodede"
"18","anmodning","2015","personer","925","bosatt_anmodede"
"17","anmodning","2015","personer","420","bosatt_anmodede"
"05","anmodning","2015","personer","472","bosatt_anmodede"
"03","anmodning","2015","personer","720","bosatt_anmodede"
"11","anmodning","2015","personer","774","bosatt_anmodede"
"14","anmodning","2015","personer","367","bosatt_anmodede"
"16","anmodning","2015","personer","670","bosatt_anmodede"
"08","anmodning","2015","personer","552","bosatt_anmodede"
"00","anmodning","2015","personer","11185","bosatt_anmodede"
"19","anmodning","2015","personer","620","bosatt_anmodede"
"10","anmodning","2015","personer","595","bosatt_anmodede"
"07","anmodning","2015","personer","393","bosatt_anmodede"
"01","anmodning","2015","personer","435","bosatt_anmodede"
"02","vedtak","2015","personer","910","bosatt_anmodede"
"09","vedtak","2015","personer","401","bosatt_anmodede"
"06","vedtak","2015","personer","648","bosatt_anmodede"
"20","vedtak","2015","personer","334","bosatt_anmodede"
"04","vedtak","2015","personer","377","bosatt_anmodede"
"12","vedtak","2015","personer","872","bosatt_anmodede"
"15","vedtak","2015","personer","686","bosatt_anmodede"
"18","vedtak","2015","personer","871","bosatt_anmodede"
"17","vedtak","2015","personer","457","bosatt_anmodede"
"05","vedtak","2015","personer","546","bosatt_anmodede"
"03","vedtak","2015","personer","811","bosatt_anmodede"
"11","vedtak","2015","personer","791","bosatt_anmodede"
"14","vedtak","2015","personer","474","bosatt_anmodede"
"16","vedtak","2015","personer","832","bosatt_anmodede"
"08","vedtak","2015","personer","500","bosatt_anmodede"
"00","vedtak","2015","personer","11719","bosatt_anmodede"
"19","vedtak","2015","personer","595","bosatt_anmodede"
"10","vedtak","2015","personer","647","bosatt_anmodede"
"07","vedtak","2015","personer","553","bosatt_anmodede"
"01","vedtak","2015","personer","414","bosatt_anmodede"
"02","bosatt","2015","personer",".","bosatt_anmodede"
"09","bosatt","2015","personer",".","bosatt_anmodede"
"06","bosatt","2015","personer",".","bosatt_anmodede"
"20","bosatt","2015","personer",".","bosatt_anmodede"
"04","bosatt","2015","personer",".","bosatt_anmodede"
"12","bosatt","2015","personer",".","bosatt_anmodede"
"15","bosatt","2015","personer",".","bosatt_anmodede"
"18","bosatt","2015","personer",".","bosatt_anmodede"
"17","bosatt","2015","personer",".","bosatt_anmodede"
"05","bosatt","2015","personer",".","bosatt_anmodede"
"03","bosatt","2015","personer",".","bosatt_anmodede"
"11","bosatt","2015","personer",".","bosatt_anmodede"
"14","bosatt","2015","personer",".","bosatt_anmodede"
"16","bosatt","2015","personer",".","bosatt_anmodede"
